#      date    value 
 1979-01-02   1.9375 
 1979-01-03     0.25 
 1979-01-04   0.8125 
 1979-01-05    0.375 
 1979-01-06        1 
 1979-01-07        0 
 1979-01-08   0.6875 
 1979-01-09   0.1875 
 1979-01-10        0 
 1979-01-11    2.125 
 1979-01-12  12.0625 
 1979-01-13        8 
 1979-01-14        5 
 1979-01-15    2.375 
 1979-01-16   0.4375 
 1979-01-17   3.3125 
 1979-01-18     0.75 
 1979-01-19      5.5 
 1979-01-20        1 
 1979-01-21    0.375 
 1979-01-22    1.625 
 1979-01-23        0 
 1979-01-24    0.625 
 1979-01-25      0.5 
 1979-01-26  17.3125 
 1979-01-27   7.1875 
 1979-01-28        0 
 1979-01-29        0 
 1979-01-30        0 
 1979-01-31        0 
 1979-02-01        0 
 1979-02-02        0 
 1979-02-03      0.5 
 1979-02-04   5.5625 
 1979-02-05        0 
 1979-02-06   8.5625 
 1979-02-07    7.375 
 1979-02-08        2 
 1979-02-09     5.25 
 1979-02-10      2.5 
 1979-02-11        0 
 1979-02-12        2 
 1979-02-13     0.75 
 1979-02-14  30.4375 
 1979-02-15  13.0625 
 1979-02-16    0.125 
 1979-02-17        0 
 1979-02-18   0.1875 
 1979-02-19    14.25 
 1979-02-20        0 
 1979-02-21        0 
 1979-02-22        0 
 1979-02-23        0 
 1979-02-24        0 
 1979-02-25    0.125 
 1979-02-26        0 
 1979-02-27     9.25 
 1979-02-28        0 
 1979-03-01        0 
 1979-03-02        0 
 1979-03-03        0 
 1979-03-04    0.125 
 1979-03-05        0 
 1979-03-06   0.0625 
 1979-03-07        0 
 1979-03-08        0 
 1979-03-09        0 
 1979-03-10        0 
 1979-03-11        0 
 1979-03-12     3.75 
 1979-03-13   0.8125 
 1979-03-14  12.4375 
 1979-03-15  10.1875 
 1979-03-16        0 
 1979-03-17        0 
 1979-03-18        0 
 1979-03-19        0 
 1979-03-20        0 
 1979-03-21     8.25 
 1979-03-22   3.6875 
 1979-03-23        0 
 1979-03-24        0 
 1979-03-25        0 
 1979-03-26   0.9375 
 1979-03-27  16.4375 
 1979-03-28   0.0625 
 1979-03-29        0 
 1979-03-30        0 
 1979-03-31        0 
 1979-04-01   0.0625 
 1979-04-02    1.875 
 1979-04-03      0.5 
 1979-04-04    2.375 
 1979-04-05        0 
 1979-04-06        0 
 1979-04-07        0 
 1979-04-08        0 
 1979-04-09        0 
 1979-04-10        0 
 1979-04-11     3.75 
 1979-04-12  39.5625 
 1979-04-13    3.125 
 1979-04-14        0 
 1979-04-15        0 
 1979-04-16        0 
 1979-04-17        0 
 1979-04-18        0 
 1979-04-19   0.0625 
 1979-04-20        0 
 1979-04-21        0 
 1979-04-22        0 
 1979-04-23        0 
 1979-04-24        0 
 1979-04-25        0 
 1979-04-26        0 
 1979-04-27        0 
 1979-04-28  22.0625 
 1979-04-29        0 
 1979-04-30        0 
 1979-05-01        0 
 1979-05-02        0 
 1979-05-03   3.9375 
 1979-05-04        0 
 1979-05-05        0 
 1979-05-06        0 
 1979-05-07        0 
 1979-05-08    4.375 
 1979-05-09        0 
 1979-05-10        0 
 1979-05-11        0 
 1979-05-12        0 
 1979-05-13        0 
 1979-05-14        0 
 1979-05-15        0 
 1979-05-16        0 
 1979-05-17    4.125 
 1979-05-18     0.75 
 1979-05-19        0 
 1979-05-20        0 
 1979-05-21        0 
 1979-05-22        0 
 1979-05-23        0 
 1979-05-24        0 
 1979-05-25   0.0625 
 1979-05-26        0 
 1979-05-27        0 
 1979-05-28   1.3125 
 1979-05-29        0 
 1979-05-30        0 
 1979-05-31        0 
 1979-06-01        0 
 1979-06-02        0 
 1979-06-03        0 
 1979-06-04        0 
 1979-06-05        0 
 1979-06-06        0 
 1979-06-07        0 
 1979-06-08        0 
 1979-06-09        0 
 1979-06-10        0 
 1979-06-11        0 
 1979-06-12        0 
 1979-06-13        0 
 1979-06-14        0 
 1979-06-15        0 
 1979-06-16        0 
 1979-06-17        0 
 1979-06-18        0 
 1979-06-19        0 
 1979-06-20        0 
 1979-06-21        0 
 1979-06-22        0 
 1979-06-23        0 
 1979-06-24        0 
 1979-06-25        0 
 1979-06-26        0 
 1979-06-27        0 
 1979-06-28        0 
 1979-06-29      0.5 
 1979-06-30  49.3125 
 1979-07-01  12.1875 
 1979-07-02    0.625 
 1979-07-03        0 
 1979-07-04        0 
 1979-07-05   0.0625 
 1979-07-06   1.6875 
 1979-07-07     0.25 
 1979-07-08        0 
 1979-07-09        0 
 1979-07-10        0 
 1979-07-11        0 
 1979-07-12        0 
 1979-07-13        0 
 1979-07-14   0.1875 
 1979-07-15        0 
 1979-07-16        0 
 1979-07-17        0 
 1979-07-18     4.25 
 1979-07-19        0 
 1979-07-20        0 
 1979-07-21        0 
 1979-07-22        0 
 1979-07-23        0 
 1979-07-24        0 
 1979-07-25        0 
 1979-07-26        0 
 1979-07-27  21.5625 
 1979-07-28   0.5625 
 1979-07-29      0.5 
 1979-07-30      2.5 
 1979-07-31   0.6875 
 1979-08-01        0 
 1979-08-02        0 
 1979-08-03        1 
 1979-08-04        0 
 1979-08-05        0 
 1979-08-06        0 
 1979-08-07        0 
 1979-08-08        0 
 1979-08-09        0 
 1979-08-10    1.625 
 1979-08-11        0 
 1979-08-12   0.0625 
 1979-08-13        0 
 1979-08-14        0 
 1979-08-15        0 
 1979-08-16        0 
 1979-08-17        0 
