#      date    value 
 1999-01-01        0 
 1999-01-02        0 
 1999-01-03      2.5 
 1999-01-04        3 
 1999-01-05        0 
 1999-01-06        0 
 1999-01-07        0 
 1999-01-08   4.0625 
 1999-01-09   3.6875 
 1999-01-10        0 
 1999-01-11   2.1875 
 1999-01-12   3.9375 
 1999-01-13   0.0625 
 1999-01-14     1.25 
 1999-01-15        0 
 1999-01-16        0 
 1999-01-17        0 
 1999-01-18        0 
 1999-01-19        0 
 1999-01-20        0 
 1999-01-21        0 
 1999-01-22        0 
 1999-01-23        0 
 1999-01-24        0 
 1999-01-25        0 
 1999-01-26   2.3125 
 1999-01-27   7.3125 
 1999-01-28    19.25 
 1999-01-29  13.9375 
 1999-01-30   4.8125 
 1999-01-31    0.875 
 1999-02-01   0.5625 
 1999-02-02    0.375 
 1999-02-03   4.4375 
 1999-02-04   5.3125 
 1999-02-05    6.125 
 1999-02-06     9.75 
 1999-02-07   5.0625 
 1999-02-08   2.1875 
 1999-02-09   4.8125 
 1999-02-10    2.125 
 1999-02-11   1.5625 
 1999-02-12   0.3125 
 1999-02-13   1.5625 
 1999-02-14    4.625 
 1999-02-15   0.6875 
 1999-02-16        1 
 1999-02-17   10.875 
 1999-02-18     19.5 
 1999-02-19   7.3125 
 1999-02-20  10.8125 
 1999-02-21   13.625 
 1999-02-22   12.125 
 1999-02-23  10.8125 
 1999-02-24  10.4375 
 1999-02-25    1.375 
 1999-02-26        0 
 1999-02-27        0 
 1999-02-28        0 
 1999-03-01   0.3125 
 1999-03-02    0.375 
 1999-03-03        0 
 1999-03-04    8.625 
 1999-03-05  20.4375 
 1999-03-06   5.5625 
 1999-03-07    7.625 
 1999-03-08   0.0625 
 1999-03-09   0.1875 
 1999-03-10    0.125 
 1999-03-11   4.5625 
 1999-03-12        0 
 1999-03-13        0 
 1999-03-14        0 
 1999-03-15        0 
 1999-03-16        0 
 1999-03-17        0 
 1999-03-18        0 
 1999-03-19   2.8125 
 1999-03-20   1.5625 
 1999-03-21    0.125 
 1999-03-22    1.625 
 1999-03-23   5.8125 
 1999-03-24   1.6875 
 1999-03-25        0 
 1999-03-26        0 
 1999-03-27   0.5625 
 1999-03-28    0.875 
 1999-03-29    0.375 
 1999-03-30    0.375 
 1999-03-31        0 
 1999-04-01        0 
 1999-04-02        0 
 1999-04-03        0 
 1999-04-04    6.125 
 1999-04-05        3 
 1999-04-06        0 
 1999-04-07   13.125 
 1999-04-08   5.8125 
 1999-04-09      0.5 
 1999-04-10        0 
 1999-04-11    1.375 
 1999-04-12    2.875 
 1999-04-13    6.625 
 1999-04-14     0.75 
 1999-04-15     12.5 
 1999-04-16  42.3125 
 1999-04-17   2.0625 
 1999-04-18     0.75 
 1999-04-19   0.3125 
 1999-04-20        0 
 1999-04-21   1.8125 
 1999-04-22   1.8125 
 1999-04-23   0.0625 
 1999-04-24    1.625 
 1999-04-25   0.4375 
 1999-04-26        0 
 1999-04-27   1.9375 
 1999-04-28        0 
 1999-04-29   4.0625 
 1999-04-30   16.875 
 1999-05-01      0.5 
 1999-05-02        0 
 1999-05-03        0 
 1999-05-04     0.75 
 1999-05-05    0.875 
 1999-05-06        3 
 1999-05-07        0 
 1999-05-08   43.375 
 1999-05-09    3.625 
 1999-05-10   0.4375 
 1999-05-11   5.0625 
 1999-05-12  10.9375 
 1999-05-13   4.5625 
 1999-05-14   3.8125 
 1999-05-15   1.8125 
 1999-05-16   2.8125 
 1999-05-17   0.3125 
 1999-05-18    0.125 
 1999-05-19   0.5625 
 1999-05-20   13.375 
 1999-05-21  91.6875 
 1999-05-22  31.3125 
 1999-05-23   1.0625 
 1999-05-24        0 
 1999-05-25   4.8125 
 1999-05-26    0.875 
 1999-05-27   0.5625 
 1999-05-28    1.125 
 1999-05-29    0.125 
 1999-05-30        0 
 1999-05-31    9.125 
 1999-06-01      0.5 
 1999-06-02   6.8125 
 1999-06-03   1.4375 
 1999-06-04   18.875 
 1999-06-05        0 
 1999-06-06   3.5625 
 1999-06-07   5.3125 
 1999-06-08  17.9375 
 1999-06-09        0 
 1999-06-10   6.9375 
 1999-06-11   5.8125 
 1999-06-12   0.5625 
 1999-06-13     1.25 
 1999-06-14   4.3125 
 1999-06-15    7.125 
 1999-06-16     2.25 
 1999-06-17    1.875 
 1999-06-18    9.875 
 1999-06-19   1.3125 
 1999-06-20        0 
 1999-06-21    20.25 
 1999-06-22  11.9375 
 1999-06-23        0 
 1999-06-24        0 
 1999-06-25        0 
 1999-06-26    2.625 
 1999-06-27   5.3125 
 1999-06-28     5.75 
 1999-06-29    0.875 
 1999-06-30     6.75 
 1999-07-01   1.9375 
 1999-07-02        0 
 1999-07-03        0 
 1999-07-04        0 
 1999-07-05        0 
 1999-07-06  11.6875 
 1999-07-07   7.6875 
 1999-07-08    6.625 
 1999-07-09     6.25 
 1999-07-10     4.25 
 1999-07-11   7.0625 
 1999-07-12    5.625 
 1999-07-13   14.875 
 1999-07-14     4.75 
 1999-07-15    1.375 
 1999-07-16   0.8125 
 1999-07-17        0 
 1999-07-18        0 
 1999-07-19   0.8125 
 1999-07-20    1.625 
 1999-07-21        4 
 1999-07-22  34.4375 
 1999-07-23   7.5625 
 1999-07-24     0.75 
 1999-07-25        0 
 1999-07-26        0 
 1999-07-27   1.9375 
 1999-07-28  26.1875 
 1999-07-29   0.6875 
 1999-07-30        0 
 1999-07-31      0.5 
 1999-08-01       10 
