#      date    value 
 1981-01-01    0.875 
 1981-01-02   10.125 
 1981-01-03  30.8125 
 1981-01-04  98.0625 
 1981-01-05  119.812 
 1981-01-06   39.625 
 1981-01-07    37.75 
 1981-01-08  158.125 
 1981-01-09  44.0625 
 1981-01-10  273.125 
 1981-01-11  258.188 
 1981-01-12  95.3125 
 1981-01-13   17.125 
 1981-01-14   38.875 
 1981-01-15  41.6875 
 1981-01-16    14.75 
 1981-01-17   4.1875 
 1981-01-18   7.1875 
 1981-01-19   7.1875 
 1981-01-20   14.375 
 1981-01-21   29.625 
 1981-01-22   23.875 
 1981-01-23     3.25 
 1981-01-24  16.5625 
 1981-01-25   1.5625 
 1981-01-26        1 
 1981-01-27   8.1875 
 1981-01-28   3.4375 
 1981-01-29        0 
 1981-01-30        0 
 1981-01-31        0 
 1981-02-01   0.1875 
 1981-02-02   8.6875 
 1981-02-03     2.25 
 1981-02-04   19.125 
 1981-02-05   7.1875 
 1981-02-06       14 
 1981-02-07        5 
 1981-02-08   4.8125 
 1981-02-09  17.0625 
 1981-02-10  50.0625 
 1981-02-11   10.625 
 1981-02-12  16.3125 
 1981-02-13    1.875 
 1981-02-14   13.375 
 1981-02-15   3.6875 
 1981-02-16   0.1875 
 1981-02-17    8.375 
 1981-02-18   6.4375 
 1981-02-19   6.6875 
 1981-02-20    6.375 
 1981-02-21   33.625 
 1981-02-22    1.375 
 1981-02-23    21.75 
 1981-02-24     32.5 
 1981-02-25   96.625 
 1981-02-26   71.125 
 1981-02-27   0.3125 
 1981-02-28        1 
 1981-03-01     0.25 
 1981-03-02   0.6875 
 1981-03-03   0.3125 
 1981-03-04   0.0625 
 1981-03-05        0 
 1981-03-06        0 
 1981-03-07   0.0625 
 1981-03-08    0.125 
 1981-03-09    0.625 
 1981-03-10        0 
 1981-03-11   0.0625 
 1981-03-12        6 
 1981-03-13    0.125 
 1981-03-14   0.5625 
 1981-03-15   8.3125 
 1981-03-16     11.5 
 1981-03-17       47 
 1981-03-18    64.25 
 1981-03-19  13.6875 
 1981-03-20        7 
 1981-03-21    2.625 
 1981-03-22    1.375 
 1981-03-23   0.5625 
 1981-03-24        3 
 1981-03-25   7.8125 
 1981-03-26      5.5 
 1981-03-27     7.25 
 1981-03-28   2.5625 
 1981-03-29    2.125 
 1981-03-30    3.625 
 1981-03-31   4.9375 
 1981-04-01    1.875 
 1981-04-02    0.375 
 1981-04-03   0.3125 
 1981-04-04        0 
 1981-04-05     0.25 
 1981-04-06        0 
 1981-04-07    2.375 
 1981-04-08   2.5625 
 1981-04-09     0.75 
 1981-04-10   12.375 
 1981-04-11        6 
 1981-04-12  34.1875 
 1981-04-13   20.125 
 1981-04-14     1.25 
 1981-04-15   1.6875 
 1981-04-16   0.3125 
 1981-04-17    0.375 
 1981-04-18   3.9375 
 1981-04-19   4.1875 
 1981-04-20   5.4375 
 1981-04-21     4.25 
 1981-04-22    6.375 
 1981-04-23   4.0625 
 1981-04-24   2.5625 
 1981-04-25   2.6875 
 1981-04-26  15.4375 
 1981-04-27    7.125 
 1981-04-28        5 
 1981-04-29    0.125 
 1981-04-30   6.5625 
 1981-05-01    5.125 
 1981-05-02   0.6875 
 1981-05-03   1.6875 
 1981-05-04    2.125 
 1981-05-05   1.5625 
 1981-05-06   4.1875 
 1981-05-07    1.375 
 1981-05-08   1.8125 
 1981-05-09   1.3125 
 1981-05-10     0.25 
 1981-05-11   4.8125 
 1981-05-12   1.4375 
 1981-05-13       14 
 1981-05-14     27.5 
 1981-05-15   6.1875 
 1981-05-16   41.625 
 1981-05-17  44.1875 
 1981-05-18  10.0625 
 1981-05-19   13.625 
 1981-05-20  37.6875 
 1981-05-21      3.5 
 1981-05-22        0 
 1981-05-23        0 
 1981-05-24    0.375 
 1981-05-25   1.1875 
 1981-05-26      5.5 
 1981-05-27     3.25 
 1981-05-28   15.125 
 1981-05-29      5.5 
 1981-05-30   0.3125 
 1981-05-31        0 
 1981-06-01        0 
 1981-06-02    0.125 
 1981-06-03    1.125 
