#      date    value 
 2019-01-01    11.75 
 2019-01-02        3 
 2019-01-03   0.0625 
 2019-01-04       11 
 2019-01-05   0.0625 
 2019-01-06        0 
 2019-01-07   0.1875 
 2019-01-08   1.9375 
 2019-01-09   0.3125 
 2019-01-10   25.125 
 2019-01-11  22.6875 
 2019-01-12     1.25 
 2019-01-13     8.75 
 2019-01-14   30.125 
 2019-01-15   7.5625 
 2019-01-16     0.25 
 2019-01-17   0.0625 
 2019-01-18       19 
 2019-01-19   22.125 
 2019-01-20     8.25 
 2019-01-21   4.9375 
 2019-01-22     5.75 
 2019-01-23  29.5625 
 2019-01-24  26.0625 
 2019-01-25  108.562 
 2019-01-26  310.438 
 2019-01-27     18.5 
 2019-01-28  16.6875 
 2019-01-29       21 
 2019-01-30    21.25 
 2019-01-31     18.5 
 2019-02-01  14.8125 
 2019-02-02     2.75 
 2019-02-03   23.875 
 2019-02-04     14.5 
 2019-02-05    5.375 
 2019-02-06     1.25 
 2019-02-07  10.5625 
 2019-02-08       70 
 2019-02-09     13.5 
 2019-02-10   0.0625 
 2019-02-11        0 
 2019-02-12        0 
 2019-02-13        0 
 2019-02-14        0 
 2019-02-15   0.0625 
 2019-02-16   0.3125 
 2019-02-17      0.5 
 2019-02-18      0.5 
 2019-02-19   1.0625 
 2019-02-20        0 
 2019-02-21        0 
 2019-02-22   3.0625 
 2019-02-23  26.0625 
 2019-02-24  31.6875 
 2019-02-25   6.0625 
 2019-02-26    7.625 
 2019-02-27    2.875 
 2019-02-28   4.0625 
 2019-03-01       16 
 2019-03-02  25.4375 
 2019-03-03   17.125 
 2019-03-04   7.4375 
 2019-03-05   0.3125 
 2019-03-06    10.25 
 2019-03-07    21.25 
 2019-03-08  17.8125 
 2019-03-09     30.5 
 2019-03-10  10.4375 
 2019-03-11   0.3125 
 2019-03-12   0.0625 
 2019-03-13     0.25 
 2019-03-14   5.4375 
 2019-03-15   6.0625 
 2019-03-16    4.375 
 2019-03-17  18.6875 
 2019-03-18  49.6875 
 2019-03-19  75.0625 
