#      date    value 
 1992-01-01   1.1875 
 1992-01-02        0 
 1992-01-03    6.875 
 1992-01-04     17.5 
 1992-01-05   3.5625 
 1992-01-06   0.4375 
 1992-01-07      0.5 
 1992-01-08    1.125 
 1992-01-09   7.0625 
 1992-01-10        6 
 1992-01-11    0.125 
 1992-01-12        0 
 1992-01-13        0 
 1992-01-14      0.5 
 1992-01-15    0.125 
 1992-01-16    0.375 
 1992-01-17        0 
 1992-01-18        0 
 1992-01-19        0 
 1992-01-20        0 
 1992-01-21   0.0625 
 1992-01-22   2.8125 
 1992-01-23   12.875 
 1992-01-24  17.5625 
 1992-01-25    6.125 
 1992-01-26   0.3125 
 1992-01-27        0 
 1992-01-28      0.5 
 1992-01-29    0.125 
 1992-01-30        0 
 1992-01-31        0 
 1992-02-01        0 
 1992-02-02     0.25 
 1992-02-03        0 
 1992-02-04     9.25 
 1992-02-05      6.5 
 1992-02-06   3.4375 
 1992-02-07    10.75 
 1992-02-08   64.625 
 1992-02-09  191.562 
 1992-02-10  36.9375 
 1992-02-11   2.9375 
 1992-02-12   5.0625 
 1992-02-13   2.8125 
 1992-02-14    1.375 
 1992-02-15    0.625 
 1992-02-16        0 
 1992-02-17        0 
 1992-02-18        0 
 1992-02-19        0 
 1992-02-20      3.5 
 1992-02-21    1.625 
 1992-02-22    0.125 
 1992-02-23    19.75 
 1992-02-24  21.5625 
 1992-02-25      4.5 
 1992-02-26        0 
 1992-02-27    0.125 
 1992-02-28        0 
 1992-02-29   0.3125 
 1992-03-01     0.25 
 1992-03-02        0 
 1992-03-03     0.25 
 1992-03-04   1.4375 
 1992-03-05   0.5625 
 1992-03-06   0.0625 
 1992-03-07   0.4375 
 1992-03-08   0.1875 
 1992-03-09        0 
 1992-03-10        0 
 1992-03-11        0 
 1992-03-12    0.125 
 1992-03-13   0.1875 
 1992-03-14        0 
 1992-03-15     0.25 
 1992-03-16        0 
 1992-03-17   0.0625 
 1992-03-18        0 
 1992-03-19        0 
 1992-03-20        0 
 1992-03-21    8.375 
 1992-03-22    4.375 
 1992-03-23   1.4375 
 1992-03-24   0.0625 
 1992-03-25   5.5625 
 1992-03-26    10.75 
 1992-03-27    3.875 
 1992-03-28   0.1875 
 1992-03-29   0.6875 
 1992-03-30   0.3125 
 1992-03-31        0 
 1992-04-01    0.125 
 1992-04-02  11.5625 
 1992-04-03    17.75 
 1992-04-04   6.0625 
 1992-04-05     0.25 
 1992-04-06   0.0625 
 1992-04-07   3.8125 
 1992-04-08   2.5625 
 1992-04-09        0 
 1992-04-10    0.125 
 1992-04-11        0 
 1992-04-12        0 
 1992-04-13        0 
 1992-04-14        0 
 1992-04-15   0.0625 
 1992-04-16   0.1875 
 1992-04-17    9.875 
 1992-04-18      2.5 
 1992-04-19        0 
 1992-04-20   1.8125 
 1992-04-21        0 
 1992-04-22        0 
 1992-04-23        0 
 1992-04-24   0.0625 
 1992-04-25   0.0625 
 1992-04-26   0.0625 
 1992-04-27    19.75 
 1992-04-28    0.625 
 1992-04-29        0 
 1992-04-30        0 
 1992-05-01        0 
 1992-05-02   1.1875 
 1992-05-03   1.0625 
 1992-05-04   0.0625 
 1992-05-05    0.125 
 1992-05-06   0.1875 
 1992-05-07     0.25 
 1992-05-08    1.875 
 1992-05-09   0.1875 
 1992-05-10        0 
 1992-05-11     0.75 
 1992-05-12   1.8125 
 1992-05-13   0.9375 
 1992-05-14        0 
 1992-05-15        0 
 1992-05-16        0 
 1992-05-17     0.25 
 1992-05-18   0.0625 
 1992-05-19        0 
 1992-05-20    1.875 
 1992-05-21   1.5625 
 1992-05-22   1.1875 
 1992-05-23   0.4375 
 1992-05-24        0 
 1992-05-25      0.5 
 1992-05-26   0.0625 
 1992-05-27        0 
 1992-05-28   0.0625 
 1992-05-29        0 
 1992-05-30    2.625 
 1992-05-31      0.5 
 1992-06-01   0.1875 
 1992-06-02    1.375 
 1992-06-03   0.8125 
