#      date    value 
 2011-01-01  17.9375 
 2011-01-02   28.875 
 2011-01-03   5.3125 
 2011-01-04     0.25 
 2011-01-05   6.1875 
 2011-01-06        2 
 2011-01-07      1.5 
 2011-01-08   2.4375 
 2011-01-09   4.3125 
 2011-01-10    15.25 
 2011-01-11  11.5625 
 2011-01-12     5.75 
 2011-01-13    3.375 
 2011-01-14  28.8125 
 2011-01-15    26.25 
 2011-01-16      0.5 
 2011-01-17   3.1875 
 2011-01-18     11.5 
 2011-01-19    4.375 
 2011-01-20  40.4375 
 2011-01-21       59 
 2011-01-22  11.1875 
 2011-01-23       26 
 2011-01-24   2.9375 
 2011-01-25   1.6875 
 2011-01-26   2.3125 
 2011-01-27   6.5625 
 2011-01-28   6.4375 
 2011-01-29      1.5 
 2011-01-30  22.6875 
 2011-01-31   1.4375 
 2011-02-01   0.0625 
 2011-02-02      0.5 
 2011-02-03   14.375 
 2011-02-04   3.8125 
 2011-02-05  22.5625 
 2011-02-06       29 
 2011-02-07   10.125 
 2011-02-08   2.0625 
 2011-02-09     0.75 
 2011-02-10        0 
 2011-02-11     32.5 
 2011-02-12        9 
 2011-02-13   36.375 
 2011-02-14  30.1875 
 2011-02-15    0.375 
 2011-02-16  31.8125 
 2011-02-17  124.875 
 2011-02-18   17.375 
 2011-02-19  11.0625 
 2011-02-20    1.625 
 2011-02-21    11.25 
 2011-02-22    3.625 
 2011-02-23    26.75 
 2011-02-24  39.9375 
 2011-02-25     11.5 
 2011-02-26   8.6875 
 2011-02-27   1.9375 
 2011-02-28   0.0625 
 2011-03-01    1.625 
 2011-03-02    5.625 
 2011-03-03   11.875 
 2011-03-04  11.1875 
 2011-03-05    3.625 
 2011-03-06    7.125 
 2011-03-07   4.1875 
 2011-03-08   7.6875 
 2011-03-09     3.25 
 2011-03-10        6 
 2011-03-11   8.6875 
 2011-03-12  28.4375 
 2011-03-13  19.6875 
 2011-03-14   26.875 
 2011-03-15   6.0625 
 2011-03-16   1.5625 
 2011-03-17   9.8125 
 2011-03-18   1.0625 
 2011-03-19   2.0625 
 2011-03-20  16.8125 
 2011-03-21   2.5625 
 2011-03-22    1.625 
 2011-03-23     1.75 
 2011-03-24   12.375 
 2011-03-25   0.3125 
 2011-03-26        0 
 2011-03-27        0 
 2011-03-28   0.8125 
 2011-03-29     1.25 
 2011-03-30    15.25 
 2011-03-31       43 
 2011-04-01   32.125 
 2011-04-02   3.9375 
 2011-04-03  18.8125 
 2011-04-04   6.5625 
 2011-04-05  19.0625 
 2011-04-06    2.875 
 2011-04-07        0 
 2011-04-08        0 
 2011-04-09   0.8125 
 2011-04-10   6.8125 
 2011-04-11    0.375 
 2011-04-12        0 
 2011-04-13        0 
 2011-04-14   4.4375 
 2011-04-15      9.5 
 2011-04-16   0.0625 
 2011-04-17        0 
 2011-04-18        0 
 2011-04-19        0 
 2011-04-20        0 
 2011-04-21        0 
 2011-04-22        0 
 2011-04-23        0 
 2011-04-24        0 
 2011-04-25        0 
 2011-04-26        0 
 2011-04-27        0 
 2011-04-28        0 
 2011-04-29        0 
 2011-04-30        0 
 2011-05-01        0 
 2011-05-02        0 
 2011-05-03        0 
 2011-05-04        0 
 2011-05-05        0 
 2011-05-06        0 
 2011-05-07        0 
 2011-05-08        0 
 2011-05-09        0 
 2011-05-10        0 
 2011-05-11        0 
 2011-05-12        0 
 2011-05-13        0 
 2011-05-14        0 
 2011-05-15        0 
 2011-05-16        0 
 2011-05-17        0 
 2011-05-18        0 
 2011-05-19        0 
 2011-05-20        0 
 2011-05-21        0 
 2011-05-22        0 
 2011-05-23        0 
 2011-05-24        0 
 2011-05-25        0 
 2011-05-26        0 
 2011-05-27        0 
 2011-05-28        0 
 2011-05-29        0 
 2011-05-30        0 
 2011-05-31        0 
 2011-06-01        0 
 2011-06-02        0 
 2011-06-03        0 
 2011-06-04        0 
 2011-06-05        0 
 2011-06-06        0 
 2011-06-07        0 
 2011-06-08        0 
 2011-06-09        0 
 2011-06-10        0 
 2011-06-11        0 
 2011-06-12        0 
 2011-06-13        0 
 2011-06-14        0 
 2011-06-15        0 
 2011-06-16        0 
 2011-06-17        0 
 2011-06-18        0 
 2011-06-19        0 
 2011-06-20        0 
 2011-06-21        0 
 2011-06-22        0 
 2011-06-23        0 
 2011-06-24        0 
 2011-06-25        0 
 2011-06-26        0 
 2011-06-27        0 
 2011-06-28        0 
 2011-06-29        0 
 2011-06-30        0 
 2011-07-01        0 
 2011-07-02   2.3125 
 2011-07-03     0.25 
 2011-07-04        0 
 2011-07-05        0 
 2011-07-06        0 
 2011-07-07        0 
 2011-07-08        0 
 2011-07-09        0 
 2011-07-10        0 
 2011-07-11        0 
 2011-07-12        0 
 2011-07-13        0 
 2011-07-14        0 
 2011-07-15        0 
 2011-07-16        0 
 2011-07-17        0 
 2011-07-18        0 
 2011-07-19        0 
 2011-07-20        0 
 2011-07-21        0 
 2011-07-22        0 
 2011-07-23        0 
 2011-07-24        0 
 2011-07-25        0 
 2011-07-26        0 
 2011-07-27        0 
 2011-07-28        0 
 2011-07-29        0 
 2011-07-30        0 
 2011-07-31        0 
 2011-08-01        0 
 2011-08-02        0 
 2011-08-03        0 
 2011-08-04        0 
 2011-08-05        0 
 2011-08-06        0 
 2011-08-07        0 
 2011-08-08        0 
 2011-08-09        0 
 2011-08-10        0 
 2011-08-11        0 
 2011-08-12        0 
 2011-08-13        0 
 2011-08-14        0 
 2011-08-15        0 
 2011-08-16        0 
 2011-08-17        0 
 2011-08-18        0 
 2011-08-19        0 
 2011-08-20        0 
 2011-08-21        0 
 2011-08-22        0 
 2011-08-23        0 
 2011-08-24        0 
 2011-08-25        0 
 2011-08-26        0 
 2011-08-27        0 
 2011-08-28        0 
 2011-08-29        0 
 2011-08-30        0 
 2011-08-31        0 
 2011-09-01        0 
 2011-09-02        0 
 2011-09-03        0 
 2011-09-04        0 
 2011-09-05        0 
 2011-09-06        0 
 2011-09-07        0 
 2011-09-08        0 
 2011-09-09        0 
 2011-09-10        0 
 2011-09-11        0 
 2011-09-12        0 
 2011-09-13        0 
 2011-09-14        0 
 2011-09-15        0 
 2011-09-16        0 
 2011-09-17        0 
 2011-09-18        0 
 2011-09-19        0 
 2011-09-20        0 
 2011-09-21        0 
 2011-09-22        0 
 2011-09-23        0 
 2011-09-24        0 
 2011-09-25        0 
 2011-09-26        0 
 2011-09-27        0 
 2011-09-28        0 
 2011-09-29        0 
 2011-09-30        0 
 2011-10-01        0 
 2011-10-02        0 
 2011-10-03        0 
 2011-10-04        0 
 2011-10-05        0 
 2011-10-06   0.0625 
 2011-10-07        0 
 2011-10-08        0 
 2011-10-09        0 
 2011-10-10        0 
 2011-10-11        0 
 2011-10-12    0.375 
 2011-10-13        0 
 2011-10-14   2.1875 
 2011-10-15   0.0625 
 2011-10-16        0 
 2011-10-17        0 
 2011-10-18   8.3125 
 2011-10-19   3.3125 
 2011-10-20        0 
 2011-10-21        0 
 2011-10-22    2.125 
 2011-10-23        0 
 2011-10-24   0.3125 
 2011-10-25  10.0625 
 2011-10-26     0.75 
 2011-10-27        0 
 2011-10-28   1.6875 
