#      date    value 
 1981-01-01   0.0625 
 1981-01-02  30.8125 
 1981-01-03    1.625 
 1981-01-04  16.9375 
 1981-01-05   4.0625 
 1981-01-06    6.875 
 1981-01-07    6.375 
 1981-01-08    6.125 
 1981-01-09   4.1875 
 1981-01-10   3.8125 
 1981-01-11   29.375 
 1981-01-12    22.25 
 1981-01-13    34.25 
 1981-01-14   0.4375 
 1981-01-15    2.125 
 1981-01-16   5.5625 
 1981-01-17   7.4375 
 1981-01-18  12.0625 
 1981-01-19   1.6875 
 1981-01-20  72.1875 
 1981-01-21  41.1875 
 1981-01-22  94.5625 
 1981-01-23   2.4375 
 1981-01-24   1.4375 
 1981-01-25   42.875 
 1981-01-26  18.8125 
 1981-01-27  21.9375 
 1981-01-28    26.25 
 1981-01-29   40.375 
 1981-01-30   11.375 
 1981-01-31   33.625 
 1981-02-01  11.1875 
 1981-02-02      9.5 
 1981-02-03   1.4375 
 1981-02-04   3.6875 
 1981-02-05   7.5625 
 1981-02-06     8.25 
 1981-02-07    37.25 
 1981-02-08        6 
 1981-02-09   10.375 
 1981-02-10     4.75 
 1981-02-11  10.6875 
 1981-02-12  30.4375 
 1981-02-13    5.125 
 1981-02-14    4.375 
 1981-02-15  44.0625 
 1981-02-16   7.6875 
 1981-02-17   11.375 
 1981-02-18   1.3125 
 1981-02-19    1.375 
 1981-02-20   1.5625 
 1981-02-21   6.0625 
 1981-02-22   0.4375 
 1981-02-23       18 
 1981-02-24   5.0625 
 1981-02-25     0.75 
 1981-02-26    1.125 
 1981-02-27  10.4375 
 1981-02-28      1.5 
 1981-03-01    0.375 
 1981-03-02  21.0625 
 1981-03-03  26.4375 
 1981-03-04   11.625 
 1981-03-05        0 
 1981-03-06      0.5 
 1981-03-07    0.375 
 1981-03-08   11.375 
 1981-03-09      8.5 
 1981-03-10  18.6875 
 1981-03-11  90.5625 
 1981-03-12    9.625 
 1981-03-13        0 
 1981-03-14        0 
 1981-03-15        0 
 1981-03-16        0 
 1981-03-17   0.3125 
 1981-03-18        0 
 1981-03-19        0 
 1981-03-20        0 
 1981-03-21    0.625 
 1981-03-22   0.8125 
 1981-03-23     9.25 
 1981-03-24    26.75 
 1981-03-25   2.4375 
 1981-03-26   0.4375 
 1981-03-27        0 
 1981-03-28        0 
 1981-03-29        0 
 1981-03-30   3.6875 
 1981-03-31   0.0625 
 1981-04-01        0 
 1981-04-02   0.0625 
 1981-04-03  10.1875 
 1981-04-04     3.25 
 1981-04-05   2.6875 
 1981-04-06        0 
 1981-04-07        0 
 1981-04-08   4.4375 
 1981-04-09   1.4375 
 1981-04-10   8.8125 
 1981-04-11   1.0625 
 1981-04-12    0.125 
 1981-04-13     0.25 
 1981-04-14    3.375 
 1981-04-15    2.375 
 1981-04-16   0.0625 
 1981-04-17        0 
 1981-04-18        0 
 1981-04-19        0 
 1981-04-20        0 
 1981-04-21        0 
 1981-04-22     3.75 
 1981-04-23        0 
 1981-04-24        0 
 1981-04-25        0 
 1981-04-26        0 
 1981-04-27        0 
 1981-04-28        0 
 1981-04-29      8.5 
 1981-04-30        0 
 1981-05-01        0 
 1981-05-02        0 
 1981-05-03        0 
 1981-05-04    0.125 
 1981-05-05   0.0625 
 1981-05-06        0 
 1981-05-07        0 
