#      date    value 
 1984-01-01    9.375 
 1984-01-02    5.125 
 1984-01-03   9.1875 
 1984-01-04    9.125 
 1984-01-05    14.25 
 1984-01-06   7.4375 
 1984-01-07   6.6875 
 1984-01-08  14.8125 
 1984-01-09    9.375 
 1984-01-10   5.5625 
 1984-01-11   8.4375 
 1984-01-12  23.3125 
 1984-01-13   7.9375 
 1984-01-14   5.1875 
 1984-01-15   2.1875 
 1984-01-16   6.4375 
 1984-01-17    3.625 
 1984-01-18    27.75 
 1984-01-19  13.0625 
 1984-01-20  33.9375 
 1984-01-21   18.875 
 1984-01-22    23.75 
 1984-01-23    6.375 
 1984-01-24       12 
 1984-01-25    58.25 
 1984-01-26   12.125 
 1984-01-27     17.5 
 1984-01-28    27.25 
 1984-01-29  20.4375 
 1984-01-30   20.375 
 1984-01-31    19.75 
 1984-02-01  13.4375 
 1984-02-02       34 
 1984-02-03    3.875 
 1984-02-04  14.8125 
 1984-02-05    1.625 
 1984-02-06   0.0625 
 1984-02-07      1.5 
 1984-02-08   3.5625 
 1984-02-09   26.625 
 1984-02-10  42.1875 
 1984-02-11  59.8125 
 1984-02-12  34.6875 
 1984-02-13   5.1875 
 1984-02-14  12.6875 
 1984-02-15   43.875 
 1984-02-16  12.9375 
 1984-02-17   24.375 
 1984-02-18    9.875 
 1984-02-19   18.625 
 1984-02-20   16.375 
 1984-02-21    3.875 
 1984-02-22      9.5 
 1984-02-23    31.25 
 1984-02-24   20.375 
 1984-02-25       20 
 1984-02-26   17.625 
 1984-02-27     12.5 
 1984-02-28        8 
 1984-02-29      7.5 
 1984-03-01  21.0625 
 1984-03-02     24.5 
 1984-03-03   7.8125 
 1984-03-04   2.4375 
 1984-03-05     12.5 
 1984-03-06     7.25 
 1984-03-07  17.8125 
 1984-03-08  11.8125 
 1984-03-09     11.5 
 1984-03-10  20.6875 
 1984-03-11      2.5 
 1984-03-12    20.75 
 1984-03-13    19.25 
 1984-03-14    19.25 
 1984-03-15   15.625 
 1984-03-16  74.1875 
 1984-03-17  15.6875 
 1984-03-18    12.75 
 1984-03-19  11.8125 
 1984-03-20   33.875 
 1984-03-21   9.4375 
 1984-03-22   23.375 
 1984-03-23   2.4375 
 1984-03-24     2.75 
 1984-03-25  11.4375 
 1984-03-26    0.125 
 1984-03-27  33.6875 
 1984-03-28  13.0625 
 1984-03-29    0.875 
 1984-03-30    28.25 
 1984-03-31   16.375 
 1984-04-01    6.875 
 1984-04-02    0.125 
 1984-04-03        0 
 1984-04-04        0 
 1984-04-05        0 
 1984-04-06   0.0625 
 1984-04-07        0 
 1984-04-08        0 
 1984-04-09        0 
 1984-04-10        0 
 1984-04-11        0 
 1984-04-12     0.25 
 1984-04-13   1.1875 
 1984-04-14   0.3125 
 1984-04-15   0.1875 
 1984-04-16        0 
 1984-04-17        0 
 1984-04-18        0 
 1984-04-19        0 
 1984-04-20     0.25 
 1984-04-21      0.5 
 1984-04-22        0 
 1984-04-23        0 
 1984-04-24        0 
 1984-04-25        0 
 1984-04-26        0 
 1984-04-27        0 
 1984-04-28      0.5 
 1984-04-29     0.25 
 1984-04-30   0.0625 
 1984-05-01    0.125 
 1984-05-02        0 
 1984-05-03        0 
 1984-05-04        0 
 1984-05-05        0 
 1984-05-06        0 
 1984-05-07        0 
 1984-05-08        0 
 1984-05-09        0 
 1984-05-10        0 
 1984-05-11        0 
 1984-05-12        0 
 1984-05-13        0 
 1984-05-14        0 
 1984-05-15   0.1875 
 1984-05-16        0 
 1984-05-17        0 
 1984-05-18        0 
 1984-05-19        0 
 1984-05-20        0 
 1984-05-21        0 
 1984-05-22        0 
 1984-05-23        0 
 1984-05-24        0 
 1984-05-25        0 
 1984-05-26        0 
 1984-05-27        0 
 1984-05-28        0 
 1984-05-29        0 
 1984-05-30        0 
 1984-05-31        0 
 1984-06-01        0 
 1984-06-02        0 
 1984-06-03        0 
 1984-06-04        0 
 1984-06-05        0 
 1984-06-06        0 
 1984-06-07        0 
 1984-06-08        0 
 1984-06-09        0 
 1984-06-10        0 
 1984-06-11        0 
 1984-06-12        0 
 1984-06-13        0 
 1984-06-14        0 
 1984-06-15        0 
 1984-06-16        0 
 1984-06-17        0 
 1984-06-18        0 
 1984-06-19        0 
 1984-06-20        0 
 1984-06-21        0 
 1984-06-22        0 
 1984-06-23        0 
 1984-06-24        0 
 1984-06-25        0 
 1984-06-26        0 
 1984-06-27        0 
 1984-06-28        0 
 1984-06-29        0 
 1984-06-30        0 
 1984-07-01        0 
 1984-07-02        0 
 1984-07-03        0 
 1984-07-04        0 
 1984-07-05        0 
 1984-07-06        0 
 1984-07-07        0 
 1984-07-08        0 
 1984-07-09        0 
 1984-07-10        0 
 1984-07-11        0 
 1984-07-12        0 
 1984-07-13        0 
 1984-07-14        0 
 1984-07-15        0 
 1984-07-16        0 
 1984-07-17        0 
 1984-07-18        0 
 1984-07-19        0 
 1984-07-20        0 
 1984-07-21        0 
 1984-07-22        0 
 1984-07-23    0.125 
 1984-07-24        0 
 1984-07-25        0 
 1984-07-26        0 
 1984-07-27        0 
 1984-07-28        0 
 1984-07-29        0 
 1984-07-30        0 
 1984-07-31        0 
 1984-08-01        0 
 1984-08-02        0 
 1984-08-03        0 
 1984-08-04        0 
 1984-08-05        0 
 1984-08-06        0 
 1984-08-07        0 
 1984-08-08        0 
 1984-08-09        0 
 1984-08-10        0 
 1984-08-11        0 
 1984-08-12        0 
 1984-08-13        0 
 1984-08-14        0 
 1984-08-15        0 
 1984-08-16        0 
 1984-08-17        0 
 1984-08-18        0 
 1984-08-19        0 
 1984-08-20        0 
 1984-08-21        0 
 1984-08-22        0 
 1984-08-23        0 
 1984-08-24   1.0625 
 1984-08-25    0.375 
 1984-08-26    0.125 
 1984-08-27        0 
 1984-08-28        0 
 1984-08-29        0 
 1984-08-30        0 
 1984-08-31        0 
 1984-09-01  11.6875 
 1984-09-02   3.6875 
 1984-09-03   1.3125 
 1984-09-04   0.3125 
 1984-09-05   0.8125 
 1984-09-06    4.875 
 1984-09-07    0.125 
 1984-09-08    1.125 
 1984-09-09        0 
 1984-09-10   0.3125 
 1984-09-11    3.375 
 1984-09-12   3.0625 
 1984-09-13   3.0625 
 1984-09-14   5.3125 
 1984-09-15   1.3125 
 1984-09-16   1.4375 
 1984-09-17  23.5625 
 1984-09-18   2.6875 
 1984-09-19    0.125 
 1984-09-20        0 
 1984-09-21        0 
 1984-09-22        0 
 1984-09-23        0 
 1984-09-24        0 
 1984-09-25        0 
 1984-09-26   1.9375 
 1984-09-27        0 
 1984-09-28        0 
 1984-09-29        0 
 1984-09-30        0 
 1984-10-01   0.0625 
 1984-10-02   0.0625 
 1984-10-03    0.375 
 1984-10-04        1 
 1984-10-05   0.1875 
 1984-10-06   0.1875 
 1984-10-07   0.3125 
 1984-10-08    0.375 
 1984-10-09        0 
 1984-10-10        0 
 1984-10-11        0 
 1984-10-12   0.0625 
 1984-10-13        0 
 1984-10-14        0 
 1984-10-15   0.5625 
 1984-10-16    2.875 
 1984-10-17    9.125 
 1984-10-18        0 
 1984-10-19        0 
 1984-10-20        0 
 1984-10-21        0 
 1984-10-22        0 
 1984-10-23    0.125 
 1984-10-24        0 
 1984-10-25     0.25 
 1984-10-26     0.25 
 1984-10-27     0.25 
 1984-10-28        0 
 1984-10-29   0.0625 
 1984-10-30   0.4375 
 1984-10-31        0 
 1984-11-01    0.375 
 1984-11-02   0.8125 
 1984-11-03    0.125 
 1984-11-04   0.4375 
 1984-11-05     2.25 
 1984-11-06        7 
 1984-11-07        8 
 1984-11-08   1.6875 
 1984-11-09   4.4375 
 1984-11-10      1.5 
 1984-11-11  12.0625 
 1984-11-12   4.0625 
 1984-11-13   0.0625 
 1984-11-14     3.25 
 1984-11-15    7.125 
 1984-11-16   0.0625 
 1984-11-17    2.625 
 1984-11-18       11 
 1984-11-19   3.6875 
 1984-11-20   0.8125 
 1984-11-21   0.0625 
 1984-11-22   6.3125 
 1984-11-23   3.3125 
 1984-11-24   9.5625 
 1984-11-25   1.6875 
 1984-11-26   0.4375 
 1984-11-27   0.3125 
 1984-11-28   2.0625 
 1984-11-29    1.875 
 1984-11-30   2.5625 
 1984-12-01   7.8125 
 1984-12-02   0.1875 
 1984-12-03   1.0625 
 1984-12-04        0 
 1984-12-05       20 
 1984-12-06  23.4375 
 1984-12-07  13.4375 
 1984-12-08  15.8125 
 1984-12-09   2.4375 
 1984-12-10   8.9375 
 1984-12-11  28.0625 
 1984-12-12   45.125 
 1984-12-13    35.25 
 1984-12-14  18.6875 
 1984-12-15  10.4375 
 1984-12-16        5 
 1984-12-17   3.4375 
 1984-12-18  11.1875 
 1984-12-19   3.8125 
 1984-12-20   17.375 
 1984-12-21  10.9375 
 1984-12-22        3 
 1984-12-23   4.0625 
 1984-12-24      6.5 
 1984-12-25    17.25 
 1984-12-26   8.8125 
 1984-12-27   10.125 
 1984-12-28    7.875 
 1984-12-29   1.0625 
 1984-12-30    2.875 
 1984-12-31   24.125 
