#      date    value 
 2012-01-01        0 
 2012-01-02        0 
 2012-01-03   0.0625 
 2012-01-04        0 
 2012-01-05        0 
 2012-01-06        0 
 2012-01-07   0.5625 
 2012-01-08   2.9375 
 2012-01-09   7.4375 
 2012-01-10    24.25 
 2012-01-11        0 
 2012-01-12      0.5 
 2012-01-13        0 
 2012-01-14        0 
 2012-01-15   0.5625 
 2012-01-16        0 
 2012-01-17    0.375 
 2012-01-18        0 
 2012-01-19        0 
 2012-01-20        0 
 2012-01-21        0 
 2012-01-22        0 
 2012-01-23        0 
 2012-01-24        0 
 2012-01-25        0 
 2012-01-26        0 
 2012-01-27        0 
 2012-01-28        0 
 2012-01-29     0.25 
 2012-01-30    4.875 
 2012-01-31        0 
 2012-02-01        0 
 2012-02-02        0 
 2012-02-03        0 
 2012-02-04        0 
 2012-02-05    5.875 
 2012-02-06   0.8125 
 2012-02-07        0 
 2012-02-08        0 
 2012-02-09    0.875 
 2012-02-10    1.125 
 2012-02-11    0.875 
 2012-02-12        0 
 2012-02-13        0 
 2012-02-14        0 
 2012-02-15        0 
 2012-02-16        0 
 2012-02-17        0 
 2012-02-18      0.5 
 2012-02-19        0 
 2012-02-20        0 
 2012-02-21        0 
 2012-02-22        0 
 2012-02-23        0 
 2012-02-24        0 
 2012-02-25        0 
 2012-02-26      3.5 
 2012-02-27        0 
 2012-02-28        0 
 2012-02-29   0.3125 
 2012-03-01   0.0625 
 2012-03-02  16.9375 
 2012-03-03   6.3125 
 2012-03-04   1.3125 
 2012-03-05   1.0625 
 2012-03-06        0 
 2012-03-07        0 
 2012-03-08        0 
 2012-03-09     0.25 
 2012-03-10        0 
 2012-03-11        0 
 2012-03-12        0 
 2012-03-13        0 
 2012-03-14     1.75 
 2012-03-15        0 
 2012-03-16    2.125 
 2012-03-17        0 
 2012-03-18        0 
 2012-03-19        0 
 2012-03-20  18.8125 
 2012-03-21   0.8125 
 2012-03-22  10.5625 
 2012-03-23    6.625 
 2012-03-24    0.375 
 2012-03-25      0.5 
 2012-03-26        0 
 2012-03-27        0 
 2012-03-28        0 
 2012-03-29        0 
 2012-03-30        0 
 2012-03-31   0.3125 
 2012-04-01        0 
 2012-04-02   0.8125 
 2012-04-03     0.25 
 2012-04-04        0 
 2012-04-05        0 
 2012-04-06        5 
 2012-04-07    0.125 
 2012-04-08   4.5625 
 2012-04-09   3.4375 
 2012-04-10        0 
 2012-04-11        0 
 2012-04-12        0 
 2012-04-13        0 
 2012-04-14        0 
 2012-04-15        0 
 2012-04-16        0 
 2012-04-17        0 
 2012-04-18        0 
 2012-04-19        0 
 2012-04-20        0 
 2012-04-21    0.375 
 2012-04-22   0.6875 
 2012-04-23  19.8125 
 2012-04-24   1.9375 
 2012-04-25    1.125 
 2012-04-26    0.125 
 2012-04-27        0 
 2012-04-28   2.1875 
 2012-04-29        0 
 2012-04-30        0 
 2012-05-01  11.0625 
 2012-05-02   7.0625 
 2012-05-03   5.3125 
 2012-05-04     0.75 
 2012-05-05    1.375 
 2012-05-06     0.25 
 2012-05-07   0.0625 
 2012-05-08     0.25 
 2012-05-09   0.8125 
 2012-05-10     3.75 
 2012-05-11   3.5625 
 2012-05-12   7.3125 
 2012-05-13      1.5 
 2012-05-14   1.5625 
