#      date    value 
 2009-01-01     0.25 
 2009-01-02   2.4375 
 2009-01-03      5.5 
 2009-01-04    1.625 
 2009-01-05    0.125 
 2009-01-06   0.0625 
 2009-01-07   0.0625 
 2009-01-08   1.6875 
 2009-01-09    0.375 
 2009-01-10        0 
 2009-01-11        0 
 2009-01-12        0 
 2009-01-13        0 
 2009-01-14        0 
 2009-01-15        0 
 2009-01-16        0 
 2009-01-17   0.0625 
 2009-01-18        0 
 2009-01-19   0.8125 
 2009-01-20        0 
 2009-01-21     0.25 
 2009-01-22    34.25 
 2009-01-23   6.6875 
 2009-01-24    0.625 
 2009-01-25  13.0625 
 2009-01-26    8.625 
 2009-01-27  20.0625 
 2009-01-28   0.4375 
 2009-01-29   2.9375 
 2009-01-30     1.25 
 2009-01-31   0.8125 
 2009-02-01   2.9375 
 2009-02-02    6.875 
 2009-02-03   3.5625 
 2009-02-04   0.3125 
 2009-02-05        0 
 2009-02-06        0 
 2009-02-07        0 
 2009-02-08        0 
 2009-02-09        0 
 2009-02-10   2.3125 
 2009-02-11        0 
 2009-02-12  33.5625 
 2009-02-13   59.625 
 2009-02-14   6.3125 
 2009-02-15      1.5 
 2009-02-16   0.4375 
 2009-02-17     27.5 
 2009-02-18      7.5 
 2009-02-19       13 
 2009-02-20  23.5625 
 2009-02-21     2.75 
 2009-02-22    0.875 
 2009-02-23   0.3125 
 2009-02-24   0.1875 
 2009-02-25   0.1875 
 2009-02-26   0.9375 
 2009-02-27   0.0625 
 2009-02-28     0.75 
 2009-03-01   0.0625 
 2009-03-02    0.125 
 2009-03-03    0.125 
 2009-03-04   0.6875 
 2009-03-05        0 
 2009-03-06    0.125 
 2009-03-07   0.0625 
 2009-03-08   0.0625 
 2009-03-09   8.3125 
 2009-03-10      4.5 
 2009-03-11     6.75 
 2009-03-12    4.625 
 2009-03-13     4.25 
 2009-03-14   0.3125 
 2009-03-15        0 
 2009-03-16   16.375 
 2009-03-17    0.375 
 2009-03-18   0.3125 
 2009-03-19        0 
 2009-03-20   2.3125 
 2009-03-21   2.4375 
 2009-03-22   0.4375 
 2009-03-23        0 
 2009-03-24        0 
 2009-03-25        0 
 2009-03-26        0 
 2009-03-27    0.125 
 2009-03-28     2.25 
 2009-03-29     1.75 
 2009-03-30   0.4375 
 2009-03-31        0 
 2009-04-01  21.9375 
 2009-04-02   57.625 
 2009-04-03  67.1875 
 2009-04-04   6.5625 
 2009-04-05    6.125 
 2009-04-06    1.125 
 2009-04-07   0.3125 
 2009-04-08    0.125 
 2009-04-09   5.1875 
 2009-04-10    6.875 
 2009-04-11   11.125 
 2009-04-12     2.75 
 2009-04-13  101.812 
 2009-04-14   0.5625 
 2009-04-15    0.125 
 2009-04-16        0 
 2009-04-17    0.375 
 2009-04-18        0 
 2009-04-19        0 
 2009-04-20        0 
 2009-04-21        0 
 2009-04-22   0.0625 
 2009-04-23        0 
 2009-04-24        0 
 2009-04-25        0 
 2009-04-26        0 
 2009-04-27        0 
 2009-04-28        0 
 2009-04-29        0 
 2009-04-30        0 
 2009-05-01    0.125 
 2009-05-02   0.0625 
 2009-05-03   0.0625 
 2009-05-04   1.0625 
 2009-05-05        0 
 2009-05-06   0.1875 
 2009-05-07        0 
 2009-05-08        0 
 2009-05-09        0 
 2009-05-10        0 
 2009-05-11        0 
 2009-05-12   0.0625 
 2009-05-13        0 
 2009-05-14        0 
 2009-05-15        0 
 2009-05-16        0 
