#      date    value 
 1987-01-01        0 
 1987-01-02     0.25 
 1987-01-03   1.4375 
 1987-01-04      6.5 
 1987-01-05   1.3125 
 1987-01-06  14.1875 
 1987-01-07   7.1875 
 1987-01-08    38.25 
 1987-01-09   16.875 
 1987-01-10        2 
 1987-01-11   2.4375 
 1987-01-12    1.625 
 1987-01-13  11.9375 
 1987-01-14    4.875 
 1987-01-15    2.125 
 1987-01-16      5.5 
 1987-01-17   0.1875 
 1987-01-18   15.125 
 1987-01-19     4.75 
 1987-01-20   4.9375 
 1987-01-21   7.8125 
 1987-01-22        4 
 1987-01-23        0 
 1987-01-24     0.75 
 1987-01-25     0.75 
 1987-01-26    6.875 
 1987-01-27  11.3125 
 1987-01-28   5.5625 
 1987-01-29   8.0625 
 1987-01-30    1.625 
 1987-01-31     0.25 
 1987-02-01        0 
 1987-02-02        9 
 1987-02-03    13.75 
 1987-02-04     0.75 
 1987-02-05        0 
 1987-02-06        0 
 1987-02-07        1 
 1987-02-08        0 
 1987-02-09    0.125 
 1987-02-10   6.3125 
 1987-02-11  12.5625 
 1987-02-12   1.1875 
 1987-02-13        0 
 1987-02-14    1.125 
 1987-02-15        0 
 1987-02-16   0.0625 
 1987-02-17   0.0625 
 1987-02-18        0 
 1987-02-19    11.75 
 1987-02-20     0.25 
 1987-02-21   16.625 
 1987-02-22     1.25 
 1987-02-23     1.25 
 1987-02-24   6.9375 
 1987-02-25   3.6875 
 1987-02-26        0 
 1987-02-27  10.5625 
 1987-02-28   5.1875 
 1987-03-01        0 
 1987-03-02   0.1875 
 1987-03-03        0 
 1987-03-04        0 
 1987-03-05    0.875 
 1987-03-06       25 
 1987-03-07  19.5625 
 1987-03-08    9.125 
 1987-03-09    0.625 
 1987-03-10        0 
 1987-03-11        2 
 1987-03-12   2.3125 
 1987-03-13        0 
 1987-03-14    0.125 
 1987-03-15        2 
 1987-03-16   8.9375 
 1987-03-17   0.0625 
 1987-03-18   1.8125 
 1987-03-19   1.8125 
 1987-03-20    6.625 
 1987-03-21   1.4375 
 1987-03-22    0.125 
 1987-03-23        0 
 1987-03-24        0 
 1987-03-25        0 
 1987-03-26   0.6875 
 1987-03-27        3 
 1987-03-28   7.5625 
 1987-03-29  14.9375 
 1987-03-30   1.4375 
 1987-03-31    0.125 
 1987-04-01    0.125 
 1987-04-02    1.875 
 1987-04-03    0.125 
 1987-04-04        0 
 1987-04-05   0.3125 
 1987-04-06   8.4375 
 1987-04-07   7.9375 
 1987-04-08   1.9375 
 1987-04-09   0.0625 
 1987-04-10    1.625 
 1987-04-11   0.1875 
 1987-04-12   5.5625 
 1987-04-13   4.5625 
 1987-04-14     6.25 
 1987-04-15   0.4375 
 1987-04-16        0 
 1987-04-17        0 
 1987-04-18   0.0625 
 1987-04-19  12.1875 
 1987-04-20     1.25 
 1987-04-21        1 
 1987-04-22   1.1875 
 1987-04-23        0 
 1987-04-24        0 
 1987-04-25   0.1875 
 1987-04-26     0.25 
 1987-04-27   0.5625 
 1987-04-28     0.25 
 1987-04-29     1.75 
 1987-04-30   0.1875 
 1987-05-01        0 
 1987-05-02      6.5 
 1987-05-03    7.625 
 1987-05-04      1.5 
 1987-05-05   0.6875 
 1987-05-06        0 
 1987-05-07        0 
 1987-05-08        0 
 1987-05-09        0 
 1987-05-10        0 
 1987-05-11     0.75 
 1987-05-12   0.5625 
 1987-05-13   14.625 
 1987-05-14    0.625 
 1987-05-15   0.0625 
 1987-05-16      2.5 
 1987-05-17    1.375 
 1987-05-18     0.25 
 1987-05-19   0.0625 
 1987-05-20    0.125 
 1987-05-21        0 
 1987-05-22   2.5625 
 1987-05-23    18.75 
 1987-05-24   26.375 
 1987-05-25  29.5625 
 1987-05-26        7 
 1987-05-27     3.25 
 1987-05-28     1.25 
 1987-05-29  16.8125 
