#      date    value 
 1992-01-01        0 
 1992-01-02        0 
 1992-01-03        0 
 1992-01-04        0 
 1992-01-05        0 
 1992-01-06        0 
 1992-01-07        0 
 1992-01-08        0 
 1992-01-09      7.5 
 1992-01-10    0.125 
 1992-01-11        0 
 1992-01-12        0 
 1992-01-13        0 
 1992-01-14        0 
 1992-01-15        0 
 1992-01-16        0 
 1992-01-17        0 
 1992-01-18        0 
 1992-01-19        0 
 1992-01-20        0 
 1992-01-21        0 
 1992-01-22        0 
 1992-01-23  20.9375 
 1992-01-24   0.0625 
 1992-01-25        0 
 1992-01-26        0 
 1992-01-27        0 
 1992-01-28        0 
 1992-01-29        0 
 1992-01-30        0 
 1992-01-31        0 
 1992-02-01        0 
 1992-02-02   5.0625 
 1992-02-03        8 
 1992-02-04   1.1875 
 1992-02-05    0.125 
 1992-02-06        0 
 1992-02-07        0 
 1992-02-08        0 
 1992-02-09  16.3125 
 1992-02-10   4.0625 
 1992-02-11        0 
 1992-02-12    0.125 
 1992-02-13        0 
 1992-02-14        0 
 1992-02-15        0 
 1992-02-16        0 
 1992-02-17        0 
 1992-02-18        0 
 1992-02-19        0 
 1992-02-20        0 
 1992-02-21        0 
 1992-02-22   1.1875 
 1992-02-23        0 
 1992-02-24        0 
 1992-02-25        0 
 1992-02-26        0 
 1992-02-27        0 
 1992-02-28        0 
 1992-02-29   0.0625 
 1992-03-01   0.6875 
 1992-03-02   0.0625 
 1992-03-03        0 
 1992-03-04        0 
 1992-03-05        0 
 1992-03-06        0 
 1992-03-07        0 
 1992-03-08        0 
 1992-03-09        0 
 1992-03-10        0 
 1992-03-11        0 
 1992-03-12        0 
 1992-03-13        0 
 1992-03-14        0 
 1992-03-15        0 
 1992-03-16        0 
 1992-03-17        0 
 1992-03-18        0 
 1992-03-19        0 
 1992-03-20        0 
 1992-03-21     0.25 
 1992-03-22        0 
 1992-03-23        0 
 1992-03-24        0 
 1992-03-25        0 
 1992-03-26     0.25 
 1992-03-27        0 
 1992-03-28        0 
 1992-03-29        0 
 1992-03-30        0 
 1992-03-31        0 
 1992-04-01        0 
 1992-04-02        0 
 1992-04-03        0 
 1992-04-04        0 
 1992-04-05        0 
 1992-04-06     4.75 
 1992-04-07        0 
 1992-04-08        0 
 1992-04-09        0 
 1992-04-10        0 
 1992-04-11   0.0625 
 1992-04-12    1.375 
 1992-04-13   1.5625 
 1992-04-14    0.875 
 1992-04-15    1.625 
 1992-04-16        0 
 1992-04-17        0 
 1992-04-18        0 
 1992-04-19   2.1875 
 1992-04-20     0.25 
 1992-04-21        0 
 1992-04-22        0 
 1992-04-23        0 
 1992-04-24        0 
 1992-04-25   0.1875 
 1992-04-26   5.9375 
 1992-04-27   3.0625 
 1992-04-28   3.1875 
 1992-04-29        0 
 1992-04-30        0 
 1992-05-01        0 
 1992-05-02    0.125 
 1992-05-03        0 
 1992-05-04        0 
 1992-05-05        0 
 1992-05-06        0 
 1992-05-07        0 
 1992-05-08        0 
 1992-05-09        0 
 1992-05-10   4.5625 
 1992-05-11   8.1875 
 1992-05-12   1.1875 
 1992-05-13        0 
 1992-05-14   2.3125 
 1992-05-15   4.1875 
 1992-05-16   3.0625 
 1992-05-17     1.25 
 1992-05-18        0 
 1992-05-19        0 
 1992-05-20        0 
 1992-05-21        0 
 1992-05-22        0 
 1992-05-23        0 
 1992-05-24   2.3125 
 1992-05-25   4.3125 
 1992-05-26     0.75 
 1992-05-27        0 
 1992-05-28        0 
 1992-05-29        0 
 1992-05-30        0 
 1992-05-31        0 
 1992-06-01   9.3125 
 1992-06-02   1.8125 
 1992-06-03        0 
 1992-06-04        0 
 1992-06-05        0 
 1992-06-06        0 
 1992-06-07    1.125 
 1992-06-08   0.1875 
 1992-06-09   0.5625 
 1992-06-10        0 
 1992-06-11   0.1875 
 1992-06-12        0 
 1992-06-13        0 
 1992-06-14        0 
 1992-06-15   0.1875 
 1992-06-16   0.6875 
 1992-06-17   7.4375 
 1992-06-18   0.1875 
 1992-06-19     1.75 
 1992-06-20        0 
 1992-06-21   2.4375 
 1992-06-22      0.5 
 1992-06-23      1.5 
 1992-06-24        0 
 1992-06-25        0 
 1992-06-26        0 
 1992-06-27        0 
 1992-06-28        0 
 1992-06-29   2.6875 
 1992-06-30        0 
 1992-07-01   1.0625 
 1992-07-02    0.125 
 1992-07-03     0.25 
 1992-07-04        1 
 1992-07-05    0.375 
 1992-07-06   1.9375 
 1992-07-07        0 
 1992-07-08     1.25 
 1992-07-09        0 
 1992-07-10        0 
 1992-07-11        0 
 1992-07-12        0 
 1992-07-13        0 
 1992-07-14        0 
 1992-07-15        0 
 1992-07-16        0 
 1992-07-17   12.875 
 1992-07-18   3.5625 
 1992-07-19   1.9375 
 1992-07-20        0 
 1992-07-21        0 
 1992-07-22        0 
 1992-07-23        0 
 1992-07-24        0 
 1992-07-25        0 
 1992-07-26        0 
 1992-07-27        0 
 1992-07-28        0 
 1992-07-29        0 
 1992-07-30        0 
 1992-07-31        0 
 1992-08-01   0.1875 
 1992-08-02        0 
 1992-08-03        0 
 1992-08-04   2.5625 
 1992-08-05  33.0625 
 1992-08-06        0 
 1992-08-07        0 
 1992-08-08    0.375 
 1992-08-09     3.75 
 1992-08-10     0.25 
 1992-08-11    2.125 
 1992-08-12    2.375 
 1992-08-13        0 
 1992-08-14        0 
 1992-08-15        0 
 1992-08-16        0 
 1992-08-17        1 
 1992-08-18        0 
 1992-08-19     0.75 
 1992-08-20        0 
 1992-08-21   1.4375 
 1992-08-22        0 
 1992-08-23   0.5625 
 1992-08-24        0 
 1992-08-25    0.125 
 1992-08-26      0.5 
 1992-08-27   0.1875 
 1992-08-28   2.3125 
 1992-08-29   17.875 
 1992-08-30  10.3125 
 1992-08-31   3.0625 
 1992-09-01   2.4375 
 1992-09-02    0.375 
 1992-09-03   0.4375 
 1992-09-04      5.5 
 1992-09-05   0.0625 
 1992-09-06        0 
 1992-09-07        0 
 1992-09-08        0 
 1992-09-09        0 
 1992-09-10        0 
 1992-09-11        2 
 1992-09-12   0.6875 
 1992-09-13        0 
 1992-09-14   11.125 
 1992-09-15   0.6875 
 1992-09-16        0 
 1992-09-17    1.625 
 1992-09-18        0 
 1992-09-19        0 
 1992-09-20        0 
 1992-09-21   5.3125 
 1992-09-22        0 
 1992-09-23   10.125 
 1992-09-24  20.3125 
 1992-09-25   7.3125 
 1992-09-26        0 
 1992-09-27        0 
 1992-09-28   9.0625 
 1992-09-29        0 
 1992-09-30        0 
 1992-10-01        0 
 1992-10-02        0 
 1992-10-03  16.9375 
 1992-10-04   3.9375 
 1992-10-05        0 
 1992-10-06        0 
 1992-10-07     3.25 
 1992-10-08   5.0625 
 1992-10-09    6.125 
 1992-10-10    1.375 
 1992-10-11   0.4375 
 1992-10-12        0 
 1992-10-13        0 
 1992-10-14   4.8125 
 1992-10-15   3.1875 
 1992-10-16    6.375 
 1992-10-17        8 
 1992-10-18   0.3125 
 1992-10-19        0 
 1992-10-20        0 
 1992-10-21        0 
 1992-10-22        0 
 1992-10-23        0 
 1992-10-24        0 
