#      date    value 
 1993-01-01        0 
 1993-01-02        0 
 1993-01-03        0 
 1993-01-04        0 
 1993-01-05   3.8125 
 1993-01-06    4.125 
 1993-01-07    5.375 
 1993-01-08    2.375 
 1993-01-09   1.5625 
 1993-01-10    7.125 
 1993-01-11     6.75 
 1993-01-12   6.3125 
 1993-01-13     1.25 
 1993-01-14    0.375 
 1993-01-15   0.4375 
 1993-01-16        0 
 1993-01-17     0.25 
 1993-01-18        0 
 1993-01-19   0.4375 
 1993-01-20    5.375 
 1993-01-21   1.4375 
 1993-01-22   9.9375 
 1993-01-23   0.1875 
 1993-01-24   1.1875 
 1993-01-25   1.1875 
 1993-01-26    4.125 
 1993-01-27   0.3125 
 1993-01-28   1.1875 
 1993-01-29    3.125 
 1993-01-30        0 
 1993-01-31        0 
 1993-02-01        0 
 1993-02-02    0.125 
 1993-02-03   0.1875 
 1993-02-04    0.125 
 1993-02-05    0.375 
 1993-02-06        0 
 1993-02-07   0.5625 
 1993-02-08   0.0625 
 1993-02-09        0 
 1993-02-10        0 
 1993-02-11        0 
 1993-02-12        0 
 1993-02-13        0 
 1993-02-14        0 
 1993-02-15   0.1875 
 1993-02-16      2.5 
 1993-02-17   0.5625 
 1993-02-18    0.125 
 1993-02-19   1.9375 
 1993-02-20        1 
 1993-02-21        6 
 1993-02-22    2.125 
 1993-02-23        0 
 1993-02-24        0 
 1993-02-25   0.8125 
 1993-02-26    8.375 
 1993-02-27   6.1875 
 1993-02-28     1.25 
 1993-03-01        0 
 1993-03-02        0 
 1993-03-03        0 
 1993-03-04        0 
 1993-03-05    1.375 
 1993-03-06     0.25 
 1993-03-07   0.0625 
 1993-03-08        0 
 1993-03-09        0 
 1993-03-10        0 
 1993-03-11        0 
 1993-03-12        0 
 1993-03-13        0 
 1993-03-14        0 
 1993-03-15        0 
 1993-03-16    0.125 
 1993-03-17   0.1875 
 1993-03-18     0.25 
 1993-03-19        0 
 1993-03-20        0 
 1993-03-21        0 
 1993-03-22     0.75 
 1993-03-23   0.0625 
 1993-03-24   0.0625 
 1993-03-25   0.1875 
 1993-03-26        0 
 1993-03-27        0 
 1993-03-28        0 
 1993-03-29        0 
 1993-03-30        0 
 1993-03-31    1.375 
 1993-04-01    5.375 
 1993-04-02   0.1875 
 1993-04-03        0 
 1993-04-04      2.5 
 1993-04-05   5.6875 
 1993-04-06   2.4375 
 1993-04-07   0.1875 
 1993-04-08        0 
 1993-04-09   0.9375 
 1993-04-10        0 
 1993-04-11    3.625 
 1993-04-12    0.375 
 1993-04-13    0.125 
 1993-04-14  14.5625 
 1993-04-15   1.1875 
 1993-04-16        0 
 1993-04-17   2.0625 
 1993-04-18      9.5 
 1993-04-19    0.875 
 1993-04-20    0.125 
 1993-04-21    0.125 
 1993-04-22   3.0625 
 1993-04-23        0 
 1993-04-24   0.0625 
 1993-04-25        0 
 1993-04-26        0 
 1993-04-27        0 
 1993-04-28        0 
 1993-04-29        0 
 1993-04-30        0 
 1993-05-01   0.0625 
 1993-05-02        0 
 1993-05-03        0 
 1993-05-04        0 
 1993-05-05        0 
 1993-05-06        0 
 1993-05-07        0 
 1993-05-08   4.4375 
 1993-05-09      2.5 
 1993-05-10   0.1875 
 1993-05-11   0.0625 
 1993-05-12      2.5 
 1993-05-13   1.8125 
 1993-05-14     0.25 
 1993-05-15    0.625 
 1993-05-16        0 
 1993-05-17        0 
 1993-05-18   2.1875 
 1993-05-19    6.875 
 1993-05-20   5.8125 
 1993-05-21   0.0625 
 1993-05-22        0 
 1993-05-23        0 
 1993-05-24        0 
 1993-05-25        0 
 1993-05-26    2.375 
 1993-05-27  16.0625 
 1993-05-28    2.375 
 1993-05-29    0.125 
 1993-05-30   0.5625 
 1993-05-31   0.0625 
 1993-06-01        0 
 1993-06-02   7.1875 
 1993-06-03   0.1875 
 1993-06-04        0 
 1993-06-05   0.0625 
 1993-06-06        0 
 1993-06-07        0 
 1993-06-08        0 
 1993-06-09        0 
 1993-06-10      3.5 
 1993-06-11   0.0625 
 1993-06-12   1.0625 
 1993-06-13   0.4375 
 1993-06-14     6.25 
 1993-06-15      0.5 
 1993-06-16  20.0625 
 1993-06-17   0.0625 
 1993-06-18    1.875 
 1993-06-19        0 
 1993-06-20        0 
 1993-06-21        0 
 1993-06-22        0 
 1993-06-23   0.0625 
 1993-06-24        0 
 1993-06-25   0.0625 
 1993-06-26    1.375 
 1993-06-27     0.25 
 1993-06-28   0.0625 
 1993-06-29        0 
 1993-06-30        0 
 1993-07-01        0 
 1993-07-02        0 
 1993-07-03        0 
 1993-07-04   0.0625 
 1993-07-05  13.3125 
 1993-07-06   0.0625 
 1993-07-07        0 
 1993-07-08        0 
 1993-07-09   0.0625 
 1993-07-10    0.875 
 1993-07-11    1.375 
 1993-07-12   1.8125 
 1993-07-13   1.1875 
 1993-07-14    9.125 
 1993-07-15  10.1875 
 1993-07-16  10.8125 
 1993-07-17     0.75 
 1993-07-18   1.4375 
 1993-07-19     12.5 
 1993-07-20      3.5 
 1993-07-21   4.4375 
 1993-07-22   0.5625 
 1993-07-23        0 
 1993-07-24     10.5 
 1993-07-25  33.3125 
 1993-07-26    4.625 
 1993-07-27  11.3125 
 1993-07-28   1.0625 
 1993-07-29   0.8125 
 1993-07-30   12.625 
 1993-07-31   1.3125 
 1993-08-01        0 
 1993-08-02        0 
 1993-08-03   0.5625 
 1993-08-04   0.1875 
 1993-08-05   2.5625 
 1993-08-06        0 
 1993-08-07        0 
 1993-08-08   0.0625 
 1993-08-09   3.6875 
 1993-08-10     4.75 
 1993-08-11        0 
 1993-08-12   4.0625 
 1993-08-13        0 
 1993-08-14    0.375 
 1993-08-15   2.0625 
 1993-08-16    0.125 
 1993-08-17        0 
 1993-08-18        0 
 1993-08-19        0 
 1993-08-20        0 
 1993-08-21     0.25 
 1993-08-22  11.0625 
 1993-08-23     0.25 
 1993-08-24   0.4375 
 1993-08-25   0.6875 
 1993-08-26    3.625 
 1993-08-27   0.4375 
 1993-08-28        0 
 1993-08-29        0 
 1993-08-30   0.6875 
 1993-08-31      1.5 
 1993-09-01    0.375 
 1993-09-02    0.875 
 1993-09-03   3.1875 
 1993-09-04    0.625 
 1993-09-05        0 
