#      date    value 
 1992-01-01    0.125 
 1992-01-02    0.125 
 1992-01-03        0 
 1992-01-04     8.75 
 1992-01-05     1.75 
 1992-01-06    0.125 
 1992-01-07        0 
 1992-01-08   1.8125 
 1992-01-09   3.0625 
 1992-01-10   0.6875 
 1992-01-11        0 
 1992-01-12        0 
 1992-01-13    0.125 
 1992-01-14    0.125 
 1992-01-15    0.875 
 1992-01-16   0.3125 
 1992-01-17   0.1875 
 1992-01-18        0 
 1992-01-19     3.75 
 1992-01-20    1.125 
 1992-01-21        0 
 1992-01-22        0 
 1992-01-23        0 
 1992-01-24        0 
 1992-01-25        0 
 1992-01-26        0 
 1992-01-27    0.125 
 1992-01-28        0 
 1992-01-29        0 
 1992-01-30        0 
 1992-01-31        0 
 1992-02-01        0 
 1992-02-02   0.0625 
 1992-02-03   0.5625 
 1992-02-04    6.625 
 1992-02-05   1.1875 
 1992-02-06     0.25 
 1992-02-07        0 
 1992-02-08        0 
 1992-02-09        3 
 1992-02-10     1.75 
 1992-02-11  12.8125 
 1992-02-12    1.375 
 1992-02-13   2.5625 
 1992-02-14    0.625 
 1992-02-15   4.6875 
 1992-02-16        3 
 1992-02-17   0.4375 
 1992-02-18        0 
 1992-02-19        0 
 1992-02-20   0.3125 
 1992-02-21        0 
 1992-02-22        0 
 1992-02-23   0.0625 
 1992-02-24   0.1875 
 1992-02-25        0 
 1992-02-26        0 
 1992-02-27        0 
 1992-02-28        0 
 1992-02-29        0 
 1992-03-01        0 
 1992-03-02   3.3125 
 1992-03-03        0 
 1992-03-04   0.0625 
 1992-03-05   4.6875 
 1992-03-06     0.75 
 1992-03-07        0 
 1992-03-08      0.5 
 1992-03-09   0.1875 
 1992-03-10   3.1875 
 1992-03-11   2.1875 
 1992-03-12   10.625 
 1992-03-13   11.625 
 1992-03-14   1.3125 
 1992-03-15    5.875 
 1992-03-16        0 
 1992-03-17   0.0625 
 1992-03-18        0 
 1992-03-19   0.3125 
 1992-03-20   0.3125 
 1992-03-21      2.5 
 1992-03-22  17.1875 
 1992-03-23   7.8125 
 1992-03-24    1.625 
 1992-03-25    1.875 
 1992-03-26   8.9375 
 1992-03-27   2.5625 
 1992-03-28    2.375 
 1992-03-29   2.5625 
 1992-03-30        1 
 1992-03-31    4.375 
 1992-04-01   0.5625 
 1992-04-02    3.625 
 1992-04-03   1.0625 
 1992-04-04     0.25 
 1992-04-05        0 
 1992-04-06    0.125 
 1992-04-07   0.1875 
 1992-04-08        0 
 1992-04-09        0 
 1992-04-10        0 
 1992-04-11        0 
 1992-04-12    1.625 
 1992-04-13   5.6875 
 1992-04-14   1.5625 
 1992-04-15   4.8125 
 1992-04-16    3.125 
 1992-04-17   4.0625 
 1992-04-18        1 
 1992-04-19   0.8125 
 1992-04-20        0 
 1992-04-21        0 
 1992-04-22    0.875 
 1992-04-23    1.625 
 1992-04-24   0.4375 
 1992-04-25   1.1875 
 1992-04-26    4.875 
 1992-04-27    2.125 
 1992-04-28    7.625 
 1992-04-29   2.3125 
 1992-04-30   0.0625 
 1992-05-01     7.25 
 1992-05-02   1.4375 
 1992-05-03   0.3125 
 1992-05-04        0 
 1992-05-05        0 
 1992-05-06        0 
 1992-05-07        0 
 1992-05-08        1 
 1992-05-09   7.5625 
 1992-05-10    5.625 
 1992-05-11     6.75 
 1992-05-12   0.0625 
 1992-05-13        0 
 1992-05-14        0 
