#      date    value 
 2007-01-01   12.125 
 2007-01-02  10.5625 
 2007-01-03   0.8125 
 2007-01-04     9.25 
 2007-01-05      3.5 
 2007-01-06  12.0625 
 2007-01-07   1.9375 
 2007-01-08   5.5625 
 2007-01-09   2.4375 
 2007-01-10     7.25 
 2007-01-11  15.5625 
 2007-01-12   0.8125 
 2007-01-13   0.6875 
 2007-01-14   3.0625 
 2007-01-15   0.1875 
 2007-01-16        0 
 2007-01-17  11.4375 
 2007-01-18  51.3125 
 2007-01-19  10.4375 
 2007-01-20   5.4375 
 2007-01-21      2.5 
 2007-01-22   0.5625 
 2007-01-23        0 
 2007-01-24        0 
 2007-01-25        0 
 2007-01-26        0 
 2007-01-27   3.8125 
 2007-01-28     4.25 
 2007-01-29      2.5 
 2007-01-30   0.8125 
 2007-01-31        0 
 2007-02-01   2.8125 
 2007-02-02   0.3125 
 2007-02-03        0 
 2007-02-04   0.0625 
 2007-02-05      0.5 
 2007-02-06   1.1875 
 2007-02-07    2.625 
 2007-02-08   6.8125 
 2007-02-09   0.6875 
 2007-02-10        2 
 2007-02-11       16 
 2007-02-12   15.375 
 2007-02-13    9.875 
 2007-02-14  12.3125 
 2007-02-15   0.0625 
 2007-02-16        0 
 2007-02-17        0 
 2007-02-18   0.0625 
 2007-02-19        0 
 2007-02-20        0 
 2007-02-21   1.8125 
 2007-02-22    0.125 
 2007-02-23   1.9375 
 2007-02-24    6.125 
 2007-02-25  13.4375 
 2007-02-26   16.875 
 2007-02-27     6.25 
 2007-02-28  10.4375 
 2007-03-01   18.125 
 2007-03-02    0.375 
 2007-03-03  10.1875 
 2007-03-04   0.1875 
 2007-03-05    4.625 
 2007-03-06     2.75 
 2007-03-07   4.3125 
 2007-03-08        0 
 2007-03-09  10.1875 
 2007-03-10   0.0625 
 2007-03-11        0 
 2007-03-12        0 
 2007-03-13   0.0625 
 2007-03-14        0 
 2007-03-15        0 
 2007-03-16   0.0625 
 2007-03-17     2.75 
 2007-03-18  10.4375 
 2007-03-19   2.8125 
 2007-03-20   3.1875 
 2007-03-21   3.3125 
 2007-03-22  11.0625 
 2007-03-23    4.375 
 2007-03-24    2.125 
 2007-03-25     0.25 
 2007-03-26        0 
 2007-03-27        0 
 2007-03-28   0.0625 
 2007-03-29   5.1875 
 2007-03-30      0.5 
 2007-03-31   1.1875 
 2007-04-01        0 
 2007-04-02        0 
 2007-04-03   0.5625 
 2007-04-04        0 
 2007-04-05        0 
 2007-04-06        0 
 2007-04-07        0 
 2007-04-08        0 
 2007-04-09        0 
 2007-04-10        0 
 2007-04-11        0 
 2007-04-12        0 
 2007-04-13        0 
 2007-04-14        0 
 2007-04-15        0 
 2007-04-16        0 
 2007-04-17        0 
 2007-04-18        0 
 2007-04-19        0 
 2007-04-20        0 
 2007-04-21        0 
 2007-04-22        0 
 2007-04-23        0 
 2007-04-24        0 
 2007-04-25        0 
 2007-04-26        0 
 2007-04-27        0 
 2007-04-28        0 
 2007-04-29   0.4375 
 2007-04-30        0 
 2007-05-01        0 
 2007-05-02        0 
 2007-05-03        0 
 2007-05-04        0 
 2007-05-05        0 
 2007-05-06        0 
 2007-05-07       15 
 2007-05-08   9.0625 
 2007-05-09       21 
 2007-05-10        0 
 2007-05-11    1.375 
 2007-05-12   8.8125 
 2007-05-13  11.5625 
 2007-05-14    2.125 
 2007-05-15     5.75 
 2007-05-16   9.9375 
 2007-05-17    7.875 
 2007-05-18    0.125 
 2007-05-19   2.4375 
 2007-05-20   0.9375 
 2007-05-21        0 
 2007-05-22   0.4375 
 2007-05-23    0.125 
 2007-05-24     0.25 
 2007-05-25    5.625 
 2007-05-26   9.4375 
 2007-05-27        2 
 2007-05-28    4.625 
 2007-05-29      2.5 
 2007-05-30     0.25 
 2007-05-31  11.0625 
 2007-06-01    3.375 
 2007-06-02    0.125 
 2007-06-03   0.0625 
 2007-06-04   0.0625 
 2007-06-05        0 
 2007-06-06        0 
 2007-06-07     0.25 
 2007-06-08  18.9375 
 2007-06-09    15.25 
 2007-06-10    10.75 
 2007-06-11   0.8125 
 2007-06-12   0.0625 
 2007-06-13        0 
 2007-06-14   4.4375 
 2007-06-15    2.125 
 2007-06-16   6.0625 
 2007-06-17      5.5 
 2007-06-18   3.8125 
 2007-06-19    0.125 
 2007-06-20   8.4375 
 2007-06-21   5.9375 
 2007-06-22   3.3125 
 2007-06-23    4.375 
 2007-06-24     5.75 
 2007-06-25    18.75 
 2007-06-26  18.4375 
 2007-06-27   1.8125 
 2007-06-28    3.875 
 2007-06-29   5.0625 
 2007-06-30     1.75 
 2007-07-01   0.1875 
 2007-07-02    6.625 
 2007-07-03    11.75 
 2007-07-04    8.125 
 2007-07-05  10.9375 
 2007-07-06      2.5 
 2007-07-07        0 
 2007-07-08    4.875 
 2007-07-09   1.6875 
 2007-07-10     1.25 
 2007-07-11   3.8125 
 2007-07-12   1.8125 
 2007-07-13   3.4375 
 2007-07-14        0 
 2007-07-15        0 
 2007-07-16    0.125 
 2007-07-17   2.5625 
 2007-07-18        0 
 2007-07-19     1.25 
 2007-07-20    8.875 
 2007-07-21   1.8125 
 2007-07-22   0.1875 
 2007-07-23   1.9375 
 2007-07-24    6.125 
 2007-07-25        0 
 2007-07-26        0 
 2007-07-27     0.75 
 2007-07-28   8.6875 
 2007-07-29     7.75 
 2007-07-30   0.5625 
 2007-07-31        0 
 2007-08-01        0 
 2007-08-02   13.625 
 2007-08-03        0 
 2007-08-04        0 
 2007-08-05        0 
 2007-08-06     5.25 
 2007-08-07        1 
 2007-08-08   3.3125 
 2007-08-09  19.0625 
 2007-08-10    2.125 
 2007-08-11     0.25 
 2007-08-12   0.1875 
 2007-08-13        0 
 2007-08-14     2.25 
 2007-08-15  26.4375 
 2007-08-16     2.25 
 2007-08-17   0.4375 
 2007-08-18   0.0625 
 2007-08-19   0.9375 
 2007-08-20    9.125 
 2007-08-21  10.6875 
 2007-08-22   40.875 
 2007-08-23   0.4375 
 2007-08-24   0.3125 
 2007-08-25    0.125 
 2007-08-26   0.1875 
 2007-08-27        0 
 2007-08-28        0 
 2007-08-29        0 
 2007-08-30     0.25 
 2007-08-31   2.0625 
 2007-09-01   0.3125 
 2007-09-02        0 
 2007-09-03   15.375 
 2007-09-04   3.0625 
 2007-09-05    2.125 
 2007-09-06    1.125 
 2007-09-07   0.5625 
 2007-09-08        0 
 2007-09-09   0.3125 
 2007-09-10     5.25 
 2007-09-11   2.9375 
 2007-09-12   0.0625 
 2007-09-13        0 
 2007-09-14    0.125 
 2007-09-15        0 
 2007-09-16        0 
 2007-09-17   4.0625 
 2007-09-18   8.6875 
 2007-09-19    0.125 
 2007-09-20        0 
 2007-09-21        0 
 2007-09-22        0 
 2007-09-23        0 
 2007-09-24      3.5 
 2007-09-25     0.25 
 2007-09-26    4.375 
 2007-09-27    16.75 
 2007-09-28    8.875 
 2007-09-29   3.8125 
 2007-09-30    0.625 
 2007-10-01   1.1875 
 2007-10-02   2.1875 
 2007-10-03   0.0625 
 2007-10-04        0 
 2007-10-05   0.0625 
 2007-10-06    0.125 
 2007-10-07        0 
 2007-10-08    0.125 
 2007-10-09   0.1875 
 2007-10-10        4 
 2007-10-11   0.0625 
 2007-10-12        0 
 2007-10-13        0 
 2007-10-14        0 
 2007-10-15        0 
 2007-10-16        0 
 2007-10-17        3 
 2007-10-18      1.5 
 2007-10-19        0 
 2007-10-20    0.125 
 2007-10-21    1.875 
 2007-10-22    0.125 
 2007-10-23        0 
 2007-10-24   0.0625 
 2007-10-25        0 
 2007-10-26        0 
 2007-10-27        0 
 2007-10-28        0 
 2007-10-29   21.625 
 2007-10-30    7.125 
 2007-10-31    0.125 
 2007-11-01    0.125 
 2007-11-02    0.375 
 2007-11-03     1.75 
 2007-11-04        0 
 2007-11-05   0.3125 
 2007-11-06   6.1875 
 2007-11-07   2.6875 
 2007-11-08    10.25 
 2007-11-09  19.9375 
 2007-11-10  23.6875 
 2007-11-11       17 
 2007-11-12    1.875 
 2007-11-13   12.125 
 2007-11-14   3.6875 
 2007-11-15   0.3125 
 2007-11-16        0 
 2007-11-17        0 
 2007-11-18    0.125 
 2007-11-19   1.0625 
 2007-11-20   2.5625 
 2007-11-21    2.375 
 2007-11-22   0.0625 
 2007-11-23   1.5625 
 2007-11-24    0.125 
 2007-11-25      5.5 
 2007-11-26   2.0625 
 2007-11-27   1.6875 
 2007-11-28        0 
 2007-11-29     3.75 
 2007-11-30   0.3125 
 2007-12-01    9.125 
 2007-12-02  26.1875 
 2007-12-03   18.625 
 2007-12-04    6.375 
 2007-12-05   3.4375 
 2007-12-06  14.0625 
 2007-12-07    13.75 
 2007-12-08   3.3125 
 2007-12-09        8 
 2007-12-10    17.75 
 2007-12-11        6 
 2007-12-12        0 
 2007-12-13        0 
 2007-12-14        0 
 2007-12-15        0 
 2007-12-16        0 
 2007-12-17        0 
 2007-12-18        0 
 2007-12-19        0 
 2007-12-20        0 
 2007-12-21        0 
 2007-12-22        0 
 2007-12-23        0 
 2007-12-24   0.0625 
 2007-12-25        0 
 2007-12-26   1.0625 
 2007-12-27        0 
 2007-12-28        0 
 2007-12-29   3.4375 
 2007-12-30   6.3125 
 2007-12-31      3.5 
