#      date    value 
 1990-01-01   0.9375 
 1990-01-02   0.6875 
 1990-01-03   9.0625 
 1990-01-04      8.5 
 1990-01-05   10.375 
 1990-01-06     2.25 
 1990-01-07    0.625 
 1990-01-08   0.4375 
 1990-01-09   0.4375 
 1990-01-10   1.3125 
 1990-01-11    2.875 
 1990-01-12    0.125 
 1990-01-13   0.9375 
 1990-01-14      0.5 
 1990-01-15   0.8125 
 1990-01-16   1.3125 
 1990-01-17    1.125 
 1990-01-18     0.75 
 1990-01-19    0.875 
 1990-01-20   0.4375 
 1990-01-21    0.625 
 1990-01-22     0.75 
 1990-01-23      0.5 
 1990-01-24    0.125 
 1990-01-25    0.875 
 1990-01-26   1.6875 
 1990-01-27   0.3125 
 1990-01-28      1.5 
 1990-01-29   4.3125 
 1990-01-30        1 
 1990-01-31     4.75 
 1990-02-01   6.4375 
 1990-02-02   3.9375 
 1990-02-03  23.6875 
 1990-02-04   2.5625 
 1990-02-05       10 
 1990-02-06   1.8125 
 1990-02-07  28.6875 
 1990-02-08  10.1875 
 1990-02-09   6.0625 
 1990-02-10   3.3125 
 1990-02-11    10.25 
 1990-02-12     0.75 
 1990-02-13    52.25 
 1990-02-14     57.5 
 1990-02-15   2.1875 
 1990-02-16      8.5 
 1990-02-17      0.5 
 1990-02-18        0 
 1990-02-19    1.125 
 1990-02-20   15.375 
 1990-02-21   16.875 
 1990-02-22   16.875 
 1990-02-23   60.875 
 1990-02-24  12.6875 
 1990-02-25  43.1875 
 1990-02-26    28.75 
 1990-02-27  81.8125 
 1990-02-28  12.4375 
 1990-03-01     0.75 
 1990-03-02    6.125 
 1990-03-03     8.75 
 1990-03-04   5.9375 
 1990-03-05  31.0625 
 1990-03-06  17.0625 
 1990-03-07   2.5625 
 1990-03-08   0.8125 
 1990-03-09   0.0625 
 1990-03-10    0.625 
 1990-03-11   0.4375 
 1990-03-12   0.9375 
 1990-03-13   1.8125 
 1990-03-14   3.5625 
 1990-03-15   16.625 
 1990-03-16   4.3125 
 1990-03-17   3.6875 
 1990-03-18    2.125 
 1990-03-19      1.5 
 1990-03-20    7.875 
 1990-03-21   5.0625 
 1990-03-22  24.8125 
 1990-03-23   7.4375 
 1990-03-24       20 
 1990-03-25    14.25 
 1990-03-26  32.9375 
 1990-03-27    4.875 
 1990-03-28    14.25 
 1990-03-29    1.125 
 1990-03-30   3.5625 
 1990-03-31   1.1875 
 1990-04-01   2.1875 
 1990-04-02   4.9375 
 1990-04-03    10.75 
 1990-04-04     3.75 
 1990-04-05   1.6875 
 1990-04-06   7.4375 
 1990-04-07        8 
 1990-04-08   7.1875 
 1990-04-09   6.6875 
 1990-04-10    2.875 
 1990-04-11     1.25 
 1990-04-12    0.375 
 1990-04-13   1.0625 
 1990-04-14    6.125 
 1990-04-15  13.8125 
 1990-04-16   14.375 
 1990-04-17      1.5 
 1990-04-18    0.125 
 1990-04-19   3.9375 
 1990-04-20   12.875 
 1990-04-21        6 
 1990-04-22   11.375 
 1990-04-23  11.4375 
 1990-04-24  24.0625 
 1990-04-25  20.8125 
 1990-04-26  21.9375 
 1990-04-27        3 
 1990-04-28     22.5 
 1990-04-29  13.5625 
 1990-04-30    7.625 
 1990-05-01      5.5 
 1990-05-02  21.3125 
 1990-05-03       14 
 1990-05-04   29.875 
 1990-05-05    3.875 
 1990-05-06   17.375 
 1990-05-07     0.75 
 1990-05-08   9.3125 
 1990-05-09     2.25 
 1990-05-10      2.5 
 1990-05-11   1.5625 
 1990-05-12    1.375 
 1990-05-13   0.1875 
 1990-05-14     2.75 
 1990-05-15   9.9375 
 1990-05-16  14.8125 
 1990-05-17   1.4375 
 1990-05-18   0.5625 
 1990-05-19   5.4375 
 1990-05-20  22.3125 
 1990-05-21    2.375 
 1990-05-22     10.5 
 1990-05-23    20.75 
 1990-05-24   2.3125 
 1990-05-25   4.1875 
 1990-05-26   0.9375 
 1990-05-27   8.0625 
 1990-05-28  13.5625 
 1990-05-29    3.375 
 1990-05-30        3 
 1990-05-31   5.0625 
 1990-06-01   1.3125 
 1990-06-02   0.4375 
 1990-06-03   3.1875 
 1990-06-04        1 
 1990-06-05   1.3125 
 1990-06-06   4.6875 
 1990-06-07        4 
 1990-06-08  24.5625 
 1990-06-09   5.4375 
 1990-06-10   2.1875 
 1990-06-11   2.0625 
 1990-06-12    3.375 
 1990-06-13   2.3125 
 1990-06-14    1.125 
 1990-06-15   6.0625 
 1990-06-16     14.5 
 1990-06-17   1.6875 
 1990-06-18    1.125 
 1990-06-19   0.3125 
 1990-06-20      1.5 
 1990-06-21      1.5 
 1990-06-22   0.6875 
 1990-06-23   0.1875 
 1990-06-24   2.6875 
 1990-06-25     7.25 
 1990-06-26   6.8125 
 1990-06-27   6.3125 
 1990-06-28        0 
 1990-06-29     0.75 
 1990-06-30  24.1875 
 1990-07-01   64.125 
 1990-07-02   5.6875 
 1990-07-03   2.1875 
 1990-07-04    1.125 
 1990-07-05   1.0625 
 1990-07-06   0.4375 
 1990-07-07   0.1875 
 1990-07-08   2.6875 
 1990-07-09    1.375 
 1990-07-10      0.5 
 1990-07-11   0.0625 
 1990-07-12     4.75 
 1990-07-13   1.6875 
 1990-07-14     0.75 
 1990-07-15        0 
 1990-07-16   0.0625 
 1990-07-17   1.8125 
 1990-07-18    0.375 
 1990-07-19        2 
 1990-07-20      0.5 
 1990-07-21   0.4375 
 1990-07-22      8.5 
 1990-07-23     31.5 
 1990-07-24   4.6875 
 1990-07-25   6.1875 
 1990-07-26   0.8125 
 1990-07-27     1.75 
 1990-07-28    1.125 
 1990-07-29        0 
 1990-07-30   6.9375 
 1990-07-31    4.625 
 1990-08-01      1.5 
 1990-08-02     1.25 
 1990-08-03   1.8125 
 1990-08-04   1.6875 
 1990-08-05  11.0625 
 1990-08-06      0.5 
 1990-08-07    0.125 
 1990-08-08        0 
 1990-08-09        0 
 1990-08-10   9.5625 
 1990-08-11   0.3125 
 1990-08-12   7.9375 
 1990-08-13    2.125 
 1990-08-14   0.1875 
 1990-08-15   1.5625 
 1990-08-16    3.625 
 1990-08-17        0 
 1990-08-18        0 
 1990-08-19        0 
 1990-08-20        0 
 1990-08-21        0 
 1990-08-22        0 
 1990-08-23   1.8125 
 1990-08-24     5.25 
 1990-08-25    0.875 
 1990-08-26   0.6875 
 1990-08-27        0 
 1990-08-28        0 
 1990-08-29        0 
 1990-08-30        0 
 1990-08-31   7.9375 
 1990-09-01    9.375 
 1990-09-02   3.8125 
 1990-09-03   1.3125 
 1990-09-04        0 
 1990-09-05   0.1875 
 1990-09-06     0.75 
 1990-09-07      0.5 
 1990-09-08        0 
 1990-09-09        0 
 1990-09-10        0 
 1990-09-11        0 
 1990-09-12        0 
 1990-09-13    0.125 
 1990-09-14      1.5 
 1990-09-15   10.125 
 1990-09-16      5.5 
 1990-09-17   3.3125 
 1990-09-18   4.6875 
 1990-09-19   0.0625 
 1990-09-20   0.0625 
 1990-09-21   0.0625 
 1990-09-22        0 
 1990-09-23        0 
 1990-09-24    0.625 
 1990-09-25      6.5 
 1990-09-26   4.3125 
 1990-09-27   6.3125 
 1990-09-28   0.6875 
 1990-09-29   0.4375 
 1990-09-30   0.0625 
 1990-10-01        0 
 1990-10-02        0 
 1990-10-03      0.5 
 1990-10-04        0 
 1990-10-05        0 
 1990-10-06        0 
 1990-10-07        0 
 1990-10-08        0 
 1990-10-09   0.0625 
 1990-10-10        0 
 1990-10-11        0 
 1990-10-12        0 
 1990-10-13        0 
 1990-10-14        0 
 1990-10-15      0.5 
 1990-10-16   0.0625 
 1990-10-17   0.1875 
 1990-10-18        0 
 1990-10-19        0 
 1990-10-20   0.4375 
 1990-10-21        0 
 1990-10-22        0 
 1990-10-23   0.8125 
 1990-10-24   0.1875 
 1990-10-25        0 
 1990-10-26        0 
 1990-10-27     1.25 
 1990-10-28    2.875 
 1990-10-29   0.0625 
 1990-10-30        0 
 1990-10-31   0.1875 
 1990-11-01   0.1875 
 1990-11-02     0.25 
 1990-11-03        0 
 1990-11-04        0 
 1990-11-05        0 
 1990-11-06   0.0625 
 1990-11-07   0.8125 
 1990-11-08   1.8125 
 1990-11-09        0 
 1990-11-10   0.0625 
 1990-11-11    0.125 
 1990-11-12        0 
 1990-11-13   0.0625 
 1990-11-14   0.1875 
 1990-11-15        0 
 1990-11-16   0.3125 
 1990-11-17   0.8125 
 1990-11-18        0 
 1990-11-19        0 
 1990-11-20    0.875 
 1990-11-21     5.75 
 1990-11-22   1.5625 
 1990-11-23   0.5625 
 1990-11-24        0 
 1990-11-25      0.5 
 1990-11-26   1.9375 
 1990-11-27   6.3125 
 1990-11-28   0.5625 
 1990-11-29   1.1875 
 1990-11-30   4.1875 
 1990-12-01    2.875 
 1990-12-02   3.1875 
 1990-12-03   1.9375 
 1990-12-04        0 
 1990-12-05   0.0625 
 1990-12-06     0.75 
 1990-12-07    4.125 
 1990-12-08    15.25 
 1990-12-09        2 
 1990-12-10        2 
 1990-12-11  26.6875 
 1990-12-12        0 
 1990-12-13        0 
 1990-12-14        0 
 1990-12-15   0.4375 
 1990-12-16     0.25 
 1990-12-17    0.375 
 1990-12-18   1.8125 
 1990-12-19   2.8125 
 1990-12-20   0.6875 
 1990-12-21   0.3125 
 1990-12-22        1 
 1990-12-23   4.4375 
 1990-12-24   6.0625 
 1990-12-25   0.9375 
 1990-12-26     1.25 
 1990-12-27  55.3125 
 1990-12-28   8.9375 
 1990-12-29   2.0625 
 1990-12-30   2.1875 
 1990-12-31   2.1875 
