#      date    value 
 2017-01-01   9.3125 
 2017-01-02   7.5625 
 2017-01-03   6.0625 
 2017-01-04      6.5 
 2017-01-05   9.1875 
 2017-01-06      1.5 
 2017-01-07        2 
 2017-01-08    5.125 
 2017-01-09  21.5625 
 2017-01-10  28.9375 
 2017-01-11        9 
 2017-01-12    4.125 
 2017-01-13   9.6875 
 2017-01-14   2.9375 
 2017-01-15   4.5625 
 2017-01-16   10.875 
 2017-01-17   1.5625 
 2017-01-18   0.1875 
 2017-01-19        0 
 2017-01-20   0.0625 
 2017-01-21   7.1875 
 2017-01-22   1.1875 
 2017-01-23    5.375 
 2017-01-24   4.4375 
 2017-01-25   0.5625 
 2017-01-26    7.625 
 2017-01-27  12.1875 
 2017-01-28  15.1875 
 2017-01-29   10.625 
 2017-01-30   2.3125 
 2017-01-31  20.0625 
 2017-02-01        2 
 2017-02-02       10 
 2017-02-03    4.625 
 2017-02-04       10 
 2017-02-05   14.125 
 2017-02-06   27.875 
 2017-02-07      9.5 
 2017-02-08   3.9375 
 2017-02-09        0 
 2017-02-10   0.3125 
 2017-02-11   0.3125 
 2017-02-12     1.25 
 2017-02-13   3.9375 
 2017-02-14   7.9375 
 2017-02-15   2.4375 
 2017-02-16   0.8125 
 2017-02-17  21.1875 
 2017-02-18   20.375 
 2017-02-19   4.1875 
 2017-02-20        1 
 2017-02-21   8.1875 
 2017-02-22    6.125 
 2017-02-23   5.6875 
 2017-02-24     6.25 
 2017-02-25   7.6875 
 2017-02-26  15.6875 
 2017-02-27   9.8125 
 2017-02-28        1 
 2017-03-01   0.5625 
 2017-03-02   1.3125 
 2017-03-03      2.5 
 2017-03-04    1.875 
 2017-03-05      8.5 
 2017-03-06   13.375 
 2017-03-07    2.375 
 2017-03-08   6.8125 
 2017-03-09      2.5 
 2017-03-10      0.5 
 2017-03-11   0.0625 
 2017-03-12   0.0625 
 2017-03-13        0 
 2017-03-14        0 
 2017-03-15        0 
 2017-03-16        0 
 2017-03-17        0 
 2017-03-18        0 
 2017-03-19        0 
 2017-03-20        0 
 2017-03-21    0.125 
 2017-03-22   0.5625 
 2017-03-23    0.125 
 2017-03-24   0.0625 
 2017-03-25    0.125 
 2017-03-26        0 
 2017-03-27        0 
 2017-03-28        0 
 2017-03-29        0 
 2017-03-30        0 
 2017-03-31        0 
 2017-04-01        0 
 2017-04-02        0 
 2017-04-03        0 
 2017-04-04        0 
 2017-04-05        0 
 2017-04-06   0.4375 
 2017-04-07   1.5625 
 2017-04-08     0.25 
 2017-04-09        0 
 2017-04-10        0 
 2017-04-11        0 
 2017-04-12        0 
 2017-04-13        0 
 2017-04-14    1.375 
 2017-04-15   0.1875 
 2017-04-16   0.6875 
 2017-04-17   0.0625 
 2017-04-18        0 
 2017-04-19        0 
 2017-04-20        0 
 2017-04-21   0.0625 
 2017-04-22  15.3125 
 2017-04-23   8.1875 
 2017-04-24   0.3125 
 2017-04-25   1.1875 
 2017-04-26        0 
 2017-04-27   0.0625 
 2017-04-28   0.1875 
 2017-04-29        0 
 2017-04-30    0.125 
 2017-05-01   0.0625 
 2017-05-02   0.0625 
 2017-05-03        0 
 2017-05-04        0 
 2017-05-05        0 
 2017-05-06        0 
 2017-05-07        0 
 2017-05-08        0 
 2017-05-09        0 
 2017-05-10        0 
 2017-05-11        0 
 2017-05-12        0 
 2017-05-13        0 
 2017-05-14        0 
 2017-05-15        0 
 2017-05-16        0 
 2017-05-17        0 
 2017-05-18        0 
 2017-05-19        0 
 2017-05-20        0 
 2017-05-21        0 
 2017-05-22        0 
 2017-05-23        0 
 2017-05-24        0 
 2017-05-25        0 
 2017-05-26        0 
 2017-05-27        0 
 2017-05-28        0 
 2017-05-29   0.0625 
 2017-05-30        0 
 2017-05-31        0 
 2017-06-01        0 
 2017-06-02        0 
 2017-06-03        0 
 2017-06-04        0 
 2017-06-05        0 
 2017-06-06        0 
 2017-06-07        0 
 2017-06-08        0 
 2017-06-09        0 
 2017-06-10        0 
 2017-06-11        0 
 2017-06-12        0 
 2017-06-13        0 
 2017-06-14        0 
 2017-06-15        0 
 2017-06-16        0 
 2017-06-17        0 
 2017-06-18        0 
 2017-06-19        0 
 2017-06-20        0 
 2017-06-21        0 
 2017-06-22        0 
 2017-06-23        0 
 2017-06-24        0 
 2017-06-25        0 
 2017-06-26        0 
 2017-06-27        0 
 2017-06-28        0 
 2017-06-29        0 
 2017-06-30        0 
 2017-07-01        0 
 2017-07-02        0 
 2017-07-03        0 
 2017-07-04        0 
 2017-07-05        0 
 2017-07-06        0 
 2017-07-07   0.0625 
 2017-07-08        0 
 2017-07-09        0 
 2017-07-10        0 
 2017-07-11        0 
 2017-07-12        0 
 2017-07-13        0 
 2017-07-14        0 
 2017-07-15        0 
 2017-07-16        0 
 2017-07-17        0 
 2017-07-18        0 
 2017-07-19        0 
 2017-07-20        0 
 2017-07-21        0 
 2017-07-22        0 
 2017-07-23        0 
 2017-07-24        0 
 2017-07-25        0 
 2017-07-26        0 
 2017-07-27        0 
 2017-07-28        0 
 2017-07-29        0 
 2017-07-30        0 
 2017-07-31        0 
 2017-08-01        0 
 2017-08-02        0 
 2017-08-03        0 
 2017-08-04        0 
 2017-08-05        0 
 2017-08-06        0 
