#      date    value 
 2008-01-01   0.9375 
 2008-01-02        0 
 2008-01-03        0 
 2008-01-04   4.0625 
 2008-01-05   0.1875 
 2008-01-06   3.6875 
 2008-01-07   7.0625 
 2008-01-08      0.5 
 2008-01-09    15.75 
 2008-01-10    7.125 
 2008-01-11    7.125 
 2008-01-12   5.5625 
 2008-01-13   0.0625 
 2008-01-14        0 
 2008-01-15        0 
 2008-01-16        0 
 2008-01-17     0.75 
 2008-01-18   9.8125 
 2008-01-19    0.375 
 2008-01-20   0.0625 
 2008-01-21   0.1875 
 2008-01-22   0.5625 
 2008-01-23    1.125 
 2008-01-24    0.375 
 2008-01-25    0.625 
 2008-01-26   0.3125 
 2008-01-27   0.0625 
 2008-01-28    1.125 
 2008-01-29     5.25 
 2008-01-30    9.125 
 2008-01-31   0.4375 
 2008-02-01   0.3125 
 2008-02-02   4.9375 
 2008-02-03    0.875 
 2008-02-04    0.375 
 2008-02-05   2.0625 
 2008-02-06   0.0625 
 2008-02-07        0 
 2008-02-08        0 
 2008-02-09     0.25 
 2008-02-10     2.25 
 2008-02-11   1.5625 
 2008-02-12        0 
 2008-02-13    6.375 
 2008-02-14   0.0625 
 2008-02-15     0.25 
 2008-02-16    0.125 
 2008-02-17    8.875 
 2008-02-18    19.25 
 2008-02-19   0.9375 
 2008-02-20    0.625 
 2008-02-21        0 
 2008-02-22        0 
 2008-02-23        0 
 2008-02-24   0.1875 
 2008-02-25    0.125 
 2008-02-26        0 
 2008-02-27        0 
 2008-02-28        0 
 2008-02-29        0 
 2008-03-01      0.5 
 2008-03-02        0 
 2008-03-03   7.9375 
 2008-03-04   1.3125 
 2008-03-05     5.75 
 2008-03-06   2.3125 
 2008-03-07   0.5625 
 2008-03-08        0 
 2008-03-09    0.625 
 2008-03-10        0 
 2008-03-11    1.625 
 2008-03-12     3.75 
 2008-03-13        0 
 2008-03-14   0.1875 
 2008-03-15   4.5625 
 2008-03-16   0.8125 
 2008-03-17        0 
 2008-03-18        0 
 2008-03-19    7.375 
 2008-03-20    2.375 
 2008-03-21   3.1875 
 2008-03-22   4.4375 
 2008-03-23   0.3125 
 2008-03-24        0 
 2008-03-25   0.4375 
 2008-03-26     3.75 
 2008-03-27   0.0625 
 2008-03-28   0.1875 
 2008-03-29        0 
 2008-03-30        0 
 2008-03-31   1.3125 
 2008-04-01       21 
 2008-04-02    2.875 
 2008-04-03        0 
 2008-04-04        0 
 2008-04-05        0 
 2008-04-06        0 
 2008-04-07        0 
 2008-04-08     5.75 
 2008-04-09    1.625 
 2008-04-10    5.625 
 2008-04-11    0.125 
 2008-04-12   0.1875 
 2008-04-13    0.375 
 2008-04-14        0 
 2008-04-15        0 
 2008-04-16        0 
 2008-04-17   0.3125 
 2008-04-18    3.625 
 2008-04-19    0.625 
 2008-04-20   0.0625 
 2008-04-21    0.125 
 2008-04-22   1.4375 
 2008-04-23   8.1875 
 2008-04-24   0.0625 
 2008-04-25        0 
 2008-04-26        0 
 2008-04-27   4.4375 
 2008-04-28    4.375 
 2008-04-29     10.5 
 2008-04-30   6.5625 
 2008-05-01        0 
 2008-05-02        0 
 2008-05-03   0.3125 
 2008-05-04   7.3125 
 2008-05-05      2.5 
 2008-05-06        3 
 2008-05-07        0 
 2008-05-08    13.75 
 2008-05-09        0 
 2008-05-10        0 
 2008-05-11        0 
 2008-05-12        0 
 2008-05-13        0 
 2008-05-14   0.8125 
 2008-05-15     7.25 
 2008-05-16        0 
 2008-05-17        0 
 2008-05-18   0.3125 
 2008-05-19   0.0625 
 2008-05-20    0.125 
 2008-05-21     1.25 
 2008-05-22    2.125 
 2008-05-23        0 
 2008-05-24        0 
 2008-05-25    0.125 
 2008-05-26   8.3125 
 2008-05-27        6 
 2008-05-28   5.5625 
 2008-05-29        5 
 2008-05-30        0 
 2008-05-31    5.875 
 2008-06-01    2.625 
 2008-06-02   10.125 
 2008-06-03   0.1875 
 2008-06-04   0.1875 
 2008-06-05   0.1875 
 2008-06-06     5.75 
 2008-06-07   13.625 
 2008-06-08     1.25 
 2008-06-09    0.375 
 2008-06-10   11.625 
 2008-06-11    4.625 
 2008-06-12        0 
 2008-06-13        0 
 2008-06-14    7.375 
 2008-06-15  12.3125 
 2008-06-16      5.5 
 2008-06-17        3 
 2008-06-18     5.25 
 2008-06-19        6 
 2008-06-20    2.875 
 2008-06-21   3.8125 
 2008-06-22   15.375 
 2008-06-23        1 
 2008-06-24   0.3125 
 2008-06-25   8.0625 
 2008-06-26    0.875 
 2008-06-27     0.25 
 2008-06-28     1.25 
 2008-06-29  22.0625 
 2008-06-30  16.1875 
 2008-07-01        0 
 2008-07-02   14.875 
 2008-07-03  15.3125 
 2008-07-04     8.75 
 2008-07-05    0.375 
 2008-07-06   0.5625 
 2008-07-07        0 
 2008-07-08  31.9375 
 2008-07-09   5.5625 
 2008-07-10    2.375 
 2008-07-11   1.5625 
 2008-07-12   0.6875 
 2008-07-13       11 
 2008-07-14   2.1875 
 2008-07-15    1.125 
 2008-07-16  12.1875 
 2008-07-17   1.4375 
 2008-07-18        0 
 2008-07-19   6.9375 
 2008-07-20   1.4375 
 2008-07-21    1.625 
 2008-07-22     1.25 
 2008-07-23   15.875 
 2008-07-24  12.0625 
 2008-07-25  16.9375 
 2008-07-26   9.1875 
 2008-07-27  11.5625 
 2008-07-28  12.3125 
 2008-07-29      3.5 
 2008-07-30   1.9375 
 2008-07-31        9 
 2008-08-01   17.125 
 2008-08-02  21.9375 
 2008-08-03   2.1875 
 2008-08-04    5.125 
 2008-08-05    0.375 
 2008-08-06   9.8125 
 2008-08-07   5.1875 
 2008-08-08    5.375 
 2008-08-09  27.3125 
 2008-08-10   7.6875 
 2008-08-11        5 
 2008-08-12   0.6875 
 2008-08-13   0.6875 
 2008-08-14   4.1875 
 2008-08-15   0.1875 
 2008-08-16   6.3125 
 2008-08-17   0.6875 
 2008-08-18  15.6875 
 2008-08-19   0.0625 
 2008-08-20        0 
 2008-08-21     0.25 
 2008-08-22        0 
 2008-08-23        0 
 2008-08-24   0.0625 
 2008-08-25   2.6875 
 2008-08-26        0 
 2008-08-27        0 
 2008-08-28        0 
 2008-08-29     1.25 
 2008-08-30   1.4375 
 2008-08-31        0 
 2008-09-01    0.125 
 2008-09-02        0 
 2008-09-03        0 
 2008-09-04   2.3125 
 2008-09-05    21.25 
 2008-09-06        1 
 2008-09-07        0 
 2008-09-08    3.875 
 2008-09-09   1.3125 
 2008-09-10   0.0625 
 2008-09-11   0.0625 
 2008-09-12   9.3125 
 2008-09-13        0 
 2008-09-14  15.1875 
 2008-09-15     2.25 
 2008-09-16        0 
 2008-09-17   3.8125 
 2008-09-18   0.1875 
 2008-09-19   0.1875 
 2008-09-20   2.6875 
 2008-09-21        0 
 2008-09-22        0 
 2008-09-23        0 
 2008-09-24   0.8125 
 2008-09-25        0 
 2008-09-26        0 
 2008-09-27        0 
 2008-09-28    0.375 
 2008-09-29        0 
 2008-09-30      0.5 
 2008-10-01    18.75 
 2008-10-02   15.875 
 2008-10-03  20.9375 
 2008-10-04   5.5625 
 2008-10-05   0.4375 
 2008-10-06        0 
 2008-10-07        0 
 2008-10-08        0 
 2008-10-09   4.0625 
 2008-10-10   1.9375 
 2008-10-11   0.4375 
 2008-10-12        0 
 2008-10-13     4.25 
 2008-10-14  22.5625 
 2008-10-15     0.25 
 2008-10-16    4.125 
 2008-10-17   1.3125 
 2008-10-18   0.0625 
 2008-10-19        0 
 2008-10-20   7.8125 
 2008-10-21    2.125 
 2008-10-22        0 
 2008-10-23        0 
 2008-10-24        0 
 2008-10-25    1.875 
 2008-10-26     6.75 
 2008-10-27   6.9375 
 2008-10-28      4.5 
 2008-10-29  20.9375 
