#      date    value 
 1992-01-01        0 
 1992-01-02        0 
 1992-01-03        0 
 1992-01-04        0 
 1992-01-05    0.375 
 1992-01-06        0 
 1992-01-07        0 
 1992-01-08        0 
 1992-01-09        1 
 1992-01-10     6.25 
 1992-01-11        0 
 1992-01-12        0 
 1992-01-13        0 
 1992-01-14        0 
 1992-01-15        0 
 1992-01-16   0.1875 
 1992-01-17   0.0625 
 1992-01-18        0 
 1992-01-19   2.3125 
 1992-01-20   3.0625 
 1992-01-21   0.1875 
 1992-01-22   0.0625 
 1992-01-23        0 
 1992-01-24        0 
 1992-01-25        0 
 1992-01-26   0.0625 
 1992-01-27     0.25 
 1992-01-28        0 
 1992-01-29        0 
 1992-01-30        0 
 1992-01-31        0 
 1992-02-01        0 
 1992-02-02        0 
 1992-02-03    5.875 
 1992-02-04  21.3125 
 1992-02-05   20.625 
 1992-02-06   2.5625 
 1992-02-07        0 
 1992-02-08        0 
 1992-02-09        0 
 1992-02-10    4.375 
 1992-02-11    2.875 
 1992-02-12    4.375 
 1992-02-13  10.1875 
 1992-02-14   3.8125 
 1992-02-15     6.25 
 1992-02-16   12.375 
 1992-02-17   15.875 
 1992-02-18     2.75 
 1992-02-19        0 
 1992-02-20        0 
 1992-02-21        0 
 1992-02-22        0 
 1992-02-23        0 
 1992-02-24        0 
 1992-02-25        0 
 1992-02-26    0.375 
 1992-02-27        0 
 1992-02-28        0 
 1992-02-29        0 
 1992-03-01        0 
 1992-03-02      4.5 
 1992-03-03        0 
 1992-03-04        0 
 1992-03-05   0.1875 
 1992-03-06    2.125 
 1992-03-07        0 
 1992-03-08        0 
 1992-03-09        0 
 1992-03-10        0 
 1992-03-11    4.375 
 1992-03-12   0.3125 
 1992-03-13   1.8125 
 1992-03-14  13.0625 
 1992-03-15  26.3125 
 1992-03-16   6.3125 
 1992-03-17        0 
 1992-03-18        0 
 1992-03-19        2 
 1992-03-20    0.875 
 1992-03-21   3.1875 
 1992-03-22   11.875 
 1992-03-23   12.625 
 1992-03-24   6.5625 
 1992-03-25     2.25 
 1992-03-26        0 
 1992-03-27        0 
 1992-03-28     7.75 
 1992-03-29   2.4375 
 1992-03-30        0 
 1992-03-31    12.25 
 1992-04-01     3.75 
 1992-04-02   0.4375 
 1992-04-03   9.5625 
 1992-04-04   7.0625 
 1992-04-05  11.5625 
 1992-04-06   0.1875 
 1992-04-07        0 
 1992-04-08        0 
 1992-04-09        0 
 1992-04-10        0 
 1992-04-11        0 
 1992-04-12   0.8125 
 1992-04-13    5.375 
 1992-04-14   0.0625 
 1992-04-15   6.5625 
 1992-04-16     6.75 
 1992-04-17   3.1875 
 1992-04-18   7.4375 
 1992-04-19    6.375 
 1992-04-20   2.4375 
 1992-04-21        0 
 1992-04-22   3.1875 
 1992-04-23     7.25 
 1992-04-24        0 
 1992-04-25        0 
 1992-04-26        0 
 1992-04-27     8.25 
 1992-04-28     15.5 
 1992-04-29   5.5625 
 1992-04-30   1.0625 
 1992-05-01   4.4375 
 1992-05-02       11 
 1992-05-03   1.4375 
 1992-05-04   0.1875 
 1992-05-05   0.0625 
 1992-05-06   0.1875 
 1992-05-07        0 
 1992-05-08   0.3125 
 1992-05-09   1.3125 
 1992-05-10   0.9375 
 1992-05-11   4.6875 
 1992-05-12   0.0625 
 1992-05-13        0 
 1992-05-14        0 
 1992-05-15        0 
 1992-05-16        0 
 1992-05-17   0.5625 
 1992-05-18        0 
 1992-05-19        0 
 1992-05-20    1.125 
 1992-05-21    0.375 
 1992-05-22   0.3125 
 1992-05-23    0.625 
 1992-05-24    1.125 
 1992-05-25    1.875 
 1992-05-26    4.625 
 1992-05-27        0 
 1992-05-28    0.125 
 1992-05-29   0.5625 
 1992-05-30    1.875 
 1992-05-31   5.3125 
 1992-06-01        3 
 1992-06-02    7.625 
 1992-06-03     25.5 
 1992-06-04     1.75 
 1992-06-05    9.875 
 1992-06-06   1.0625 
 1992-06-07   1.8125 
 1992-06-08   2.0625 
 1992-06-09   0.4375 
 1992-06-10   1.3125 
 1992-06-11   7.3125 
 1992-06-12      1.5 
 1992-06-13   6.9375 
 1992-06-14    0.375 
 1992-06-15        0 
 1992-06-16        0 
 1992-06-17   1.5625 
 1992-06-18   1.0625 
 1992-06-19  25.3125 
 1992-06-20   3.1875 
 1992-06-21    0.125 
 1992-06-22     0.25 
 1992-06-23   7.0625 
 1992-06-24  14.1875 
 1992-06-25  14.0625 
 1992-06-26     4.25 
 1992-06-27   0.0625 
 1992-06-28        0 
 1992-06-29        0 
 1992-06-30   5.4375 
 1992-07-01   9.4375 
 1992-07-02      4.5 
 1992-07-03   0.0625 
 1992-07-04  18.9375 
 1992-07-05    9.875 
 1992-07-06   0.6875 
 1992-07-07   3.3125 
 1992-07-08   0.1875 
 1992-07-09   3.3125 
 1992-07-10    4.125 
 1992-07-11  16.0625 
 1992-07-12   7.0625 
 1992-07-13    0.375 
 1992-07-14        0 
 1992-07-15        0 
 1992-07-16    0.375 
 1992-07-17   0.9375 
 1992-07-18      1.5 
 1992-07-19        0 
 1992-07-20   0.9375 
 1992-07-21   5.9375 
 1992-07-22  15.6875 
 1992-07-23        0 
 1992-07-24    1.125 
 1992-07-25     1.25 
 1992-07-26    0.125 
 1992-07-27     0.25 
 1992-07-28   0.9375 
 1992-07-29     0.25 
 1992-07-30        0 
 1992-07-31     0.25 
 1992-08-01    0.875 
 1992-08-02        0 
 1992-08-03        0 
 1992-08-04   9.0625 
 1992-08-05        0 
 1992-08-06        0 
 1992-08-07        0 
 1992-08-08        0 
 1992-08-09        0 
 1992-08-10  16.3125 
 1992-08-11   0.4375 
 1992-08-12   0.0625 
 1992-08-13   0.6875 
 1992-08-14   5.3125 
 1992-08-15      0.5 
 1992-08-16   0.0625 
 1992-08-17        0 
 1992-08-18        0 
 1992-08-19        0 
 1992-08-20   1.6875 
 1992-08-21   6.1875 
 1992-08-22      0.5 
 1992-08-23    2.875 
 1992-08-24    0.125 
 1992-08-25        0 
 1992-08-26   0.8125 
 1992-08-27   0.0625 
 1992-08-28   0.1875 
 1992-08-29  27.8125 
 1992-08-30  13.0625 
 1992-08-31  24.8125 
 1992-09-01   6.3125 
 1992-09-02    0.125 
 1992-09-03   4.6875 
 1992-09-04   13.375 
 1992-09-05   5.0625 
 1992-09-06        0 
 1992-09-07        0 
 1992-09-08   2.0625 
 1992-09-09      3.5 
 1992-09-10   4.0625 
 1992-09-11   0.0625 
 1992-09-12   0.4375 
 1992-09-13        0 
 1992-09-14     9.75 
 1992-09-15   0.9375 
 1992-09-16        0 
 1992-09-17        0 
 1992-09-18   1.3125 
 1992-09-19    2.125 
 1992-09-20    0.125 
 1992-09-21        0 
 1992-09-22     1.25 
 1992-09-23  14.5625 
 1992-09-24   0.6875 
 1992-09-25        0 
 1992-09-26        0 
 1992-09-27   0.3125 
 1992-09-28   4.9375 
 1992-09-29   11.375 
 1992-09-30        0 
 1992-10-01     0.25 
 1992-10-02    5.625 
 1992-10-03   3.1875 
 1992-10-04   1.9375 
 1992-10-05      0.5 
 1992-10-06   8.8125 
