#      date    value 
 2009-01-01     4.25 
 2009-01-02        0 
 2009-01-03        0 
 2009-01-04        0 
 2009-01-05        0 
 2009-01-06        0 
 2009-01-07        0 
 2009-01-08        0 
 2009-01-09        0 
 2009-01-10        0 
 2009-01-11        0 
 2009-01-12        0 
 2009-01-13        0 
 2009-01-14   0.1875 
 2009-01-15        0 
 2009-01-16        0 
 2009-01-17        0 
 2009-01-18   1.8125 
 2009-01-19   1.0625 
 2009-01-20  21.8125 
 2009-01-21     2.75 
 2009-01-22   0.0625 
 2009-01-23    9.875 
 2009-01-24   0.4375 
 2009-01-25        0 
 2009-01-26        0 
 2009-01-27   0.1875 
 2009-01-28        0 
 2009-01-29        0 
 2009-01-30        0 
 2009-01-31        0 
 2009-02-01        0 
 2009-02-02   1.3125 
 2009-02-03        0 
 2009-02-04        0 
 2009-02-05   0.0625 
 2009-02-06   1.8125 
 2009-02-07    6.125 
 2009-02-08   3.0625 
 2009-02-09   0.3125 
 2009-02-10   2.9375 
 2009-02-11    5.625 
 2009-02-12   1.1875 
 2009-02-13   0.5625 
 2009-02-14     0.25 
 2009-02-15        0 
 2009-02-16    0.875 
 2009-02-17       24 
 2009-02-18   3.9375 
 2009-02-19        0 
 2009-02-20    0.875 
 2009-02-21   1.4375 
 2009-02-22    4.125 
 2009-02-23   4.0625 
 2009-02-24     1.25 
 2009-02-25        0 
 2009-02-26        5 
 2009-02-27   2.0625 
 2009-02-28   0.0625 
 2009-03-01    0.125 
 2009-03-02   2.1875 
 2009-03-03   1.4375 
 2009-03-04    0.125 
 2009-03-05   3.3125 
 2009-03-06   2.1875 
 2009-03-07   0.5625 
 2009-03-08    0.125 
 2009-03-09    6.625 
 2009-03-10   7.3125 
 2009-03-11  12.3125 
 2009-03-12   5.6875 
 2009-03-13   1.5625 
 2009-03-14        0 
 2009-03-15    3.125 
 2009-03-16   0.0625 
 2009-03-17        0 
 2009-03-18        0 
 2009-03-19      0.5 
 2009-03-20     0.25 
 2009-03-21        0 
 2009-03-22        0 
 2009-03-23        2 
 2009-03-24  11.6875 
 2009-03-25  10.3125 
 2009-03-26    7.875 
 2009-03-27   1.1875 
 2009-03-28   0.9375 
 2009-03-29     6.75 
 2009-03-30   0.6875 
 2009-03-31        0 
 2009-04-01        0 
 2009-04-02    0.125 
 2009-04-03        0 
 2009-04-04        0 
 2009-04-05        0 
 2009-04-06        0 
 2009-04-07        0 
 2009-04-08        0 
 2009-04-09        0 
 2009-04-10        0 
 2009-04-11        0 
 2009-04-12        0 
 2009-04-13   0.4375 
 2009-04-14        0 
 2009-04-15        0 
 2009-04-16    8.875 
 2009-04-17   3.3125 
 2009-04-18        0 
 2009-04-19        0 
 2009-04-20   0.0625 
 2009-04-21   1.9375 
 2009-04-22   2.4375 
 2009-04-23   7.8125 
 2009-04-24    0.125 
 2009-04-25        0 
 2009-04-26    0.125 
 2009-04-27   5.4375 
 2009-04-28     8.75 
 2009-04-29     8.25 
 2009-04-30    0.625 
 2009-05-01    8.625 
