#      date    value 
 1989-01-01        0 
 1989-01-02        0 
 1989-01-03        0 
 1989-01-04        0 
 1989-01-05   4.4375 
 1989-01-06    1.875 
 1989-01-07   2.1875 
 1989-01-08   0.6875 
 1989-01-09        0 
 1989-01-10        0 
 1989-01-11        0 
 1989-01-12   0.0625 
 1989-01-13    7.125 
 1989-01-14        0 
 1989-01-15        0 
 1989-01-16        0 
 1989-01-17        0 
 1989-01-18        0 
 1989-01-19        0 
 1989-01-20        0 
 1989-01-21        0 
 1989-01-22   0.1875 
 1989-01-23        0 
 1989-01-24        0 
 1989-01-25        0 
 1989-01-26        0 
 1989-01-27        0 
 1989-01-28        0 
 1989-01-29        0 
 1989-01-30        0 
 1989-01-31        0 
 1989-02-01        0 
 1989-02-02        0 
 1989-02-03        0 
 1989-02-04        0 
 1989-02-05        0 
 1989-02-06        0 
 1989-02-07        0 
 1989-02-08        0 
 1989-02-09        0 
 1989-02-10        0 
 1989-02-11        0 
 1989-02-12   4.8125 
 1989-02-13        2 
 1989-02-14  10.9375 
 1989-02-15   0.0625 
 1989-02-16      8.5 
 1989-02-17   0.8125 
 1989-02-18   4.8125 
 1989-02-19        0 
 1989-02-20    4.375 
 1989-02-21    16.75 
 1989-02-22     4.25 
 1989-02-23    0.375 
 1989-02-24   0.6875 
 1989-02-25   5.1875 
 1989-02-26        1 
 1989-02-27   5.6875 
 1989-02-28      2.5 
 1989-03-01   0.4375 
 1989-03-02   5.6875 
 1989-03-03   18.875 
 1989-03-04        2 
 1989-03-05        0 
 1989-03-06        0 
 1989-03-07    1.125 
 1989-03-08     6.75 
 1989-03-09        0 
 1989-03-10        0 
 1989-03-11        0 
 1989-03-12        0 
 1989-03-13   13.125 
 1989-03-14   0.0625 
 1989-03-15       14 
 1989-03-16    3.375 
 1989-03-17   8.0625 
 1989-03-18    7.625 
 1989-03-19        0 
 1989-03-20    0.125 
 1989-03-21    0.875 
 1989-03-22   0.6875 
 1989-03-23      3.5 
 1989-03-24        0 
 1989-03-25        0 
 1989-03-26        0 
 1989-03-27        0 
 1989-03-28        0 
 1989-03-29        0 
 1989-03-30        0 
 1989-03-31        0 
 1989-04-01   6.0625 
 1989-04-02  13.5625 
 1989-04-03        0 
 1989-04-04   0.9375 
 1989-04-05   6.9375 
 1989-04-06        1 
 1989-04-07   0.0625 
 1989-04-08    15.25 
 1989-04-09    0.125 
 1989-04-10   0.0625 
 1989-04-11   0.5625 
 1989-04-12   2.1875 
 1989-04-13    8.875 
 1989-04-14  10.6875 
 1989-04-15   1.4375 
 1989-04-16   4.6875 
 1989-04-17  21.8125 
 1989-04-18        6 
 1989-04-19   5.9375 
 1989-04-20  13.9375 
 1989-04-21   13.625 
 1989-04-22    3.125 
 1989-04-23     1.25 
 1989-04-24        0 
 1989-04-25        0 
 1989-04-26   6.0625 
 1989-04-27   3.8125 
 1989-04-28    3.875 
 1989-04-29   0.1875 
 1989-04-30   0.4375 
 1989-05-01        0 
 1989-05-02        0 
 1989-05-03        0 
 1989-05-04        0 
 1989-05-05        0 
 1989-05-06    0.625 
 1989-05-07        0 
 1989-05-08        0 
 1989-05-09        0 
 1989-05-10    10.25 
 1989-05-11   10.125 
 1989-05-12   2.5625 
 1989-05-13        5 
 1989-05-14   5.9375 
 1989-05-15        0 
 1989-05-16        0 
 1989-05-17        0 
 1989-05-18   0.0625 
 1989-05-19   0.0625 
 1989-05-20        0 
 1989-05-21        0 
 1989-05-22        0 
 1989-05-23   0.0625 
 1989-05-24        0 
 1989-05-25   0.0625 
 1989-05-26   0.6875 
 1989-05-27   0.0625 
 1989-05-28   1.1875 
 1989-05-29   0.8125 
 1989-05-30   0.4375 
 1989-05-31   2.4375 
 1989-06-01  11.4375 
 1989-06-02   0.4375 
 1989-06-03     10.5 
 1989-06-04     1.75 
 1989-06-05      3.5 
 1989-06-06   0.6875 
 1989-06-07        5 
 1989-06-08    0.125 
 1989-06-09        0 
 1989-06-10   2.0625 
 1989-06-11   0.0625 
 1989-06-12   0.0625 
 1989-06-13        0 
 1989-06-14   0.1875 
 1989-06-15        0 
 1989-06-16        0 
 1989-06-17        0 
 1989-06-18        0 
 1989-06-19        0 
 1989-06-20        0 
 1989-06-21        0 
 1989-06-22   21.375 
 1989-06-23    3.125 
 1989-06-24        0 
 1989-06-25        0 
 1989-06-26     2.75 
 1989-06-27  18.1875 
 1989-06-28     15.5 
 1989-06-29   3.0625 
 1989-06-30   0.3125 
 1989-07-01  14.8125 
 1989-07-02    30.75 
 1989-07-03    19.75 
 1989-07-04     0.25 
 1989-07-05        0 
 1989-07-06        0 
