#      date    value 
 1984-01-01        0 
 1984-01-02    0.125 
 1984-01-03        0 
 1984-01-04    0.125 
 1984-01-05        0 
 1984-01-06        0 
 1984-01-07        0 
 1984-01-08   0.3125 
 1984-01-09    0.875 
 1984-01-10   0.1875 
 1984-01-11   0.0625 
 1984-01-12      0.5 
 1984-01-13    0.625 
 1984-01-14   1.4375 
 1984-01-15     0.25 
 1984-01-16        0 
 1984-01-17        0 
 1984-01-18        0 
 1984-01-19        0 
 1984-01-20        0 
 1984-01-21   0.1875 
 1984-01-22        0 
 1984-01-23        0 
 1984-01-24        0 
 1984-01-25        0 
 1984-01-26        0 
 1984-01-27        0 
 1984-01-28    0.125 
 1984-01-29        0 
 1984-01-30        0 
 1984-01-31    0.125 
 1984-02-01   0.3125 
 1984-02-02        0 
 1984-02-03        0 
 1984-02-04     0.25 
 1984-02-05   0.0625 
 1984-02-06        0 
 1984-02-07        0 
 1984-02-08        0 
 1984-02-09        0 
 1984-02-10        0 
 1984-02-11        0 
 1984-02-12   0.5625 
 1984-02-13   0.5625 
 1984-02-14   0.1875 
 1984-02-15        0 
 1984-02-16        0 
 1984-02-17        0 
 1984-02-18        0 
 1984-02-19        0 
 1984-02-20        0 
 1984-02-21        0 
 1984-02-22   4.0625 
 1984-02-23   1.4375 
 1984-02-24        0 
 1984-02-25   1.9375 
 1984-02-26     0.25 
 1984-02-27   0.1875 
 1984-02-28        0 
 1984-02-29        0 
 1984-03-01   0.0625 
 1984-03-02        0 
 1984-03-03        0 
 1984-03-04        0 
 1984-03-05     0.25 
 1984-03-06   0.0625 
 1984-03-07        0 
 1984-03-08        0 
 1984-03-09   3.8125 
 1984-03-10    0.375 
 1984-03-11   0.0625 
 1984-03-12        0 
 1984-03-13        0 
 1984-03-14        0 
 1984-03-15      1.5 
 1984-03-16     3.25 
 1984-03-17    0.375 
 1984-03-18   0.0625 
 1984-03-19      0.5 
 1984-03-20    0.375 
 1984-03-21        0 
 1984-03-22      0.5 
 1984-03-23      2.5 
 1984-03-24      0.5 
 1984-03-25   0.5625 
 1984-03-26   0.0625 
 1984-03-27   0.0625 
 1984-03-28   1.1875 
 1984-03-29   1.8125 
 1984-03-30   0.1875 
 1984-03-31        0 
 1984-04-01        0 
 1984-04-02   0.3125 
 1984-04-03     1.75 
 1984-04-04    0.625 
 1984-04-05    6.375 
 1984-04-06   0.0625 
 1984-04-07        0 
 1984-04-08   0.0625 
 1984-04-09   0.0625 
 1984-04-10        0 
 1984-04-11        0 
 1984-04-12     1.25 
 1984-04-13        3 
 1984-04-14  10.5625 
 1984-04-15   1.9375 
 1984-04-16    8.375 
 1984-04-17     2.75 
 1984-04-18        0 
 1984-04-19        0 
 1984-04-20        0 
 1984-04-21     2.25 
 1984-04-22    0.375 
 1984-04-23    0.875 
 1984-04-24        0 
 1984-04-25        0 
 1984-04-26     0.75 
 1984-04-27    2.875 
 1984-04-28  10.8125 
 1984-04-29   0.1875 
 1984-04-30    2.625 
 1984-05-01    0.125 
 1984-05-02        0 
 1984-05-03   0.0625 
 1984-05-04        2 
 1984-05-05   0.6875 
 1984-05-06        0 
 1984-05-07      5.5 
 1984-05-08   0.3125 
 1984-05-09    0.125 
 1984-05-10   1.3125 
 1984-05-11      3.5 
 1984-05-12        0 
 1984-05-13        0 
 1984-05-14   1.9375 
 1984-05-15        0 
 1984-05-16   0.0625 
 1984-05-17   0.4375 
 1984-05-18        0 
 1984-05-19    2.125 
 1984-05-20        0 
 1984-05-21   0.0625 
 1984-05-22   0.0625 
 1984-05-23        0 
 1984-05-24   0.1875 
 1984-05-25      0.5 
 1984-05-26      2.5 
 1984-05-27    1.125 
 1984-05-28    6.625 
 1984-05-29     4.25 
 1984-05-30     17.5 
 1984-05-31   5.8125 
 1984-06-01    0.125 
 1984-06-02     0.25 
 1984-06-03   0.9375 
 1984-06-04   4.4375 
 1984-06-05  21.1875 
 1984-06-06   14.125 
 1984-06-07        0 
 1984-06-08   0.0625 
 1984-06-09     11.5 
 1984-06-10   5.4375 
 1984-06-11   1.6875 
 1984-06-12    0.625 
 1984-06-13        0 
 1984-06-14     0.25 
 1984-06-15        0 
 1984-06-16  11.8125 
 1984-06-17      7.5 
 1984-06-18       10 
 1984-06-19   5.5625 
 1984-06-20        0 
 1984-06-21   1.8125 
 1984-06-22   1.4375 
 1984-06-23        0 
 1984-06-24   4.8125 
 1984-06-25    9.125 
 1984-06-26    10.25 
