#      date    value 
 2019-01-01   0.8125 
 2019-01-02        1 
 2019-01-03   0.0625 
 2019-01-04    0.375 
 2019-01-05   0.6875 
 2019-01-06        0 
 2019-01-07   4.6875 
 2019-01-08        0 
 2019-01-09    0.125 
 2019-01-10        0 
 2019-01-11   0.3125 
 2019-01-12    0.375 
 2019-01-13        0 
 2019-01-14        0 
 2019-01-15        0 
 2019-01-16    0.375 
 2019-01-17        0 
 2019-01-18        0 
 2019-01-19    0.625 
 2019-01-20   0.4375 
 2019-01-21        0 
 2019-01-22        0 
 2019-01-23        0 
 2019-01-24        0 
 2019-01-25        0 
 2019-01-26        0 
 2019-01-27        0 
 2019-01-28        0 
 2019-01-29        0 
 2019-01-30        0 
 2019-01-31        0 
 2019-02-01        0 
 2019-02-02    0.125 
 2019-02-03   0.1875 
 2019-02-04    0.125 
 2019-02-05      1.5 
 2019-02-06     0.25 
 2019-02-07   0.1875 
 2019-02-08   0.6875 
 2019-02-09   1.5625 
 2019-02-10     0.25 
 2019-02-11        0 
 2019-02-12        0 
 2019-02-13        0 
 2019-02-14   0.4375 
 2019-02-15    0.625 
 2019-02-16   0.4375 
 2019-02-17   3.8125 
 2019-02-18  24.5625 
 2019-02-19   2.0625 
 2019-02-20   3.9375 
 2019-02-21   58.125 
 2019-02-22    2.875 
 2019-02-23   20.125 
 2019-02-24   1.0625 
 2019-02-25   1.4375 
 2019-02-26   0.1875 
 2019-02-27     0.75 
 2019-02-28        0 
 2019-03-01   0.4375 
 2019-03-02   6.6875 
 2019-03-03     1.25 
 2019-03-04   16.875 
 2019-03-05    17.25 
 2019-03-06  15.3125 
 2019-03-07  13.9375 
 2019-03-08  18.1875 
 2019-03-09  18.3125 
 2019-03-10        3 
 2019-03-11   0.1875 
 2019-03-12        0 
 2019-03-13   3.9375 
 2019-03-14   5.6875 
 2019-03-15   0.4375 
 2019-03-16        0 
 2019-03-17      0.5 
 2019-03-18   0.4375 
 2019-03-19    0.125 
 2019-03-20   0.1875 
 2019-03-21   0.0625 
 2019-03-22     4.75 
 2019-03-23     10.5 
 2019-03-24     5.25 
 2019-03-25      2.5 
 2019-03-26   0.3125 
 2019-03-27   0.3125 
 2019-03-28      1.5 
 2019-03-29    2.875 
 2019-03-30   3.3125 
 2019-03-31       18 
 2019-04-01   2.9375 
 2019-04-02    0.375 
 2019-04-03     2.75 
 2019-04-04    0.875 
 2019-04-05        1 
 2019-04-06      0.5 
 2019-04-07   0.3125 
 2019-04-08    0.375 
 2019-04-09        0 
 2019-04-10   0.4375 
 2019-04-11  28.3125 
 2019-04-12  16.4375 
 2019-04-13   20.625 
 2019-04-14    29.25 
 2019-04-15  18.1875 
 2019-04-16   5.1875 
 2019-04-17    1.125 
 2019-04-18  43.1875 
 2019-04-19   16.125 
 2019-04-20       39 
 2019-04-21  10.5625 
 2019-04-22    17.75 
 2019-04-23     12.5 
 2019-04-24    0.375 
 2019-04-25        2 
 2019-04-26  14.4375 
 2019-04-27   30.125 
 2019-04-28   2.3125 
 2019-04-29   15.625 
 2019-04-30   11.625 
 2019-05-01    2.625 
 2019-05-02     1.75 
 2019-05-03    4.875 
 2019-05-04    24.25 
 2019-05-05   5.8125 
 2019-05-06   8.9375 
 2019-05-07   7.1875 
 2019-05-08       31 
 2019-05-09   24.625 
 2019-05-10        0 
 2019-05-11    0.125 
 2019-05-12        0 
 2019-05-13   0.1875 
 2019-05-14    1.125 
 2019-05-15    6.875 
 2019-05-16     1.75 
 2019-05-17   6.0625 
 2019-05-18        0 
 2019-05-19     4.75 
 2019-05-20   2.4375 
 2019-05-21   5.3125 
 2019-05-22  28.4375 
 2019-05-23    17.75 
 2019-05-24       24 
 2019-05-25  11.9375 
 2019-05-26     12.5 
 2019-05-27   13.625 
 2019-05-28  22.8125 
 2019-05-29   5.3125 
 2019-05-30       14 
 2019-05-31  10.6875 
 2019-06-01  21.6875 
 2019-06-02       16 
 2019-06-03   1.5625 
 2019-06-04  12.4375 
 2019-06-05  12.0625 
 2019-06-06   6.5625 
 2019-06-07     2.75 
 2019-06-08     1.25 
 2019-06-09    13.25 
 2019-06-10       26 
 2019-06-11   21.875 
 2019-06-12       29 
 2019-06-13   11.875 
 2019-06-14   0.9375 
 2019-06-15   0.0625 
 2019-06-16     1.25 
 2019-06-17     8.25 
 2019-06-18     3.25 
 2019-06-19     3.75 
 2019-06-20   0.8125 
 2019-06-21      0.5 
 2019-06-22   0.6875 
 2019-06-23  19.9375 
 2019-06-24    39.75 
 2019-06-25  12.5625 
 2019-06-26   3.9375 
 2019-06-27   3.0625 
 2019-06-28   3.8125 
 2019-06-29   2.4375 
 2019-06-30     5.25 
 2019-07-01    10.75 
 2019-07-02    17.75 
 2019-07-03   16.625 
 2019-07-04   1.1875 
 2019-07-05    1.125 
 2019-07-06   1.0625 
 2019-07-07   3.0625 
 2019-07-08   4.6875 
 2019-07-09  18.1875 
 2019-07-10   22.875 
 2019-07-11   14.875 
 2019-07-12      8.5 
 2019-07-13   7.8125 
 2019-07-14   5.0625 
 2019-07-15   1.3125 
 2019-07-16    0.375 
 2019-07-17    0.125 
 2019-07-18      5.5 
 2019-07-19  26.9375 
 2019-07-20  16.8125 
 2019-07-21   8.4375 
 2019-07-22  14.3125 
 2019-07-23     2.75 
 2019-07-24   7.1875 
 2019-07-25      0.5 
 2019-07-26    0.375 
 2019-07-27        0 
 2019-07-28   2.3125 
 2019-07-29  10.6875 
 2019-07-30    7.125 
 2019-07-31  23.9375 
 2019-08-01  48.3125 
 2019-08-02  19.4375 
 2019-08-03    3.875 
 2019-08-04    0.125 
 2019-08-05   0.9375 
 2019-08-06   8.8125 
 2019-08-07     3.25 
 2019-08-08   0.9375 
 2019-08-09   0.4375 
 2019-08-10    2.625 
 2019-08-11   8.3125 
 2019-08-12   6.8125 
 2019-08-13   11.125 
 2019-08-14  29.1875 
 2019-08-15   2.3125 
 2019-08-16  16.6875 
 2019-08-17   19.625 
 2019-08-18        5 
 2019-08-19   1.4375 
 2019-08-20      0.5 
 2019-08-21    0.375 
 2019-08-22   0.1875 
 2019-08-23      6.5 
 2019-08-24   0.1875 
 2019-08-25  94.1875 
 2019-08-26     5.75 
 2019-08-27   1.5625 
 2019-08-28   2.0625 
 2019-08-29   8.5625 
 2019-08-30    15.25 
 2019-08-31    5.875 
 2019-09-01   14.875 
 2019-09-02  14.0625 
 2019-09-03   2.9375 
 2019-09-04   1.8125 
 2019-09-05    1.625 
 2019-09-06     0.75 
 2019-09-07   3.9375 
 2019-09-08    1.875 
 2019-09-09    1.125 
 2019-09-10    2.375 
 2019-09-11   1.0625 
 2019-09-12   0.4375 
 2019-09-13    7.375 
 2019-09-14   14.625 
 2019-09-15   1.6875 
 2019-09-16   3.6875 
 2019-09-17    1.875 
 2019-09-18        0 
 2019-09-19        0 
 2019-09-20        0 
 2019-09-21        0 
 2019-09-22        0 
 2019-09-23        0 
 2019-09-24        0 
 2019-09-25        0 
 2019-09-26        0 
 2019-09-27        0 
 2019-09-28        0 
 2019-09-29        0 
 2019-09-30        0 
 2019-10-01        0 
 2019-10-02    0.125 
 2019-10-03   0.1875 
 2019-10-04     0.25 
 2019-10-05   0.1875 
 2019-10-06   2.4375 
 2019-10-07        7 
 2019-10-08   2.8125 
 2019-10-09    0.625 
 2019-10-10    0.375 
 2019-10-11    0.125 
 2019-10-12   1.1875 
 2019-10-13   0.5625 
 2019-10-14    0.125 
 2019-10-15        0 
 2019-10-16   0.1875 
 2019-10-17        0 
 2019-10-18   0.0625 
 2019-10-19        0 
 2019-10-20        0 
 2019-10-21        0 
 2019-10-22   0.0625 
 2019-10-23   2.0625 
 2019-10-24   0.4375 
 2019-10-25    0.125 
 2019-10-26   0.0625 
 2019-10-27   0.0625 
 2019-10-28   0.0625 
 2019-10-29        0 
 2019-10-30    0.375 
 2019-10-31      0.5 
 2019-11-01        0 
 2019-11-02   3.6875 
 2019-11-03        0 
 2019-11-04        0 
 2019-11-05        0 
 2019-11-06        0 
 2019-11-07        0 
 2019-11-08        0 
 2019-11-09        0 
 2019-11-10        0 
 2019-11-11        0 
 2019-11-12   0.1875 
 2019-11-13        0 
 2019-11-14        0 
 2019-11-15        0 
 2019-11-16        0 
 2019-11-17        0 
 2019-11-18        0 
 2019-11-19        0 
 2019-11-20        0 
 2019-11-21        0 
 2019-11-22        0 
 2019-11-23        0 
 2019-11-24        0 
 2019-11-25        0 
 2019-11-26   0.3125 
 2019-11-27        0 
 2019-11-28        0 
 2019-11-29        0 
 2019-11-30        0 
 2019-12-01        0 
 2019-12-02        0 
 2019-12-03        0 
 2019-12-04        0 
 2019-12-05        0 
 2019-12-06        0 
 2019-12-07        0 
 2019-12-08        0 
 2019-12-09        0 
 2019-12-10        0 
 2019-12-11        0 
 2019-12-12        0 
 2019-12-13        0 
 2019-12-14        0 
 2019-12-15        0 
 2019-12-16        0 
 2019-12-17     0.25 
 2019-12-18   1.6875 
 2019-12-19   0.4375 
 2019-12-20        0 
 2019-12-21        0 
 2019-12-22        0 
 2019-12-23   0.6875 
 2019-12-24    0.375 
 2019-12-25        0 
 2019-12-26        0 
 2019-12-27    0.125 
 2019-12-28   0.0625 
 2019-12-29        0 
 2019-12-30        0 
 2019-12-31        0 
