#      date    value 
 1992-01-01        0 
 1992-01-02        0 
 1992-01-03        0 
 1992-01-04        0 
 1992-01-05     0.75 
 1992-01-06        0 
 1992-01-07        0 
 1992-01-08        0 
 1992-01-09        0 
 1992-01-10        0 
 1992-01-11        0 
 1992-01-12   0.1875 
 1992-01-13        0 
 1992-01-14        0 
 1992-01-15        0 
 1992-01-16        0 
 1992-01-17        0 
 1992-01-18        0 
 1992-01-19        0 
 1992-01-20        0 
 1992-01-21        0 
 1992-01-22        0 
 1992-01-23        0 
 1992-01-24        0 
 1992-01-25        0 
 1992-01-26        0 
 1992-01-27        0 
 1992-01-28    0.125 
 1992-01-29     2.25 
 1992-01-30        0 
 1992-01-31        0 
 1992-02-01   0.3125 
 1992-02-02        0 
 1992-02-03        0 
 1992-02-04        0 
 1992-02-05        0 
 1992-02-06        0 
 1992-02-07        0 
 1992-02-08        0 
 1992-02-09        0 
 1992-02-10        0 
 1992-02-11        0 
 1992-02-12        0 
 1992-02-13        0 
 1992-02-14        0 
 1992-02-15        0 
 1992-02-16        0 
 1992-02-17        0 
 1992-02-18        0 
 1992-02-19        0 
 1992-02-20        0 
 1992-02-21        0 
 1992-02-22        0 
 1992-02-23        0 
 1992-02-24        0 
 1992-02-25        0 
 1992-02-26        0 
 1992-02-27        0 
 1992-02-28        0 
 1992-02-29        0 
 1992-03-01        0 
 1992-03-02        0 
 1992-03-03    1.625 
 1992-03-04    0.125 
 1992-03-05        0 
 1992-03-06        0 
 1992-03-07        0 
 1992-03-08        0 
 1992-03-09        0 
 1992-03-10        0 
 1992-03-11        0 
 1992-03-12        0 
 1992-03-13   1.0625 
 1992-03-14      1.5 
 1992-03-15    0.125 
 1992-03-16        0 
 1992-03-17        0 
 1992-03-18        0 
 1992-03-19        0 
 1992-03-20        0 
 1992-03-21        0 
 1992-03-22    0.125 
 1992-03-23    1.375 
 1992-03-24   0.9375 
 1992-03-25        0 
 1992-03-26        0 
 1992-03-27    0.125 
 1992-03-28   0.1875 
 1992-03-29        0 
 1992-03-30   2.1875 
 1992-03-31   7.3125 
 1992-04-01    1.375 
 1992-04-02        0 
 1992-04-03        0 
 1992-04-04        0 
 1992-04-05   0.1875 
 1992-04-06     0.25 
 1992-04-07     0.75 
 1992-04-08        0 
 1992-04-09        0 
 1992-04-10    0.125 
 1992-04-11        0 
 1992-04-12        0 
 1992-04-13        0 
 1992-04-14        0 
 1992-04-15        0 
 1992-04-16   0.0625 
 1992-04-17   0.1875 
 1992-04-18        0 
 1992-04-19        0 
 1992-04-20        0 
 1992-04-21        0 
 1992-04-22        0 
 1992-04-23        0 
 1992-04-24        0 
 1992-04-25        0 
 1992-04-26        0 
 1992-04-27        0 
 1992-04-28    0.125 
 1992-04-29     9.75 
 1992-04-30   0.1875 
 1992-05-01        0 
 1992-05-02        0 
 1992-05-03   4.6875 
 1992-05-04   12.875 
 1992-05-05     1.75 
 1992-05-06     1.25 
 1992-05-07   0.0625 
 1992-05-08        0 
 1992-05-09        0 
 1992-05-10      0.5 
 1992-05-11   2.0625 
 1992-05-12   3.1875 
 1992-05-13    2.375 
 1992-05-14    6.875 
 1992-05-15    0.875 
 1992-05-16   0.1875 
 1992-05-17        0 
 1992-05-18   0.0625 
 1992-05-19    0.125 
 1992-05-20        0 
 1992-05-21     0.75 
 1992-05-22    0.125 
 1992-05-23   0.0625 
 1992-05-24   0.3125 
 1992-05-25        0 
 1992-05-26        0 
 1992-05-27        0 
 1992-05-28        0 
 1992-05-29        0 
 1992-05-30     4.25 
 1992-05-31    0.875 
 1992-06-01  15.8125 
 1992-06-02  13.1875 
 1992-06-03      0.5 
 1992-06-04        0 
 1992-06-05        0 
 1992-06-06        0 
 1992-06-07   0.9375 
 1992-06-08     1.25 
 1992-06-09    0.875 
 1992-06-10        0 
 1992-06-11   0.0625 
 1992-06-12        0 
 1992-06-13        0 
 1992-06-14        0 
 1992-06-15   4.6875 
 1992-06-16   0.8125 
 1992-06-17        0 
 1992-06-18        0 
 1992-06-19        0 
 1992-06-20       21 
 1992-06-21   2.1875 
 1992-06-22    5.375 
 1992-06-23   8.6875 
 1992-06-24   3.3125 
 1992-06-25    0.625 
 1992-06-26      0.5 
 1992-06-27    0.375 
 1992-06-28   0.6875 
 1992-06-29        1 
 1992-06-30    0.875 
 1992-07-01   1.4375 
 1992-07-02        0 
 1992-07-03        0 
 1992-07-04        0 
 1992-07-05        0 
 1992-07-06    0.125 
 1992-07-07   9.8125 
 1992-07-08   14.375 
 1992-07-09    10.75 
 1992-07-10       17 
 1992-07-11    9.375 
 1992-07-12  15.6875 
 1992-07-13    4.375 
 1992-07-14    8.125 
 1992-07-15     9.75 
 1992-07-16   9.3125 
 1992-07-17   13.375 
 1992-07-18        0 
 1992-07-19   17.375 
 1992-07-20  19.5625 
 1992-07-21    1.625 
 1992-07-22  10.9375 
 1992-07-23    3.125 
 1992-07-24   5.6875 
 1992-07-25   77.375 
 1992-07-26    2.625 
 1992-07-27   0.0625 
 1992-07-28   45.125 
 1992-07-29    0.625 
 1992-07-30   6.1875 
 1992-07-31      2.5 
 1992-08-01  11.1875 
 1992-08-02  16.4375 
 1992-08-03   11.375 
 1992-08-04    3.875 
 1992-08-05   5.6875 
 1992-08-06   1.1875 
 1992-08-07   11.875 
 1992-08-08    5.375 
 1992-08-09  31.0625 
 1992-08-10   10.625 
 1992-08-11   0.1875 
 1992-08-12   1.0625 
 1992-08-13      0.5 
 1992-08-14   3.1875 
 1992-08-15   2.1875 
 1992-08-16   0.0625 
 1992-08-17   0.4375 
 1992-08-18   1.8125 
 1992-08-19    1.125 
 1992-08-20      5.5 
 1992-08-21   6.5625 
 1992-08-22     5.25 
 1992-08-23   0.0625 
 1992-08-24     0.25 
 1992-08-25   1.9375 
 1992-08-26   6.9375 
 1992-08-27       15 
 1992-08-28   4.4375 
 1992-08-29    6.625 
 1992-08-30    3.625 
 1992-08-31        0 
 1992-09-01   0.0625 
 1992-09-02        0 
 1992-09-03        0 
 1992-09-04    3.875 
 1992-09-05   1.1875 
 1992-09-06        1 
 1992-09-07        0 
 1992-09-08        0 
 1992-09-09        0 
 1992-09-10        0 
 1992-09-11    11.75 
 1992-09-12      0.5 
 1992-09-13    0.625 
 1992-09-14        0 
 1992-09-15     0.25 
 1992-09-16   1.1875 
 1992-09-17     0.25 
 1992-09-18        0 
 1992-09-19        0 
 1992-09-20   11.125 
 1992-09-21  38.1875 
 1992-09-22   4.1875 
 1992-09-23   2.1875 
 1992-09-24   1.0625 
 1992-09-25     0.75 
 1992-09-26     1.25 
 1992-09-27   6.4375 
 1992-09-28   2.5625 
 1992-09-29   1.4375 
 1992-09-30        0 
 1992-10-01    5.625 
 1992-10-02   5.5625 
 1992-10-03  10.8125 
 1992-10-04        0 
 1992-10-05        0 
 1992-10-06   0.0625 
 1992-10-07   0.0625 
 1992-10-08        0 
 1992-10-09   0.0625 
 1992-10-10   0.0625 
 1992-10-11        0 
 1992-10-12        0 
 1992-10-13        0 
 1992-10-14        0 
 1992-10-15        0 
 1992-10-16        0 
 1992-10-17        0 
