#      date    value 
 1981-01-01        0 
 1981-01-02        0 
 1981-01-03   0.0625 
 1981-01-04   0.0625 
 1981-01-05     16.5 
 1981-01-06  25.8125 
 1981-01-07   2.4375 
 1981-01-08   0.6875 
 1981-01-09   1.5625 
 1981-01-10        0 
 1981-01-11        0 
 1981-01-12        0 
 1981-01-13        0 
 1981-01-14        0 
 1981-01-15        0 
 1981-01-16        0 
 1981-01-17        0 
 1981-01-18        0 
 1981-01-19        0 
 1981-01-20        0 
 1981-01-21        0 
 1981-01-22    0.125 
 1981-01-23        0 
 1981-01-24   0.3125 
 1981-01-25    0.375 
 1981-01-26        0 
 1981-01-27        0 
 1981-01-28      8.5 
 1981-01-29   4.6875 
 1981-01-30      8.5 
 1981-01-31    2.625 
 1981-02-01   0.0625 
 1981-02-02    3.625 
 1981-02-03    3.125 
 1981-02-04    0.125 
 1981-02-05  10.9375 
 1981-02-06    0.125 
 1981-02-07        0 
 1981-02-08        0 
 1981-02-09   0.1875 
 1981-02-10   0.0625 
 1981-02-11        0 
 1981-02-12        0 
 1981-02-13      8.5 
 1981-02-14   0.1875 
 1981-02-15  29.4375 
 1981-02-16   10.625 
 1981-02-17   2.3125 
 1981-02-18   13.125 
 1981-02-19   0.0625 
 1981-02-20        0 
 1981-02-21    0.875 
 1981-02-22   0.8125 
 1981-02-23   1.6875 
 1981-02-24      3.5 
 1981-02-25   0.6875 
 1981-02-26        0 
 1981-02-27        2 
 1981-02-28   7.4375 
 1981-03-01   1.9375 
 1981-03-02   1.6875 
 1981-03-03  11.0625 
 1981-03-04     6.75 
 1981-03-05   2.3125 
 1981-03-06   5.1875 
 1981-03-07     1.25 
 1981-03-08    11.25 
 1981-03-09   0.6875 
 1981-03-10   7.6875 
 1981-03-11    11.25 
 1981-03-12   2.6875 
 1981-03-13    2.125 
 1981-03-14   13.625 
 1981-03-15   4.9375 
 1981-03-16     4.25 
 1981-03-17    38.25 
 1981-03-18    9.375 
 1981-03-19    2.625 
 1981-03-20    0.125 
 1981-03-21       13 
 1981-03-22  26.9375 
 1981-03-23   8.0625 
 1981-03-24  13.6875 
 1981-03-25    3.125 
 1981-03-26   3.9375 
 1981-03-27   1.3125 
 1981-03-28   5.1875 
 1981-03-29       17 
 1981-03-30   3.6875 
 1981-03-31   1.1875 
 1981-04-01     3.75 
 1981-04-02  15.4375 
 1981-04-03   33.125 
 1981-04-04    25.75 
 1981-04-05   48.125 
 1981-04-06       35 
 1981-04-07  48.0625 
 1981-04-08  33.6875 
 1981-04-09     3.75 
 1981-04-10  31.0625 
 1981-04-11  19.9375 
 1981-04-12   6.1875 
 1981-04-13   13.375 
 1981-04-14   44.375 
 1981-04-15    7.625 
 1981-04-16      1.5 
 1981-04-17     0.25 
 1981-04-18   23.875 
 1981-04-19     1.75 
 1981-04-20   3.1875 
 1981-04-21     8.75 
 1981-04-22   2.1875 
 1981-04-23   6.8125 
 1981-04-24    1.125 
 1981-04-25   2.4375 
 1981-04-26    3.625 
 1981-04-27   2.8125 
 1981-04-28   8.3125 
 1981-04-29    0.875 
 1981-04-30   1.0625 
 1981-05-01    0.125 
 1981-05-02       28 
 1981-05-03   9.4375 
 1981-05-04   2.1875 
 1981-05-05        0 
 1981-05-06        0 
 1981-05-07        0 
 1981-05-08        0 
 1981-05-09    3.875 
 1981-05-10     9.75 
 1981-05-11   12.375 
 1981-05-12   0.0625 
 1981-05-13   5.5625 
 1981-05-14  20.3125 
 1981-05-15     2.25 
 1981-05-16     0.75 
 1981-05-17        0 
 1981-05-18    0.125 
 1981-05-19   6.6875 
 1981-05-20  25.3125 
 1981-05-21     5.75 
 1981-05-22   1.5625 
 1981-05-23        0 
 1981-05-24     2.25 
 1981-05-25        9 
 1981-05-26   6.0625 
 1981-05-27  26.6875 
 1981-05-28   1.6875 
 1981-05-29    38.25 
 1981-05-30  11.3125 
 1981-05-31    5.375 
 1981-06-01  27.5625 
 1981-06-02    0.375 
 1981-06-03      4.5 
 1981-06-04    29.75 
 1981-06-05     1.25 
 1981-06-06     1.75 
 1981-06-07   0.0625 
 1981-06-08        0 
 1981-06-09        0 
 1981-06-10   1.1875 
 1981-06-11   4.0625 
 1981-06-12    0.875 
