#      date    value 
 1995-01-01    0.875 
 1995-01-02      1.5 
 1995-01-03    2.375 
 1995-01-04   0.5625 
 1995-01-05        0 
 1995-01-06    0.125 
 1995-01-07   0.3125 
 1995-01-08    0.125 
 1995-01-09   0.4375 
 1995-01-10      4.5 
 1995-01-11   3.5625 
 1995-01-12   2.1875 
 1995-01-13   1.8125 
 1995-01-14        0 
 1995-01-15     0.75 
 1995-01-16        0 
 1995-01-17        0 
 1995-01-18   0.0625 
 1995-01-19      2.5 
 1995-01-20        0 
 1995-01-21      0.5 
 1995-01-22   2.0625 
 1995-01-23   3.0625 
 1995-01-24   1.3125 
 1995-01-25    7.625 
 1995-01-26      2.5 
 1995-01-27      0.5 
 1995-01-28   1.8125 
 1995-01-29   0.9375 
 1995-01-30    2.125 
 1995-01-31    0.125 
 1995-02-01        0 
 1995-02-02     0.25 
 1995-02-03   0.0625 
 1995-02-04        0 
 1995-02-05    2.125 
 1995-02-06   0.4375 
 1995-02-07    0.125 
 1995-02-08   0.0625 
 1995-02-09   2.5625 
 1995-02-10        0 
 1995-02-11    0.125 
 1995-02-12   0.4375 
 1995-02-13        0 
 1995-02-14     2.75 
 1995-02-15   0.9375 
 1995-02-16     2.25 
 1995-02-17     0.75 
 1995-02-18   3.8125 
 1995-02-19        0 
 1995-02-20   0.1875 
 1995-02-21   0.0625 
 1995-02-22   0.6875 
 1995-02-23   3.4375 
 1995-02-24   1.8125 
 1995-02-25   4.1875 
 1995-02-26   1.8125 
 1995-02-27    1.125 
 1995-02-28        0 
 1995-03-01        0 
 1995-03-02   2.3125 
 1995-03-03    0.125 
 1995-03-04   9.3125 
 1995-03-05    0.625 
 1995-03-06      0.5 
 1995-03-07   0.5625 
 1995-03-08        0 
 1995-03-09     0.25 
 1995-03-10   0.4375 
 1995-03-11        0 
 1995-03-12        0 
 1995-03-13   0.3125 
 1995-03-14   1.8125 
 1995-03-15   0.9375 
 1995-03-16    1.125 
 1995-03-17        1 
 1995-03-18        2 
 1995-03-19   9.8125 
 1995-03-20   1.9375 
 1995-03-21    3.125 
 1995-03-22   0.6875 
 1995-03-23     2.75 
 1995-03-24        0 
 1995-03-25   1.6875 
 1995-03-26    3.125 
 1995-03-27     5.25 
 1995-03-28        1 
 1995-03-29   7.0625 
 1995-03-30        2 
 1995-03-31        2 
 1995-04-01   8.8125 
 1995-04-02    3.125 
 1995-04-03        0 
 1995-04-04   0.0625 
 1995-04-05        0 
 1995-04-06     0.25 
 1995-04-07    1.125 
 1995-04-08   1.0625 
 1995-04-09   1.8125 
 1995-04-10    3.875 
 1995-04-11  10.1875 
 1995-04-12     1.25 
 1995-04-13     1.75 
 1995-04-14    5.875 
 1995-04-15    7.625 
 1995-04-16   1.3125 
 1995-04-17    2.125 
 1995-04-18   2.1875 
 1995-04-19    0.125 
 1995-04-20        0 
 1995-04-21   0.0625 
 1995-04-22        0 
 1995-04-23        0 
 1995-04-24   0.3125 
 1995-04-25     2.25 
 1995-04-26   2.3125 
 1995-04-27   5.0625 
 1995-04-28        1 
 1995-04-29        0 
 1995-04-30   4.8125 
 1995-05-01    7.375 
 1995-05-02        0 
 1995-05-03        0 
 1995-05-04        0 
 1995-05-05        0 
 1995-05-06   0.1875 
 1995-05-07        0 
 1995-05-08   1.0625 
 1995-05-09   5.8125 
 1995-05-10     0.25 
 1995-05-11   0.1875 
 1995-05-12      2.5 
 1995-05-13    20.25 
 1995-05-14    5.125 
 1995-05-15        0 
 1995-05-16   0.0625 
 1995-05-17     1.25 
 1995-05-18    0.875 
 1995-05-19    1.375 
 1995-05-20   0.6875 
 1995-05-21   0.5625 
 1995-05-22   0.0625 
 1995-05-23        0 
 1995-05-24        0 
 1995-05-25        0 
 1995-05-26   0.0625 
 1995-05-27   3.5625 
 1995-05-28        0 
 1995-05-29   1.1875 
 1995-05-30      6.5 
 1995-05-31    6.625 
 1995-06-01     5.75 
 1995-06-02   1.3125 
 1995-06-03        0 
 1995-06-04      1.5 
 1995-06-05    6.625 
 1995-06-06    6.875 
 1995-06-07   2.1875 
 1995-06-08    0.125 
 1995-06-09    2.125 
 1995-06-10   0.4375 
 1995-06-11   9.3125 
 1995-06-12   5.9375 
 1995-06-13   7.9375 
 1995-06-14    3.875 
 1995-06-15    1.625 
 1995-06-16   0.4375 
 1995-06-17        0 
 1995-06-18   0.5625 
 1995-06-19   0.9375 
 1995-06-20        0 
 1995-06-21        6 
 1995-06-22    1.125 
 1995-06-23   1.1875 
 1995-06-24        1 
 1995-06-25     10.5 
 1995-06-26     9.25 
 1995-06-27   3.1875 
 1995-06-28        0 
 1995-06-29        0 
 1995-06-30        0 
 1995-07-01        0 
 1995-07-02    4.625 
 1995-07-03     12.5 
 1995-07-04    6.375 
 1995-07-05        0 
 1995-07-06   0.0625 
 1995-07-07        0 
 1995-07-08        0 
 1995-07-09        0 
 1995-07-10        0 
 1995-07-11        0 
 1995-07-12   3.9375 
 1995-07-13     0.75 
 1995-07-14     4.25 
 1995-07-15    1.625 
 1995-07-16   1.3125 
 1995-07-17   0.1875 
 1995-07-18     2.25 
 1995-07-19     0.75 
 1995-07-20        0 
 1995-07-21        0 
 1995-07-22   5.4375 
 1995-07-23   12.625 
 1995-07-24        0 
 1995-07-25        0 
 1995-07-26        0 
 1995-07-27        0 
 1995-07-28  12.6875 
 1995-07-29   7.9375 
 1995-07-30   0.0625 
 1995-07-31        0 
 1995-08-01    0.125 
 1995-08-02        0 
 1995-08-03        0 
 1995-08-04        0 
 1995-08-05        0 
 1995-08-06        0 
 1995-08-07        0 
 1995-08-08      1.5 
