#      date    value 
 1987-01-01  12.6875 
 1987-01-02  13.1875 
 1987-01-03    1.375 
 1987-01-04   3.1875 
 1987-01-05   16.125 
 1987-01-06  14.5625 
 1987-01-07    1.375 
 1987-01-08   2.1875 
 1987-01-09   9.9375 
 1987-01-10    4.625 
 1987-01-11   0.3125 
 1987-01-12    1.875 
 1987-01-13      0.5 
 1987-01-14        0 
 1987-01-15   2.3125 
 1987-01-16   0.4375 
 1987-01-17   0.1875 
 1987-01-18        0 
 1987-01-19   0.0625 
 1987-01-20        0 
 1987-01-21        0 
 1987-01-22   0.0625 
 1987-01-23    2.375 
 1987-01-24   0.9375 
 1987-01-25   0.5625 
 1987-01-26   9.1875 
 1987-01-27    0.125 
 1987-01-28   3.3125 
 1987-01-29     0.75 
 1987-01-30        0 
 1987-01-31        0 
 1987-02-01        0 
 1987-02-02        0 
 1987-02-03        0 
 1987-02-04        0 
 1987-02-05        0 
 1987-02-06     2.25 
 1987-02-07   6.4375 
 1987-02-08    8.375 
 1987-02-09   2.9375 
 1987-02-10   5.3125 
 1987-02-11        0 
 1987-02-12        0 
 1987-02-13   2.6875 
 1987-02-14        0 
 1987-02-15   4.6875 
 1987-02-16    0.625 
 1987-02-17   0.1875 
 1987-02-18   4.5625 
 1987-02-19    0.875 
 1987-02-20   3.1875 
 1987-02-21        2 
 1987-02-22    1.375 
 1987-02-23   0.5625 
 1987-02-24        0 
 1987-02-25        0 
 1987-02-26        0 
 1987-02-27      9.5 
 1987-02-28   9.8125 
 1987-03-01   4.3125 
 1987-03-02    25.25 
 1987-03-03    1.125 
 1987-03-04        0 
 1987-03-05        0 
 1987-03-06    0.125 
 1987-03-07        0 
 1987-03-08        0 
 1987-03-09   0.0625 
 1987-03-10        0 
 1987-03-11        0 
 1987-03-12        0 
 1987-03-13        0 
 1987-03-14        0 
 1987-03-15   1.8125 
 1987-03-16   4.5625 
 1987-03-17  11.5625 
 1987-03-18    9.625 
 1987-03-19     4.75 
 1987-03-20   0.9375 
 1987-03-21   0.4375 
 1987-03-22     1.25 
 1987-03-23   10.125 
 1987-03-24  15.8125 
 1987-03-25     1.75 
 1987-03-26   2.6875 
 1987-03-27   1.8125 
 1987-03-28    6.875 
 1987-03-29   2.8125 
 1987-03-30   0.1875 
 1987-03-31   0.0625 
 1987-04-01   2.9375 
 1987-04-02   1.0625 
 1987-04-03        0 
 1987-04-04   1.1875 
 1987-04-05   1.6875 
 1987-04-06        2 
 1987-04-07        0 
 1987-04-08     0.25 
 1987-04-09  10.4375 
 1987-04-10   9.3125 
 1987-04-11   0.0625 
 1987-04-12   4.3125 
 1987-04-13        0 
 1987-04-14   0.0625 
 1987-04-15    0.125 
 1987-04-16    0.375 
 1987-04-17        0 
 1987-04-18        0 
 1987-04-19     3.25 
 1987-04-20    5.875 
 1987-04-21   4.8125 
 1987-04-22   1.0625 
 1987-04-23        0 
 1987-04-24        0 
 1987-04-25        0 
 1987-04-26   0.3125 
 1987-04-27        0 
 1987-04-28        0 
 1987-04-29        0 
 1987-04-30    0.375 
 1987-05-01   0.0625 
 1987-05-02   1.3125 
 1987-05-03     25.5 
 1987-05-04        6 
 1987-05-05   1.3125 
 1987-05-06     0.75 
 1987-05-07    0.875 
 1987-05-08        0 
 1987-05-09        0 
 1987-05-10  10.8125 
 1987-05-11        0 
 1987-05-12  10.6875 
 1987-05-13    3.375 
 1987-05-14   1.1875 
 1987-05-15   4.3125 
 1987-05-16     0.75 
 1987-05-17    0.125 
 1987-05-18    0.125 
 1987-05-19   0.0625 
 1987-05-20   0.9375 
 1987-05-21   5.9375 
 1987-05-22  11.1875 
 1987-05-23   4.3125 
 1987-05-24        0 
 1987-05-25   0.0625 
 1987-05-26        0 
 1987-05-27     1.75 
 1987-05-28     0.75 
 1987-05-29      3.5 
 1987-05-30     2.25 
 1987-05-31        4 
 1987-06-01    3.875 
 1987-06-02    6.125 
 1987-06-03      9.5 
 1987-06-04      9.5 
 1987-06-05     4.75 
 1987-06-06   0.8125 
 1987-06-07   11.375 
 1987-06-08        7 
 1987-06-09     0.25 
 1987-06-10   3.5625 
 1987-06-11   2.3125 
 1987-06-12   6.5625 
 1987-06-13   6.1875 
 1987-06-14     1.25 
 1987-06-15   31.625 
 1987-06-16   3.6875 
 1987-06-17   2.3125 
 1987-06-18  10.3125 
 1987-06-19    3.625 
 1987-06-20   3.8125 
 1987-06-21   0.4375 
 1987-06-22   1.9375 
