#      date    value 
 1984-01-01        0 
 1984-01-02   0.4375 
 1984-01-03        4 
 1984-01-04        1 
 1984-01-05   0.1875 
 1984-01-06    0.625 
 1984-01-07    1.625 
 1984-01-08    0.625 
 1984-01-09      0.5 
 1984-01-10        0 
 1984-01-11        0 
 1984-01-12    0.125 
 1984-01-13      3.5 
 1984-01-14   10.875 
 1984-01-15    1.375 
 1984-01-16      1.5 
 1984-01-17    2.125 
 1984-01-18        0 
 1984-01-19        0 
 1984-01-20        0 
 1984-01-21        0 
 1984-01-22    3.125 
 1984-01-23   4.0625 
 1984-01-24      0.5 
 1984-01-25   0.5625 
 1984-01-26   0.1875 
 1984-01-27    2.625 
 1984-01-28   0.6875 
 1984-01-29   0.3125 
 1984-01-30      0.5 
 1984-01-31   1.0625 
 1984-02-01   1.4375 
 1984-02-02     0.75 
 1984-02-03   5.5625 
 1984-02-04   0.1875 
 1984-02-05      1.5 
 1984-02-06     10.5 
 1984-02-07   13.875 
 1984-02-08   1.4375 
 1984-02-09    2.875 
 1984-02-10   1.9375 
 1984-02-11    2.625 
 1984-02-12        0 
 1984-02-13        0 
 1984-02-14        0 
 1984-02-15        0 
 1984-02-16        0 
 1984-02-17        0 
 1984-02-18        0 
 1984-02-19        0 
 1984-02-20        0 
 1984-02-21        0 
 1984-02-22   4.1875 
 1984-02-23        0 
 1984-02-24   0.6875 
 1984-02-25   2.5625 
 1984-02-26        0 
 1984-02-27        0 
 1984-02-28        0 
 1984-02-29        0 
 1984-03-01        0 
 1984-03-02    0.125 
 1984-03-03        0 
 1984-03-04        0 
 1984-03-05        0 
 1984-03-06    0.125 
 1984-03-07   0.0625 
 1984-03-08     0.75 
 1984-03-09   0.4375 
 1984-03-10        0 
 1984-03-11        0 
 1984-03-12        0 
 1984-03-13        0 
 1984-03-14        0 
 1984-03-15        0 
 1984-03-16        0 
 1984-03-17        0 
 1984-03-18        0 
 1984-03-19        0 
 1984-03-20        0 
 1984-03-21        0 
 1984-03-22        0 
 1984-03-23        0 
 1984-03-24        0 
 1984-03-25    2.125 
 1984-03-26    0.375 
 1984-03-27   1.1875 
 1984-03-28   0.6875 
 1984-03-29   1.0625 
 1984-03-30        0 
 1984-03-31    2.375 
 1984-04-01      8.5 
 1984-04-02   17.625 
 1984-04-03   3.3125 
 1984-04-04    4.375 
 1984-04-05    0.875 
 1984-04-06   3.3125 
 1984-04-07    0.125 
 1984-04-08        0 
 1984-04-09     0.25 
 1984-04-10     3.75 
 1984-04-11   1.9375 
 1984-04-12   0.4375 
 1984-04-13        0 
 1984-04-14        0 
 1984-04-15        0 
 1984-04-16      6.5 
 1984-04-17   0.0625 
 1984-04-18        0 
 1984-04-19        0 
 1984-04-20        0 
 1984-04-21        0 
 1984-04-22        0 
 1984-04-23        0 
 1984-04-24        0 
 1984-04-25        0 
 1984-04-26        0 
 1984-04-27        0 
 1984-04-28    0.125 
 1984-04-29        0 
 1984-04-30        5 
 1984-05-01    3.125 
 1984-05-02        0 
 1984-05-03   0.4375 
 1984-05-04        0 
 1984-05-05   3.8125 
 1984-05-06  13.6875 
 1984-05-07    2.625 
 1984-05-08   3.8125 
 1984-05-09   0.0625 
 1984-05-10      1.5 
 1984-05-11   1.6875 
 1984-05-12    7.625 
 1984-05-13        6 
 1984-05-14    5.875 
 1984-05-15   0.0625 
 1984-05-16      1.5 
 1984-05-17    4.375 
 1984-05-18        0 
 1984-05-19     0.25 
 1984-05-20     1.75 
 1984-05-21  15.9375 
 1984-05-22   2.4375 
 1984-05-23     5.25 
 1984-05-24      8.5 
 1984-05-25   1.3125 
 1984-05-26   0.6875 
 1984-05-27    1.375 
 1984-05-28  13.6875 
 1984-05-29   5.8125 
 1984-05-30     3.75 
 1984-05-31    2.375 
 1984-06-01   0.0625 
 1984-06-02   4.9375 
 1984-06-03        0 
 1984-06-04   7.5625 
 1984-06-05    1.125 
 1984-06-06  23.1875 
 1984-06-07    0.375 
 1984-06-08    1.375 
 1984-06-09        0 
 1984-06-10    0.125 
 1984-06-11   0.0625 
 1984-06-12        0 
 1984-06-13   0.0625 
 1984-06-14   0.9375 
 1984-06-15        0 
 1984-06-16        0 
 1984-06-17        0 
 1984-06-18        0 
 1984-06-19        0 
 1984-06-20        0 
 1984-06-21   7.9375 
 1984-06-22   0.3125 
 1984-06-23   4.9375 
 1984-06-24        0 
 1984-06-25   4.1875 
 1984-06-26     0.75 
 1984-06-27        0 
 1984-06-28   0.4375 
 1984-06-29        0 
 1984-06-30    1.125 
 1984-07-01        0 
 1984-07-02   5.8125 
 1984-07-03      3.5 
 1984-07-04   0.3125 
 1984-07-05        0 
 1984-07-06        0 
 1984-07-07        0 
 1984-07-08        0 
 1984-07-09        0 
 1984-07-10        0 
 1984-07-11   3.4375 
 1984-07-12   0.8125 
 1984-07-13    0.625 
 1984-07-14   2.8125 
 1984-07-15     16.5 
 1984-07-16   4.1875 
 1984-07-17   0.4375 
 1984-07-18    5.875 
 1984-07-19      1.5 
 1984-07-20        0 
 1984-07-21        0 
 1984-07-22        0 
 1984-07-23        0 
 1984-07-24        0 
 1984-07-25        0 
 1984-07-26   0.1875 
 1984-07-27   1.4375 
 1984-07-28   0.4375 
 1984-07-29   4.1875 
 1984-07-30    0.125 
 1984-07-31    0.125 
 1984-08-01   27.125 
 1984-08-02   0.4375 
 1984-08-03    0.125 
 1984-08-04   1.0625 
 1984-08-05   4.0625 
 1984-08-06   0.1875 
 1984-08-07   0.1875 
 1984-08-08   0.0625 
 1984-08-09    0.125 
 1984-08-10   2.9375 
 1984-08-11    4.875 
 1984-08-12   0.1875 
 1984-08-13    0.125 
 1984-08-14     0.25 
 1984-08-15        0 
 1984-08-16   6.3125 
 1984-08-17        0 
 1984-08-18        0 
 1984-08-19     0.25 
 1984-08-20        0 
 1984-08-21        0 
 1984-08-22        0 
 1984-08-23        0 
 1984-08-24    1.375 
 1984-08-25    5.125 
 1984-08-26    5.375 
 1984-08-27        0 
 1984-08-28        0 
 1984-08-29        0 
 1984-08-30        0 
 1984-08-31        0 
 1984-09-01        0 
 1984-09-02        0 
 1984-09-03        0 
 1984-09-04   0.6875 
 1984-09-05        1 
 1984-09-06  19.6875 
 1984-09-07        0 
 1984-09-08    3.875 
 1984-09-09     9.25 
 1984-09-10     5.25 
 1984-09-11    4.625 
 1984-09-12        1 
 1984-09-13        0 
 1984-09-14    0.125 
 1984-09-15   0.6875 
 1984-09-16        0 
 1984-09-17        0 
 1984-09-18        0 
 1984-09-19     0.25 
 1984-09-20    0.375 
 1984-09-21   0.1875 
 1984-09-22    0.125 
 1984-09-23    3.875 
 1984-09-24     1.75 
 1984-09-25    0.875 
 1984-09-26     4.75 
 1984-09-27   0.1875 
 1984-09-28        0 
 1984-09-29   0.0625 
 1984-09-30   3.4375 
 1984-10-01   0.0625 
 1984-10-02    2.625 
 1984-10-03      0.5 
 1984-10-04    1.125 
 1984-10-05  12.5625 
 1984-10-06    0.875 
 1984-10-07    0.875 
 1984-10-08    4.625 
 1984-10-09    0.625 
 1984-10-10    5.375 
 1984-10-11    0.125 
 1984-10-12   0.3125 
 1984-10-13        0 
 1984-10-14    0.125 
 1984-10-15        0 
 1984-10-16        0 
 1984-10-17        0 
 1984-10-18   0.3125 
 1984-10-19        2 
 1984-10-20     1.75 
 1984-10-21        0 
 1984-10-22    1.125 
 1984-10-23   4.5625 
 1984-10-24        0 
 1984-10-25    0.125 
 1984-10-26   2.3125 
 1984-10-27    0.875 
 1984-10-28   0.0625 
 1984-10-29   0.0625 
 1984-10-30        0 
 1984-10-31        0 
 1984-11-01    0.125 
 1984-11-02   0.1875 
 1984-11-03        0 
 1984-11-04   0.0625 
 1984-11-05        0 
 1984-11-06        0 
 1984-11-07        0 
 1984-11-08        0 
 1984-11-09        0 
 1984-11-10        0 
 1984-11-11        0 
 1984-11-12        0 
 1984-11-13        0 
 1984-11-14        0 
 1984-11-15    0.125 
 1984-11-16   0.1875 
 1984-11-17      2.5 
 1984-11-18        0 
 1984-11-19        0 
 1984-11-20   0.0625 
 1984-11-21   1.1875 
 1984-11-22     8.75 
 1984-11-23   18.875 
 1984-11-24        2 
 1984-11-25   1.0625 
 1984-11-26     0.25 
 1984-11-27        0 
 1984-11-28        0 
 1984-11-29        0 
 1984-11-30        0 
 1984-12-01        0 
 1984-12-02        0 
 1984-12-03     0.25 
 1984-12-04   0.1875 
 1984-12-05        0 
 1984-12-06        0 
 1984-12-07        0 
 1984-12-08        0 
 1984-12-09      0.5 
 1984-12-10   0.0625 
 1984-12-11        0 
 1984-12-12        0 
 1984-12-13        0 
 1984-12-14   2.4375 
 1984-12-15   0.9375 
 1984-12-16   0.8125 
 1984-12-17    3.375 
 1984-12-18   6.6875 
 1984-12-19   0.0625 
 1984-12-20    3.375 
 1984-12-21   3.9375 
 1984-12-22        0 
 1984-12-23        0 
 1984-12-24        0 
 1984-12-25   0.0625 
 1984-12-26     0.25 
 1984-12-27    0.375 
 1984-12-28        1 
 1984-12-29    0.125 
 1984-12-30    0.375 
 1984-12-31    0.375 
