#      date    value 
 1987-01-01  11.8125 
 1987-01-02  15.0625 
 1987-01-03    0.875 
 1987-01-04   2.6875 
 1987-01-05   6.5625 
 1987-01-06        6 
 1987-01-07   1.5625 
 1987-01-08     1.75 
 1987-01-09   9.0625 
 1987-01-10   3.6875 
 1987-01-11   0.6875 
 1987-01-12     3.25 
 1987-01-13   1.0625 
 1987-01-14        0 
 1987-01-15   4.5625 
 1987-01-16   0.6875 
 1987-01-17        0 
 1987-01-18   0.0625 
 1987-01-19    0.375 
 1987-01-20   0.0625 
 1987-01-21        0 
 1987-01-22     0.25 
 1987-01-23   1.3125 
 1987-01-24   0.9375 
 1987-01-25   0.8125 
 1987-01-26    3.875 
 1987-01-27   0.0625 
 1987-01-28   2.8125 
 1987-01-29    0.375 
 1987-01-30        0 
 1987-01-31        0 
 1987-02-01        0 
 1987-02-02        0 
 1987-02-03        0 
 1987-02-04   0.3125 
 1987-02-05     0.25 
 1987-02-06   1.3125 
 1987-02-07      3.5 
 1987-02-08     6.25 
 1987-02-09   0.4375 
 1987-02-10    4.125 
 1987-02-11   1.3125 
 1987-02-12   0.0625 
 1987-02-13     3.25 
 1987-02-14    2.125 
 1987-02-15    6.625 
 1987-02-16   1.6875 
 1987-02-17   1.1875 
 1987-02-18   5.8125 
 1987-02-19        1 
 1987-02-20   3.5625 
 1987-02-21   4.5625 
 1987-02-22     0.75 
 1987-02-23   0.4375 
 1987-02-24        0 
 1987-02-25        0 
 1987-02-26        0 
 1987-02-27     8.75 
 1987-02-28   7.1875 
 1987-03-01      4.5 
 1987-03-02  29.1875 
 1987-03-03    0.375 
 1987-03-04        0 
 1987-03-05        0 
 1987-03-06   0.0625 
 1987-03-07        0 
 1987-03-08        0 
 1987-03-09   0.0625 
 1987-03-10        0 
 1987-03-11        0 
 1987-03-12        0 
 1987-03-13        0 
 1987-03-14        0 
 1987-03-15     2.25 
 1987-03-16        2 
 1987-03-17   4.9375 
 1987-03-18    4.875 
 1987-03-19        4 
 1987-03-20    1.875 
 1987-03-21     0.25 
 1987-03-22   2.5625 
 1987-03-23   5.9375 
 1987-03-24   6.3125 
 1987-03-25    3.375 
 1987-03-26   1.5625 
 1987-03-27    1.625 
 1987-03-28      2.5 
 1987-03-29    1.375 
 1987-03-30   1.9375 
 1987-03-31        0 
 1987-04-01    1.125 
 1987-04-02   0.9375 
 1987-04-03        0 
 1987-04-04   2.9375 
 1987-04-05   2.6875 
 1987-04-06     3.25 
 1987-04-07    0.875 
 1987-04-08   0.9375 
 1987-04-09   1.8125 
 1987-04-10        2 
 1987-04-11     2.25 
 1987-04-12    2.125 
 1987-04-13    0.125 
 1987-04-14        0 
 1987-04-15    0.625 
 1987-04-16    0.875 
 1987-04-17   0.0625 
 1987-04-18        0 
 1987-04-19    0.375 
 1987-04-20   2.1875 
 1987-04-21    3.375 
 1987-04-22     0.75 
 1987-04-23        0 
 1987-04-24        0 
 1987-04-25        0 
 1987-04-26    0.125 
 1987-04-27        0 
 1987-04-28        0 
 1987-04-29        0 
 1987-04-30        1 
 1987-05-01   0.1875 
 1987-05-02      0.5 
 1987-05-03   16.125 
 1987-05-04    8.125 
 1987-05-05   0.9375 
 1987-05-06   0.5625 
 1987-05-07   0.4375 
 1987-05-08        0 
 1987-05-09        0 
 1987-05-10     4.25 
 1987-05-11   0.1875 
 1987-05-12    5.375 
 1987-05-13   1.1875 
 1987-05-14   1.5625 
 1987-05-15    4.125 
 1987-05-16   0.5625 
 1987-05-17    0.125 
 1987-05-18    1.625 
 1987-05-19    0.375 
 1987-05-20    1.625 
 1987-05-21     2.75 
 1987-05-22      9.5 
 1987-05-23      1.5 
 1987-05-24    0.625 
 1987-05-25   0.0625 
 1987-05-26        0 
 1987-05-27    5.125 
 1987-05-28   0.8125 
 1987-05-29   8.4375 
 1987-05-30    2.375 
 1987-05-31   5.0625 
 1987-06-01   1.9375 
 1987-06-02      5.5 
 1987-06-03   4.6875 
 1987-06-04   4.3125 
 1987-06-05   3.5625 
 1987-06-06   0.5625 
 1987-06-07    1.375 
 1987-06-08    1.625 
 1987-06-09   0.0625 
 1987-06-10     2.75 
 1987-06-11   2.3125 
 1987-06-12   6.1875 
 1987-06-13  15.3125 
 1987-06-14    3.375 
 1987-06-15   14.375 
 1987-06-16    2.375 
 1987-06-17    3.625 
 1987-06-18      3.5 
 1987-06-19      5.5 
 1987-06-20      8.5 
 1987-06-21    0.375 
 1987-06-22     1.75 
 1987-06-23        3 
 1987-06-24   9.4375 
 1987-06-25    0.875 
 1987-06-26   1.6875 
 1987-06-27      0.5 
 1987-06-28   0.3125 
 1987-06-29        0 
 1987-06-30   0.0625 
 1987-07-01     5.75 
 1987-07-02        0 
 1987-07-03   0.4375 
 1987-07-04   1.0625 
 1987-07-05        0 
 1987-07-06        0 
 1987-07-07        0 
 1987-07-08    8.375 
 1987-07-09   0.6875 
 1987-07-10   0.0625 
 1987-07-11        0 
 1987-07-12     0.25 
 1987-07-13     0.25 
 1987-07-14        0 
 1987-07-15   5.9375 
 1987-07-16  12.6875 
 1987-07-17   0.9375 
 1987-07-18    4.125 
 1987-07-19   0.3125 
 1987-07-20    6.375 
 1987-07-21      6.5 
 1987-07-22    0.875 
 1987-07-23     3.25 
