#      date    value 
 2003-01-01   2.6875 
 2003-01-02     6.75 
 2003-01-03     13.5 
 2003-01-04     2.75 
 2003-01-05   0.4375 
 2003-01-06        4 
 2003-01-07      0.5 
 2003-01-08        0 
 2003-01-09        0 
 2003-01-10   0.6875 
 2003-01-11    0.375 
 2003-01-12        0 
 2003-01-13   7.5625 
 2003-01-14    1.625 
 2003-01-15        0 
 2003-01-16        0 
 2003-01-17        0 
 2003-01-18        0 
 2003-01-19        0 
 2003-01-20   0.1875 
 2003-01-21        0 
 2003-01-22        0 
 2003-01-23    6.625 
 2003-01-24   7.8125 
 2003-01-25        0 
 2003-01-26    1.875 
 2003-01-27    7.125 
 2003-01-28   8.6875 
 2003-01-29   4.1875 
 2003-01-30    4.875 
 2003-01-31        2 
 2003-02-01   0.4375 
 2003-02-02     1.25 
 2003-02-03    3.875 
 2003-02-04     0.25 
 2003-02-05        0 
 2003-02-06    1.875 
 2003-02-07   1.8125 
 2003-02-08   3.1875 
 2003-02-09        0 
 2003-02-10        0 
 2003-02-11        0 
 2003-02-12        0 
 2003-02-13        0 
 2003-02-14        0 
 2003-02-15    2.875 
 2003-02-16    0.875 
 2003-02-17        0 
 2003-02-18        0 
 2003-02-19        0 
 2003-02-20        0 
 2003-02-21        0 
 2003-02-22        0 
 2003-02-23        0 
 2003-02-24        0 
 2003-02-25        0 
 2003-02-26        0 
 2003-02-27        0 
 2003-02-28        0 
 2003-03-01     0.25 
 2003-03-02        1 
 2003-03-03     0.25 
 2003-03-04    0.125 
 2003-03-05        0 
 2003-03-06        0 
 2003-03-07   5.1875 
 2003-03-08   0.1875 
 2003-03-09   2.9375 
 2003-03-10        0 
 2003-03-11    1.125 
 2003-03-12     15.5 
 2003-03-13        1 
 2003-03-14   0.0625 
 2003-03-15        0 
 2003-03-16        0 
 2003-03-17        0 
 2003-03-18        0 
 2003-03-19        0 
 2003-03-20        0 
 2003-03-21        0 
 2003-03-22        0 
 2003-03-23        0 
 2003-03-24        0 
 2003-03-25        0 
 2003-03-26        0 
 2003-03-27     4.25 
 2003-03-28        0 
 2003-03-29        0 
 2003-03-30     0.25 
 2003-03-31        0 
 2003-04-01        0 
 2003-04-02     7.75 
 2003-04-03      1.5 
 2003-04-04        0 
 2003-04-05   0.5625 
 2003-04-06     1.75 
 2003-04-07   1.8125 
 2003-04-08    0.375 
 2003-04-09        0 
 2003-04-10        0 
 2003-04-11   0.6875 
 2003-04-12        0 
 2003-04-13        0 
 2003-04-14        0 
 2003-04-15        0 
 2003-04-16        0 
 2003-04-17        0 
 2003-04-18  11.1875 
 2003-04-19  14.3125 
 2003-04-20        0 
 2003-04-21        0 
 2003-04-22        0 
 2003-04-23        0 
 2003-04-24        0 
 2003-04-25   0.0625 
 2003-04-26      2.5 
 2003-04-27   2.1875 
 2003-04-28   0.0625 
 2003-04-29   0.0625 
 2003-04-30   0.3125 
 2003-05-01        0 
 2003-05-02        0 
 2003-05-03   0.0625 
 2003-05-04        0 
 2003-05-05        0 
 2003-05-06    0.125 
 2003-05-07   0.5625 
 2003-05-08     6.25 
 2003-05-09   14.375 
 2003-05-10    0.375 
 2003-05-11     0.25 
 2003-05-12        2 
 2003-05-13      0.5 
 2003-05-14   0.1875 
 2003-05-15   4.1875 
 2003-05-16   0.0625 
 2003-05-17   0.8125 
 2003-05-18    3.125 
 2003-05-19     6.75 
 2003-05-20        1 
 2003-05-21    0.125 
 2003-05-22        0 
 2003-05-23        0 
 2003-05-24        0 
 2003-05-25   0.0625 
 2003-05-26   5.8125 
 2003-05-27        0 
 2003-05-28        0 
 2003-05-29        0 
 2003-05-30        0 
 2003-05-31    1.375 
 2003-06-01        0 
 2003-06-02        0 
 2003-06-03        0 
 2003-06-04   0.0625 
 2003-06-05   6.3125 
 2003-06-06    0.125 
 2003-06-07        0 
 2003-06-08   2.0625 
 2003-06-09   0.0625 
 2003-06-10        0 
 2003-06-11   0.0625 
 2003-06-12    6.375 
 2003-06-13   0.4375 
 2003-06-14     0.25 
 2003-06-15        0 
 2003-06-16        0 
 2003-06-17        0 
 2003-06-18     6.75 
 2003-06-19   0.9375 
 2003-06-20   2.0625 
 2003-06-21        0 
 2003-06-22        0 
 2003-06-23   1.9375 
 2003-06-24        0 
 2003-06-25        0 
 2003-06-26        0 
 2003-06-27        0 
 2003-06-28   0.0625 
 2003-06-29   1.6875 
 2003-06-30    4.125 
 2003-07-01   16.625 
 2003-07-02   0.3125 
 2003-07-03   0.8125 
