#      date    value 
 1984-01-01        0 
 1984-01-02   1.0625 
 1984-01-03   6.4375 
 1984-01-04     1.75 
 1984-01-05    0.375 
 1984-01-06   1.1875 
 1984-01-07   4.1875 
 1984-01-08     1.75 
 1984-01-09      0.5 
 1984-01-10        0 
 1984-01-11        0 
 1984-01-12     0.75 
 1984-01-13   3.6875 
 1984-01-14  16.1875 
 1984-01-15   2.0625 
 1984-01-16   4.3125 
 1984-01-17     3.75 
 1984-01-18   0.0625 
 1984-01-19        0 
 1984-01-20        0 
 1984-01-21        0 
 1984-01-22   4.4375 
 1984-01-23   9.1875 
 1984-01-24        1 
 1984-01-25   0.5625 
 1984-01-26   0.3125 
 1984-01-27   1.3125 
 1984-01-28        0 
 1984-01-29    0.375 
 1984-01-30   0.1875 
 1984-01-31   0.6875 
 1984-02-01        2 
 1984-02-02      1.5 
 1984-02-03   9.4375 
 1984-02-04     0.75 
 1984-02-05   1.5625 
 1984-02-06  17.3125 
 1984-02-07     19.5 
 1984-02-08   5.8125 
 1984-02-09   3.1875 
 1984-02-10   1.5625 
 1984-02-11     2.25 
 1984-02-12        0 
 1984-02-13        0 
 1984-02-14        0 
 1984-02-15        0 
 1984-02-16        0 
 1984-02-17        0 
 1984-02-18        0 
 1984-02-19        0 
 1984-02-20        0 
 1984-02-21        0 
 1984-02-22    5.375 
 1984-02-23        0 
 1984-02-24   0.1875 
 1984-02-25   1.9375 
 1984-02-26   0.0625 
 1984-02-27        0 
 1984-02-28        0 
 1984-02-29        0 
 1984-03-01        0 
 1984-03-02    0.375 
 1984-03-03        0 
 1984-03-04        0 
 1984-03-05        0 
 1984-03-06   0.3125 
 1984-03-07   0.8125 
 1984-03-08    0.375 
 1984-03-09   0.1875 
 1984-03-10        0 
 1984-03-11        0 
 1984-03-12        0 
 1984-03-13   0.0625 
 1984-03-14        0 
 1984-03-15        0 
 1984-03-16        0 
 1984-03-17        0 
 1984-03-18        0 
 1984-03-19        0 
 1984-03-20        0 
 1984-03-21        0 
 1984-03-22        0 
 1984-03-23        0 
 1984-03-24        0 
 1984-03-25   4.8125 
 1984-03-26   1.0625 
 1984-03-27   3.5625 
 1984-03-28     1.75 
 1984-03-29    0.375 
 1984-03-30    0.375 
 1984-03-31   1.5625 
 1984-04-01   5.0625 
 1984-04-02    13.25 
 1984-04-03   4.0625 
 1984-04-04    4.125 
 1984-04-05   1.1875 
 1984-04-06   2.9375 
 1984-04-07        0 
 1984-04-08        0 
 1984-04-09    0.125 
 1984-04-10   3.3125 
 1984-04-11    1.125 
 1984-04-12      0.5 
 1984-04-13        0 
 1984-04-14        0 
 1984-04-15        0 
 1984-04-16   4.3125 
 1984-04-17   0.1875 
 1984-04-18    0.125 
 1984-04-19        0 
 1984-04-20        0 
 1984-04-21        0 
 1984-04-22        0 
 1984-04-23        0 
 1984-04-24        0 
 1984-04-25        0 
 1984-04-26        0 
 1984-04-27        0 
 1984-04-28    0.125 
 1984-04-29        0 
 1984-04-30    6.625 
 1984-05-01   5.8125 
 1984-05-02    0.125 
 1984-05-03   0.1875 
 1984-05-04        0 
 1984-05-05   0.6875 
 1984-05-06   5.6875 
 1984-05-07   4.5625 
 1984-05-08     2.25 
 1984-05-09    0.375 
 1984-05-10   2.1875 
 1984-05-11   1.5625 
 1984-05-12    4.375 
 1984-05-13    4.625 
 1984-05-14   4.1875 
 1984-05-15        0 
 1984-05-16    0.875 
 1984-05-17   7.4375 
 1984-05-18     0.25 
 1984-05-19   0.5625 
 1984-05-20    1.375 
 1984-05-21  12.5625 
 1984-05-22   2.4375 
 1984-05-23    3.875 
 1984-05-24   9.4375 
 1984-05-25   1.4375 
 1984-05-26    0.125 
 1984-05-27     1.25 
 1984-05-28  10.6875 
 1984-05-29  10.6875 
 1984-05-30       10 
 1984-05-31    4.875 
 1984-06-01    0.375 
 1984-06-02   2.5625 
 1984-06-03        0 
 1984-06-04    7.375 
 1984-06-05     0.25 
 1984-06-06  19.3125 
 1984-06-07   1.0625 
 1984-06-08     7.25 
 1984-06-09        0 
 1984-06-10        0 
 1984-06-11        0 
 1984-06-12        0 
 1984-06-13        0 
 1984-06-14   1.3125 
 1984-06-15   0.0625 
 1984-06-16        0 
 1984-06-17        0 
 1984-06-18        0 
 1984-06-19        0 
 1984-06-20        0 
 1984-06-21   3.0625 
 1984-06-22   0.1875 
 1984-06-23        8 
 1984-06-24        0 
 1984-06-25  11.4375 
 1984-06-26   1.8125 
 1984-06-27        0 
 1984-06-28   0.4375 
 1984-06-29   0.5625 
 1984-06-30   1.5625 
 1984-07-01        0 
 1984-07-02    9.875 
 1984-07-03        5 
 1984-07-04   0.3125 
 1984-07-05   0.0625 
 1984-07-06        0 
 1984-07-07        0 
 1984-07-08        0 
 1984-07-09        0 
 1984-07-10        0 
 1984-07-11   2.8125 
 1984-07-12   2.4375 
 1984-07-13    1.125 
 1984-07-14   0.8125 
