#      date    value 
 1994-01-01   1.0625 
 1994-01-02   7.9375 
 1994-01-03      2.5 
 1994-01-04    5.625 
 1994-01-05     0.75 
 1994-01-06    0.375 
 1994-01-07        0 
 1994-01-08   0.0625 
 1994-01-09    0.125 
 1994-01-10        0 
 1994-01-11   0.4375 
 1994-01-12   2.6875 
 1994-01-13    5.625 
 1994-01-14        1 
 1994-01-15   0.3125 
 1994-01-16   0.9375 
 1994-01-17   0.4375 
 1994-01-18        0 
 1994-01-19        0 
 1994-01-20        0 
 1994-01-21        0 
 1994-01-22      0.5 
 1994-01-23    12.25 
 1994-01-24   0.1875 
 1994-01-25    7.125 
 1994-01-26     3.75 
 1994-01-27     0.75 
 1994-01-28     8.75 
 1994-01-29   3.8125 
 1994-01-30      3.5 
 1994-01-31   1.6875 
 1994-02-01      0.5 
 1994-02-02    0.125 
 1994-02-03   0.9375 
 1994-02-04        0 
 1994-02-05        0 
 1994-02-06        0 
 1994-02-07   0.8125 
 1994-02-08    2.875 
 1994-02-09   0.3125 
 1994-02-10     2.25 
 1994-02-11        3 
 1994-02-12   0.6875 
 1994-02-13        0 
 1994-02-14        0 
 1994-02-15        0 
 1994-02-16        0 
 1994-02-17   0.0625 
 1994-02-18        0 
 1994-02-19        0 
 1994-02-20        0 
 1994-02-21   0.6875 
 1994-02-22   1.4375 
 1994-02-23        3 
 1994-02-24   3.3125 
 1994-02-25   1.3125 
 1994-02-26   0.0625 
 1994-02-27        0 
 1994-02-28    0.125 
 1994-03-01    6.625 
 1994-03-02   2.9375 
 1994-03-03     1.25 
 1994-03-04  11.3125 
 1994-03-05        0 
 1994-03-06      0.5 
 1994-03-07    3.125 
 1994-03-08   2.4375 
 1994-03-09        0 
 1994-03-10        0 
 1994-03-11        0 
 1994-03-12        3 
 1994-03-13   7.8125 
 1994-03-14   1.1875 
 1994-03-15     29.5 
 1994-03-16     3.25 
 1994-03-17   6.8125 
 1994-03-18   1.3125 
 1994-03-19    5.625 
 1994-03-20   5.5625 
 1994-03-21   0.0625 
 1994-03-22   1.0625 
 1994-03-23    1.875 
 1994-03-24    6.625 
