#      date    value 
 1994-01-01   0.6875 
 1994-01-02    9.375 
 1994-01-03   5.8125 
 1994-01-04   1.4375 
 1994-01-05   0.6875 
 1994-01-06    3.375 
 1994-01-07    0.125 
 1994-01-08        0 
 1994-01-09        0 
 1994-01-10   0.0625 
 1994-01-11   1.1875 
 1994-01-12   1.5625 
 1994-01-13    7.125 
 1994-01-14      4.5 
 1994-01-15        0 
 1994-01-16    0.875 
 1994-01-17    0.125 
 1994-01-18        0 
 1994-01-19    6.625 
 1994-01-20    1.625 
 1994-01-21        0 
 1994-01-22   0.3125 
 1994-01-23  10.1875 
 1994-01-24   0.0625 
 1994-01-25    2.625 
 1994-01-26     5.25 
 1994-01-27   4.6875 
 1994-01-28    6.875 
 1994-01-29   0.8125 
 1994-01-30   2.0625 
 1994-01-31        0 
 1994-02-01    0.125 
 1994-02-02      0.5 
 1994-02-03        6 
 1994-02-04   0.4375 
 1994-02-05        0 
 1994-02-06   0.5625 
 1994-02-07        0 
 1994-02-08   1.5625 
 1994-02-09    1.375 
 1994-02-10   1.8125 
 1994-02-11    0.125 
 1994-02-12        0 
 1994-02-13        0 
 1994-02-14        0 
 1994-02-15        0 
 1994-02-16        0 
 1994-02-17        0 
 1994-02-18        0 
 1994-02-19        0 
 1994-02-20        0 
 1994-02-21        0 
 1994-02-22   2.9375 
 1994-02-23        8 
 1994-02-24   1.1875 
 1994-02-25        0 
 1994-02-26        0 
 1994-02-27     0.25 
 1994-02-28    3.125 
 1994-03-01     2.25 
 1994-03-02   5.4375 
 1994-03-03    3.375 
 1994-03-04        0 
 1994-03-05        2 
 1994-03-06    0.375 
 1994-03-07   0.8125 
 1994-03-08     0.25 
 1994-03-09        0 
 1994-03-10        0 
 1994-03-11        0 
 1994-03-12   0.1875 
 1994-03-13   5.0625 
 1994-03-14        0 
 1994-03-15   9.8125 
 1994-03-16   6.5625 
 1994-03-17   4.9375 
 1994-03-18    6.125 
 1994-03-19   9.0625 
 1994-03-20        0 
 1994-03-21        0 
 1994-03-22    2.375 
 1994-03-23   1.8125 
 1994-03-24     6.25 
 1994-03-25   4.3125 
 1994-03-26    2.125 
 1994-03-27        0 
 1994-03-28   0.1875 
 1994-03-29        0 
 1994-03-30        0 
 1994-03-31     4.25 
 1994-04-01   3.1875 
 1994-04-02    3.875 
 1994-04-03   0.8125 
 1994-04-04    9.625 
 1994-04-05    0.875 
 1994-04-06        1 
 1994-04-07   0.0625 
 1994-04-08   0.8125 
 1994-04-09   5.1875 
 1994-04-10   1.1875 
 1994-04-11   0.6875 
 1994-04-12    0.875 
 1994-04-13   0.1875 
 1994-04-14        0 
 1994-04-15        0 
 1994-04-16        0 
 1994-04-17        0 
 1994-04-18        0 
 1994-04-19        0 
 1994-04-20        0 
 1994-04-21        0 
 1994-04-22        0 
 1994-04-23        0 
 1994-04-24     4.25 
 1994-04-25   7.4375 
 1994-04-26        0 
 1994-04-27     0.25 
 1994-04-28        0 
 1994-04-29        0 
 1994-04-30        0 
 1994-05-01        0 
 1994-05-02        0 
 1994-05-03        0 
 1994-05-04   8.3125 
 1994-05-05      1.5 
 1994-05-06   7.1875 
 1994-05-07   0.0625 
 1994-05-08   8.5625 
 1994-05-09    0.625 
 1994-05-10        0 
 1994-05-11        0 
 1994-05-12        0 
 1994-05-13        0 
 1994-05-14   0.5625 
 1994-05-15   0.4375 
 1994-05-16   1.0625 
 1994-05-17   0.0625 
 1994-05-18    0.125 
 1994-05-19   0.1875 
 1994-05-20        2 
 1994-05-21   3.0625 
 1994-05-22    0.625 
 1994-05-23   7.0625 
 1994-05-24   2.9375 
 1994-05-25   0.6875 
 1994-05-26  15.0625 
 1994-05-27        2 
 1994-05-28        0 
 1994-05-29        0 
 1994-05-30        0 
 1994-05-31        0 
 1994-06-01   0.1875 
 1994-06-02  18.4375 
 1994-06-03    3.625 
 1994-06-04   15.125 
 1994-06-05   10.125 
 1994-06-06    1.375 
 1994-06-07    0.125 
 1994-06-08   1.0625 
 1994-06-09    1.375 
 1994-06-10     6.75 
 1994-06-11   1.1875 
 1994-06-12        0 
 1994-06-13        0 
 1994-06-14        0 
 1994-06-15        0 
 1994-06-16   0.6875 
 1994-06-17   0.3125 
 1994-06-18        0 
 1994-06-19        0 
 1994-06-20        0 
 1994-06-21        0 
 1994-06-22        0 
 1994-06-23        0 
 1994-06-24        0 
 1994-06-25   0.0625 
 1994-06-26        0 
 1994-06-27        0 
 1994-06-28   0.0625 
 1994-06-29        0 
 1994-06-30        0 
 1994-07-01        0 
 1994-07-02        0 
 1994-07-03        0 
 1994-07-04  23.9375 
 1994-07-05   0.0625 
 1994-07-06   0.0625 
 1994-07-07    0.375 
 1994-07-08   0.0625 
 1994-07-09        0 
 1994-07-10        0 
 1994-07-11        0 
 1994-07-12        0 
 1994-07-13   1.0625 
 1994-07-14      8.5 
 1994-07-15    0.125 
 1994-07-16        0 
 1994-07-17        0 
 1994-07-18   7.4375 
 1994-07-19   0.0625 
 1994-07-20        0 
 1994-07-21        0 
 1994-07-22      1.5 
 1994-07-23        0 
 1994-07-24        0 
