#      date    value 
 1980-01-01    3.125 
 1980-01-02   5.5625 
 1980-01-03        2 
 1980-01-04   0.0625 
 1980-01-05     7.25 
 1980-01-06   0.4375 
 1980-01-07   2.1875 
 1980-01-08   0.3125 
 1980-01-09        0 
 1980-01-10    0.625 
 1980-01-11      0.5 
 1980-01-12    0.125 
 1980-01-13        0 
 1980-01-14        0 
 1980-01-15        0 
 1980-01-16     0.25 
 1980-01-17   0.0625 
 1980-01-18        0 
 1980-01-19        0 
 1980-01-20        0 
 1980-01-21        0 
 1980-01-22   1.0625 
 1980-01-23   0.6875 
 1980-01-24    0.125 
 1980-01-25   3.0625 
 1980-01-26      4.5 
 1980-01-27   2.9375 
 1980-01-28        0 
 1980-01-29   0.1875 
 1980-01-30   0.6875 
 1980-01-31   4.8125 
 1980-02-01        3 
 1980-02-02    1.625 
 1980-02-03        2 
 1980-02-04   10.375 
 1980-02-05    8.625 
 1980-02-06   8.6875 
 1980-02-07   0.1875 
 1980-02-08   1.0625 
 1980-02-09   0.4375 
 1980-02-10   1.8125 
 1980-02-11   3.0625 
 1980-02-12    5.625 
 1980-02-13   0.9375 
 1980-02-14        0 
 1980-02-15        0 
 1980-02-16   2.8125 
 1980-02-17   3.1875 
 1980-02-18    0.375 
 1980-02-19        0 
 1980-02-20        0 
 1980-02-21        0 
 1980-02-22        0 
 1980-02-23        0 
 1980-02-24        0 
 1980-02-25        0 
 1980-02-26        0 
 1980-02-27        0 
 1980-02-28    0.125 
 1980-02-29        6 
 1980-03-01    4.125 
 1980-03-02   4.1875 
 1980-03-03   3.8125 
 1980-03-04    2.875 
 1980-03-05        0 
 1980-03-06        0 
 1980-03-07    1.625 
 1980-03-08     4.25 
 1980-03-09  11.8125 
 1980-03-10   1.8125 
 1980-03-11        0 
 1980-03-12   0.1875 
 1980-03-13    0.125 
 1980-03-14        0 
 1980-03-15        0 
 1980-03-16        0 
 1980-03-17        0 
 1980-03-18    0.375 
 1980-03-19    7.625 
 1980-03-20   1.6875 
 1980-03-21   0.0625 
 1980-03-22        0 
 1980-03-23        0 
 1980-03-24   0.0625 
 1980-03-25        0 
 1980-03-26   0.6875 
 1980-03-27   1.6875 
 1980-03-28   4.0625 
 1980-03-29     0.75 
 1980-03-30    2.875 
 1980-03-31   0.0625 
 1980-04-01    1.875 
 1980-04-02   7.8125 
 1980-04-03  13.4375 
 1980-04-04   2.4375 
 1980-04-05   1.5625 
 1980-04-06    0.125 
 1980-04-07   0.0625 
 1980-04-08   3.9375 
 1980-04-09    5.625 
 1980-04-10        2 
 1980-04-11    2.375 
 1980-04-12        0 
 1980-04-13        0 
 1980-04-14        0 
 1980-04-15        0 
 1980-04-16        0 
 1980-04-17        0 
 1980-04-18   1.4375 
 1980-04-19      5.5 
 1980-04-20     1.25 
 1980-04-21    1.625 
 1980-04-22   3.5625 
 1980-04-23  28.8125 
 1980-04-24  20.1875 
 1980-04-25        0 
 1980-04-26    2.375 
 1980-04-27        1 
 1980-04-28        0 
 1980-04-29    0.125 
 1980-04-30   2.5625 
 1980-05-01   1.3125 
 1980-05-02      0.5 
 1980-05-03        0 
 1980-05-04        0 
 1980-05-05        0 
 1980-05-06        0 
 1980-05-07     1.75 
 1980-05-08   5.3125 
 1980-05-09    9.375 
 1980-05-10        0 
 1980-05-11        0 
 1980-05-12        0 
 1980-05-13        0 
 1980-05-14        0 
 1980-05-15        0 
 1980-05-16        0 
 1980-05-17    0.375 
 1980-05-18   0.6875 
 1980-05-19   0.1875 
 1980-05-20    2.625 
 1980-05-21     0.25 
 1980-05-22   0.1875 
 1980-05-23        0 
 1980-05-24      1.5 
 1980-05-25   0.1875 
 1980-05-26   0.0625 
 1980-05-27        0 
 1980-05-28   3.0625 
 1980-05-29    3.125 
 1980-05-30   1.3125 
 1980-05-31        0 
 1980-06-01        0 
 1980-06-02    0.625 
 1980-06-03     4.75 
 1980-06-04    6.875 
 1980-06-05   3.9375 
 1980-06-06        0 
 1980-06-07   0.4375 
 1980-06-08     1.25 
 1980-06-09   0.4375 
 1980-06-10      3.5 
 1980-06-11   3.3125 
 1980-06-12   0.0625 
 1980-06-13     0.25 
 1980-06-14        0 
 1980-06-15   14.625 
 1980-06-16   0.3125 
 1980-06-17   1.8125 
 1980-06-18  13.9375 
 1980-06-19    0.375 
 1980-06-20     1.75 
 1980-06-21      0.5 
 1980-06-22   2.0625 
 1980-06-23   1.8125 
 1980-06-24   0.4375 
 1980-06-25   2.9375 
 1980-06-26      2.5 
 1980-06-27    1.875 
 1980-06-28   3.4375 
 1980-06-29      9.5 
 1980-06-30    4.625 
 1980-07-01    2.625 
 1980-07-02     6.75 
 1980-07-03   15.625 
 1980-07-04   1.4375 
 1980-07-05        8 
 1980-07-06     0.75 
 1980-07-07      5.5 
 1980-07-08   9.0625 
 1980-07-09    3.375 
 1980-07-10   2.4375 
 1980-07-11        7 
 1980-07-12   3.8125 
 1980-07-13   5.8125 
 1980-07-14    6.875 
 1980-07-15      7.5 
 1980-07-16    0.875 
 1980-07-17   0.6875 
 1980-07-18   0.1875 
 1980-07-19   6.4375 
 1980-07-20        5 
 1980-07-21   9.5625 
 1980-07-22   24.125 
 1980-07-23        0 
 1980-07-24        0 
 1980-07-25        0 
 1980-07-26        0 
 1980-07-27   4.0625 
 1980-07-28    7.375 
 1980-07-29     1.75 
 1980-07-30    11.75 
 1980-07-31      1.5 
 1980-08-01        0 
 1980-08-02        0 
 1980-08-03   1.0625 
 1980-08-04   1.0625 
 1980-08-05        0 
 1980-08-06    0.625 
 1980-08-07        0 
 1980-08-08   0.5625 
 1980-08-09    1.125 
 1980-08-10        0 
 1980-08-11   0.3125 
 1980-08-12   9.3125 
 1980-08-13   0.5625 
 1980-08-14   0.1875 
 1980-08-15        0 
 1980-08-16    0.625 
 1980-08-17   0.3125 
 1980-08-18        0 
 1980-08-19   0.6875 
 1980-08-20   1.0625 
 1980-08-21   5.4375 
 1980-08-22        1 
 1980-08-23   1.0625 
 1980-08-24   2.8125 
 1980-08-25    0.875 
 1980-08-26        0 
 1980-08-27        0 
 1980-08-28   1.0625 
 1980-08-29    0.625 
 1980-08-30    4.875 
 1980-08-31   3.6875 
 1980-09-01   7.5625 
 1980-09-02        0 
 1980-09-03        0 
 1980-09-04        0 
 1980-09-05        8 
 1980-09-06        3 
 1980-09-07        0 
 1980-09-08        0 
 1980-09-09   5.6875 
 1980-09-10    1.375 
 1980-09-11    5.125 
 1980-09-12    0.125 
 1980-09-13     4.25 
 1980-09-14    3.375 
 1980-09-15        6 
 1980-09-16   0.0625 
 1980-09-17     1.25 
 1980-09-18   0.0625 
 1980-09-19        0 
 1980-09-20        0 
 1980-09-21        0 
 1980-09-22        0 
 1980-09-23   0.1875 
 1980-09-24   0.0625 
 1980-09-25    3.625 
 1980-09-26   4.6875 
 1980-09-27        0 
 1980-09-28        0 
 1980-09-29   0.5625 
 1980-09-30    3.625 
 1980-10-01   0.9375 
 1980-10-02   1.1875 
 1980-10-03        1 
 1980-10-04        0 
 1980-10-05    1.875 
 1980-10-06        0 
 1980-10-07    4.375 
 1980-10-08   0.3125 
 1980-10-09   0.1875 
 1980-10-10        0 
 1980-10-11   0.0625 
 1980-10-12   6.4375 
 1980-10-13   35.625 
 1980-10-14   5.9375 
 1980-10-15   0.5625 
 1980-10-16   0.1875 
 1980-10-17   0.1875 
 1980-10-18   5.0625 
 1980-10-19   0.0625 
 1980-10-20   2.1875 
 1980-10-21        0 
 1980-10-22        0 
 1980-10-23    0.875 
 1980-10-24      2.5 
 1980-10-25   3.1875 
 1980-10-26    0.375 
 1980-10-27   1.3125 
