#      date    value 
 2007-01-01  24.6875 
 2007-01-02   1.0625 
 2007-01-03    0.875 
 2007-01-04    6.625 
 2007-01-05   4.8125 
 2007-01-06  10.5625 
 2007-01-07     9.25 
 2007-01-08    8.375 
 2007-01-09    8.125 
 2007-01-10    4.625 
 2007-01-11  10.9375 
 2007-01-12   1.5625 
 2007-01-13        2 
 2007-01-14     2.25 
 2007-01-15        0 
 2007-01-16        0 
 2007-01-17    3.375 
 2007-01-18   56.875 
 2007-01-19    1.875 
 2007-01-20   8.1875 
 2007-01-21        2 
 2007-01-22     0.25 
 2007-01-23     0.25 
 2007-01-24   9.8125 
 2007-01-25    0.875 
 2007-01-26   1.3125 
 2007-01-27     2.75 
 2007-01-28   2.5625 
 2007-01-29   2.9375 
 2007-01-30    0.875 
 2007-01-31   0.1875 
 2007-02-01    0.125 
 2007-02-02   0.8125 
 2007-02-03   2.3125 
 2007-02-04   0.3125 
 2007-02-05    0.125 
 2007-02-06   0.6875 
 2007-02-07   5.0625 
 2007-02-08      9.5 
 2007-02-09    1.625 
 2007-02-10    2.375 
 2007-02-11  15.3125 
 2007-02-12   8.9375 
 2007-02-13    6.875 
 2007-02-14   4.0625 
 2007-02-15   3.6875 
 2007-02-16        0 
 2007-02-17        0 
 2007-02-18        0 
 2007-02-19   0.4375 
 2007-02-20        0 
 2007-02-21   0.8125 
 2007-02-22    0.625 
 2007-02-23        0 
 2007-02-24   1.6875 
 2007-02-25     7.25 
 2007-02-26      2.5 
 2007-02-27   6.0625 
 2007-02-28   10.125 
 2007-03-01   29.125 
 2007-03-02   1.0625 
 2007-03-03    10.25 
 2007-03-04    0.875 
 2007-03-05    1.375 
 2007-03-06        0 
 2007-03-07    0.125 
 2007-03-08        0 
 2007-03-09   0.4375 
 2007-03-10   3.0625 
 2007-03-11        0 
 2007-03-12        0 
 2007-03-13        0 
 2007-03-14        0 
 2007-03-15        0 
 2007-03-16        0 
 2007-03-17   1.9375 
 2007-03-18    8.625 
 2007-03-19   2.5625 
 2007-03-20        2 
 2007-03-21   2.0625 
 2007-03-22  11.9375 
 2007-03-23    5.125 
 2007-03-24     2.75 
 2007-03-25        0 
 2007-03-26        0 
 2007-03-27        0 
 2007-03-28   0.0625 
 2007-03-29   0.1875 
 2007-03-30     1.25 
 2007-03-31        0 
 2007-04-01        0 
 2007-04-02        0 
 2007-04-03     1.75 
 2007-04-04     0.25 
 2007-04-05        0 
 2007-04-06        0 
 2007-04-07        0 
 2007-04-08        0 
 2007-04-09        0 
 2007-04-10        0 
 2007-04-11        0 
 2007-04-12        0 
 2007-04-13        0 
 2007-04-14        0 
 2007-04-15        0 
 2007-04-16        0 
 2007-04-17    2.375 
 2007-04-18        0 
 2007-04-19        0 
 2007-04-20        0 
 2007-04-21        0 
 2007-04-22        0 
 2007-04-23   0.0625 
 2007-04-24   4.1875 
 2007-04-25        0 
 2007-04-26        0 
 2007-04-27        0 
 2007-04-28        0 
 2007-04-29        0 
 2007-04-30        0 
 2007-05-01        0 
 2007-05-02        0 
 2007-05-03        0 
 2007-05-04   1.1875 
 2007-05-05     0.25 
 2007-05-06        0 
 2007-05-07   7.1875 
 2007-05-08  14.9375 
 2007-05-09    6.375 
 2007-05-10   2.0625 
 2007-05-11        0 
 2007-05-12        5 
 2007-05-13    0.875 
 2007-05-14  14.1875 
 2007-05-15   4.9375 
 2007-05-16   9.3125 
 2007-05-17   1.8125 
 2007-05-18        0 
 2007-05-19        0 
 2007-05-20        0 
 2007-05-21        0 
 2007-05-22   19.375 
 2007-05-23   0.0625 
 2007-05-24        0 
 2007-05-25     1.75 
 2007-05-26        0 
 2007-05-27   2.8125 
 2007-05-28   9.6875 
 2007-05-29  24.6875 
 2007-05-30   0.0625 
 2007-05-31        0 
 2007-06-01        0 
 2007-06-02   0.3125 
 2007-06-03        0 
 2007-06-04   0.0625 
 2007-06-05        0 
 2007-06-06     0.25 
 2007-06-07   0.3125 
 2007-06-08        0 
 2007-06-09   10.875 
 2007-06-10  12.6875 
 2007-06-11     0.75 
 2007-06-12   2.0625 
 2007-06-13    0.125 
 2007-06-14   5.5625 
 2007-06-15   25.625 
 2007-06-16   5.5625 
 2007-06-17   0.1875 
 2007-06-18     5.75 
 2007-06-19   0.5625 
 2007-06-20     0.75 
 2007-06-21   16.375 
 2007-06-22   2.6875 
 2007-06-23  17.4375 
 2007-06-24   0.0625 
 2007-06-25     7.75 
 2007-06-26   13.375 
 2007-06-27    0.625 
 2007-06-28   4.9375 
 2007-06-29   0.5625 
 2007-06-30   0.3125 
 2007-07-01     0.25 
 2007-07-02  11.1875 
 2007-07-03   3.5625 
 2007-07-04   7.6875 
 2007-07-05   6.4375 
 2007-07-06    1.875 
 2007-07-07        0 
 2007-07-08    0.125 
 2007-07-09  13.4375 
 2007-07-10    5.125 
 2007-07-11   3.0625 
 2007-07-12     0.25 
 2007-07-13    0.625 
 2007-07-14        0 
 2007-07-15        0 
 2007-07-16        0 
 2007-07-17        0 
 2007-07-18     10.5 
 2007-07-19   1.9375 
 2007-07-20   3.4375 
 2007-07-21  19.1875 
 2007-07-22  29.9375 
 2007-07-23   4.0625 
 2007-07-24    7.625 
 2007-07-25   0.0625 
 2007-07-26        0 
 2007-07-27   0.3125 
 2007-07-28   5.5625 
 2007-07-29   19.625 
 2007-07-30   1.0625 
 2007-07-31        0 
 2007-08-01        0 
 2007-08-02   2.1875 
 2007-08-03   0.0625 
 2007-08-04        0 
 2007-08-05        0 
 2007-08-06        0 
 2007-08-07        0 
 2007-08-08   2.0625 
 2007-08-09  23.5625 
 2007-08-10      8.5 
 2007-08-11  13.0625 
 2007-08-12        0 
 2007-08-13    1.125 
 2007-08-14        0 
 2007-08-15   0.1875 
 2007-08-16     2.75 
 2007-08-17        0 
 2007-08-18        0 
 2007-08-19        0 
 2007-08-20    0.625 
 2007-08-21  26.4375 
 2007-08-22        0 
 2007-08-23     11.5 
 2007-08-24        0 
 2007-08-25   0.1875 
 2007-08-26        0 
 2007-08-27        0 
 2007-08-28        0 
 2007-08-29        0 
 2007-08-30        0 
 2007-08-31    1.375 
 2007-09-01        2 
 2007-09-02        0 
 2007-09-03   9.8125 
 2007-09-04    3.875 
 2007-09-05   5.6875 
 2007-09-06   0.5625 
 2007-09-07    0.625 
 2007-09-08   2.8125 
 2007-09-09    2.375 
 2007-09-10   13.875 
 2007-09-11        5 
 2007-09-12        0 
 2007-09-13        0 
 2007-09-14        0 
 2007-09-15     0.25 
 2007-09-16        0 
 2007-09-17   5.4375 
 2007-09-18   12.875 
 2007-09-19        0 
 2007-09-20        0 
 2007-09-21        0 
 2007-09-22        0 
 2007-09-23        0 
 2007-09-24    0.875 
 2007-09-25     5.75 
 2007-09-26        4 
 2007-09-27   21.875 
 2007-09-28  24.3125 
 2007-09-29   10.875 
 2007-09-30        0 
 2007-10-01        0 
 2007-10-02   0.4375 
 2007-10-03   0.0625 
 2007-10-04   1.0625 
 2007-10-05    0.125 
 2007-10-06        0 
 2007-10-07        0 
 2007-10-08        0 
 2007-10-09        0 
 2007-10-10        0 
 2007-10-11        0 
 2007-10-12     0.25 
 2007-10-13        0 
 2007-10-14        0 
 2007-10-15        0 
 2007-10-16        0 
 2007-10-17   3.8125 
 2007-10-18      3.5 
 2007-10-19    6.625 
 2007-10-20   0.0625 
 2007-10-21    3.125 
 2007-10-22        0 
 2007-10-23   0.0625 
 2007-10-24    0.375 
 2007-10-25        0 
 2007-10-26        0 
 2007-10-27   1.3125 
 2007-10-28        0 
 2007-10-29        0 
 2007-10-30    1.125 
 2007-10-31        0 
 2007-11-01        0 
 2007-11-02     0.25 
 2007-11-03    0.875 
 2007-11-04   0.1875 
 2007-11-05        0 
 2007-11-06    4.375 
 2007-11-07     10.5 
 2007-11-08        6 
 2007-11-09    12.25 
 2007-11-10   7.6875 
 2007-11-11   14.125 
 2007-11-12    4.125 
 2007-11-13   6.1875 
 2007-11-14    6.875 
 2007-11-15   6.1875 
 2007-11-16   0.9375 
 2007-11-17    0.875 
 2007-11-18        0 
 2007-11-19        0 
 2007-11-20        0 
 2007-11-21        0 
 2007-11-22        0 
 2007-11-23    3.125 
 2007-11-24   0.0625 
 2007-11-25   2.8125 
 2007-11-26   4.4375 
 2007-11-27     1.75 
 2007-11-28        0 
 2007-11-29    0.875 
 2007-11-30      1.5 
 2007-12-01   2.3125 
 2007-12-02    24.25 
 2007-12-03   13.625 
 2007-12-04   0.5625 
 2007-12-05   3.0625 
 2007-12-06    14.75 
 2007-12-07   25.125 
 2007-12-08   0.3125 
 2007-12-09   7.0625 
 2007-12-10   3.3125 
 2007-12-11    5.625 
 2007-12-12   4.4375 
 2007-12-13   1.0625 
 2007-12-14   0.0625 
 2007-12-15   0.1875 
 2007-12-16        0 
 2007-12-17        0 
 2007-12-18        0 
 2007-12-19        0 
 2007-12-20        0 
 2007-12-21        0 
 2007-12-22        0 
 2007-12-23   0.6875 
 2007-12-24   1.1875 
 2007-12-25        0 
 2007-12-26        0 
 2007-12-27   0.0625 
 2007-12-28        0 
 2007-12-29   1.1875 
 2007-12-30      2.5 
 2007-12-31    0.875 
