#      date    value 
 2011-01-01   0.6875 
 2011-01-02        0 
 2011-01-03        0 
 2011-01-04    0.125 
 2011-01-05   0.0625 
 2011-01-06   1.5625 
 2011-01-07   1.0625 
 2011-01-08   1.0625 
 2011-01-09        0 
 2011-01-10        0 
 2011-01-11   0.3125 
 2011-01-12     0.25 
 2011-01-13    3.625 
 2011-01-14   3.5625 
 2011-01-15   7.3125 
 2011-01-16      0.5 
 2011-01-17   3.4375 
 2011-01-18   2.5625 
 2011-01-19        0 
 2011-01-20        0 
 2011-01-21   0.0625 
 2011-01-22   0.1875 
 2011-01-23        0 
 2011-01-24        0 
 2011-01-25     2.25 
 2011-01-26      0.5 
 2011-01-27        0 
 2011-01-28        0 
 2011-01-29        0 
 2011-01-30        0 
 2011-01-31        0 
 2011-02-01        0 
 2011-02-02   0.4375 
 2011-02-03      0.5 
 2011-02-04    7.625 
 2011-02-05    1.625 
 2011-02-06  11.0625 
 2011-02-07   0.4375 
 2011-02-08        0 
 2011-02-09        0 
 2011-02-10    1.875 
 2011-02-11   0.3125 
 2011-02-12        0 
 2011-02-13        0 
 2011-02-14        0 
 2011-02-15    0.125 
 2011-02-16        0 
 2011-02-17        0 
 2011-02-18        0 
 2011-02-19        0 
 2011-02-20        0 
 2011-02-21        0 
 2011-02-22        0 
 2011-02-23        0 
 2011-02-24        0 
 2011-02-25        0 
 2011-02-26        0 
 2011-02-27        0 
 2011-02-28        0 
 2011-03-01        0 
 2011-03-02        0 
 2011-03-03        0 
 2011-03-04        0 
 2011-03-05        0 
 2011-03-06        0 
 2011-03-07        0 
 2011-03-08        0 
 2011-03-09   0.6875 
 2011-03-10   6.9375 
 2011-03-11   1.1875 
 2011-03-12        0 
 2011-03-13        0 
 2011-03-14    3.875 
 2011-03-15   1.6875 
 2011-03-16    0.125 
 2011-03-17    7.375 
 2011-03-18     0.25 
 2011-03-19        0 
 2011-03-20        0 
 2011-03-21        0 
 2011-03-22        0 
 2011-03-23        0 
 2011-03-24        0 
 2011-03-25     0.25 
 2011-03-26        0 
 2011-03-27        0 
 2011-03-28        0 
 2011-03-29        0 
 2011-03-30     0.75 
 2011-03-31   8.5625 
 2011-04-01   2.4375 
 2011-04-02        0 
 2011-04-03   1.1875 
 2011-04-04        0 
 2011-04-05      1.5 
 2011-04-06   0.3125 
 2011-04-07    0.125 
 2011-04-08        0 
 2011-04-09        0 
 2011-04-10        0 
 2011-04-11        0 
 2011-04-12  18.1875 
 2011-04-13      6.5 
 2011-04-14        0 
 2011-04-15        0 
 2011-04-16        0 
 2011-04-17        0 
 2011-04-18        0 
 2011-04-19        0 
 2011-04-20        0 
 2011-04-21        0 
 2011-04-22        0 
 2011-04-23        0 
 2011-04-24        0 
 2011-04-25        0 
 2011-04-26        0 
 2011-04-27        0 
 2011-04-28        0 
 2011-04-29        0 
 2011-04-30        0 
 2011-05-01    3.375 
 2011-05-02   0.3125 
 2011-05-03        3 
 2011-05-04        0 
 2011-05-05        0 
 2011-05-06        0 
 2011-05-07        0 
 2011-05-08        0 
 2011-05-09        0 
 2011-05-10        0 
 2011-05-11   0.0625 
 2011-05-12   0.0625 
 2011-05-13   0.0625 
 2011-05-14    2.375 
 2011-05-15   0.5625 
 2011-05-16   1.5625 
 2011-05-17     8.75 
 2011-05-18   0.0625 
 2011-05-19        0 
 2011-05-20        0 
 2011-05-21        0 
 2011-05-22    9.125 
 2011-05-23        0 
 2011-05-24   3.5625 
 2011-05-25        0 
 2011-05-26   5.3125 
 2011-05-27      2.5 
 2011-05-28     4.25 
 2011-05-29   1.9375 
 2011-05-30    0.125 
 2011-05-31     4.25 
 2011-06-01        0 
 2011-06-02        0 
 2011-06-03        0 
 2011-06-04        0 
 2011-06-05        0 
 2011-06-06     10.5 
 2011-06-07    6.125 
 2011-06-08   6.8125 
 2011-06-09     2.25 
 2011-06-10        0 
 2011-06-11        0 
 2011-06-12   0.0625 
 2011-06-13   1.3125 
 2011-06-14    0.375 
 2011-06-15        0 
 2011-06-16      8.5 
 2011-06-17    1.375 
 2011-06-18    3.625 
 2011-06-19   1.6875 
 2011-06-20   0.0625 
 2011-06-21        0 
 2011-06-22       14 
 2011-06-23   1.5625 
 2011-06-24        0 
 2011-06-25        0 
 2011-06-26   0.0625 
 2011-06-27        0 
 2011-06-28        0 
 2011-06-29        0 
