#      date    value 
 1995-01-01   0.1875 
 1995-01-02   0.4375 
 1995-01-03        0 
 1995-01-04        0 
 1995-01-05        0 
 1995-01-06        0 
 1995-01-07        0 
 1995-01-08   6.9375 
 1995-01-09   4.5625 
 1995-01-10    3.625 
 1995-01-11    1.625 
 1995-01-12        0 
 1995-01-13    0.125 
 1995-01-14   0.1875 
 1995-01-15     0.25 
 1995-01-16   0.0625 
 1995-01-17        0 
 1995-01-18   0.9375 
 1995-01-19   6.0625 
 1995-01-20    3.625 
 1995-01-21    0.125 
 1995-01-22    16.75 
 1995-01-23  13.1875 
 1995-01-24    3.375 
 1995-01-25    1.625 
 1995-01-26       11 
 1995-01-27        0 
 1995-01-28   4.8125 
 1995-01-29   6.5625 
 1995-01-30   0.8125 
 1995-01-31   7.5625 
 1995-02-01    3.125 
 1995-02-02        0 
 1995-02-03   0.8125 
 1995-02-04    1.375 
 1995-02-05        0 
 1995-02-06   0.4375 
 1995-02-07     2.25 
 1995-02-08   0.0625 
 1995-02-09    0.125 
 1995-02-10   0.0625 
 1995-02-11    0.375 
 1995-02-12    4.375 
 1995-02-13   0.3125 
 1995-02-14     1.25 
 1995-02-15    7.875 
 1995-02-16     2.75 
 1995-02-17        8 
 1995-02-18   0.0625 
 1995-02-19     2.75 
 1995-02-20     3.75 
 1995-02-21    3.375 
 1995-02-22     0.75 
 1995-02-23   1.5625 
 1995-02-24        1 
 1995-02-25     0.25 
 1995-02-26    0.125 
 1995-02-27   2.6875 
 1995-02-28   1.5625 
 1995-03-01    2.125 
 1995-03-02    1.625 
 1995-03-03   1.4375 
 1995-03-04   0.5625 
 1995-03-05     3.75 
 1995-03-06    3.375 
 1995-03-07   0.1875 
 1995-03-08   0.4375 
 1995-03-09   0.4375 
 1995-03-10        0 
 1995-03-11        0 
 1995-03-12        0 
 1995-03-13        0 
 1995-03-14        0 
 1995-03-15   0.5625 
 1995-03-16    0.625 
 1995-03-17   4.6875 
 1995-03-18   1.0625 
 1995-03-19     1.25 
 1995-03-20   1.4375 
 1995-03-21        0 
 1995-03-22    1.375 
 1995-03-23        0 
 1995-03-24     0.25 
 1995-03-25    2.625 
 1995-03-26   2.4375 
 1995-03-27   0.5625 
 1995-03-28     1.25 
 1995-03-29   0.1875 
 1995-03-30        0 
 1995-03-31     6.25 
 1995-04-01        0 
 1995-04-02   1.0625 
 1995-04-03   2.8125 
 1995-04-04   1.1875 
 1995-04-05   7.8125 
 1995-04-06    0.625 
 1995-04-07   6.6875 
 1995-04-08        0 
 1995-04-09   0.3125 
 1995-04-10     0.25 
 1995-04-11     1.25 
 1995-04-12   1.4375 
 1995-04-13        0 
 1995-04-14        0 
 1995-04-15     3.25 
 1995-04-16    3.875 
 1995-04-17   1.8125 
 1995-04-18   10.125 
 1995-04-19    0.625 
 1995-04-20   4.4375 
 1995-04-21   0.1875 
 1995-04-22        0 
 1995-04-23        0 
 1995-04-24        0 
 1995-04-25        0 
 1995-04-26        0 
 1995-04-27    1.125 
 1995-04-28   0.0625 
 1995-04-29        0 
 1995-04-30        0 
 1995-05-01        0 
 1995-05-02        0 
 1995-05-03   0.0625 
 1995-05-04        0 
 1995-05-05   0.0625 
 1995-05-06        0 
 1995-05-07        0 
 1995-05-08  13.6875 
 1995-05-09    1.625 
 1995-05-10   2.4375 
 1995-05-11     0.75 
 1995-05-12        0 
 1995-05-13        0 
 1995-05-14   1.6875 
 1995-05-15   1.4375 
 1995-05-16    0.625 
 1995-05-17    6.125 
 1995-05-18   1.8125 
 1995-05-19    1.375 
 1995-05-20   0.6875 
 1995-05-21        0 
 1995-05-22        0 
 1995-05-23        0 
 1995-05-24        0 
 1995-05-25        0 
 1995-05-26   2.0625 
 1995-05-27   7.1875 
 1995-05-28        0 
 1995-05-29   3.0625 
 1995-05-30   3.0625 
 1995-05-31        2 
 1995-06-01    3.625 
 1995-06-02   4.6875 
 1995-06-03   0.3125 
 1995-06-04   0.4375 
 1995-06-05   5.8125 
 1995-06-06   2.1875 
 1995-06-07   7.8125 
 1995-06-08   2.4375 
 1995-06-09    0.375 
 1995-06-10     0.25 
 1995-06-11   0.1875 
 1995-06-12   1.4375 
 1995-06-13   5.4375 
 1995-06-14   1.3125 
 1995-06-15   0.5625 
 1995-06-16   1.8125 
 1995-06-17    1.375 
 1995-06-18    1.375 
 1995-06-19        0 
 1995-06-20   0.5625 
 1995-06-21    4.625 
 1995-06-22   2.0625 
 1995-06-23        0 
 1995-06-24   0.0625 
 1995-06-25        0 
 1995-06-26        0 
 1995-06-27        0 
 1995-06-28        0 
 1995-06-29        0 
 1995-06-30        0 
 1995-07-01        0 
 1995-07-02        0 
 1995-07-03   4.0625 
