#      date    value 
 1988-01-01        0 
 1988-01-02     0.25 
 1988-01-03        0 
 1988-01-04    0.125 
 1988-01-05   7.1875 
 1988-01-06    5.875 
 1988-01-07      0.5 
 1988-01-08        0 
 1988-01-09     0.25 
 1988-01-10        0 
 1988-01-11        0 
 1988-01-12        0 
 1988-01-13        0 
 1988-01-14        0 
 1988-01-15        0 
 1988-01-16        0 
 1988-01-17   0.0625 
 1988-01-18        0 
 1988-01-19        0 
 1988-01-20        0 
 1988-01-21        0 
 1988-01-22        0 
 1988-01-23        0 
 1988-01-24        0 
 1988-01-25        0 
 1988-01-26        0 
 1988-01-27        1 
 1988-01-28        0 
 1988-01-29        0 
 1988-01-30        0 
 1988-01-31        0 
 1988-02-01    0.125 
 1988-02-02        0 
 1988-02-03        0 
 1988-02-04    0.125 
 1988-02-05   0.1875 
 1988-02-06        0 
 1988-02-07        0 
 1988-02-08        0 
 1988-02-09        0 
 1988-02-10        0 
 1988-02-11    0.875 
 1988-02-12   3.3125 
 1988-02-13   5.8125 
 1988-02-14  10.4375 
 1988-02-15   5.1875 
 1988-02-16      0.5 
 1988-02-17        0 
 1988-02-18   0.3125 
 1988-02-19      0.5 
 1988-02-20    0.125 
 1988-02-21   1.4375 
 1988-02-22        0 
 1988-02-23        0 
 1988-02-24    1.875 
 1988-02-25        0 
 1988-02-26        0 
 1988-02-27        0 
 1988-02-28        0 
 1988-02-29        0 
 1988-03-01   0.4375 
 1988-03-02        0 
 1988-03-03        0 
 1988-03-04        0 
 1988-03-05        0 
 1988-03-06   0.3125 
 1988-03-07   0.1875 
 1988-03-08   7.5625 
 1988-03-09   0.3125 
 1988-03-10    0.125 
 1988-03-11        0 
 1988-03-12        0 
 1988-03-13        0 
 1988-03-14        0 
 1988-03-15        0 
 1988-03-16        0 
 1988-03-17        0 
 1988-03-18        0 
 1988-03-19        0 
 1988-03-20        0 
 1988-03-21        0 
 1988-03-22        0 
 1988-03-23        0 
 1988-03-24        0 
 1988-03-25        0 
 1988-03-26        0 
 1988-03-27        0 
 1988-03-28    0.375 
 1988-03-29        0 
 1988-03-30        0 
 1988-03-31        0 
 1988-04-01        0 
 1988-04-02        0 
 1988-04-03        0 
 1988-04-04   0.0625 
 1988-04-05        0 
 1988-04-06        0 
 1988-04-07        0 
 1988-04-08        0 
 1988-04-09        0 
 1988-04-10        0 
 1988-04-11        0 
 1988-04-12        0 
 1988-04-13        0 
 1988-04-14        0 
 1988-04-15        0 
 1988-04-16        0 
 1988-04-17        0 
 1988-04-18        0 
 1988-04-19        0 
 1988-04-20    0.125 
 1988-04-21   0.0625 
 1988-04-22        0 
 1988-04-23        0 
 1988-04-24        0 
 1988-04-25        0 
 1988-04-26        0 
 1988-04-27   0.3125 
 1988-04-28        0 
 1988-04-29        0 
 1988-04-30        0 
 1988-05-01        0 
 1988-05-02        0 
 1988-05-03        0 
 1988-05-04        0 
 1988-05-05        0 
 1988-05-06    0.125 
 1988-05-07    3.375 
