#      date    value 
 2006-01-01   0.5625 
 2006-01-02        0 
 2006-01-03        0 
 2006-01-04        0 
 2006-01-05        0 
 2006-01-06      4.5 
 2006-01-07   0.3125 
 2006-01-08   0.0625 
 2006-01-09   0.0625 
 2006-01-10     0.25 
 2006-01-11        0 
 2006-01-12        0 
 2006-01-13        0 
 2006-01-14    1.375 
 2006-01-15     8.25 
 2006-01-16    1.625 
 2006-01-17        0 
 2006-01-18     0.25 
 2006-01-19        0 
 2006-01-20        0 
 2006-01-21        0 
 2006-01-22        0 
 2006-01-23        0 
 2006-01-24        0 
 2006-01-25        0 
 2006-01-26        0 
 2006-01-27        0 
 2006-01-28   0.4375 
 2006-01-29     3.25 
 2006-01-30        0 
 2006-01-31        0 
 2006-02-01        0 
 2006-02-02    0.125 
 2006-02-03     4.75 
 2006-02-04        0 
 2006-02-05        0 
 2006-02-06        0 
 2006-02-07        0 
 2006-02-08        0 
 2006-02-09        0 
 2006-02-10    0.375 
 2006-02-11        0 
 2006-02-12        0 
 2006-02-13        0 
 2006-02-14        0 
 2006-02-15        0 
 2006-02-16    0.625 
 2006-02-17    1.125 
 2006-02-18  10.6875 
 2006-02-19    2.875 
 2006-02-20   0.8125 
 2006-02-21   0.0625 
 2006-02-22   0.4375 
 2006-02-23        0 
 2006-02-24        0 
 2006-02-25  18.8125 
 2006-02-26    5.625 
 2006-02-27        0 
 2006-02-28        0 
 2006-03-01        0 
 2006-03-02        0 
 2006-03-03        1 
 2006-03-04    26.25 
 2006-03-05        1 
 2006-03-06        0 
 2006-03-07        0 
 2006-03-08        0 
 2006-03-09    0.125 
 2006-03-10        0 
 2006-03-11        0 
 2006-03-12        0 
 2006-03-13        0 
 2006-03-14        0 
 2006-03-15        0 
 2006-03-16        0 
 2006-03-17    7.625 
 2006-03-18   8.3125 
 2006-03-19   5.4375 
 2006-03-20   8.3125 
 2006-03-21    0.875 
 2006-03-22   0.3125 
 2006-03-23       10 
 2006-03-24      2.5 
 2006-03-25        0 
 2006-03-26        0 
 2006-03-27   1.4375 
 2006-03-28        0 
 2006-03-29    0.125 
 2006-03-30        0 
 2006-03-31        0 
 2006-04-01        0 
 2006-04-02        0 
 2006-04-03        0 
 2006-04-04        0 
 2006-04-05   3.5625 
 2006-04-06  12.1875 
 2006-04-07    0.875 
 2006-04-08        0 
 2006-04-09    0.875 
 2006-04-10     0.25 
 2006-04-11        0 
 2006-04-12        0 
 2006-04-13        0 
 2006-04-14    5.625 
 2006-04-15    3.375 
 2006-04-16   0.5625 
 2006-04-17    1.125 
 2006-04-18   0.8125 
 2006-04-19        0 
 2006-04-20        0 
 2006-04-21   4.1875 
 2006-04-22    1.375 
 2006-04-23     0.25 
 2006-04-24        0 
 2006-04-25        0 
 2006-04-26        0 
 2006-04-27        0 
 2006-04-28        0 
 2006-04-29        0 
 2006-04-30        0 
 2006-05-01        0 
 2006-05-02      1.5 
 2006-05-03   2.6875 
 2006-05-04   4.1875 
 2006-05-05     0.25 
 2006-05-06        0 
 2006-05-07        0 
 2006-05-08        0 
 2006-05-09        0 
 2006-05-10        0 
 2006-05-11   1.5625 
 2006-05-12        0 
 2006-05-13        0 
 2006-05-14        0 
 2006-05-15        0 
 2006-05-16        0 
 2006-05-17        0 
 2006-05-18        0 
 2006-05-19        0 
 2006-05-20        0 
 2006-05-21        0 
 2006-05-22        0 
 2006-05-23        0 
 2006-05-24        0 
 2006-05-25        0 
 2006-05-26        0 
 2006-05-27        0 
 2006-05-28        0 
 2006-05-29    2.375 
 2006-05-30   0.3125 
 2006-05-31        0 
 2006-06-01        0 
 2006-06-02        0 
 2006-06-03        0 
 2006-06-04        0 
 2006-06-05        0 
 2006-06-06        0 
 2006-06-07        0 
 2006-06-08        0 
 2006-06-09   0.0625 
 2006-06-10        0 
 2006-06-11        0 
 2006-06-12    1.375 
 2006-06-13     0.25 
 2006-06-14     7.25 
 2006-06-15    12.25 
 2006-06-16   9.3125 
 2006-06-17     6.75 
 2006-06-18    0.375 
 2006-06-19   0.0625 
 2006-06-20        0 
 2006-06-21        0 
 2006-06-22        0 
 2006-06-23        0 
 2006-06-24        0 
 2006-06-25        0 
 2006-06-26        0 
 2006-06-27        0 
 2006-06-28        0 
 2006-06-29        0 
 2006-06-30        0 
 2006-07-01        0 
 2006-07-02        0 
 2006-07-03        0 
 2006-07-04        0 
 2006-07-05        0 
 2006-07-06        0 
 2006-07-07        0 
 2006-07-08        0 
 2006-07-09        0 
 2006-07-10        0 
 2006-07-11        0 
 2006-07-12     0.25 
 2006-07-13   0.0625 
 2006-07-14   1.1875 
 2006-07-15        0 
 2006-07-16        0 
 2006-07-17        0 
 2006-07-18        1 
 2006-07-19   0.6875 
 2006-07-20        0 
 2006-07-21        0 
 2006-07-22        0 
 2006-07-23        0 
 2006-07-24        0 
 2006-07-25        0 
 2006-07-26        0 
 2006-07-27        0 
 2006-07-28        0 
 2006-07-29        0 
 2006-07-30        0 
 2006-07-31        0 
 2006-08-01        0 
 2006-08-02        0 
 2006-08-03        0 
 2006-08-04        0 
 2006-08-05        0 
 2006-08-06        0 
 2006-08-07        0 
 2006-08-08        0 
 2006-08-09        0 
 2006-08-10        0 
 2006-08-11        0 
 2006-08-12        0 
 2006-08-13        0 
 2006-08-14        0 
 2006-08-15        0 
 2006-08-16    2.625 
 2006-08-17    5.875 
 2006-08-18     5.25 
 2006-08-19        0 
 2006-08-20        0 
 2006-08-21        0 
 2006-08-22        0 
 2006-08-23        0 
