#      date    value 
 1987-01-01    0.125 
 1987-01-02   0.0625 
 1987-01-03   0.9375 
 1987-01-04        0 
 1987-01-05        0 
 1987-01-06        0 
 1987-01-07     0.25 
 1987-01-08        0 
 1987-01-09        0 
 1987-01-10        0 
 1987-01-11        0 
 1987-01-12        0 
 1987-01-13        0 
 1987-01-14        0 
 1987-01-15        0 
 1987-01-16        0 
 1987-01-17        0 
 1987-01-18        0 
 1987-01-19        0 
 1987-01-20   2.9375 
 1987-01-21   0.0625 
 1987-01-22        0 
 1987-01-23        0 
 1987-01-24   2.0625 
 1987-01-25   10.875 
 1987-01-26    0.625 
 1987-01-27        0 
 1987-01-28        0 
 1987-01-29        0 
 1987-01-30    1.875 
 1987-01-31   0.8125 
 1987-02-01        0 
 1987-02-02   2.1875 
 1987-02-03        0 
 1987-02-04        0 
 1987-02-05   0.1875 
 1987-02-06      3.5 
 1987-02-07   3.9375 
 1987-02-08        0 
 1987-02-09   0.1875 
 1987-02-10        0 
 1987-02-11   4.5625 
 1987-02-12   5.1875 
 1987-02-13    0.875 
 1987-02-14   5.9375 
 1987-02-15        0 
 1987-02-16        0 
 1987-02-17        0 
 1987-02-18        0 
 1987-02-19        0 
 1987-02-20    0.125 
 1987-02-21   1.8125 
 1987-02-22    1.125 
 1987-02-23        0 
 1987-02-24   0.4375 
 1987-02-25        0 
 1987-02-26   0.1875 
 1987-02-27    0.125 
 1987-02-28    0.125 
 1987-03-01        0 
 1987-03-02        0 
 1987-03-03        0 
 1987-03-04        0 
 1987-03-05        0 
 1987-03-06        0 
 1987-03-07        0 
 1987-03-08        0 
 1987-03-09        0 
 1987-03-10        0 
 1987-03-11        0 
 1987-03-12        0 
 1987-03-13        0 
 1987-03-14        0 
 1987-03-15        0 
 1987-03-16        0 
 1987-03-17        0 
 1987-03-18        0 
 1987-03-19        0 
 1987-03-20     0.75 
 1987-03-21   0.1875 
 1987-03-22        0 
 1987-03-23    0.125 
 1987-03-24      2.5 
 1987-03-25   0.4375 
 1987-03-26     0.75 
 1987-03-27   6.5625 
 1987-03-28     8.25 
 1987-03-29      1.5 
 1987-03-30    0.375 
 1987-03-31        0 
 1987-04-01        0 
 1987-04-02        0 
 1987-04-03        0 
 1987-04-04        0 
 1987-04-05        0 
 1987-04-06   4.0625 
 1987-04-07    0.125 
 1987-04-08        0 
 1987-04-09        0 
 1987-04-10        0 
 1987-04-11        0 
 1987-04-12        0 
 1987-04-13        0 
 1987-04-14        0 
 1987-04-15     1.25 
 1987-04-16   0.0625 
 1987-04-17   0.8125 
 1987-04-18   0.0625 
 1987-04-19      1.5 
 1987-04-20        0 
 1987-04-21        0 
 1987-04-22   0.0625 
 1987-04-23   0.3125 
 1987-04-24   0.0625 
 1987-04-25     0.25 
 1987-04-26        0 
 1987-04-27        0 
 1987-04-28        0 
 1987-04-29        0 
 1987-04-30        0 
 1987-05-01        0 
 1987-05-02        0 
 1987-05-03    1.125 
 1987-05-04  10.9375 
 1987-05-05   0.1875 
 1987-05-06        0 
 1987-05-07   2.1875 
 1987-05-08        0 
 1987-05-09        0 
 1987-05-10        0 
 1987-05-11   1.9375 
 1987-05-12   4.5625 
 1987-05-13   7.5625 
 1987-05-14    3.375 
 1987-05-15    1.625 
 1987-05-16        0 
 1987-05-17   4.5625 
 1987-05-18   2.5625 
 1987-05-19        0 
 1987-05-20        0 
 1987-05-21        0 
 1987-05-22        0 
 1987-05-23        0 
 1987-05-24        0 
 1987-05-25        0 
 1987-05-26        0 
 1987-05-27        0 
 1987-05-28        0 
 1987-05-29        0 
 1987-05-30        0 
 1987-05-31        0 
 1987-06-01        0 
 1987-06-02   5.8125 
 1987-06-03   2.8125 
 1987-06-04   9.1875 
 1987-06-05        0 
 1987-06-06   5.5625 
 1987-06-07    4.375 
 1987-06-08     1.25 
 1987-06-09   10.375 
 1987-06-10   0.1875 
 1987-06-11        0 
 1987-06-12    4.375 
 1987-06-13   15.625 
 1987-06-14   0.8125 
 1987-06-15   5.1875 
 1987-06-16       16 
 1987-06-17      5.5 
 1987-06-18        0 
 1987-06-19    0.375 
 1987-06-20        0 
 1987-06-21   0.0625 
 1987-06-22        0 
 1987-06-23        0 
 1987-06-24   0.5625 
 1987-06-25       10 
 1987-06-26    0.625 
 1987-06-27     7.75 
 1987-06-28    6.625 
 1987-06-29    0.125 
 1987-06-30     0.25 
 1987-07-01   0.5625 
 1987-07-02        0 
 1987-07-03        0 
 1987-07-04        0 
 1987-07-05        0 
 1987-07-06   3.3125 
 1987-07-07   1.1875 
 1987-07-08   4.9375 
 1987-07-09        9 
 1987-07-10    13.75 
 1987-07-11      7.5 
 1987-07-12     0.25 
 1987-07-13    0.125 
 1987-07-14        0 
 1987-07-15        0 
 1987-07-16        0 
 1987-07-17        0 
 1987-07-18   0.3125 
 1987-07-19        0 
 1987-07-20        0 
 1987-07-21        0 
 1987-07-22        0 
 1987-07-23        0 
 1987-07-24    17.75 
 1987-07-25    2.375 
 1987-07-26   0.4375 
 1987-07-27   0.8125 
 1987-07-28    5.375 
 1987-07-29   0.6875 
 1987-07-30      1.5 
 1987-07-31   17.625 
 1987-08-01   18.125 
 1987-08-02   12.375 
 1987-08-03   0.9375 
 1987-08-04   2.8125 
 1987-08-05        3 
 1987-08-06   6.3125 
 1987-08-07     35.5 
 1987-08-08    3.875 
 1987-08-09    4.875 
 1987-08-10     3.75 
 1987-08-11   0.0625 
 1987-08-12    0.125 
 1987-08-13   0.1875 
 1987-08-14   0.0625 
 1987-08-15   0.0625 
 1987-08-16        0 
 1987-08-17        0 
 1987-08-18   0.0625 
 1987-08-19      5.5 
 1987-08-20     1.25 
 1987-08-21   0.0625 
 1987-08-22    0.375 
 1987-08-23  17.8125 
 1987-08-24        0 
 1987-08-25        0 
 1987-08-26     6.75 
 1987-08-27    16.75 
 1987-08-28  11.1875 
 1987-08-29     5.75 
 1987-08-30        0 
 1987-08-31     2.25 
 1987-09-01        0 
 1987-09-02   0.0625 
 1987-09-03   0.4375 
 1987-09-04        0 
 1987-09-05        0 
 1987-09-06        0 
 1987-09-07   4.1875 
 1987-09-08   9.6875 
 1987-09-09        6 
 1987-09-10     0.25 
 1987-09-11  17.1875 
 1987-09-12      4.5 
 1987-09-13    2.625 
 1987-09-14   0.1875 
 1987-09-15    0.125 
 1987-09-16        0 
 1987-09-17        0 
 1987-09-18        0 
 1987-09-19    8.375 
 1987-09-20        3 
 1987-09-21        0 
 1987-09-22     17.5 
 1987-09-23     4.75 
 1987-09-24    2.375 
 1987-09-25  27.6875 
 1987-09-26   6.4375 
 1987-09-27   0.0625 
 1987-09-28   0.0625 
 1987-09-29        0 
 1987-09-30        0 
 1987-10-01        0 
 1987-10-02        0 
 1987-10-03        0 
 1987-10-04        0 
 1987-10-05        0 
 1987-10-06        0 
 1987-10-07    6.625 
 1987-10-08    0.125 
 1987-10-09    4.875 
 1987-10-10        0 
 1987-10-11        0 
 1987-10-12        0 
 1987-10-13        0 
 1987-10-14   0.3125 
 1987-10-15    2.125 
 1987-10-16   1.1875 
 1987-10-17  10.5625 
 1987-10-18     6.75 
 1987-10-19   0.0625 
 1987-10-20        0 
 1987-10-21        0 
 1987-10-22        0 
 1987-10-23        0 
 1987-10-24   0.0625 
 1987-10-25   7.6875 
 1987-10-26   0.8125 
 1987-10-27   0.0625 
 1987-10-28        0 
 1987-10-29        0 
 1987-10-30        0 
 1987-10-31        0 
 1987-11-01   4.9375 
 1987-11-02     0.75 
 1987-11-03   0.0625 
 1987-11-04        0 
 1987-11-05    0.125 
 1987-11-06   0.8125 
 1987-11-07   0.1875 
 1987-11-08        0 
 1987-11-09        0 
 1987-11-10    3.875 
 1987-11-11      4.5 
 1987-11-12    0.125 
 1987-11-13    5.125 
 1987-11-14   0.8125 
 1987-11-15        1 
 1987-11-16        0 
 1987-11-17   2.4375 
 1987-11-18   6.5625 
 1987-11-19   0.4375 
 1987-11-20    3.125 
 1987-11-21     1.75 
 1987-11-22   1.9375 
 1987-11-23     0.75 
 1987-11-24   0.1875 
 1987-11-25        0 
 1987-11-26   1.6875 
 1987-11-27   0.0625 
 1987-11-28   2.3125 
 1987-11-29   4.9375 
 1987-11-30     2.25 
 1987-12-01        0 
 1987-12-02        0 
 1987-12-03    0.125 
