#      date    value 
 1993-01-01   0.1875 
 1993-01-02    0.125 
 1993-01-03        0 
 1993-01-04        0 
 1993-01-05   0.0625 
 1993-01-06     2.25 
 1993-01-07        0 
 1993-01-08    1.625 
 1993-01-09    0.375 
 1993-01-10   8.0625 
 1993-01-11   3.8125 
 1993-01-12    1.375 
 1993-01-13        0 
 1993-01-14   4.6875 
 1993-01-15    0.875 
 1993-01-16     4.75 
 1993-01-17        1 
 1993-01-18   7.9375 
 1993-01-19        0 
 1993-01-20   0.9375 
 1993-01-21   2.6875 
 1993-01-22   5.8125 
 1993-01-23   1.4375 
 1993-01-24        0 
 1993-01-25        0 
 1993-01-26   0.5625 
 1993-01-27   2.1875 
 1993-01-28   0.3125 
 1993-01-29        0 
 1993-01-30   0.0625 
 1993-01-31        0 
 1993-02-01        0 
 1993-02-02        0 
 1993-02-03    0.625 
 1993-02-04        0 
 1993-02-05   0.9375 
 1993-02-06   0.8125 
 1993-02-07     2.25 
 1993-02-08    0.875 
 1993-02-09    0.375 
 1993-02-10    0.125 
 1993-02-11   0.8125 
 1993-02-12   0.0625 
 1993-02-13   2.4375 
 1993-02-14        0 
 1993-02-15   2.8125 
 1993-02-16    0.875 
 1993-02-17   0.1875 
 1993-02-18        0 
 1993-02-19        0 
 1993-02-20        0 
 1993-02-21        0 
 1993-02-22        0 
 1993-02-23        0 
 1993-02-24   0.3125 
 1993-02-25   0.9375 
 1993-02-26    0.625 
 1993-02-27     0.25 
 1993-02-28        0 
 1993-03-01     2.75 
 1993-03-02   0.0625 
 1993-03-03        0 
 1993-03-04   0.1875 
 1993-03-05    4.625 
 1993-03-06   1.5625 
 1993-03-07        0 
 1993-03-08   3.0625 
 1993-03-09     1.25 
 1993-03-10   2.4375 
 1993-03-11    1.375 
 1993-03-12   0.0625 
 1993-03-13   7.0625 
 1993-03-14     2.75 
 1993-03-15        0 
 1993-03-16   3.9375 
 1993-03-17        0 
 1993-03-18        2 
 1993-03-19   1.5625 
 1993-03-20    0.625 
 1993-03-21     0.25 
 1993-03-22   2.4375 
 1993-03-23    2.375 
 1993-03-24   1.5625 
 1993-03-25   0.9375 
 1993-03-26        0 
 1993-03-27        0 
 1993-03-28        0 
 1993-03-29   0.1875 
 1993-03-30   0.0625 
 1993-03-31    1.875 
 1993-04-01   2.5625 
 1993-04-02    2.625 
 1993-04-03   0.3125 
 1993-04-04        0 
 1993-04-05   0.0625 
 1993-04-06     0.25 
 1993-04-07        0 
 1993-04-08        0 
 1993-04-09        0 
 1993-04-10        0 
 1993-04-11        0 
 1993-04-12        0 
 1993-04-13        0 
 1993-04-14        0 
 1993-04-15     0.25 
 1993-04-16    0.875 
 1993-04-17   15.875 
 1993-04-18        6 
 1993-04-19   0.6875 
 1993-04-20        0 
 1993-04-21     3.25 
 1993-04-22      0.5 
 1993-04-23        1 
 1993-04-24    0.125 
 1993-04-25    2.875 
 1993-04-26   0.8125 
 1993-04-27   0.0625 
 1993-04-28        0 
 1993-04-29        0 
 1993-04-30        0 
 1993-05-01        0 
 1993-05-02        0 
 1993-05-03        0 
 1993-05-04    0.375 
 1993-05-05   0.0625 
 1993-05-06   0.0625 
 1993-05-07        0 
 1993-05-08   0.1875 
 1993-05-09    0.125 
 1993-05-10        0 
 1993-05-11        0 
 1993-05-12        0 
 1993-05-13        0 
 1993-05-14   0.4375 
 1993-05-15   5.5625 
 1993-05-16        4 
 1993-05-17  21.4375 
 1993-05-18        0 
 1993-05-19        0 
 1993-05-20        0 
 1993-05-21        0 
 1993-05-22        0 
 1993-05-23        0 
 1993-05-24   2.8125 
 1993-05-25   1.0625 
 1993-05-26    1.625 
 1993-05-27   0.3125 
 1993-05-28   0.1875 
 1993-05-29   0.4375 
 1993-05-30   0.0625 
 1993-05-31   4.3125 
 1993-06-01     9.25 
 1993-06-02     4.25 
 1993-06-03   8.0625 
 1993-06-04  10.8125 
 1993-06-05     1.25 
 1993-06-06      2.5 
 1993-06-07   5.1875 
 1993-06-08  11.8125 
 1993-06-09   0.9375 
 1993-06-10    0.125 
 1993-06-11        0 
 1993-06-12     0.75 
 1993-06-13    0.375 
 1993-06-14   6.3125 
 1993-06-15   0.9375 
 1993-06-16    1.375 
 1993-06-17     1.75 
 1993-06-18   1.4375 
 1993-06-19     1.75 
 1993-06-20        0 
 1993-06-21   1.1875 
 1993-06-22   3.5625 
 1993-06-23    1.625 
 1993-06-24   0.0625 
 1993-06-25        0 
 1993-06-26        0 
 1993-06-27        0 
 1993-06-28        0 
 1993-06-29     0.25 
 1993-06-30   0.0625 
 1993-07-01        0 
 1993-07-02    0.125 
 1993-07-03      0.5 
 1993-07-04    0.625 
 1993-07-05      1.5 
 1993-07-06   2.9375 
 1993-07-07   1.3125 
 1993-07-08   1.4375 
 1993-07-09        0 
 1993-07-10        0 
 1993-07-11        0 
 1993-07-12        0 
 1993-07-13        0 
 1993-07-14        0 
 1993-07-15        0 
 1993-07-16   6.9375 
 1993-07-17    6.625 
 1993-07-18      1.5 
 1993-07-19   0.1875 
 1993-07-20        0 
 1993-07-21   0.4375 
 1993-07-22   5.9375 
 1993-07-23        0 
 1993-07-24        0 
 1993-07-25        0 
 1993-07-26    1.875 
 1993-07-27    1.125 
 1993-07-28     5.25 
 1993-07-29   1.4375 
 1993-07-30        0 
 1993-07-31      2.5 
 1993-08-01    0.625 
 1993-08-02        4 
 1993-08-03        0 
 1993-08-04   4.4375 
 1993-08-05   7.0625 
 1993-08-06   0.3125 
 1993-08-07        0 
 1993-08-08        0 
 1993-08-09        0 
 1993-08-10        0 
 1993-08-11        0 
 1993-08-12   6.6875 
 1993-08-13        0 
 1993-08-14   3.0625 
 1993-08-15   0.5625 
 1993-08-16    0.125 
 1993-08-17    6.375 
 1993-08-18   0.3125 
 1993-08-19        0 
 1993-08-20        0 
 1993-08-21    0.375 
 1993-08-22        1 
 1993-08-23   1.4375 
 1993-08-24   0.1875 
 1993-08-25   0.0625 
 1993-08-26   0.9375 
 1993-08-27        0 
 1993-08-28        0 
 1993-08-29        0 
 1993-08-30        0 
 1993-08-31        0 
 1993-09-01     1.25 
 1993-09-02    3.625 
 1993-09-03   0.0625 
