#      date    value 
 1981-01-01   0.0625 
 1981-01-02    0.125 
 1981-01-03     2.75 
 1981-01-04   3.6875 
 1981-01-05        0 
 1981-01-06   3.3125 
 1981-01-07        0 
 1981-01-08   0.1875 
 1981-01-09    1.625 
 1981-01-10   5.0625 
 1981-01-11   0.0625 
 1981-01-12    3.625 
 1981-01-13   0.1875 
 1981-01-14      5.5 
 1981-01-15   4.1875 
 1981-01-16        4 
 1981-01-17   2.5625 
 1981-01-18    4.875 
 1981-01-19    1.875 
 1981-01-20      7.5 
 1981-01-21   4.4375 
 1981-01-22    0.875 
 1981-01-23   0.0625 
 1981-01-24        0 
 1981-01-25        0 
 1981-01-26        0 
 1981-01-27     0.25 
 1981-01-28    0.125 
 1981-01-29        0 
 1981-01-30        0 
 1981-01-31        0 
 1981-02-01        0 
 1981-02-02        0 
 1981-02-03  12.5625 
 1981-02-04   2.0625 
 1981-02-05   0.6875 
 1981-02-06   0.1875 
 1981-02-07   0.0625 
 1981-02-08        0 
 1981-02-09     0.25 
 1981-02-10     1.75 
 1981-02-11        0 
 1981-02-12        0 
 1981-02-13        0 
 1981-02-14        0 
 1981-02-15        0 
 1981-02-16        0 
 1981-02-17        0 
 1981-02-18        1 
 1981-02-19   0.3125 
 1981-02-20     0.75 
 1981-02-21   0.4375 
 1981-02-22     2.25 
 1981-02-23    1.125 
 1981-02-24    0.125 
 1981-02-25        0 
 1981-02-26        0 
 1981-02-27     3.75 
 1981-02-28     15.5 
 1981-03-01    2.375 
 1981-03-02   3.4375 
 1981-03-03    2.625 
 1981-03-04     0.25 
 1981-03-05   0.9375 
 1981-03-06   5.0625 
 1981-03-07    0.875 
 1981-03-08    7.375 
 1981-03-09      1.5 
 1981-03-10   1.9375 
 1981-03-11   0.3125 
 1981-03-12   14.375 
 1981-03-13    1.875 
 1981-03-14      0.5 
 1981-03-15   3.5625 
 1981-03-16        1 
 1981-03-17     0.75 
 1981-03-18        0 
 1981-03-19        0 
 1981-03-20        0 
 1981-03-21        0 
 1981-03-22        4 
 1981-03-23     8.75 
 1981-03-24    4.125 
 1981-03-25   0.0625 
 1981-03-26   4.0625 
 1981-03-27     0.25 
 1981-03-28      4.5 
 1981-03-29   0.5625 
 1981-03-30        0 
 1981-03-31   0.8125 
 1981-04-01        0 
 1981-04-02        0 
 1981-04-03        0 
 1981-04-04     0.25 
 1981-04-05        0 
 1981-04-06     0.25 
 1981-04-07   0.6875 
 1981-04-08   0.5625 
 1981-04-09        0 
 1981-04-10   0.0625 
 1981-04-11   5.4375 
 1981-04-12        1 
 1981-04-13    7.125 
 1981-04-14    0.625 
 1981-04-15   4.0625 
 1981-04-16        0 
 1981-04-17        0 
 1981-04-18        0 
 1981-04-19   0.5625 
 1981-04-20   0.9375 
 1981-04-21        0 
 1981-04-22        0 
 1981-04-23        0 
 1981-04-24        0 
 1981-04-25    3.375 
 1981-04-26   1.0625 
 1981-04-27    2.625 
 1981-04-28   0.1875 
 1981-04-29    1.625 
 1981-04-30   0.0625 
 1981-05-01        1 
 1981-05-02     0.25 
 1981-05-03   0.6875 
 1981-05-04     6.25 
 1981-05-05   0.6875 
 1981-05-06      0.5 
 1981-05-07    2.875 
 1981-05-08   12.875 
 1981-05-09     2.25 
 1981-05-10    10.25 
 1981-05-11   9.3125 
 1981-05-12        0 
 1981-05-13        0 
 1981-05-14        0 
 1981-05-15   5.4375 
 1981-05-16   3.5625 
 1981-05-17   3.6875 
 1981-05-18        0 
 1981-05-19   0.0625 
 1981-05-20   0.3125 
 1981-05-21   7.1875 
 1981-05-22     0.75 
 1981-05-23   7.1875 
 1981-05-24  10.5625 
 1981-05-25        4 
 1981-05-26    0.625 
 1981-05-27      1.5 
 1981-05-28    8.875 
 1981-05-29      0.5 
 1981-05-30   0.8125 
 1981-05-31    0.625 
 1981-06-01        0 
 1981-06-02    2.875 
 1981-06-03   4.0625 
 1981-06-04     0.25 
 1981-06-05   0.4375 
 1981-06-06    0.125 
 1981-06-07   1.9375 
 1981-06-08    3.625 
 1981-06-09        0 
 1981-06-10        0 
 1981-06-11        0 
 1981-06-12        0 
 1981-06-13        0 
 1981-06-14        0 
 1981-06-15        0 
 1981-06-16        0 
 1981-06-17        0 
 1981-06-18   0.0625 
 1981-06-19   0.1875 
 1981-06-20      0.5 
 1981-06-21        0 
 1981-06-22        0 
 1981-06-23        0 
 1981-06-24   0.0625 
 1981-06-25  16.5625 
 1981-06-26   1.9375 
 1981-06-27   1.6875 
 1981-06-28  21.3125 
 1981-06-29  10.8125 
 1981-06-30        0 
 1981-07-01        0 
 1981-07-02   4.4375 
 1981-07-03      0.5 
 1981-07-04   0.8125 
 1981-07-05   0.0625 
 1981-07-06   0.1875 
 1981-07-07        0 
 1981-07-08   0.1875 
