#      date    value 
 2006-01-01   5.1875 
 2006-01-02        0 
 2006-01-03   0.0625 
 2006-01-04   2.5625 
 2006-01-05    0.125 
 2006-01-06        0 
 2006-01-07        0 
 2006-01-08   0.1875 
 2006-01-09    0.375 
 2006-01-10        0 
 2006-01-11    4.625 
 2006-01-12        0 
 2006-01-13        0 
 2006-01-14        0 
 2006-01-15        0 
 2006-01-16        0 
 2006-01-17  16.4375 
 2006-01-18   0.1875 
 2006-01-19   0.1875 
 2006-01-20     1.75 
 2006-01-21   0.0625 
 2006-01-22        0 
 2006-01-23        0 
 2006-01-24        0 
 2006-01-25        0 
 2006-01-26   0.0625 
 2006-01-27        0 
 2006-01-28        0 
 2006-01-29        0 
 2006-01-30        0 
 2006-01-31        0 
 2006-02-01        0 
 2006-02-02        0 
 2006-02-03        0 
 2006-02-04        0 
 2006-02-05        0 
 2006-02-06        0 
 2006-02-07    0.125 
 2006-02-08   1.4375 
 2006-02-09    0.125 
 2006-02-10        0 
 2006-02-11        0 
 2006-02-12     1.25 
 2006-02-13   2.4375 
 2006-02-14   0.1875 
 2006-02-15   20.875 
 2006-02-16   4.0625 
 2006-02-17      0.5 
 2006-02-18   7.6875 
 2006-02-19  10.6875 
 2006-02-20   0.4375 
 2006-02-21   3.0625 
 2006-02-22   0.0625 
 2006-02-23        0 
 2006-02-24   0.4375 
 2006-02-25   0.4375 
 2006-02-26   0.0625 
 2006-02-27        0 
 2006-02-28        4 
 2006-03-01   0.5625 
 2006-03-02    0.875 
 2006-03-03    8.625 
 2006-03-04   0.0625 
 2006-03-05   0.3125 
 2006-03-06   0.4375 
 2006-03-07   10.625 
 2006-03-08    4.125 
 2006-03-09   2.3125 
 2006-03-10   6.0625 
 2006-03-11     0.25 
 2006-03-12        0 
 2006-03-13        0 
 2006-03-14        0 
 2006-03-15        0 
 2006-03-16        0 
 2006-03-17        0 
 2006-03-18        0 
 2006-03-19        0 
 2006-03-20    0.375 
 2006-03-21        1 
 2006-03-22    6.625 
 2006-03-23   0.1875 
 2006-03-24  10.4375 
 2006-03-25      6.5 
 2006-03-26   7.9375 
 2006-03-27        2 
 2006-03-28    3.875 
 2006-03-29   0.0625 
 2006-03-30    7.625 
 2006-03-31        0 
 2006-04-01        2 
 2006-04-02    3.375 
 2006-04-03        0 
 2006-04-04        0 
 2006-04-05        0 
 2006-04-06        0 
 2006-04-07        0 
 2006-04-08        0 
 2006-04-09        0 
 2006-04-10        0 
 2006-04-11   0.1875 
 2006-04-12   0.0625 
 2006-04-13        0 
 2006-04-14        0 
 2006-04-15    1.375 
 2006-04-16   1.3125 
 2006-04-17        0 
 2006-04-18        0 
 2006-04-19        0 
 2006-04-20        0 
 2006-04-21        0 
 2006-04-22        0 
 2006-04-23   7.8125 
 2006-04-24    6.625 
 2006-04-25   0.0625 
 2006-04-26    0.375 
 2006-04-27        0 
 2006-04-28        0 
 2006-04-29        0 
 2006-04-30        7 
 2006-05-01   1.3125 
 2006-05-02        0 
 2006-05-03        0 
 2006-05-04        0 
 2006-05-05        0 
 2006-05-06   4.4375 
 2006-05-07    0.125 
 2006-05-08       15 
 2006-05-09   2.5625 
 2006-05-10   0.8125 
 2006-05-11   0.0625 
 2006-05-12     0.25 
 2006-05-13    3.625 
 2006-05-14   0.0625 
 2006-05-15        0 
 2006-05-16   0.3125 
 2006-05-17     0.25 
 2006-05-18    1.625 
 2006-05-19   0.3125 
 2006-05-20    10.75 
 2006-05-21   6.5625 
 2006-05-22   1.3125 
 2006-05-23     0.25 
 2006-05-24     0.75 
 2006-05-25     1.75 
 2006-05-26    0.375 
 2006-05-27     0.75 
 2006-05-28   0.1875 
 2006-05-29      2.5 
 2006-05-30        1 
 2006-05-31     1.75 
 2006-06-01     1.25 
 2006-06-02        0 
 2006-06-03        0 
 2006-06-04        0 
 2006-06-05        0 
 2006-06-06        0 
 2006-06-07        0 
 2006-06-08        0 
 2006-06-09        0 
 2006-06-10        0 
 2006-06-11        0 
 2006-06-12        0 
 2006-06-13        0 
 2006-06-14    1.875 
 2006-06-15   5.0625 
 2006-06-16        0 
 2006-06-17        0 
 2006-06-18        0 
 2006-06-19        0 
 2006-06-20        0 
 2006-06-21   2.3125 
 2006-06-22        0 
 2006-06-23        0 
 2006-06-24   0.1875 
 2006-06-25    20.75 
 2006-06-26        1 
 2006-06-27   0.5625 
 2006-06-28        0 
 2006-06-29        0 
 2006-06-30        0 
 2006-07-01        0 
 2006-07-02        0 
 2006-07-03        0 
 2006-07-04     0.25 
 2006-07-05     1.25 
 2006-07-06   0.3125 
 2006-07-07     0.25 
 2006-07-08   2.6875 
 2006-07-09   0.6875 
 2006-07-10        0 
 2006-07-11        0 
 2006-07-12        0 
 2006-07-13        0 
 2006-07-14        0 
 2006-07-15        0 
 2006-07-16        0 
 2006-07-17        0 
 2006-07-18        0 
 2006-07-19   0.6875 
 2006-07-20   10.875 
 2006-07-21   2.1875 
 2006-07-22      6.5 
 2006-07-23   0.0625 
 2006-07-24        0 
 2006-07-25        0 
 2006-07-26  10.4375 
 2006-07-27   1.0625 
 2006-07-28        0 
 2006-07-29   0.1875 
 2006-07-30   6.8125 
 2006-07-31     0.25 
 2006-08-01   3.3125 
 2006-08-02        0 
 2006-08-03   3.5625 
 2006-08-04        0 
 2006-08-05        0 
 2006-08-06        0 
 2006-08-07     8.75 
 2006-08-08    0.125 
 2006-08-09   0.4375 
 2006-08-10        0 
 2006-08-11        0 
 2006-08-12   11.375 
 2006-08-13   8.8125 
 2006-08-14    0.125 
 2006-08-15    1.125 
 2006-08-16   1.4375 
 2006-08-17      5.5 
 2006-08-18    4.125 
 2006-08-19    2.125 
 2006-08-20    0.375 
 2006-08-21    3.125 
 2006-08-22    0.125 
 2006-08-23        0 
 2006-08-24     5.75 
 2006-08-25        0 
 2006-08-26     7.25 
 2006-08-27        0 
 2006-08-28   4.6875 
 2006-08-29   6.8125 
 2006-08-30   0.0625 
 2006-08-31        0 
 2006-09-01        0 
 2006-09-02        0 
 2006-09-03        0 
 2006-09-04   0.4375 
 2006-09-05     0.25 
 2006-09-06        0 
 2006-09-07        0 
 2006-09-08        0 
 2006-09-09        0 
 2006-09-10        0 
 2006-09-11        0 
 2006-09-12   0.3125 
 2006-09-13     0.25 
 2006-09-14   9.3125 
 2006-09-15   1.6875 
 2006-09-16    0.125 
 2006-09-17        0 
 2006-09-18    0.375 
 2006-09-19   0.8125 
 2006-09-20        0 
 2006-09-21   0.0625 
 2006-09-22   3.0625 
 2006-09-23   5.0625 
 2006-09-24   0.6875 
 2006-09-25   1.1875 
 2006-09-26        0 
 2006-09-27   0.0625 
 2006-09-28        0 
 2006-09-29      0.5 
 2006-09-30   2.1875 
 2006-10-01   0.1875 
 2006-10-02        4 
 2006-10-03    6.125 
 2006-10-04   0.1875 
 2006-10-05   0.0625 
 2006-10-06     11.5 
 2006-10-07        0 
 2006-10-08        0 
 2006-10-09     1.25 
 2006-10-10    0.125 
 2006-10-11    2.125 
 2006-10-12    0.125 
 2006-10-13   0.0625 
 2006-10-14        0 
 2006-10-15        0 
 2006-10-16        0 
 2006-10-17    0.125 
 2006-10-18   3.1875 
 2006-10-19    0.875 
 2006-10-20    0.875 
 2006-10-21   0.8125 
 2006-10-22   1.8125 
 2006-10-23   3.4375 
 2006-10-24   4.0625 
 2006-10-25        0 
 2006-10-26   0.1875 
 2006-10-27   0.1875 
 2006-10-28   0.1875 
 2006-10-29    1.875 
 2006-10-30   0.3125 
 2006-10-31   0.0625 
 2006-11-01        0 
 2006-11-02        0 
 2006-11-03        0 
 2006-11-04        0 
 2006-11-05   0.0625 
 2006-11-06        0 
 2006-11-07        0 
 2006-11-08        0 
 2006-11-09   0.0625 
 2006-11-10        0 
 2006-11-11     1.75 
 2006-11-12        0 
 2006-11-13     0.75 
 2006-11-14   1.0625 
 2006-11-15        0 
 2006-11-16      3.5 
 2006-11-17   0.3125 
 2006-11-18    2.875 
 2006-11-19   12.375 
 2006-11-20  13.5625 
 2006-11-21   2.3125 
 2006-11-22   1.3125 
 2006-11-23     6.75 
 2006-11-24    2.625 
 2006-11-25   1.3125 
 2006-11-26        0 
 2006-11-27   0.0625 
 2006-11-28   3.1875 
 2006-11-29        0 
 2006-11-30   0.0625 
 2006-12-01        0 
 2006-12-02     0.25 
 2006-12-03     4.75 
 2006-12-04      4.5 
 2006-12-05   9.4375 
 2006-12-06        0 
 2006-12-07      3.5 
 2006-12-08    18.25 
 2006-12-09   0.0625 
 2006-12-10   0.0625 
 2006-12-11   6.6875 
 2006-12-12        1 
 2006-12-13        0 
 2006-12-14        0 
 2006-12-15   0.0625 
 2006-12-16    3.625 
 2006-12-17   1.5625 
 2006-12-18   0.0625 
 2006-12-19        0 
 2006-12-20        0 
 2006-12-21        0 
 2006-12-22        0 
 2006-12-23        0 
 2006-12-24        0 
 2006-12-25        0 
 2006-12-26        0 
 2006-12-27        0 
 2006-12-28        0 
 2006-12-29        0 
 2006-12-30     5.75 
 2006-12-31    5.375 
