#      date    value 
 2019-01-01   0.8125 
 2019-01-02   0.1875 
 2019-01-03        0 
 2019-01-04   0.0625 
 2019-01-05   6.6875 
 2019-01-06      7.5 
 2019-01-07    0.875 
 2019-01-08   2.0625 
 2019-01-09   1.4375 
 2019-01-10   0.0625 
 2019-01-11   1.3125 
 2019-01-12     2.75 
 2019-01-13  11.9375 
 2019-01-14    3.625 
 2019-01-15        0 
 2019-01-16        0 
 2019-01-17    2.625 
 2019-01-18    0.125 
 2019-01-19        0 
 2019-01-20     0.75 
 2019-01-21        0 
 2019-01-22    0.125 
 2019-01-23      1.5 
 2019-01-24   0.1875 
 2019-01-25    0.125 
 2019-01-26   0.3125 
 2019-01-27   1.8125 
 2019-01-28   1.5625 
 2019-01-29        0 
 2019-01-30     0.75 
 2019-01-31   1.4375 
 2019-02-01     4.75 
 2019-02-02   0.6875 
 2019-02-03      1.5 
 2019-02-04        0 
 2019-02-05        0 
 2019-02-06        0 
 2019-02-07   0.8125 
 2019-02-08   0.0625 
 2019-02-09   0.5625 
 2019-02-10    6.625 
 2019-02-11   0.9375 
 2019-02-12        0 
 2019-02-13        0 
 2019-02-14        0 
 2019-02-15        0 
 2019-02-16        0 
 2019-02-17        0 
 2019-02-18        0 
 2019-02-19        0 
 2019-02-20        0 
 2019-02-21        0 
 2019-02-22        0 
 2019-02-23        0 
 2019-02-24        0 
 2019-02-25        0 
 2019-02-26        0 
 2019-02-27        0 
 2019-02-28    1.625 
 2019-03-01    6.625 
 2019-03-02   0.4375 
 2019-03-03        0 
 2019-03-04    6.125 
 2019-03-05   5.6875 
 2019-03-06        0 
 2019-03-07   5.3125 
 2019-03-08        1 
 2019-03-09   0.8125 
 2019-03-10     5.25 
 2019-03-11   2.1875 
 2019-03-12   0.9375 
 2019-03-13   3.9375 
 2019-03-14   7.8125 
 2019-03-15   5.9375 
 2019-03-16     0.75 
 2019-03-17     2.75 
 2019-03-18   1.4375 
 2019-03-19        0 
 2019-03-20        0 
 2019-03-21        0 
 2019-03-22        0 
 2019-03-23        0 
 2019-03-24        0 
 2019-03-25   1.5625 
 2019-03-26      0.5 
 2019-03-27        0 
 2019-03-28        0 
 2019-03-29        0 
 2019-03-30        0 
 2019-03-31        0 
 2019-04-01        0 
 2019-04-02     0.25 
 2019-04-03  17.4375 
 2019-04-04  17.3125 
 2019-04-05        0 
 2019-04-06        0 
 2019-04-07    5.625 
 2019-04-08   6.4375 
 2019-04-09   4.9375 
 2019-04-10   3.4375 
 2019-04-11        0 
 2019-04-12        0 
 2019-04-13      0.5 
 2019-04-14   0.5625 
 2019-04-15        0 
 2019-04-16    7.875 
 2019-04-17     0.25 
 2019-04-18        0 
 2019-04-19        0 
 2019-04-20        0 
 2019-04-21        0 
 2019-04-22        0 
 2019-04-23    0.125 
 2019-04-24  14.8125 
 2019-04-25   4.6875 
 2019-04-26   5.4375 
 2019-04-27    3.875 
 2019-04-28   2.8125 
 2019-04-29   0.6875 
 2019-04-30   0.3125 
 2019-05-01        0 
 2019-05-02    8.125 
 2019-05-03   0.5625 
 2019-05-04  10.1875 
 2019-05-05    0.625 
 2019-05-06   0.0625 
 2019-05-07        0 
 2019-05-08    10.25 
 2019-05-09  10.6875 
 2019-05-10    1.625 
 2019-05-11    4.875 
 2019-05-12        0 
 2019-05-13        0 
 2019-05-14        0 
 2019-05-15        0 
 2019-05-16        0 
 2019-05-17    0.125 
 2019-05-18        3 
 2019-05-19  18.4375 
 2019-05-20    6.125 
 2019-05-21   15.625 
 2019-05-22        0 
 2019-05-23        0 
 2019-05-24        0 
 2019-05-25        0 
 2019-05-26        0 
 2019-05-27   0.9375 
 2019-05-28    1.375 
 2019-05-29    0.125 
 2019-05-30        0 
 2019-05-31        0 
 2019-06-01        0 
 2019-06-02        0 
 2019-06-03  18.5625 
 2019-06-04        0 
 2019-06-05   3.1875 
 2019-06-06   0.6875 
 2019-06-07     1.75 
 2019-06-08        0 
 2019-06-09   9.6875 
 2019-06-10  15.9375 
 2019-06-11     3.75 
 2019-06-12   5.4375 
 2019-06-13        0 
 2019-06-14    2.625 
 2019-06-15    8.375 
 2019-06-16        1 
 2019-06-17        0 
 2019-06-18        0 
 2019-06-19      3.5 
 2019-06-20     1.75 
 2019-06-21        0 
 2019-06-22     4.25 
 2019-06-23        0 
 2019-06-24        0 
 2019-06-25        0 
 2019-06-26        0 
 2019-06-27        0 
 2019-06-28        0 
 2019-06-29        0 
 2019-06-30        0 
 2019-07-01    0.125 
 2019-07-02   0.1875 
 2019-07-03        0 
 2019-07-04        0 
 2019-07-05        0 
 2019-07-06    0.125 
 2019-07-07        0 
 2019-07-08   0.0625 
 2019-07-09        0 
 2019-07-10   0.0625 
 2019-07-11    4.125 
 2019-07-12     6.75 
 2019-07-13   0.1875 
 2019-07-14     1.25 
 2019-07-15        0 
 2019-07-16        0 
 2019-07-17        0 
 2019-07-18        0 
 2019-07-19        0 
 2019-07-20      2.5 
 2019-07-21   1.0625 
 2019-07-22        0 
 2019-07-23        0 
 2019-07-24        0 
 2019-07-25        0 
 2019-07-26   7.1875 
 2019-07-27        6 
 2019-07-28   0.5625 
 2019-07-29        0 
 2019-07-30   0.6875 
 2019-07-31        0 
 2019-08-01        0 
 2019-08-02        0 
 2019-08-03        0 
 2019-08-04        0 
 2019-08-05   0.5625 
 2019-08-06   0.9375 
 2019-08-07  52.9375 
 2019-08-08   0.0625 
 2019-08-09   2.4375 
 2019-08-10        0 
 2019-08-11     9.75 
 2019-08-12    1.125 
 2019-08-13        0 
 2019-08-14        0 
 2019-08-15    0.375 
 2019-08-16        0 
 2019-08-17    4.125 
 2019-08-18    2.625 
 2019-08-19    0.875 
 2019-08-20   0.6875 
 2019-08-21        0 
 2019-08-22        0 
 2019-08-23        0 
 2019-08-24        0 
 2019-08-25        0 
 2019-08-26        0 
 2019-08-27        0 
 2019-08-28     0.25 
 2019-08-29   0.1875 
 2019-08-30        0 
 2019-08-31        0 
 2019-09-01        0 
 2019-09-02        0 
 2019-09-03        0 
 2019-09-04   0.0625 
 2019-09-05   0.1875 
 2019-09-06        0 
 2019-09-07    5.875 
 2019-09-08     7.75 
 2019-09-09        0 
 2019-09-10        0 
 2019-09-11   0.0625 
 2019-09-12        0 
 2019-09-13        0 
 2019-09-14        0 
 2019-09-15        0 
 2019-09-16        0 
 2019-09-17        0 
 2019-09-18        0 
 2019-09-19        0 
 2019-09-20        0 
 2019-09-21        0 
 2019-09-22   6.3125 
 2019-09-23   8.3125 
 2019-09-24   1.8125 
 2019-09-25   0.9375 
 2019-09-26        1 
 2019-09-27   9.5625 
 2019-09-28      0.5 
 2019-09-29   1.0625 
 2019-09-30   0.0625 
 2019-10-01      3.5 
 2019-10-02      2.5 
 2019-10-03        0 
 2019-10-04     2.75 
 2019-10-05    1.125 
 2019-10-06   8.9375 
 2019-10-07     0.25 
 2019-10-08   4.9375 
 2019-10-09   4.5625 
 2019-10-10     1.25 
 2019-10-11        0 
 2019-10-12    0.875 
 2019-10-13        0 
 2019-10-14        0 
 2019-10-15    9.125 
 2019-10-16    1.375 
 2019-10-17     5.25 
 2019-10-18   6.3125 
 2019-10-19  16.3125 
 2019-10-20  10.8125 
 2019-10-21   3.0625 
 2019-10-22     0.25 
 2019-10-23        0 
 2019-10-24   0.0625 
 2019-10-25     0.25 
 2019-10-26        0 
 2019-10-27    8.125 
 2019-10-28   0.6875 
 2019-10-29      2.5 
 2019-10-30   0.9375 
 2019-10-31    0.375 
 2019-11-01     3.75 
 2019-11-02    3.625 
 2019-11-03   2.8125 
 2019-11-04   1.9375 
 2019-11-05     2.25 
 2019-11-06    1.375 
 2019-11-07   0.6875 
 2019-11-08   0.5625 
 2019-11-09    1.375 
 2019-11-10        0 
 2019-11-11      0.5 
 2019-11-12   1.1875 
 2019-11-13   0.0625 
 2019-11-14   0.0625 
 2019-11-15     0.25 
 2019-11-16        0 
 2019-11-17   4.1875 
 2019-11-18   2.8125 
 2019-11-19    0.125 
 2019-11-20        0 
 2019-11-21        0 
 2019-11-22     0.25 
 2019-11-23        0 
 2019-11-24        0 
 2019-11-25      0.5 
 2019-11-26   0.1875 
 2019-11-27   5.9375 
 2019-11-28   4.6875 
 2019-11-29   4.6875 
 2019-11-30        0 
 2019-12-01   3.9375 
 2019-12-02   0.9375 
 2019-12-03        0 
 2019-12-04        0 
 2019-12-05        0 
 2019-12-06   1.3125 
 2019-12-07    1.125 
 2019-12-08    2.125 
 2019-12-09    4.375 
