#      date    value 
 2014-01-01   0.3125 
 2014-01-02     1.75 
 2014-01-03    1.125 
 2014-01-04   2.3125 
 2014-01-05      0.5 
 2014-01-06    0.125 
 2014-01-07        0 
 2014-01-08        0 
 2014-01-09        0 
 2014-01-10        0 
 2014-01-11        0 
 2014-01-12        0 
 2014-01-13    4.375 
 2014-01-14        4 
 2014-01-15   0.0625 
 2014-01-16     0.25 
 2014-01-17        0 
 2014-01-18    3.875 
 2014-01-19  30.6875 
 2014-01-20    8.625 
 2014-01-21    0.125 
 2014-01-22   2.6875 
 2014-01-23     2.75 
 2014-01-24  13.6875 
 2014-01-25      8.5 
 2014-01-26    2.875 
 2014-01-27   0.5625 
 2014-01-28   0.8125 
 2014-01-29   1.6875 
 2014-01-30        0 
 2014-01-31        0 
 2014-02-01   0.5625 
 2014-02-02        0 
 2014-02-03   0.4375 
 2014-02-04   0.4375 
 2014-02-05    3.125 
 2014-02-06   0.0625 
 2014-02-07    2.625 
 2014-02-08        1 
 2014-02-09   0.6875 
 2014-02-10    0.875 
 2014-02-11     0.25 
 2014-02-12   0.0625 
 2014-02-13    6.375 
 2014-02-14   1.0625 
 2014-02-15     0.25 
 2014-02-16   0.0625 
 2014-02-17        0 
 2014-02-18        0 
 2014-02-19   0.0625 
 2014-02-20    0.625 
 2014-02-21      1.5 
 2014-02-22   0.1875 
 2014-02-23        0 
 2014-02-24        0 
 2014-02-25   0.5625 
 2014-02-26   0.1875 
 2014-02-27   0.9375 
 2014-02-28   4.1875 
 2014-03-01      1.5 
 2014-03-02    0.125 
 2014-03-03        1 
 2014-03-04        1 
 2014-03-05        0 
 2014-03-06        0 
 2014-03-07        0 
 2014-03-08        0 
 2014-03-09        0 
 2014-03-10        0 
 2014-03-11        0 
 2014-03-12        0 
 2014-03-13        0 
 2014-03-14        0 
 2014-03-15        0 
 2014-03-16        0 
 2014-03-17        0 
 2014-03-18        0 
 2014-03-19        0 
 2014-03-20        0 
 2014-03-21     0.25 
 2014-03-22   1.5625 
 2014-03-23   4.3125 
 2014-03-24        1 
 2014-03-25   13.375 
 2014-03-26     1.25 
 2014-03-27        0 
 2014-03-28        0 
 2014-03-29        0 
 2014-03-30        0 
 2014-03-31        0 
