#      date    value 
 2014-01-01  92.8125 
 2014-01-02    7.125 
 2014-01-03  52.0625 
 2014-01-04   4.8125 
 2014-01-05    17.25 
 2014-01-06  12.4375 
 2014-01-07    1.875 
 2014-01-08        3 
 2014-01-09   1.5625 
 2014-01-10   24.875 
 2014-01-11   4.9375 
 2014-01-12  84.1875 
 2014-01-13  18.5625 
 2014-01-14   1.4375 
 2014-01-15   4.9375 
 2014-01-16  20.0625 
 2014-01-17     4.75 
 2014-01-18    0.875 
 2014-01-19     0.75 
 2014-01-20   0.9375 
 2014-01-21    15.25 
 2014-01-22     23.5 
 2014-01-23      1.5 
 2014-01-24     8.75 
 2014-01-25  35.6875 
 2014-01-26   10.875 
 2014-01-27   8.6875 
 2014-01-28   2.9375 
 2014-01-29  20.6875 
 2014-01-30  28.3125 
 2014-01-31   41.875 
 2014-02-01    4.125 
 2014-02-02   1.5625 
 2014-02-03   0.5625 
 2014-02-04  24.4375 
 2014-02-05  48.5625 
 2014-02-06       25 
 2014-02-07    9.875 
 2014-02-08  21.3125 
 2014-02-09    7.625 
 2014-02-10   8.3125 
 2014-02-11    1.375 
 2014-02-12     0.25 
 2014-02-13   1.1875 
 2014-02-14   0.4375 
 2014-02-15   8.8125 
 2014-02-16   1.8125 
 2014-02-17      2.5 
 2014-02-18   1.3125 
 2014-02-19      2.5 
 2014-02-20      1.5 
 2014-02-21       32 
 2014-02-22   8.1875 
 2014-02-23      6.5 
 2014-02-24   16.375 
 2014-02-25   14.375 
 2014-02-26   3.9375 
 2014-02-27  11.4375 
 2014-02-28   3.0625 
 2014-03-01   1.1875 
 2014-03-02     0.25 
 2014-03-03    2.125 
 2014-03-04   2.3125 
 2014-03-05   1.8125 
 2014-03-06        1 
 2014-03-07   0.1875 
 2014-03-08   0.6875 
 2014-03-09   0.1875 
 2014-03-10   3.1875 
 2014-03-11        0 
 2014-03-12    0.375 
 2014-03-13    5.125 
 2014-03-14    2.875 
 2014-03-15   4.5625 
 2014-03-16   4.3125 
 2014-03-17    0.375 
 2014-03-18   2.0625 
 2014-03-19   4.0625 
 2014-03-20    0.875 
 2014-03-21   0.0625 
 2014-03-22    1.125 
 2014-03-23   8.6875 
 2014-03-24    2.875 
 2014-03-25    0.375 
 2014-03-26   2.3125 
 2014-03-27  15.1875 
 2014-03-28   9.4375 
 2014-03-29   1.0625 
 2014-03-30    18.25 
 2014-03-31        7 
 2014-04-01   1.0625 
 2014-04-02   0.1875 
 2014-04-03   0.0625 
 2014-04-04    1.125 
 2014-04-05      6.5 
 2014-04-06   2.4375 
 2014-04-07    1.125 
 2014-04-08     0.25 
 2014-04-09     0.25 
 2014-04-10   0.3125 
 2014-04-11   0.4375 
 2014-04-12   5.8125 
 2014-04-13  33.5625 
 2014-04-14   20.875 
 2014-04-15   1.9375 
 2014-04-16   1.0625 
 2014-04-17      2.5 
 2014-04-18       28 
 2014-04-19    5.125 
 2014-04-20     4.75 
 2014-04-21    9.625 
 2014-04-22   9.1875 
 2014-04-23  10.0625 
 2014-04-24     2.25 
 2014-04-25   3.0625 
 2014-04-26   1.0625 
 2014-04-27   1.1875 
 2014-04-28     2.75 
 2014-04-29     3.25 
 2014-04-30    0.625 
 2014-05-01   1.5625 
 2014-05-02  18.1875 
 2014-05-03    1.625 
 2014-05-04        1 
 2014-05-05   1.8125 
 2014-05-06   0.3125 
 2014-05-07        0 
 2014-05-08        0 
 2014-05-09   0.0625 
 2014-05-10   5.8125 
 2014-05-11   4.0625 
 2014-05-12    2.375 
 2014-05-13     6.25 
 2014-05-14    1.625 
 2014-05-15   8.3125 
 2014-05-16   8.8125 
 2014-05-17    1.125 
 2014-05-18  25.6875 
 2014-05-19  35.1875 
 2014-05-20   2.0625 
 2014-05-21     0.25 
 2014-05-22   0.3125 
 2014-05-23   0.9375 
 2014-05-24  32.9375 
 2014-05-25  16.9375 
 2014-05-26    3.125 
 2014-05-27    11.25 
 2014-05-28   3.1875 
 2014-05-29  17.5625 
 2014-05-30    41.25 
 2014-05-31  55.5625 
 2014-06-01       25 
 2014-06-02   2.3125 
 2014-06-03   6.6875 
 2014-06-04    19.25 
 2014-06-05   8.0625 
 2014-06-06   3.0625 
 2014-06-07    8.625 
 2014-06-08    2.125 
 2014-06-09      4.5 
 2014-06-10    2.625 
 2014-06-11  11.9375 
 2014-06-12  29.4375 
 2014-06-13  27.4375 
 2014-06-14  21.4375 
 2014-06-15   2.0625 
 2014-06-16      0.5 
 2014-06-17    6.875 
 2014-06-18    6.375 
 2014-06-19  36.8125 
 2014-06-20   12.625 
 2014-06-21   4.6875 
 2014-06-22  34.0625 
 2014-06-23  19.8125 
 2014-06-24   0.4375 
 2014-06-25     4.25 
 2014-06-26    8.375 
 2014-06-27   1.3125 
 2014-06-28  14.8125 
 2014-06-29   4.0625 
 2014-06-30   3.0625 
 2014-07-01   3.6875 
 2014-07-02       13 
 2014-07-03    32.25 
 2014-07-04    7.375 
 2014-07-05    26.25 
 2014-07-06   5.4375 
 2014-07-07     7.25 
 2014-07-08   41.625 
 2014-07-09    19.25 
 2014-07-10  18.3125 
 2014-07-11  21.1875 
 2014-07-12   1.8125 
 2014-07-13   1.5625 
 2014-07-14     2.75 
 2014-07-15    0.125 
 2014-07-16   0.0625 
 2014-07-17   1.1875 
 2014-07-18    8.875 
 2014-07-19   1.8125 
 2014-07-20   1.5625 
 2014-07-21     0.75 
 2014-07-22   0.1875 
 2014-07-23    0.375 
 2014-07-24   1.6875 
 2014-07-25   0.4375 
 2014-07-26        0 
 2014-07-27    0.875 
 2014-07-28    5.625 
 2014-07-29   1.1875 
 2014-07-30   0.3125 
 2014-07-31   8.5625 
 2014-08-01   1.5625 
 2014-08-02   7.9375 
 2014-08-03    6.875 
 2014-08-04   1.9375 
 2014-08-05   7.0625 
 2014-08-06   1.4375 
 2014-08-07     0.25 
 2014-08-08   2.3125 
 2014-08-09     1.25 
 2014-08-10   6.6875 
 2014-08-11   2.6875 
 2014-08-12   0.5625 
 2014-08-13   13.875 
 2014-08-14     1.75 
 2014-08-15    5.125 
 2014-08-16     0.25 
 2014-08-17    1.625 
 2014-08-18   7.0625 
 2014-08-19     12.5 
 2014-08-20  41.5625 
 2014-08-21     8.75 
 2014-08-22   0.3125 
 2014-08-23   0.5625 
 2014-08-24    0.625 
 2014-08-25   3.5625 
 2014-08-26   0.3125 
 2014-08-27   0.1875 
 2014-08-28   0.0625 
 2014-08-29        0 
 2014-08-30   0.3125 
 2014-08-31      1.5 
 2014-09-01       11 
 2014-09-02     0.25 
 2014-09-03        0 
 2014-09-04   3.8125 
 2014-09-05     0.25 
 2014-09-06    0.375 
 2014-09-07   5.0625 
 2014-09-08    0.625 
 2014-09-09   0.3125 
 2014-09-10    0.125 
 2014-09-11    0.125 
 2014-09-12      1.5 
 2014-09-13   2.5625 
 2014-09-14        0 
 2014-09-15    0.375 
