#      date    value 
 1997-01-01      2.5 
 1997-01-02   0.3125 
 1997-01-03       11 
 1997-01-04   7.3125 
 1997-01-05    0.125 
 1997-01-06        0 
 1997-01-07        0 
 1997-01-08        0 
 1997-01-09        0 
 1997-01-10     0.25 
 1997-01-11     5.25 
 1997-01-12   1.9375 
 1997-01-13        0 
 1997-01-14        0 
 1997-01-15   0.0625 
 1997-01-16    0.125 
 1997-01-17    0.125 
 1997-01-18   0.3125 
 1997-01-19    0.125 
 1997-01-20   1.4375 
 1997-01-21   0.0625 
 1997-01-22   0.0625 
 1997-01-23        0 
 1997-01-24      0.5 
 1997-01-25        0 
 1997-01-26        0 
 1997-01-27        0 
 1997-01-28        0 
 1997-01-29        0 
 1997-01-30        0 
 1997-01-31        0 
 1997-02-01        0 
 1997-02-02        0 
 1997-02-03        0 
 1997-02-04        0 
 1997-02-05    0.875 
 1997-02-06   0.6875 
 1997-02-07        0 
 1997-02-08        0 
 1997-02-09        0 
 1997-02-10        0 
 1997-02-11        0 
 1997-02-12        0 
 1997-02-13   2.4375 
 1997-02-14        0 
 1997-02-15        0 
 1997-02-16   0.0625 
 1997-02-17        0 
 1997-02-18        0 
 1997-02-19    3.125 
 1997-02-20        0 
 1997-02-21        0 
 1997-02-22        0 
 1997-02-23        0 
 1997-02-24        0 
 1997-02-25   0.1875 
 1997-02-26     1.25 
 1997-02-27        0 
 1997-02-28        0 
 1997-03-01        0 
 1997-03-02        0 
 1997-03-03        0 
 1997-03-04        0 
 1997-03-05        0 
 1997-03-06        0 
 1997-03-07        0 
 1997-03-08        0 
 1997-03-09        0 
 1997-03-10        0 
 1997-03-11        0 
 1997-03-12        0 
 1997-03-13        0 
 1997-03-14        0 
 1997-03-15        0 
 1997-03-16   3.4375 
 1997-03-17   7.0625 
 1997-03-18        0 
 1997-03-19   4.5625 
 1997-03-20   0.0625 
 1997-03-21        0 
 1997-03-22        0 
 1997-03-23        0 
 1997-03-24        0 
 1997-03-25        0 
 1997-03-26        0 
 1997-03-27   0.0625 
 1997-03-28     0.25 
 1997-03-29        0 
 1997-03-30        0 
 1997-03-31        0 
 1997-04-01        0 
 1997-04-02        0 
