#      date    value 
 2009-01-01   2.8125 
 2009-01-02    3.875 
 2009-01-03       13 
 2009-01-04    1.125 
 2009-01-05     2.25 
 2009-01-06   7.5625 
 2009-01-07    7.375 
 2009-01-08    5.375 
 2009-01-09    2.125 
 2009-01-10   6.8125 
 2009-01-11   2.8125 
 2009-01-12   4.5625 
 2009-01-13   6.1875 
 2009-01-14   9.1875 
 2009-01-15   15.625 
 2009-01-16  14.0625 
 2009-01-17       14 
 2009-01-18    5.875 
 2009-01-19    13.75 
 2009-01-20    8.125 
 2009-01-21   5.9375 
 2009-01-22   3.1875 
 2009-01-23   11.875 
 2009-01-24   6.8125 
 2009-01-25   6.3125 
 2009-01-26    2.375 
 2009-01-27  10.3125 
 2009-01-28  11.3125 
 2009-01-29   29.375 
 2009-01-30    2.875 
 2009-01-31      7.5 
 2009-02-01    1.625 
 2009-02-02   17.625 
 2009-02-03      4.5 
 2009-02-04    2.875 
 2009-02-05   0.5625 
 2009-02-06   0.0625 
 2009-02-07   0.6875 
 2009-02-08   0.4375 
 2009-02-09    1.125 
 2009-02-10   2.6875 
 2009-02-11   0.4375 
 2009-02-12     2.25 
 2009-02-13   10.375 
 2009-02-14  19.5625 
 2009-02-15  17.4375 
 2009-02-16  12.1875 
 2009-02-17   0.8125 
 2009-02-18    2.625 
 2009-02-19     2.25 
 2009-02-20  12.4375 
 2009-02-21   11.875 
 2009-02-22   13.875 
 2009-02-23    8.125 
 2009-02-24    7.375 
 2009-02-25    5.125 
 2009-02-26    0.625 
 2009-02-27   6.1875 
 2009-02-28   21.125 
 2009-03-01    4.625 
 2009-03-02   6.5625 
 2009-03-03  19.3125 
 2009-03-04  18.5625 
 2009-03-05     2.75 
 2009-03-06     16.5 
 2009-03-07   7.1875 
 2009-03-08   11.125 
 2009-03-09   20.125 
 2009-03-10     8.25 
 2009-03-11     5.25 
 2009-03-12    6.875 
 2009-03-13   8.8125 
 2009-03-14   7.8125 
 2009-03-15   2.5625 
 2009-03-16        1 
 2009-03-17   3.3125 
 2009-03-18   8.6875 
 2009-03-19      9.5 
 2009-03-20   4.6875 
 2009-03-21     13.5 
 2009-03-22    7.625 
 2009-03-23  62.9375 
 2009-03-24      9.5 
 2009-03-25  10.9375 
 2009-03-26    4.625 
 2009-03-27     2.25 
 2009-03-28   3.5625 
 2009-03-29  15.4375 
 2009-03-30       10 
 2009-03-31    2.875 
 2009-04-01   8.1875 
 2009-04-02   16.875 
 2009-04-03  17.4375 
 2009-04-04   16.625 
 2009-04-05       12 
 2009-04-06    7.875 
 2009-04-07   4.5625 
 2009-04-08   5.3125 
 2009-04-09   1.5625 
 2009-04-10        4 
 2009-04-11    22.75 
 2009-04-12   8.4375 
 2009-04-13        5 
 2009-04-14        4 
 2009-04-15  14.5625 
 2009-04-16      6.5 
 2009-04-17     5.25 
 2009-04-18   9.0625 
 2009-04-19    5.375 
 2009-04-20    3.375 
 2009-04-21   1.8125 
 2009-04-22    12.25 
 2009-04-23   5.5625 
 2009-04-24   2.6875 
 2009-04-25   2.5625 
 2009-04-26     3.25 
 2009-04-27    0.875 
 2009-04-28   4.9375 
 2009-04-29    2.375 
 2009-04-30   2.8125 
 2009-05-01    1.125 
 2009-05-02        0 
 2009-05-03        0 
 2009-05-04        0 
 2009-05-05   0.3125 
 2009-05-06    2.125 
 2009-05-07      5.5 
 2009-05-08   5.0625 
 2009-05-09   2.4375 
 2009-05-10  14.4375 
 2009-05-11   9.5625 
 2009-05-12   2.6875 
 2009-05-13    1.125 
 2009-05-14    5.125 
 2009-05-15   4.6875 
 2009-05-16       10 
 2009-05-17   6.4375 
 2009-05-18  11.5625 
 2009-05-19   0.6875 
 2009-05-20  11.0625 
 2009-05-21   3.4375 
 2009-05-22    7.875 
 2009-05-23   7.5625 
 2009-05-24   1.3125 
 2009-05-25     6.75 
 2009-05-26   4.5625 
 2009-05-27   2.6875 
 2009-05-28   6.4375 
 2009-05-29   3.6875 
 2009-05-30    0.125 
 2009-05-31     1.75 
 2009-06-01   4.9375 
 2009-06-02     4.75 
 2009-06-03   0.0625 
 2009-06-04    0.375 
 2009-06-05    0.875 
 2009-06-06   0.0625 
 2009-06-07        1 
 2009-06-08    13.25 
 2009-06-09   3.0625 
 2009-06-10   0.0625 
 2009-06-11    1.375 
 2009-06-12  22.5625 
 2009-06-13   1.4375 
 2009-06-14        0 
 2009-06-15        0 
 2009-06-16        0 
 2009-06-17        0 
 2009-06-18        0 
 2009-06-19        0 
 2009-06-20        0 
 2009-06-21     0.75 
 2009-06-22   0.4375 
 2009-06-23      2.5 
 2009-06-24   0.3125 
 2009-06-25        0 
 2009-06-26   2.4375 
 2009-06-27   0.1875 
 2009-06-28   6.6875 
 2009-06-29   7.1875 
 2009-06-30    0.375 
 2009-07-01     0.25 
 2009-07-02     5.75 
 2009-07-03   1.0625 
 2009-07-04    0.375 
 2009-07-05   4.0625 
 2009-07-06   5.5625 
 2009-07-07     8.25 
 2009-07-08    0.125 
 2009-07-09   0.0625 
 2009-07-10        0 
 2009-07-11        0 
 2009-07-12   0.1875 
 2009-07-13        0 
 2009-07-14   0.1875 
 2009-07-15        0 
 2009-07-16        0 
 2009-07-17        0 
 2009-07-18   0.1875 
 2009-07-19   1.4375 
 2009-07-20   0.8125 
 2009-07-21   0.1875 
 2009-07-22    5.125 
 2009-07-23   18.125 
 2009-07-24   3.3125 
 2009-07-25    4.875 
 2009-07-26   2.5625 
 2009-07-27        0 
 2009-07-28        0 
 2009-07-29   0.3125 
 2009-07-30        0 
 2009-07-31   0.0625 
 2009-08-01        0 
 2009-08-02    0.125 
 2009-08-03   0.1875 
 2009-08-04        0 
 2009-08-05        0 
 2009-08-06   0.0625 
 2009-08-07        0 
 2009-08-08   0.0625 
 2009-08-09        1 
 2009-08-10   2.0625 
 2009-08-11  12.0625 
 2009-08-12    1.875 
 2009-08-13   0.1875 
 2009-08-14        0 
 2009-08-15    44.25 
 2009-08-16  11.0625 
 2009-08-17     0.75 
 2009-08-18        0 
 2009-08-19   4.3125 
 2009-08-20        0 
 2009-08-21   0.0625 
 2009-08-22      0.5 
 2009-08-23        0 
 2009-08-24        0 
 2009-08-25        0 
 2009-08-26   0.0625 
 2009-08-27   0.0625 
 2009-08-28   0.4375 
 2009-08-29        0 
 2009-08-30     0.25 
 2009-08-31        0 
 2009-09-01        0 
 2009-09-02   0.0625 
 2009-09-03        0 
 2009-09-04   0.1875 
 2009-09-05        0 
 2009-09-06        0 
 2009-09-07   0.0625 
 2009-09-08        0 
 2009-09-09        0 
 2009-09-10   0.6875 
 2009-09-11        0 
 2009-09-12        0 
 2009-09-13        0 
 2009-09-14   5.4375 
 2009-09-15     26.5 
 2009-09-16   6.0625 
 2009-09-17   0.6875 
 2009-09-18   0.3125 
 2009-09-19        0 
 2009-09-20    0.375 
 2009-09-21      0.5 
 2009-09-22   1.0625 
 2009-09-23        0 
 2009-09-24     1.25 
 2009-09-25   0.0625 
 2009-09-26        0 
 2009-09-27   0.0625 
 2009-09-28   0.0625 
 2009-09-29        0 
 2009-09-30      2.5 
 2009-10-01   4.4375 
 2009-10-02   5.1875 
 2009-10-03    5.625 
 2009-10-04        4 
 2009-10-05    6.375 
 2009-10-06  10.1875 
 2009-10-07  20.3125 
 2009-10-08    1.625 
 2009-10-09  11.3125 
 2009-10-10      6.5 
 2009-10-11   9.4375 
 2009-10-12   18.125 
 2009-10-13   13.875 
 2009-10-14     3.75 
 2009-10-15   0.0625 
