#      date    value 
 1990-01-01        5 
 1990-01-02     4.75 
 1990-01-03    3.125 
 1990-01-04   0.6875 
 1990-01-05   0.5625 
 1990-01-06      1.5 
 1990-01-07    10.75 
 1990-01-08    0.125 
 1990-01-09        0 
 1990-01-10     1.25 
 1990-01-11    1.125 
 1990-01-12   0.9375 
 1990-01-13        1 
 1990-01-14   1.1875 
 1990-01-15    0.375 
 1990-01-16   1.4375 
 1990-01-17    1.875 
 1990-01-18        0 
 1990-01-19    6.125 
 1990-01-20        0 
 1990-01-21   4.0625 
 1990-01-22    1.375 
 1990-01-23    10.75 
 1990-01-24     4.25 
 1990-01-25  11.1875 
 1990-01-26        2 
 1990-01-27        0 
 1990-01-28     0.25 
 1990-01-29      9.5 
 1990-01-30   7.4375 
 1990-01-31    1.625 
 1990-02-01       10 
 1990-02-02    1.375 
 1990-02-03        0 
 1990-02-04   5.0625 
 1990-02-05     0.75 
 1990-02-06  20.8125 
 1990-02-07  13.1875 
 1990-02-08    1.125 
 1990-02-09    0.375 
 1990-02-10   9.8125 
 1990-02-11   13.125 
 1990-02-12    4.125 
 1990-02-13   4.0625 
 1990-02-14        4 
 1990-02-15   0.1875 
 1990-02-16      0.5 
 1990-02-17     5.75 
 1990-02-18    2.375 
 1990-02-19  12.4375 
 1990-02-20   2.1875 
 1990-02-21   5.0625 
 1990-02-22     1.25 
 1990-02-23    1.375 
 1990-02-24   5.6875 
 1990-02-25   8.9375 
 1990-02-26   10.875 
 1990-02-27   3.8125 
 1990-02-28   8.6875 
 1990-03-01    2.625 
 1990-03-02        0 
 1990-03-03        0 
 1990-03-04   0.4375 
 1990-03-05    1.125 
 1990-03-06    0.125 
 1990-03-07        0 
 1990-03-08   0.3125 
 1990-03-09   0.1875 
 1990-03-10    0.625 
 1990-03-11   0.3125 
 1990-03-12    0.125 
 1990-03-13   3.6875 
 1990-03-14   0.0625 
 1990-03-15    0.625 
 1990-03-16     2.25 
 1990-03-17   1.6875 
 1990-03-18   0.1875 
 1990-03-19        0 
 1990-03-20        0 
 1990-03-21   0.1875 
 1990-03-22   0.0625 
 1990-03-23        0 
 1990-03-24   4.5625 
 1990-03-25   0.0625 
 1990-03-26        0 
 1990-03-27   1.6875 
 1990-03-28        0 
 1990-03-29   0.0625 
 1990-03-30        0 
 1990-03-31        0 
 1990-04-01      1.5 
 1990-04-02    2.625 
 1990-04-03    0.125 
 1990-04-04        0 
 1990-04-05     0.75 
 1990-04-06        0 
 1990-04-07        0 
 1990-04-08        0 
 1990-04-09    0.125 
 1990-04-10        0 
 1990-04-11        0 
 1990-04-12   1.1875 
 1990-04-13     0.75 
 1990-04-14    2.375 
 1990-04-15   0.9375 
 1990-04-16    4.125 
 1990-04-17   4.5625 
 1990-04-18   1.5625 
 1990-04-19   0.9375 
 1990-04-20   0.3125 
 1990-04-21        0 
 1990-04-22        0 
 1990-04-23    1.875 
 1990-04-24    7.875 
 1990-04-25    0.125 
 1990-04-26     1.75 
 1990-04-27        0 
 1990-04-28        0 
 1990-04-29        0 
 1990-04-30        0 
 1990-05-01        0 
 1990-05-02        0 
 1990-05-03        0 
 1990-05-04        0 
 1990-05-05        0 
 1990-05-06   0.1875 
 1990-05-07    0.625 
 1990-05-08   0.3125 
 1990-05-09        1 
 1990-05-10        0 
 1990-05-11        0 
 1990-05-12        0 
 1990-05-13   0.0625 
 1990-05-14     5.25 
 1990-05-15   4.6875 
 1990-05-16    0.875 
 1990-05-17        0 
 1990-05-18   0.0625 
 1990-05-19        0 
 1990-05-20        0 
 1990-05-21        0 
 1990-05-22        0 
 1990-05-23        0 
 1990-05-24        0 
 1990-05-25   0.4375 
 1990-05-26        0 
 1990-05-27        0 
 1990-05-28   0.6875 
 1990-05-29    6.625 
 1990-05-30        0 
 1990-05-31    1.125 
 1990-06-01   6.3125 
 1990-06-02        0 
 1990-06-03   0.8125 
 1990-06-04   0.4375 
 1990-06-05   2.4375 
 1990-06-06   2.8125 
 1990-06-07   1.5625 
 1990-06-08      0.5 
 1990-06-09    0.125 
 1990-06-10        0 
 1990-06-11        0 
 1990-06-12        0 
 1990-06-13        0 
 1990-06-14        0 
 1990-06-15   0.0625 
 1990-06-16        0 
 1990-06-17   5.4375 
 1990-06-18   6.4375 
 1990-06-19   7.1875 
 1990-06-20  19.5625 
 1990-06-21  13.5625 
 1990-06-22   0.0625 
 1990-06-23     0.25 
 1990-06-24        2 
 1990-06-25     2.75 
 1990-06-26    1.125 
 1990-06-27   0.6875 
 1990-06-28    0.125 
 1990-06-29   7.6875 
 1990-06-30   7.3125 
 1990-07-01        1 
 1990-07-02   0.5625 
