#      date    value 
 1988-01-01   3.5625 
 1988-01-02  11.6875 
 1988-01-03   7.6875 
 1988-01-04   3.4375 
 1988-01-05   10.875 
 1988-01-06        8 
 1988-01-07     3.25 
 1988-01-08        5 
 1988-01-09    7.375 
 1988-01-10    2.125 
 1988-01-11   3.3125 
 1988-01-12   25.125 
 1988-01-13   2.5625 
 1988-01-14     1.75 
 1988-01-15        0 
 1988-01-16    0.125 
 1988-01-17   3.0625 
 1988-01-18  35.8125 
 1988-01-19   3.8125 
 1988-01-20    1.125 
 1988-01-21  10.3125 
 1988-01-22   2.1875 
 1988-01-23  12.9375 
 1988-01-24     1.75 
 1988-01-25     2.25 
 1988-01-26   0.4375 
 1988-01-27  10.4375 
 1988-01-28  10.9375 
 1988-01-29        3 
 1988-01-30      4.5 
 1988-01-31       19 
 1988-02-01       10 
 1988-02-02   2.8125 
 1988-02-03    8.625 
 1988-02-04   1.0625 
 1988-02-05   1.9375 
 1988-02-06   0.1875 
 1988-02-07    4.625 
 1988-02-08        4 
 1988-02-09   5.3125 
 1988-02-10   5.0625 
 1988-02-11   0.1875 
 1988-02-12      2.5 
 1988-02-13       10 
 1988-02-14    3.875 
 1988-02-15    1.375 
 1988-02-16        0 
 1988-02-17        0 
 1988-02-18        0 
 1988-02-19        0 
 1988-02-20    0.375 
 1988-02-21        0 
 1988-02-22        0 
 1988-02-23        0 
 1988-02-24        0 
 1988-02-25    0.375 
 1988-02-26        0 
 1988-02-27        0 
 1988-02-28        0 
 1988-02-29        0 
 1988-03-01   0.5625 
 1988-03-02   0.0625 
 1988-03-03   1.3125 
 1988-03-04   0.3125 
 1988-03-05   0.3125 
 1988-03-06    0.125 
 1988-03-07        0 
 1988-03-08    0.125 
 1988-03-09        1 
 1988-03-10        0 
 1988-03-11   0.0625 
 1988-03-12        0 
 1988-03-13   0.4375 
 1988-03-14    1.875 
 1988-03-15       21 
 1988-03-16    1.125 
 1988-03-17   12.875 
 1988-03-18   4.4375 
 1988-03-19   4.1875 
 1988-03-20     2.75 
 1988-03-21   4.8125 
 1988-03-22     9.25 
 1988-03-23     5.75 
 1988-03-24    6.125 
 1988-03-25   5.1875 
 1988-03-26        1 
 1988-03-27   0.0625 
 1988-03-28   1.9375 
 1988-03-29  16.8125 
 1988-03-30   1.0625 
 1988-03-31        0 
 1988-04-01    1.375 
 1988-04-02        0 
 1988-04-03        0 
 1988-04-04        0 
 1988-04-05        0 
 1988-04-06        0 
 1988-04-07        0 
 1988-04-08        0 
 1988-04-09        0 
 1988-04-10        0 
 1988-04-11        0 
 1988-04-12        0 
 1988-04-13        0 
 1988-04-14      0.5 
 1988-04-15     9.75 
 1988-04-16     2.75 
 1988-04-17    8.125 
 1988-04-18   1.8125 
 1988-04-19   0.9375 
 1988-04-20     0.25 
 1988-04-21    0.125 
 1988-04-22     0.25 
 1988-04-23     0.25 
 1988-04-24    12.75 
 1988-04-25        0 
 1988-04-26   0.3125 
 1988-04-27    0.625 
 1988-04-28   1.8125 
 1988-04-29    3.875 
 1988-04-30    13.75 
 1988-05-01   6.4375 
 1988-05-02     8.25 
 1988-05-03   1.9375 
 1988-05-04        0 
 1988-05-05        0 
 1988-05-06        0 
 1988-05-07     1.25 
 1988-05-08        0 
 1988-05-09        0 
 1988-05-10        0 
 1988-05-11   0.6875 
 1988-05-12   5.8125 
 1988-05-13     3.75 
 1988-05-14        0 
 1988-05-15   0.0625 
 1988-05-16        0 
 1988-05-17        0 
 1988-05-18        0 
 1988-05-19        0 
 1988-05-20        0 
 1988-05-21        0 
 1988-05-22    2.625 
