#      date    value 
 1979-01-02   5.3125 
 1979-01-03     0.25 
 1979-01-04  15.0625 
 1979-01-05   0.6875 
 1979-01-06      7.5 
 1979-01-07   0.8125 
 1979-01-08        0 
 1979-01-09        3 
 1979-01-10     0.75 
 1979-01-11     6.75 
 1979-01-12    0.125 
 1979-01-13    1.625 
 1979-01-14     0.25 
 1979-01-15   0.8125 
 1979-01-16        1 
 1979-01-17   0.3125 
 1979-01-18        0 
 1979-01-19        0 
 1979-01-20     0.25 
 1979-01-21    1.375 
 1979-01-22   0.5625 
 1979-01-23     4.75 
 1979-01-24    0.125 
 1979-01-25   1.8125 
 1979-01-26   0.3125 
 1979-01-27   0.1875 
 1979-01-28   0.8125 
 1979-01-29   3.0625 
 1979-01-30     3.25 
 1979-01-31     2.25 
 1979-02-01        0 
 1979-02-02   0.6875 
 1979-02-03    2.875 
 1979-02-04   0.1875 
 1979-02-05    9.625 
 1979-02-06    2.375 
 1979-02-07   3.9375 
 1979-02-08    2.625 
 1979-02-09     0.25 
 1979-02-10   1.8125 
 1979-02-11   0.1875 
 1979-02-12    4.375 
 1979-02-13   1.0625 
 1979-02-14   2.4375 
 1979-02-15    1.375 
 1979-02-16  22.9375 
 1979-02-17     5.25 
 1979-02-18  29.3125 
 1979-02-19      6.5 
 1979-02-20        3 
 1979-02-21    0.125 
 1979-02-22        0 
 1979-02-23     0.25 
 1979-02-24    0.375 
 1979-02-25    0.125 
 1979-02-26   0.1875 
 1979-02-27   1.9375 
 1979-02-28        0 
 1979-03-01        0 
 1979-03-02   3.9375 
 1979-03-03   4.6875 
 1979-03-04        0 
 1979-03-05        0 
 1979-03-06        0 
 1979-03-07    0.125 
 1979-03-08   0.5625 
 1979-03-09        0 
 1979-03-10     0.25 
 1979-03-11        0 
 1979-03-12        0 
 1979-03-13        0 
 1979-03-14        0 
 1979-03-15    0.375 
 1979-03-16    4.375 
 1979-03-17        0 
 1979-03-18   0.0625 
 1979-03-19        0 
 1979-03-20   4.5625 
 1979-03-21    0.125 
 1979-03-22    4.125 
 1979-03-23        0 
 1979-03-24   0.4375 
 1979-03-25        0 
 1979-03-26   0.9375 
 1979-03-27     4.75 
 1979-03-28      1.5 
 1979-03-29        9 
 1979-03-30   3.9375 
 1979-03-31   0.0625 
 1979-04-01    0.125 
 1979-04-02        0 
 1979-04-03        0 
 1979-04-04    1.375 
 1979-04-05    3.875 
 1979-04-06   2.6875 
 1979-04-07   2.4375 
 1979-04-08        0 
 1979-04-09        0 
 1979-04-10        0 
 1979-04-11   0.9375 
 1979-04-12   3.8125 
 1979-04-13    0.125 
 1979-04-14        6 
 1979-04-15   0.0625 
 1979-04-16     4.25 
 1979-04-17  12.4375 
 1979-04-18   38.625 
 1979-04-19   0.4375 
 1979-04-20   0.9375 
 1979-04-21        0 
 1979-04-22    0.375 
 1979-04-23    0.375 
 1979-04-24   5.5625 
 1979-04-25    6.625 
 1979-04-26   0.4375 
 1979-04-27   3.5625 
 1979-04-28   3.9375 
 1979-04-29   16.625 
 1979-04-30   1.0625 
 1979-05-01      0.5 
 1979-05-02   0.1875 
 1979-05-03    1.375 
 1979-05-04        0 
 1979-05-05        0 
 1979-05-06    4.375 
 1979-05-07  15.0625 
 1979-05-08        0 
 1979-05-09        0 
 1979-05-10        0 
 1979-05-11   0.8125 
 1979-05-12        0 
 1979-05-13   1.3125 
 1979-05-14        0 
 1979-05-15        0 
 1979-05-16   0.4375 
 1979-05-17   0.1875 
 1979-05-18        0 
 1979-05-19   0.0625 
 1979-05-20        0 
 1979-05-21        0 
 1979-05-22        0 
 1979-05-23        0 
 1979-05-24        0 
 1979-05-25     0.25 
 1979-05-26        0 
 1979-05-27      2.5 
 1979-05-28        0 
 1979-05-29        0 
 1979-05-30        0 
 1979-05-31        0 
 1979-06-01        0 
 1979-06-02   0.3125 
 1979-06-03   0.0625 
 1979-06-04     0.25 
 1979-06-05        2 
 1979-06-06     2.25 
 1979-06-07   0.9375 
 1979-06-08   1.1875 
 1979-06-09    2.625 
 1979-06-10    0.375 
 1979-06-11        0 
 1979-06-12        0 
 1979-06-13     0.25 
 1979-06-14      0.5 
 1979-06-15   3.8125 
 1979-06-16   14.625 
 1979-06-17   5.0625 
 1979-06-18   1.3125 
 1979-06-19   3.3125 
 1979-06-20    7.375 
 1979-06-21   0.0625 
 1979-06-22      0.5 
 1979-06-23    6.125 
 1979-06-24        0 
 1979-06-25     0.25 
 1979-06-26    0.625 
 1979-06-27   0.9375 
 1979-06-28     1.75 
 1979-06-29   3.0625 
 1979-06-30   1.8125 
 1979-07-01   1.4375 
 1979-07-02    7.125 
 1979-07-03   8.4375 
 1979-07-04   1.8125 
 1979-07-05    1.625 
 1979-07-06   0.0625 
 1979-07-07        0 
 1979-07-08   0.4375 
 1979-07-09        3 
 1979-07-10   0.0625 
 1979-07-11   0.9375 
 1979-07-12        0 
 1979-07-13        0 
 1979-07-14   0.0625 
 1979-07-15        0 
 1979-07-16     1.25 
