#      date    value 
 2002-01-01        0 
 2002-01-02        0 
 2002-01-03   0.3125 
 2002-01-04        0 
 2002-01-05        0 
 2002-01-06        0 
 2002-01-07        0 
 2002-01-08        0 
 2002-01-09        0 
 2002-01-10        0 
 2002-01-11        0 
 2002-01-12        0 
 2002-01-13        0 
 2002-01-14     9.25 
 2002-01-15  14.1875 
 2002-01-16   29.125 
 2002-01-17    5.875 
 2002-01-18   0.0625 
 2002-01-19        0 
 2002-01-20   0.0625 
 2002-01-21    0.625 
 2002-01-22     1.25 
 2002-01-23        0 
 2002-01-24  12.4375 
 2002-01-25   3.4375 
 2002-01-26        0 
 2002-01-27   0.3125 
 2002-01-28        0 
 2002-01-29        0 
 2002-01-30        0 
 2002-01-31    0.125 
 2002-02-01    2.375 
 2002-02-02        0 
 2002-02-03        0 
 2002-02-04        0 
 2002-02-05    0.375 
 2002-02-06    4.875 
 2002-02-07   7.3125 
 2002-02-08        0 
 2002-02-09    0.125 
 2002-02-10   2.5625 
 2002-02-11        0 
 2002-02-12        0 
 2002-02-13    0.125 
 2002-02-14        0 
 2002-02-15   0.1875 
 2002-02-16        0 
 2002-02-17   0.0625 
 2002-02-18   0.8125 
 2002-02-19        0 
 2002-02-20      0.5 
 2002-02-21     14.5 
 2002-02-22    3.125 
 2002-02-23   1.3125 
 2002-02-24   1.3125 
 2002-02-25   0.1875 
 2002-02-26   3.5625 
 2002-02-27    0.875 
 2002-02-28        0 
 2002-03-01        0 
 2002-03-02        0 
 2002-03-03   0.0625 
 2002-03-04        0 
 2002-03-05   0.1875 
 2002-03-06    0.375 
 2002-03-07     2.25 
 2002-03-08   8.5625 
 2002-03-09    3.625 
 2002-03-10    1.875 
 2002-03-11   0.0625 
 2002-03-12        0 
 2002-03-13        0 
 2002-03-14        0 
 2002-03-15        0 
 2002-03-16        0 
 2002-03-17        0 
 2002-03-18    0.375 
 2002-03-19   1.5625 
 2002-03-20   0.1875 
 2002-03-21        0 
 2002-03-22    1.125 
 2002-03-23    1.125 
 2002-03-24   1.6875 
 2002-03-25     0.25 
 2002-03-26    0.125 
 2002-03-27    0.375 
 2002-03-28    0.625 
 2002-03-29        0 
 2002-03-30        0 
 2002-03-31        0 
 2002-04-01        0 
 2002-04-02        0 
 2002-04-03    10.75 
 2002-04-04   22.375 
 2002-04-05     6.75 
 2002-04-06   0.3125 
 2002-04-07        0 
 2002-04-08        0 
 2002-04-09     3.25 
 2002-04-10   1.8125 
 2002-04-11    3.375 
 2002-04-12   1.1875 
 2002-04-13    1.875 
 2002-04-14    3.875 
 2002-04-15        0 
 2002-04-16     0.25 
 2002-04-17    2.625 
 2002-04-18   0.6875 
 2002-04-19   1.3125 
 2002-04-20        0 
 2002-04-21    6.375 
 2002-04-22   2.6875 
 2002-04-23    0.375 
 2002-04-24    2.875 
 2002-04-25   1.4375 
 2002-04-26   0.1875 
 2002-04-27    1.875 
 2002-04-28        0 
 2002-04-29   0.4375 
 2002-04-30        0 
 2002-05-01        0 
 2002-05-02        0 
 2002-05-03   0.0625 
 2002-05-04   4.3125 
 2002-05-05   0.0625 
 2002-05-06    1.375 
 2002-05-07   1.9375 
 2002-05-08  12.6875 
 2002-05-09    2.125 
 2002-05-10        0 
 2002-05-11   1.5625 
 2002-05-12  10.0625 
 2002-05-13   0.3125 
 2002-05-14        0 
 2002-05-15        0 
 2002-05-16        0 
 2002-05-17        0 
 2002-05-18        0 
 2002-05-19     5.75 
 2002-05-20     3.75 
 2002-05-21    0.125 
 2002-05-22        0 
 2002-05-23        0 
 2002-05-24  17.0625 
 2002-05-25    0.375 
 2002-05-26    1.125 
 2002-05-27        0 
 2002-05-28   5.4375 
 2002-05-29   0.0625 
 2002-05-30        0 
 2002-05-31        0 
 2002-06-01        0 
 2002-06-02   2.6875 
 2002-06-03   0.1875 
 2002-06-04   0.4375 
 2002-06-05    2.125 
 2002-06-06   0.6875 
 2002-06-07    0.625 
 2002-06-08        0 
 2002-06-09  13.8125 
 2002-06-10     1.25 
 2002-06-11        0 
 2002-06-12        0 
 2002-06-13        0 
 2002-06-14        0 
 2002-06-15        0 
 2002-06-16        0 
 2002-06-17        0 
 2002-06-18        0 
 2002-06-19        0 
 2002-06-20        0 
 2002-06-21        0 
 2002-06-22        0 
 2002-06-23        0 
 2002-06-24        0 
 2002-06-25    3.625 
 2002-06-26    0.125 
 2002-06-27    0.125 
 2002-06-28        0 
 2002-06-29        0 
 2002-06-30   1.3125 
 2002-07-01   0.0625 
 2002-07-02   0.3125 
 2002-07-03        0 
 2002-07-04    0.375 
 2002-07-05        0 
 2002-07-06        0 
 2002-07-07        0 
 2002-07-08        0 
 2002-07-09        0 
 2002-07-10        0 
 2002-07-11        0 
 2002-07-12        0 
 2002-07-13        0 
 2002-07-14   4.0625 
 2002-07-15      0.5 
 2002-07-16     5.75 
 2002-07-17   14.375 
 2002-07-18      1.5 
 2002-07-19    1.125 
 2002-07-20     0.75 
 2002-07-21        0 
 2002-07-22        0 
 2002-07-23        0 
 2002-07-24    2.375 
 2002-07-25   4.9375 
 2002-07-26        2 
 2002-07-27   0.1875 
 2002-07-28   1.6875 
 2002-07-29      0.5 
 2002-07-30   1.9375 
 2002-07-31      6.5 
 2002-08-01   0.4375 
 2002-08-02        0 
 2002-08-03   0.0625 
 2002-08-04    1.625 
 2002-08-05        0 
 2002-08-06   4.3125 
 2002-08-07   2.5625 
 2002-08-08   0.4375 
 2002-08-09   5.5625 
 2002-08-10        5 
 2002-08-11  34.3125 
 2002-08-12   6.8125 
 2002-08-13    1.625 
 2002-08-14   0.1875 
 2002-08-15   0.3125 
 2002-08-16    0.125 
 2002-08-17   5.4375 
 2002-08-18     2.25 
 2002-08-19    1.875 
 2002-08-20   1.8125 
 2002-08-21        0 
 2002-08-22        0 
 2002-08-23        0 
 2002-08-24        0 
 2002-08-25   3.9375 
 2002-08-26        0 
 2002-08-27   0.0625 
 2002-08-28  26.0625 
 2002-08-29    34.75 
 2002-08-30     0.25 
 2002-08-31   6.6875 
 2002-09-01   0.0625 
 2002-09-02    0.125 
 2002-09-03   0.6875 
 2002-09-04    0.625 
 2002-09-05   5.5625 
 2002-09-06     3.75 
 2002-09-07    9.625 
 2002-09-08   0.0625 
 2002-09-09        0 
 2002-09-10   0.8125 
 2002-09-11     2.25 
 2002-09-12     0.25 
 2002-09-13   1.1875 
 2002-09-14        2 
 2002-09-15        0 
 2002-09-16        0 
 2002-09-17        0 
 2002-09-18        0 
 2002-09-19        0 
 2002-09-20   0.3125 
 2002-09-21   1.8125 
 2002-09-22   55.375 
 2002-09-23  31.5625 
 2002-09-24   5.5625 
 2002-09-25   22.625 
 2002-09-26        7 
 2002-09-27   0.5625 
 2002-09-28   0.1875 
 2002-09-29   0.1875 
 2002-09-30     0.75 
 2002-10-01        0 
 2002-10-02        0 
 2002-10-03     1.75 
 2002-10-04        0 
