#      date    value 
 1986-01-01   5.8125 
 1986-01-02    3.625 
 1986-01-03    1.375 
 1986-01-04   3.8125 
 1986-01-05        0 
 1986-01-06    9.375 
 1986-01-07        0 
 1986-01-08        0 
 1986-01-09   3.9375 
 1986-01-10        0 
 1986-01-11    0.125 
 1986-01-12    0.375 
 1986-01-13        0 
 1986-01-14        0 
 1986-01-15        0 
 1986-01-16   0.5625 
 1986-01-17        0 
 1986-01-18        0 
 1986-01-19   0.1875 
 1986-01-20    0.875 
 1986-01-21    0.375 
 1986-01-22    6.875 
 1986-01-23   1.4375 
 1986-01-24      2.5 
 1986-01-25    1.375 
 1986-01-26        0 
 1986-01-27        0 
 1986-01-28        0 
 1986-01-29    4.875 
 1986-01-30   9.1875 
 1986-01-31  29.6875 
 1986-02-01    8.375 
 1986-02-02   3.4375 
 1986-02-03        1 
 1986-02-04        0 
 1986-02-05      0.5 
 1986-02-06   0.0625 
 1986-02-07    0.375 
 1986-02-08     5.25 
 1986-02-09        2 
 1986-02-10    2.375 
 1986-02-11    0.625 
 1986-02-12    0.625 
 1986-02-13        0 
 1986-02-14   0.4375 
 1986-02-15  10.9375 
 1986-02-16    1.625 
 1986-02-17   7.8125 
 1986-02-18   3.5625 
 1986-02-19     7.25 
 1986-02-20    2.375 
 1986-02-21   1.4375 
 1986-02-22   7.9375 
 1986-02-23    0.125 
 1986-02-24    0.375 
 1986-02-25   0.6875 
 1986-02-26        0 
 1986-02-27        0 
 1986-02-28   0.8125 
 1986-03-01    7.625 
 1986-03-02   5.9375 
 1986-03-03   1.1875 
 1986-03-04    0.375 
 1986-03-05        0 
 1986-03-06     0.75 
 1986-03-07   2.4375 
 1986-03-08   0.5625 
 1986-03-09   3.0625 
 1986-03-10    4.125 
 1986-03-11   1.1875 
 1986-03-12   4.1875 
 1986-03-13        3 
 1986-03-14   0.3125 
 1986-03-15   0.6875 
 1986-03-16   1.8125 
 1986-03-17   0.0625 
 1986-03-18        0 
 1986-03-19   0.4375 
 1986-03-20        0 
 1986-03-21    7.125 
 1986-03-22   2.6875 
 1986-03-23        0 
 1986-03-24        1 
 1986-03-25   0.5625 
 1986-03-26    1.125 
 1986-03-27        0 
 1986-03-28        0 
 1986-03-29        0 
 1986-03-30   0.0625 
 1986-03-31        0 
 1986-04-01        0 
 1986-04-02        0 
 1986-04-03        0 
 1986-04-04        0 
