#      date    value 
 1979-01-02    0.375 
 1979-01-03        0 
 1979-01-04  33.1875 
 1979-01-05   0.3125 
 1979-01-06    18.75 
 1979-01-07     1.75 
 1979-01-08    10.75 
 1979-01-09  23.5625 
 1979-01-10   10.125 
 1979-01-11    24.25 
 1979-01-12    12.75 
 1979-01-13    5.375 
 1979-01-14     5.75 
 1979-01-15     4.75 
 1979-01-16  10.5625 
 1979-01-17    6.375 
 1979-01-18   5.3125 
 1979-01-19    5.375 
 1979-01-20  20.0625 
 1979-01-21  17.9375 
 1979-01-22     17.5 
 1979-01-23   18.875 
 1979-01-24    4.125 
 1979-01-25   17.875 
 1979-01-26   4.0625 
 1979-01-27     11.5 
 1979-01-28   12.625 
 1979-01-29  10.6875 
 1979-01-30    19.25 
 1979-01-31     7.25 
 1979-02-01  10.0625 
 1979-02-02     12.5 
 1979-02-03   13.125 
 1979-02-04    16.75 
 1979-02-05  19.9375 
 1979-02-06  14.4375 
 1979-02-07   17.875 
 1979-02-08   4.5625 
 1979-02-09   10.375 
 1979-02-10  14.0625 
 1979-02-11     6.25 
 1979-02-12  11.6875 
 1979-02-13  19.3125 
 1979-02-14  12.8125 
 1979-02-15  24.1875 
 1979-02-16  25.0625 
 1979-02-17  15.4375 
 1979-02-18  10.6875 
 1979-02-19    10.75 
 1979-02-20       10 
 1979-02-21   9.9375 
 1979-02-22   13.125 
 1979-02-23  26.9375 
 1979-02-24   5.3125 
 1979-02-25    3.625 
 1979-02-26   8.4375 
 1979-02-27   20.875 
 1979-02-28        0 
 1979-03-01   2.0625 
 1979-03-02   1.4375 
 1979-03-03        0 
 1979-03-04        0 
 1979-03-05        0 
 1979-03-06        0 
 1979-03-07     0.25 
 1979-03-08   0.6875 
 1979-03-09        0 
 1979-03-10   0.0625 
 1979-03-11   0.9375 
 1979-03-12    0.125 
 1979-03-13        0 
 1979-03-14        0 
 1979-03-15   6.4375 
 1979-03-16  10.8125 
 1979-03-17        0 
 1979-03-18   0.1875 
 1979-03-19   8.4375 
 1979-03-20        8 
 1979-03-21    0.625 
 1979-03-22  11.6875 
 1979-03-23     3.25 
 1979-03-24   4.1875 
 1979-03-25        0 
 1979-03-26   3.5625 
 1979-03-27   6.6875 
 1979-03-28     1.25 
 1979-03-29   5.0625 
 1979-03-30    5.875 
 1979-03-31     0.25 
 1979-04-01        0 
 1979-04-02        0 
 1979-04-03        0 
 1979-04-04   7.8125 
 1979-04-05    9.125 
 1979-04-06    1.625 
 1979-04-07   1.1875 
 1979-04-08        0 
 1979-04-09        0 
 1979-04-10        0 
 1979-04-11    17.25 
 1979-04-12      6.5 
 1979-04-13        0 
 1979-04-14        0 
 1979-04-15   0.0625 
 1979-04-16   0.8125 
 1979-04-17    3.125 
 1979-04-18   5.8125 
 1979-04-19        1 
 1979-04-20   0.4375 
 1979-04-21        0 
 1979-04-22     3.75 
 1979-04-23    0.625 
 1979-04-24  13.4375 
 1979-04-25   2.4375 
 1979-04-26   5.6875 
 1979-04-27   6.6875 
 1979-04-28   1.0625 
 1979-04-29   0.5625 
 1979-04-30    0.125 
 1979-05-01   2.5625 
 1979-05-02     0.25 
 1979-05-03        0 
 1979-05-04        0 
 1979-05-05        0 
 1979-05-06        3 
 1979-05-07    3.875 
 1979-05-08        0 
 1979-05-09        0 
 1979-05-10        0 
 1979-05-11        0 
 1979-05-12        0 
 1979-05-13        0 
 1979-05-14        0 
 1979-05-15        0 
 1979-05-16        0 
 1979-05-17        0 
 1979-05-18        0 
 1979-05-19        0 
 1979-05-20        0 
 1979-05-21        0 
 1979-05-22        0 
 1979-05-23        0 
 1979-05-24        0 
 1979-05-25        0 
 1979-05-26        0 
 1979-05-27        0 
 1979-05-28        0 
 1979-05-29        0 
 1979-05-30        0 
 1979-05-31        0 
 1979-06-01        0 
 1979-06-02        0 
 1979-06-03     0.25 
 1979-06-04        0 
 1979-06-05        0 
 1979-06-06        0 
 1979-06-07   11.625 
 1979-06-08    0.125 
 1979-06-09        0 
 1979-06-10        0 
 1979-06-11        0 
 1979-06-12        0 
 1979-06-13        0 
 1979-06-14   0.1875 
 1979-06-15   1.3125 
