#      date    value 
 1995-01-01   0.0625 
 1995-01-02        0 
 1995-01-03        0 
 1995-01-04        0 
 1995-01-05        0 
 1995-01-06        0 
 1995-01-07        0 
 1995-01-08        0 
 1995-01-09        0 
 1995-01-10   0.8125 
 1995-01-11   3.0625 
 1995-01-12        0 
 1995-01-13        0 
 1995-01-14        0 
 1995-01-15        0 
 1995-01-16        0 
 1995-01-17        0 
 1995-01-18    0.875 
 1995-01-19    5.625 
 1995-01-20     0.25 
 1995-01-21     2.75 
 1995-01-22        0 
 1995-01-23    0.625 
 1995-01-24        1 
 1995-01-25     0.25 
 1995-01-26   6.9375 
 1995-01-27        1 
 1995-01-28        0 
 1995-01-29        0 
 1995-01-30   0.1875 
 1995-01-31        0 
 1995-02-01        0 
 1995-02-02        0 
 1995-02-03        0 
 1995-02-04        0 
 1995-02-05        0 
 1995-02-06        0 
 1995-02-07        0 
 1995-02-08   0.0625 
 1995-02-09   0.3125 
 1995-02-10        0 
 1995-02-11    2.875 
 1995-02-12   0.0625 
 1995-02-13    1.875 
 1995-02-14   2.9375 
 1995-02-15        0 
 1995-02-16   0.6875 
 1995-02-17     0.75 
 1995-02-18    6.625 
 1995-02-19        0 
 1995-02-20        0 
 1995-02-21        0 
 1995-02-22    2.625 
 1995-02-23   6.3125 
 1995-02-24   0.6875 
 1995-02-25        0 
 1995-02-26     10.5 
 1995-02-27   0.0625 
 1995-02-28        0 
 1995-03-01        0 
 1995-03-02   0.5625 
 1995-03-03    2.125 
 1995-03-04  10.5625 
 1995-03-05        0 
 1995-03-06    1.125 
 1995-03-07        0 
 1995-03-08   6.4375 
 1995-03-09   0.4375 
 1995-03-10        0 
 1995-03-11        0 
 1995-03-12        0 
 1995-03-13    0.375 
 1995-03-14    0.625 
 1995-03-15   1.3125 
 1995-03-16    1.375 
 1995-03-17   0.1875 
 1995-03-18        0 
 1995-03-19        0 
 1995-03-20    1.875 
 1995-03-21        0 
 1995-03-22        0 
 1995-03-23        0 
 1995-03-24        0 
 1995-03-25        0 
 1995-03-26   0.0625 
 1995-03-27   1.3125 
 1995-03-28        0 
 1995-03-29    1.375 
 1995-03-30        0 
 1995-03-31        0 
 1995-04-01    0.125 
 1995-04-02        0 
 1995-04-03        0 
 1995-04-04        0 
 1995-04-05   0.1875 
 1995-04-06        1 
 1995-04-07        0 
 1995-04-08        0 
 1995-04-09        0 
 1995-04-10        0 
 1995-04-11      0.5 
 1995-04-12   0.9375 
 1995-04-13        0 
 1995-04-14    0.625 
 1995-04-15        0 
 1995-04-16   0.4375 
 1995-04-17        0 
 1995-04-18        0 
 1995-04-19   3.3125 
 1995-04-20  11.4375 
 1995-04-21   3.9375 
 1995-04-22     8.25 
 1995-04-23        1 
 1995-04-24   2.4375 
 1995-04-25    7.375 
 1995-04-26   3.9375 
 1995-04-27    2.375 
 1995-04-28    2.375 
 1995-04-29   0.5625 
 1995-04-30      1.5 
 1995-05-01   1.5625 
 1995-05-02   0.3125 
 1995-05-03        0 
 1995-05-04    0.375 
 1995-05-05        0 
 1995-05-06   0.0625 
 1995-05-07   1.1875 
 1995-05-08    3.375 
 1995-05-09        1 
 1995-05-10     9.75 
 1995-05-11   3.6875 
 1995-05-12   12.375 
 1995-05-13    2.875 
 1995-05-14   3.0625 
 1995-05-15    0.875 
 1995-05-16   1.3125 
 1995-05-17        1 
 1995-05-18   2.3125 
 1995-05-19   8.8125 
 1995-05-20    1.125 
 1995-05-21        0 
 1995-05-22        0 
 1995-05-23        0 
 1995-05-24        0 
 1995-05-25        0 
 1995-05-26    4.625 
 1995-05-27   0.5625 
 1995-05-28        0 
 1995-05-29   0.6875 
 1995-05-30   8.3125 
 1995-05-31   22.625 
 1995-06-01   6.0625 
 1995-06-02        2 
 1995-06-03   2.5625 
 1995-06-04   2.9375 
 1995-06-05   8.9375 
 1995-06-06      3.5 
 1995-06-07   0.1875 
 1995-06-08    1.125 
 1995-06-09    2.875 
 1995-06-10  10.0625 
 1995-06-11     9.75 
 1995-06-12    3.125 
 1995-06-13   3.6875 
 1995-06-14     2.25 
 1995-06-15   1.5625 
 1995-06-16    0.625 
 1995-06-17     1.25 
 1995-06-18    0.875 
 1995-06-19    0.375 
 1995-06-20        0 
 1995-06-21   6.8125 
 1995-06-22     4.75 
 1995-06-23   5.0625 
 1995-06-24   4.3125 
 1995-06-25        0 
 1995-06-26        0 
 1995-06-27        0 
 1995-06-28      0.5 
 1995-06-29      0.5 
 1995-06-30   0.9375 
 1995-07-01   2.0625 
 1995-07-02    3.375 
 1995-07-03     6.25 
 1995-07-04     0.75 
 1995-07-05      3.5 
 1995-07-06    0.375 
 1995-07-07   0.4375 
 1995-07-08        0 
 1995-07-09        0 
 1995-07-10        0 
 1995-07-11   0.0625 
 1995-07-12    0.375 
 1995-07-13   0.5625 
 1995-07-14     1.75 
 1995-07-15    2.125 
 1995-07-16   0.5625 
 1995-07-17    9.875 
 1995-07-18     0.25 
 1995-07-19        0 
 1995-07-20     0.25 
 1995-07-21   0.3125 
 1995-07-22   0.1875 
 1995-07-23     2.25 
