#      date    value 
 2007-01-01   0.5625 
 2007-01-02      1.5 
 2007-01-03        0 
 2007-01-04        0 
 2007-01-05        0 
 2007-01-06        0 
 2007-01-07        0 
 2007-01-08    0.125 
 2007-01-09      1.5 
 2007-01-10        0 
 2007-01-11        0 
 2007-01-12        0 
 2007-01-13        0 
 2007-01-14        0 
 2007-01-15        0 
 2007-01-16        0 
 2007-01-17        0 
 2007-01-18        0 
 2007-01-19   0.0625 
 2007-01-20        0 
 2007-01-21        0 
 2007-01-22   5.1875 
 2007-01-23  30.0625 
 2007-01-24   3.3125 
 2007-01-25    1.125 
 2007-01-26    0.375 
 2007-01-27        0 
 2007-01-28        0 
 2007-01-29        0 
 2007-01-30        0 
 2007-01-31        0 
 2007-02-01        0 
 2007-02-02        0 
 2007-02-03        0 
 2007-02-04        0 
 2007-02-05        0 
 2007-02-06   0.9375 
 2007-02-07      0.5 
 2007-02-08   1.4375 
 2007-02-09     0.75 
 2007-02-10   0.1875 
 2007-02-11   0.4375 
 2007-02-12   5.1875 
 2007-02-13    0.875 
 2007-02-14   0.1875 
 2007-02-15   1.8125 
 2007-02-16        0 
 2007-02-17   0.1875 
 2007-02-18   0.0625 
 2007-02-19        0 
 2007-02-20        0 
 2007-02-21   0.1875 
 2007-02-22    0.125 
 2007-02-23      0.5 
 2007-02-24   1.8125 
 2007-02-25   2.5625 
 2007-02-26   0.6875 
 2007-02-27   0.3125 
 2007-02-28    0.125 
 2007-03-01    0.375 
 2007-03-02   0.5625 
 2007-03-03   0.9375 
 2007-03-04        0 
 2007-03-05        0 
 2007-03-06   1.4375 
 2007-03-07   9.8125 
 2007-03-08    6.125 
 2007-03-09   0.1875 
 2007-03-10        0 
 2007-03-11        0 
 2007-03-12        0 
 2007-03-13        0 
 2007-03-14        0 
 2007-03-15        0 
 2007-03-16        0 
 2007-03-17   0.0625 
 2007-03-18    0.875 
 2007-03-19    20.25 
 2007-03-20    3.125 
 2007-03-21   0.0625 
 2007-03-22        0 
 2007-03-23        0 
 2007-03-24   2.8125 
 2007-03-25        6 
 2007-03-26      1.5 
 2007-03-27   0.5625 
 2007-03-28     1.25 
 2007-03-29   0.9375 
 2007-03-30   9.8125 
 2007-03-31   9.5625 
 2007-04-01      0.5 
