#      date    value 
 1982-01-01   3.0625 
 1982-01-02        0 
 1982-01-03        0 
 1982-01-04        0 
 1982-01-05   0.1875 
 1982-01-06        0 
 1982-01-07        0 
 1982-01-08        0 
 1982-01-09   0.1875 
 1982-01-10   0.1875 
 1982-01-11    3.625 
 1982-01-12   0.1875 
 1982-01-13        0 
 1982-01-14    0.375 
 1982-01-15        0 
 1982-01-16    0.125 
 1982-01-17    6.375 
 1982-01-18    1.125 
 1982-01-19        0 
 1982-01-20        0 
 1982-01-21     3.25 
 1982-01-22    4.125 
 1982-01-23   3.0625 
 1982-01-24        1 
 1982-01-25   0.6875 
 1982-01-26        0 
 1982-01-27  12.5625 
 1982-01-28   3.8125 
 1982-01-29        0 
 1982-01-30   0.1875 
 1982-01-31   0.0625 
 1982-02-01        0 
 1982-02-02   0.5625 
 1982-02-03   0.0625 
 1982-02-04        0 
 1982-02-05        0 
 1982-02-06    0.375 
 1982-02-07     0.25 
 1982-02-08        0 
 1982-02-09        0 
 1982-02-10        0 
 1982-02-11        0 
 1982-02-12        0 
 1982-02-13        0 
 1982-02-14        2 
 1982-02-15     0.25 
 1982-02-16      1.5 
 1982-02-17   6.1875 
 1982-02-18   1.3125 
 1982-02-19   0.5625 
 1982-02-20   2.6875 
 1982-02-21   6.4375 
 1982-02-22        0 
 1982-02-23    3.125 
 1982-02-24    6.125 
 1982-02-25    2.125 
 1982-02-26     2.25 
 1982-02-27   0.1875 
 1982-02-28        0 
 1982-03-01   0.0625 
 1982-03-02    1.625 
 1982-03-03        0 
 1982-03-04   1.3125 
 1982-03-05  10.1875 
 1982-03-06    1.125 
 1982-03-07    0.125 
 1982-03-08    0.125 
 1982-03-09   0.5625 
 1982-03-10        0 
 1982-03-11    0.125 
 1982-03-12        0 
 1982-03-13    0.125 
 1982-03-14        0 
 1982-03-15        0 
 1982-03-16        0 
 1982-03-17        0 
 1982-03-18    1.125 
 1982-03-19   0.6875 
 1982-03-20      2.5 
 1982-03-21     2.75 
 1982-03-22        0 
 1982-03-23        0 
 1982-03-24   2.6875 
 1982-03-25   1.0625 
 1982-03-26   1.4375 
 1982-03-27    4.875 
 1982-03-28   1.5625 
 1982-03-29        0 
 1982-03-30   1.4375 
 1982-03-31   0.0625 
 1982-04-01        0 
 1982-04-02   1.1875 
 1982-04-03        0 
 1982-04-04        0 
 1982-04-05        0 
 1982-04-06        0 
 1982-04-07        0 
 1982-04-08        0 
 1982-04-09        0 
 1982-04-10        0 
 1982-04-11        0 
 1982-04-12        0 
 1982-04-13    6.375 
 1982-04-14    1.125 
 1982-04-15   2.0625 
 1982-04-16    0.125 
 1982-04-17        0 
 1982-04-18        0 
 1982-04-19   0.4375 
 1982-04-20        0 
 1982-04-21     0.75 
 1982-04-22        0 
 1982-04-23        0 
 1982-04-24    0.625 
 1982-04-25  10.6875 
 1982-04-26   1.6875 
 1982-04-27        0 
 1982-04-28        0 
 1982-04-29        0 
 1982-04-30    3.625 
 1982-05-01     0.25 
 1982-05-02        0 
 1982-05-03   0.3125 
 1982-05-04    0.125 
 1982-05-05   0.4375 
 1982-05-06   1.0625 
 1982-05-07     2.75 
 1982-05-08    2.125 
 1982-05-09   0.0625 
 1982-05-10   1.0625 
 1982-05-11        0 
 1982-05-12        0 
 1982-05-13        0 
 1982-05-14        0 
 1982-05-15        0 
 1982-05-16        0 
 1982-05-17        0 
 1982-05-18        0 
 1982-05-19        0 
 1982-05-20        0 
 1982-05-21        0 
 1982-05-22        0 
 1982-05-23        0 
 1982-05-24   0.4375 
 1982-05-25        0 
 1982-05-26        0 
 1982-05-27        0 
 1982-05-28        0 
 1982-05-29        0 
 1982-05-30    2.125 
 1982-05-31        0 
 1982-06-01   0.1875 
 1982-06-02        0 
 1982-06-03    0.125 
 1982-06-04        0 
 1982-06-05   0.4375 
 1982-06-06        0 
 1982-06-07        0 
 1982-06-08        0 
 1982-06-09        0 
 1982-06-10        0 
 1982-06-11        0 
 1982-06-12    0.125 
 1982-06-13   2.5625 
 1982-06-14        0 
 1982-06-15   0.0625 
 1982-06-16        0 
 1982-06-17        0 
 1982-06-18        0 
 1982-06-19        0 
 1982-06-20        0 
 1982-06-21        0 
 1982-06-22        0 
 1982-06-23        0 
 1982-06-24        0 
 1982-06-25        0 
 1982-06-26   0.1875 
 1982-06-27   0.1875 
 1982-06-28        0 
 1982-06-29        0 
 1982-06-30        0 
 1982-07-01        0 
 1982-07-02        0 
 1982-07-03        0 
 1982-07-04        0 
 1982-07-05        0 
 1982-07-06   0.9375 
 1982-07-07    0.875 
 1982-07-08        0 
 1982-07-09        0 
 1982-07-10        0 
 1982-07-11        0 
 1982-07-12        0 
 1982-07-13        0 
 1982-07-14        0 
 1982-07-15        0 
 1982-07-16    0.125 
 1982-07-17        0 
 1982-07-18        0 
 1982-07-19        0 
 1982-07-20        0 
 1982-07-21        0 
 1982-07-22        0 
 1982-07-23        0 
 1982-07-24        0 
 1982-07-25        0 
 1982-07-26        0 
 1982-07-27        0 
 1982-07-28        0 
 1982-07-29        0 
 1982-07-30        0 
 1982-07-31        0 
 1982-08-01        0 
 1982-08-02   0.1875 
 1982-08-03   0.3125 
 1982-08-04   0.0625 
 1982-08-05        0 
 1982-08-06        0 
 1982-08-07     0.25 
 1982-08-08     2.75 
 1982-08-09    0.375 
 1982-08-10        0 
 1982-08-11        0 
 1982-08-12        0 
 1982-08-13        0 
 1982-08-14        0 
 1982-08-15        0 
 1982-08-16        0 
 1982-08-17   0.3125 
 1982-08-18        0 
 1982-08-19        0 
 1982-08-20        0 
 1982-08-21        0 
 1982-08-22        0 
 1982-08-23        0 
 1982-08-24        0 
 1982-08-25        0 
 1982-08-26        0 
 1982-08-27   0.0625 
 1982-08-28   0.1875 
 1982-08-29        0 
 1982-08-30        0 
 1982-08-31   1.4375 
 1982-09-01    1.375 
 1982-09-02     0.25 
 1982-09-03   5.0625 
 1982-09-04   0.0625 
 1982-09-05   0.3125 
 1982-09-06        0 
 1982-09-07        1 
 1982-09-08     0.25 
 1982-09-09        0 
 1982-09-10        0 
 1982-09-11        0 
 1982-09-12        0 
 1982-09-13   0.3125 
 1982-09-14   0.5625 
 1982-09-15     0.25 
 1982-09-16        0 
 1982-09-17        0 
 1982-09-18        0 
 1982-09-19        0 
 1982-09-20        0 
 1982-09-21   1.1875 
 1982-09-22   1.4375 
 1982-09-23      0.5 
 1982-09-24   0.1875 
 1982-09-25        0 
 1982-09-26        0 
 1982-09-27        0 
 1982-09-28   0.3125 
 1982-09-29     0.75 
 1982-09-30   2.3125 
 1982-10-01        0 
 1982-10-02        0 
 1982-10-03        0 
 1982-10-04   15.125 
 1982-10-05   0.5625 
 1982-10-06   27.125 
 1982-10-07   6.5625 
 1982-10-08      1.5 
 1982-10-09    1.375 
 1982-10-10   0.4375 
 1982-10-11     0.75 
 1982-10-12    2.375 
 1982-10-13    0.625 
 1982-10-14   0.4375 
 1982-10-15      0.5 
 1982-10-16        0 
 1982-10-17    0.125 
 1982-10-18        0 
 1982-10-19        0 
 1982-10-20        0 
 1982-10-21     3.75 
 1982-10-22  19.1875 
 1982-10-23    7.875 
 1982-10-24  11.9375 
 1982-10-25   3.0625 
 1982-10-26    0.125 
 1982-10-27    0.375 
 1982-10-28        0 
 1982-10-29    1.375 
 1982-10-30        0 
 1982-10-31        0 
 1982-11-01        0 
 1982-11-02    0.125 
 1982-11-03        0 
 1982-11-04    0.125 
 1982-11-05   0.1875 
 1982-11-06   0.0625 
 1982-11-07   2.3125 
 1982-11-08     0.25 
 1982-11-09   4.6875 
 1982-11-10   1.0625 
 1982-11-11     0.25 
 1982-11-12     0.25 
 1982-11-13  18.3125 
 1982-11-14        2 
 1982-11-15  15.1875 
 1982-11-16        2 
 1982-11-17     0.25 
 1982-11-18   0.8125 
 1982-11-19        0 
 1982-11-20        0 
 1982-11-21        0 
 1982-11-22        0 
 1982-11-23        0 
 1982-11-24        0 
 1982-11-25     1.25 
 1982-11-26    0.125 
 1982-11-27    8.625 
 1982-11-28    1.125 
 1982-11-29        9 
 1982-11-30   0.8125 
 1982-12-01    6.125 
 1982-12-02   5.8125 
 1982-12-03   1.1875 
 1982-12-04   0.1875 
