#      date    value 
 2014-01-01        0 
 2014-01-02   0.8125 
 2014-01-03   0.0625 
 2014-01-04   3.8125 
 2014-01-05  10.4375 
 2014-01-06        0 
 2014-01-07        0 
 2014-01-08        0 
 2014-01-09        0 
 2014-01-10        0 
 2014-01-11        0 
 2014-01-12        0 
 2014-01-13   0.5625 
 2014-01-14   2.4375 
 2014-01-15        0 
 2014-01-16     0.25 
 2014-01-17        6 
 2014-01-18  14.9375 
 2014-01-19    4.125 
 2014-01-20    0.875 
 2014-01-21   0.0625 
 2014-01-22   0.0625 
 2014-01-23   0.9375 
 2014-01-24   9.0625 
 2014-01-25        0 
 2014-01-26        0 
 2014-01-27   3.3125 
 2014-01-28  14.1875 
 2014-01-29   1.5625 
 2014-01-30   17.375 
 2014-01-31    13.25 
 2014-02-01   3.8125 
 2014-02-02      7.5 
 2014-02-03   7.9375 
 2014-02-04   3.1875 
 2014-02-05      2.5 
 2014-02-06        4 
 2014-02-07    2.625 
 2014-02-08    0.875 
 2014-02-09   5.9375 
 2014-02-10    13.25 
 2014-02-11   4.8125 
 2014-02-12        0 
 2014-02-13     0.25 
 2014-02-14        0 
 2014-02-15        0 
 2014-02-16        0 
 2014-02-17   0.4375 
 2014-02-18   0.0625 
 2014-02-19    3.125 
 2014-02-20  15.3125 
 2014-02-21   3.1875 
 2014-02-22   7.8125 
 2014-02-23        0 
 2014-02-24        0 
 2014-02-25        0 
 2014-02-26   0.6875 
 2014-02-27   0.3125 
 2014-02-28   0.0625 
 2014-03-01    1.875 
 2014-03-02   6.4375 
 2014-03-03    0.375 
 2014-03-04  26.5625 
 2014-03-05    1.875 
 2014-03-06    0.625 
 2014-03-07        0 
 2014-03-08        0 
 2014-03-09        0 
 2014-03-10        0 
 2014-03-11        0 
 2014-03-12        0 
 2014-03-13        0 
 2014-03-14        0 
 2014-03-15        0 
 2014-03-16        0 
 2014-03-17        0 
 2014-03-18        0 
 2014-03-19        0 
 2014-03-20        0 
 2014-03-21   0.0625 
 2014-03-22   0.8125 
 2014-03-23    4.625 
 2014-03-24    2.875 
 2014-03-25    0.125 
 2014-03-26   3.4375 
 2014-03-27    3.125 
 2014-03-28    0.125 
 2014-03-29        0 
 2014-03-30        0 
 2014-03-31        0 
 2014-04-01        0 
 2014-04-02        0 
 2014-04-03        0 
 2014-04-04  12.9375 
 2014-04-05       10 
 2014-04-06   0.3125 
 2014-04-07        0 
 2014-04-08        0 
 2014-04-09   0.3125 
 2014-04-10        0 
 2014-04-11        0 
 2014-04-12        0 
 2014-04-13    0.125 
 2014-04-14        0 
 2014-04-15     1.25 
 2014-04-16   0.3125 
 2014-04-17        0 
 2014-04-18        0 
 2014-04-19   0.8125 
 2014-04-20   0.1875 
 2014-04-21     2.75 
 2014-04-22    0.625 
 2014-04-23      0.5 
 2014-04-24    0.125 
 2014-04-25        0 
 2014-04-26     0.25 
 2014-04-27   3.4375 
 2014-04-28    20.25 
 2014-04-29    5.375 
 2014-04-30    4.625 
 2014-05-01   1.4375 
 2014-05-02     15.5 
 2014-05-03   8.9375 
 2014-05-04    0.125 
 2014-05-05        0 
 2014-05-06        0 
 2014-05-07    0.125 
 2014-05-08   0.4375 
 2014-05-09        0 
 2014-05-10        0 
 2014-05-11        0 
 2014-05-12        0 
 2014-05-13        2 
 2014-05-14    0.375 
 2014-05-15        0 
 2014-05-16        0 
 2014-05-17        0 
 2014-05-18        0 
 2014-05-19        0 
 2014-05-20        0 
 2014-05-21        0 
 2014-05-22        0 
 2014-05-23        0 
 2014-05-24        0 
 2014-05-25        0 
 2014-05-26  17.1875 
 2014-05-27    0.375 
 2014-05-28    2.125 
 2014-05-29      1.5 
 2014-05-30   8.9375 
 2014-05-31    2.375 
 2014-06-01        0 
 2014-06-02   0.0625 
 2014-06-03    0.375 
 2014-06-04   0.0625 
 2014-06-05        0 
 2014-06-06        0 
 2014-06-07        0 
 2014-06-08        0 
 2014-06-09        0 
 2014-06-10        0 
 2014-06-11        0 
 2014-06-12        0 
 2014-06-13   6.3125 
 2014-06-14  17.3125 
 2014-06-15     4.25 
 2014-06-16     5.25 
 2014-06-17    0.375 
 2014-06-18    0.125 
 2014-06-19        0 
 2014-06-20        0 
 2014-06-21        0 
 2014-06-22        0 
 2014-06-23        0 
 2014-06-24   0.0625 
 2014-06-25      3.5 
 2014-06-26   5.0625 
 2014-06-27      0.5 
 2014-06-28        0 
 2014-06-29    3.625 
 2014-06-30    0.375 
 2014-07-01        0 
 2014-07-02   0.0625 
 2014-07-03        0 
 2014-07-04        0 
 2014-07-05        0 
 2014-07-06        0 
 2014-07-07   0.5625 
 2014-07-08   1.9375 
 2014-07-09      3.5 
 2014-07-10    7.375 
 2014-07-11        0 
 2014-07-12  11.3125 
 2014-07-13   0.6875 
 2014-07-14     1.25 
 2014-07-15        0 
 2014-07-16   0.0625 
 2014-07-17   0.0625 
 2014-07-18    0.125 
 2014-07-19        0 
 2014-07-20   0.0625 
 2014-07-21    11.75 
 2014-07-22   1.0625 
 2014-07-23    0.125 
 2014-07-24   1.9375 
 2014-07-25    0.375 
 2014-07-26     26.5 
 2014-07-27   1.5625 
 2014-07-28    0.125 
 2014-07-29      4.5 
 2014-07-30  43.4375 
 2014-07-31     0.75 
 2014-08-01   0.0625 
 2014-08-02   0.0625 
 2014-08-03   5.5625 
 2014-08-04   0.0625 
 2014-08-05     4.75 
 2014-08-06        0 
 2014-08-07     0.25 
 2014-08-08        0 
 2014-08-09        0 
 2014-08-10        0 
 2014-08-11        0 
 2014-08-12        0 
 2014-08-13   1.8125 
 2014-08-14   0.0625 
 2014-08-15    0.375 
 2014-08-16   11.125 
 2014-08-17    0.375 
 2014-08-18        0 
 2014-08-19   0.1875 
 2014-08-20        0 
 2014-08-21        0 
 2014-08-22   0.0625 
 2014-08-23   1.6875 
 2014-08-24   3.3125 
 2014-08-25        0 
 2014-08-26   0.0625 
 2014-08-27   0.4375 
 2014-08-28   0.0625 
 2014-08-29        0 
 2014-08-30        0 
 2014-08-31        4 
 2014-09-01    7.875 
 2014-09-02        0 
 2014-09-03   2.9375 
 2014-09-04   1.9375 
 2014-09-05   3.1875 
 2014-09-06   0.5625 
 2014-09-07   0.1875 
 2014-09-08        0 
 2014-09-09    2.375 
 2014-09-10   9.4375 
 2014-09-11    10.25 
 2014-09-12     4.75 
 2014-09-13        0 
 2014-09-14        0 
 2014-09-15   0.0625 
