#      date    value 
 2014-01-01        0 
 2014-01-02   0.1875 
 2014-01-03        0 
 2014-01-04       37 
 2014-01-05   17.375 
 2014-01-06        0 
 2014-01-07        0 
 2014-01-08        0 
 2014-01-09        0 
 2014-01-10        0 
 2014-01-11        0 
 2014-01-12        0 
 2014-01-13    0.125 
 2014-01-14  23.9375 
 2014-01-15        0 
 2014-01-16   1.4375 
 2014-01-17  18.8125 
 2014-01-18  12.1875 
 2014-01-19   9.6875 
 2014-01-20   0.3125 
 2014-01-21        0 
 2014-01-22        0 
 2014-01-23    0.125 
 2014-01-24    0.125 
 2014-01-25        0 
 2014-01-26    0.125 
 2014-01-27    2.125 
 2014-01-28   0.4375 
 2014-01-29   1.0625 
 2014-01-30  18.1875 
 2014-01-31  20.9375 
 2014-02-01   8.1875 
 2014-02-02  12.9375 
 2014-02-03   4.5625 
 2014-02-04   19.875 
 2014-02-05   1.1875 
 2014-02-06      0.5 
 2014-02-07  14.1875 
 2014-02-08     1.25 
 2014-02-09    10.75 
 2014-02-10       15 
 2014-02-11   1.4375 
 2014-02-12        0 
 2014-02-13     6.25 
 2014-02-14    0.125 
 2014-02-15      0.5 
 2014-02-16    6.625 
 2014-02-17   7.3125 
 2014-02-18   0.6875 
 2014-02-19     8.25 
 2014-02-20   0.3125 
 2014-02-21   3.4375 
 2014-02-22   5.9375 
 2014-02-23        0 
 2014-02-24        0 
 2014-02-25        0 
 2014-02-26        2 
 2014-02-27     0.25 
 2014-02-28   0.0625 
 2014-03-01   2.3125 
 2014-03-02   1.0625 
 2014-03-03     0.25 
 2014-03-04        0 
 2014-03-05        0 
 2014-03-06        0 
 2014-03-07        0 
 2014-03-08        0 
 2014-03-09        0 
 2014-03-10        0 
 2014-03-11        0 
 2014-03-12        0 
 2014-03-13        0 
 2014-03-14        0 
 2014-03-15        0 
 2014-03-16        0 
 2014-03-17        0 
 2014-03-18        0 
 2014-03-19        0 
 2014-03-20        0 
 2014-03-21        0 
 2014-03-22   3.6875 
 2014-03-23   18.875 
 2014-03-24   0.0625 
 2014-03-25   1.8125 
 2014-03-26      0.5 
 2014-03-27        0 
 2014-03-28        0 
 2014-03-29        0 
 2014-03-30        0 
 2014-03-31        0 
 2014-04-01        0 
 2014-04-02        0 
 2014-04-03        0 
 2014-04-04        0 
 2014-04-05   0.0625 
 2014-04-06        0 
 2014-04-07        0 
 2014-04-08     5.25 
 2014-04-09        0 
 2014-04-10        0 
 2014-04-11        0 
 2014-04-12   0.3125 
 2014-04-13   0.1875 
 2014-04-14   0.0625 
 2014-04-15        0 
 2014-04-16        0 
 2014-04-17        0 
 2014-04-18   1.1875 
 2014-04-19   6.1875 
 2014-04-20    2.375 
 2014-04-21   5.5625 
 2014-04-22   0.3125 
 2014-04-23   0.1875 
 2014-04-24        0 
 2014-04-25   0.9375 
 2014-04-26    0.625 
 2014-04-27  10.6875 
 2014-04-28   2.5625 
 2014-04-29   0.5625 
 2014-04-30     8.75 
 2014-05-01   0.5625 
 2014-05-02     2.25 
 2014-05-03        0 
 2014-05-04        0 
 2014-05-05        0 
 2014-05-06        0 
 2014-05-07   5.4375 
 2014-05-08        0 
 2014-05-09        0 
 2014-05-10   0.0625 
 2014-05-11  22.0625 
