#      date    value 
 2008-01-01        0 
 2008-01-02        0 
 2008-01-03   4.0625 
 2008-01-04   4.5625 
 2008-01-05  11.9375 
 2008-01-06   22.875 
 2008-01-07        7 
 2008-01-08   0.5625 
 2008-01-09     1.75 
 2008-01-10   0.5625 
 2008-01-11    7.375 
 2008-01-12  19.6875 
 2008-01-13    0.125 
 2008-01-14   3.5625 
 2008-01-15  16.1875 
 2008-01-16   46.125 
 2008-01-17     6.25 
 2008-01-18   0.0625 
 2008-01-19        0 
 2008-01-20        0 
 2008-01-21    1.875 
 2008-01-22   2.0625 
 2008-01-23        0 
 2008-01-24        0 
 2008-01-25        0 
 2008-01-26        0 
 2008-01-27        0 
 2008-01-28        0 
 2008-01-29    2.625 
 2008-01-30   1.6875 
 2008-01-31  10.8125 
 2008-02-01   7.0625 
 2008-02-02   4.5625 
 2008-02-03   8.5625 
 2008-02-04   9.4375 
 2008-02-05        0 
 2008-02-06        0 
 2008-02-07   0.4375 
 2008-02-08    1.125 
 2008-02-09        2 
 2008-02-10      2.5 
 2008-02-11   1.8125 
 2008-02-12        0 
 2008-02-13        0 
 2008-02-14    0.375 
 2008-02-15        1 
 2008-02-16    0.375 
 2008-02-17   0.9375 
 2008-02-18        0 
 2008-02-19        5 
 2008-02-20    4.625 
 2008-02-21    2.375 
 2008-02-22        0 
 2008-02-23   1.9375 
 2008-02-24        0 
 2008-02-25   0.0625 
 2008-02-26   2.4375 
 2008-02-27    4.875 
 2008-02-28     2.25 
 2008-02-29   4.6875 
 2008-03-01   3.3125 
 2008-03-02        0 
 2008-03-03   2.6875 
 2008-03-04   2.9375 
 2008-03-05    1.125 
 2008-03-06   4.9375 
 2008-03-07     13.5 
 2008-03-08    0.375 
 2008-03-09   6.9375 
 2008-03-10   7.9375 
 2008-03-11   3.5625 
 2008-03-12   2.8125 
 2008-03-13        0 
 2008-03-14        0 
 2008-03-15      1.5 
 2008-03-16     2.25 
 2008-03-17   1.1875 
 2008-03-18    0.125 
 2008-03-19        0 
 2008-03-20   1.8125 
 2008-03-21    7.875 
 2008-03-22   3.3125 
 2008-03-23   1.4375 
 2008-03-24    7.125 
 2008-03-25    4.375 
 2008-03-26   1.4375 
 2008-03-27  20.0625 
 2008-03-28   2.4375 
 2008-03-29        0 
 2008-03-30   3.0625 
 2008-03-31   0.1875 
 2008-04-01   0.4375 
 2008-04-02   0.0625 
 2008-04-03    1.875 
 2008-04-04        0 
 2008-04-05        0 
 2008-04-06   0.1875 
 2008-04-07        0 
 2008-04-08      0.5 
 2008-04-09    8.625 
 2008-04-10    2.875 
 2008-04-11   9.6875 
 2008-04-12     4.75 
 2008-04-13   0.8125 
 2008-04-14   4.4375 
 2008-04-15   1.3125 
 2008-04-16   1.5625 
 2008-04-17    6.125 
 2008-04-18  11.5625 
 2008-04-19      0.5 
 2008-04-20   0.0625 
 2008-04-21       18 
 2008-04-22    0.375 
 2008-04-23        0 
 2008-04-24   1.8125 
 2008-04-25        0 
 2008-04-26        0 
 2008-04-27        0 
 2008-04-28   0.3125 
 2008-04-29    6.375 
 2008-04-30     0.25 
 2008-05-01    0.125 
 2008-05-02        0 
 2008-05-03        0 
 2008-05-04        0 
 2008-05-05    1.625 
 2008-05-06        0 
 2008-05-07   2.6875 
 2008-05-08        0 
 2008-05-09        0 
 2008-05-10    0.125 
 2008-05-11   1.3125 
 2008-05-12        3 
 2008-05-13   0.0625 
 2008-05-14        0 
 2008-05-15   2.6875 
 2008-05-16   1.9375 
 2008-05-17    14.75 
 2008-05-18    9.875 
 2008-05-19    7.375 
 2008-05-20  12.6875 
 2008-05-21   0.0625 
 2008-05-22    3.375 
 2008-05-23        0 
 2008-05-24   0.0625 
 2008-05-25   0.5625 
 2008-05-26        0 
 2008-05-27        0 
 2008-05-28   0.9375 
 2008-05-29  10.3125 
 2008-05-30   15.625 
 2008-05-31        0 
 2008-06-01   0.1875 
 2008-06-02    2.125 
 2008-06-03   0.1875 
 2008-06-04   0.0625 
 2008-06-05  11.0625 
 2008-06-06        0 
 2008-06-07    0.125 
 2008-06-08    3.625 
 2008-06-09      1.5 
 2008-06-10        0 
 2008-06-11        0 
 2008-06-12        2 
 2008-06-13   0.9375 
 2008-06-14   1.4375 
 2008-06-15   0.9375 
