#      date    value 
 1991-01-01  11.3125 
 1991-01-02        0 
 1991-01-03   0.0625 
 1991-01-04        0 
 1991-01-05    0.125 
 1991-01-06   0.1875 
 1991-01-07    0.875 
 1991-01-08     1.75 
 1991-01-09        0 
 1991-01-10   0.0625 
 1991-01-11        0 
 1991-01-12    0.125 
 1991-01-13    0.125 
 1991-01-14   1.6875 
 1991-01-15        0 
 1991-01-16        0 
 1991-01-17        0 
 1991-01-18        0 
 1991-01-19        0 
 1991-01-20        0 
 1991-01-21        0 
 1991-01-22        0 
 1991-01-23        0 
 1991-01-24        0 
 1991-01-25        0 
 1991-01-26        0 
 1991-01-27        0 
 1991-01-28        0 
 1991-01-29        0 
 1991-01-30        0 
 1991-01-31        0 
 1991-02-01        0 
 1991-02-02        0 
 1991-02-03    0.125 
 1991-02-04    0.625 
 1991-02-05   0.3125 
 1991-02-06    5.125 
 1991-02-07  12.9375 
 1991-02-08     2.25 
 1991-02-09   4.9375 
 1991-02-10    15.75 
 1991-02-11    0.125 
 1991-02-12     2.75 
 1991-02-13    0.375 
 1991-02-14        0 
 1991-02-15        0 
 1991-02-16   2.4375 
 1991-02-17   2.9375 
 1991-02-18    5.625 
 1991-02-19   0.0625 
 1991-02-20   0.0625 
 1991-02-21        0 
 1991-02-22        0 
 1991-02-23        0 
 1991-02-24        0 
 1991-02-25        0 
 1991-02-26        0 
 1991-02-27        0 
 1991-02-28   4.4375 
 1991-03-01    2.125 
 1991-03-02   0.5625 
 1991-03-03        0 
 1991-03-04        0 
 1991-03-05        0 
 1991-03-06     0.75 
 1991-03-07   0.4375 
 1991-03-08   1.1875 
 1991-03-09   15.625 
 1991-03-10    0.125 
 1991-03-11    0.125 
 1991-03-12        0 
 1991-03-13        0 
 1991-03-14        0 
 1991-03-15        0 
 1991-03-16        0 
 1991-03-17     0.25 
 1991-03-18        0 
 1991-03-19        0 
 1991-03-20        0 
 1991-03-21        0 
 1991-03-22   0.8125 
 1991-03-23   1.8125 
 1991-03-24    15.75 
 1991-03-25   27.125 
 1991-03-26   5.3125 
 1991-03-27   0.0625 
 1991-03-28        0 
 1991-03-29        0 
 1991-03-30        0 
 1991-03-31        0 
 1991-04-01        0 
 1991-04-02        0 
 1991-04-03        0 
 1991-04-04    0.875 
 1991-04-05      8.5 
 1991-04-06      0.5 
 1991-04-07   0.0625 
 1991-04-08   0.1875 
 1991-04-09   0.0625 
 1991-04-10   0.0625 
 1991-04-11   0.3125 
 1991-04-12    0.125 
 1991-04-13        0 
 1991-04-14   0.3125 
 1991-04-15   0.0625 
 1991-04-16   2.0625 
 1991-04-17   7.0625 
 1991-04-18     17.5 
 1991-04-19     0.75 
 1991-04-20  12.9375 
 1991-04-21    1.625 
 1991-04-22   0.1875 
 1991-04-23    1.875 
 1991-04-24   1.0625 
 1991-04-25   0.0625 
 1991-04-26    1.375 
 1991-04-27   1.3125 
 1991-04-28   6.9375 
 1991-04-29   1.0625 
 1991-04-30   0.5625 
 1991-05-01    7.125 
 1991-05-02   18.125 
 1991-05-03  27.6875 
 1991-05-04     6.25 
 1991-05-05    9.625 
 1991-05-06        2 
 1991-05-07   2.0625 
 1991-05-08   1.5625 
 1991-05-09        4 
 1991-05-10    7.875 
 1991-05-11   2.9375 
 1991-05-12   1.1875 
 1991-05-13     0.25 
 1991-05-14   0.0625 
 1991-05-15   0.3125 
 1991-05-16   4.0625 
 1991-05-17   0.8125 
 1991-05-18    0.625 
 1991-05-19     0.75 
 1991-05-20     2.25 
 1991-05-21        0 
 1991-05-22        0 
 1991-05-23   0.1875 
 1991-05-24    0.125 
 1991-05-25        0 
 1991-05-26    0.125 
 1991-05-27     0.25 
 1991-05-28        0 
 1991-05-29   0.0625 
 1991-05-30    0.375 
 1991-05-31        0 
 1991-06-01        0 
 1991-06-02   5.9375 
 1991-06-03    9.125 
 1991-06-04   5.8125 
 1991-06-05    6.375 
 1991-06-06       38 
 1991-06-07  57.8125 
 1991-06-08   12.625 
 1991-06-09    2.375 
 1991-06-10        4 
 1991-06-11   27.375 
 1991-06-12    4.625 
 1991-06-13   1.9375 
 1991-06-14   1.3125 
 1991-06-15    1.625 
 1991-06-16   5.9375 
 1991-06-17  21.8125 
 1991-06-18        0 
 1991-06-19      0.5 
 1991-06-20     2.75 
 1991-06-21      2.5 
 1991-06-22        0 
 1991-06-23        0 
 1991-06-24        0 
 1991-06-25        0 
 1991-06-26        0 
 1991-06-27        0 
 1991-06-28        0 
 1991-06-29    0.125 
 1991-06-30        0 
 1991-07-01        0 
 1991-07-02        0 
 1991-07-03        0 
 1991-07-04        0 
 1991-07-05        0 
 1991-07-06        0 
 1991-07-07        0 
 1991-07-08        0 
 1991-07-09        0 
 1991-07-10        0 
 1991-07-11   0.0625 
 1991-07-12        0 
 1991-07-13        0 
 1991-07-14        0 
 1991-07-15        0 
 1991-07-16        0 
 1991-07-17      0.5 
 1991-07-18        0 
 1991-07-19        0 
 1991-07-20        0 
 1991-07-21        0 
 1991-07-22        0 
 1991-07-23        0 
 1991-07-24        0 
 1991-07-25    0.125 
 1991-07-26   2.1875 
 1991-07-27   0.5625 
 1991-07-28   0.0625 
 1991-07-29      0.5 
 1991-07-30        0 
 1991-07-31    35.75 
 1991-08-01      0.5 
 1991-08-02        0 
 1991-08-03   0.0625 
 1991-08-04        0 
 1991-08-05        0 
 1991-08-06        0 
 1991-08-07        0 
 1991-08-08        0 
 1991-08-09        0 
 1991-08-10        0 
 1991-08-11        0 
 1991-08-12        0 
 1991-08-13        0 
 1991-08-14        0 
 1991-08-15   0.0625 
 1991-08-16        0 
 1991-08-17        0 
 1991-08-18        0 
 1991-08-19        0 
 1991-08-20        0 
 1991-08-21        0 
 1991-08-22        0 
 1991-08-23        0 
 1991-08-24        0 
 1991-08-25        0 
 1991-08-26        0 
 1991-08-27        0 
 1991-08-28        0 
 1991-08-29        0 
 1991-08-30        0 
 1991-08-31        0 
 1991-09-01        0 
 1991-09-02        0 
 1991-09-03        0 
 1991-09-04        0 
 1991-09-05        0 
 1991-09-06        0 
 1991-09-07        0 
 1991-09-08        0 
 1991-09-09        0 
 1991-09-10        0 
 1991-09-11   0.1875 
 1991-09-12  16.4375 
 1991-09-13   6.5625 
 1991-09-14   7.5625 
 1991-09-15        0 
 1991-09-16   0.0625 
 1991-09-17        0 
 1991-09-18        0 
 1991-09-19        0 
 1991-09-20        0 
 1991-09-21        0 
 1991-09-22   14.375 
 1991-09-23  197.812 
 1991-09-24        0 
 1991-09-25   1.6875 
 1991-09-26  13.3125 
 1991-09-27    0.125 
 1991-09-28   0.0625 
 1991-09-29       23 
 1991-09-30  38.0625 
 1991-10-01   7.8125 
 1991-10-02        0 
 1991-10-03        0 
 1991-10-04        0 
 1991-10-05        0 
 1991-10-06  19.0625 
 1991-10-07  26.1875 
 1991-10-08   3.5625 
 1991-10-09        0 
 1991-10-10        0 
 1991-10-11  35.6875 
 1991-10-12  60.8125 
 1991-10-13     7.25 
 1991-10-14  16.8125 
 1991-10-15   2.4375 
 1991-10-16        0 
 1991-10-17    0.125 
 1991-10-18     1.25 
 1991-10-19   2.3125 
 1991-10-20    1.875 
 1991-10-21        0 
 1991-10-22        0 
 1991-10-23        0 
 1991-10-24        0 
 1991-10-25        0 
 1991-10-26        0 
 1991-10-27     16.5 
 1991-10-28   34.125 
 1991-10-29        0 
 1991-10-30        0 
 1991-10-31  11.4375 
 1991-11-01        0 
 1991-11-02  30.5625 
 1991-11-03  34.0625 
 1991-11-04  26.9375 
 1991-11-05   0.5625 
 1991-11-06   10.875 
 1991-11-07  17.6875 
 1991-11-08    14.75 
 1991-11-09   25.625 
 1991-11-10   23.375 
 1991-11-11       14 
 1991-11-12   26.625 
 1991-11-13     18.5 
 1991-11-14    5.625 
 1991-11-15  13.6875 
 1991-11-16  15.6875 
 1991-11-17   2.4375 
 1991-11-18   0.3125 
 1991-11-19     12.5 
 1991-11-20    7.875 
 1991-11-21  20.9375 
 1991-11-22   20.375 
 1991-11-23  18.8125 
 1991-11-24  25.9375 
 1991-11-25        0 
 1991-11-26   5.4375 
 1991-11-27  14.8125 
 1991-11-28  26.8125 
 1991-11-29       18 
 1991-11-30     20.5 
 1991-12-01   16.375 
 1991-12-02    14.75 
 1991-12-03        2 
 1991-12-04    2.875 
 1991-12-05    5.875 
 1991-12-06   0.8125 
 1991-12-07     2.25 
 1991-12-08   26.375 
 1991-12-09   0.9375 
 1991-12-10        0 
 1991-12-11   0.6875 
 1991-12-12     2.25 
 1991-12-13    4.875 
 1991-12-14   18.125 
 1991-12-15   3.5625 
 1991-12-16   0.0625 
 1991-12-17   23.375 
 1991-12-18     10.5 
 1991-12-19   0.4375 
 1991-12-20  27.4375 
 1991-12-21      2.5 
 1991-12-22   2.0625 
 1991-12-23   1.9375 
 1991-12-24   2.6875 
 1991-12-25        2 
 1991-12-26    5.375 
 1991-12-27   4.9375 
 1991-12-28    2.375 
 1991-12-29   2.6875 
 1991-12-30    2.875 
 1991-12-31        2 
