#      date    value 
 1996-01-01        0 
 1996-01-02        0 
 1996-01-03   0.1875 
 1996-01-04        0 
 1996-01-05        0 
 1996-01-06        0 
 1996-01-07        0 
 1996-01-08   9.8125 
 1996-01-09    8.375 
 1996-01-10   0.9375 
 1996-01-11        0 
 1996-01-12        0 
 1996-01-13        0 
 1996-01-14   8.8125 
 1996-01-15  12.9375 
 1996-01-16        0 
 1996-01-17        0 
 1996-01-18    0.125 
 1996-01-19    0.875 
 1996-01-20        0 
 1996-01-21        0 
 1996-01-22   0.0625 
 1996-01-23        0 
 1996-01-24        0 
 1996-01-25        0 
 1996-01-26        0 
 1996-01-27        0 
 1996-01-28        0 
 1996-01-29        0 
 1996-01-30     1.25 
 1996-01-31    1.125 
 1996-02-01    0.375 
 1996-02-02    0.125 
 1996-02-03   0.0625 
 1996-02-04        0 
 1996-02-05   0.6875 
 1996-02-06   0.0625 
 1996-02-07        0 
 1996-02-08        0 
 1996-02-09        0 
 1996-02-10        0 
 1996-02-11        0 
 1996-02-12        0 
 1996-02-13        0 
 1996-02-14        0 
 1996-02-15        0 
 1996-02-16     0.25 
 1996-02-17       20 
 1996-02-18   0.6875 
 1996-02-19        0 
 1996-02-20        0 
 1996-02-21        0 
 1996-02-22        0 
 1996-02-23        0 
 1996-02-24        0 
 1996-02-25  19.6875 
 1996-02-26        0 
 1996-02-27   0.1875 
 1996-02-28        0 
 1996-02-29       32 
 1996-03-01        6 
 1996-03-02        0 
 1996-03-03        0 
 1996-03-04   3.4375 
 1996-03-05        0 
 1996-03-06        0 
 1996-03-07  30.3125 
 1996-03-08        1 
 1996-03-09        0 
 1996-03-10        0 
 1996-03-11   0.9375 
 1996-03-12        0 
 1996-03-13        0 
 1996-03-14   1.6875 
 1996-03-15  24.1875 
 1996-03-16    33.25 
 1996-03-17  24.6875 
 1996-03-18        0 
 1996-03-19        0 
 1996-03-20        0 
 1996-03-21  28.3125 
 1996-03-22    6.625 
 1996-03-23        0 
 1996-03-24  20.1875 
 1996-03-25   2.0625 
 1996-03-26        0 
 1996-03-27        0 
 1996-03-28        0 
 1996-03-29   2.4375 
 1996-03-30     42.5 
 1996-03-31        0 
 1996-04-01        0 
 1996-04-02        0 
 1996-04-03        0 
 1996-04-04   0.0625 
 1996-04-05        0 
 1996-04-06     2.75 
 1996-04-07     0.75 
 1996-04-08        0 
 1996-04-09        0 
 1996-04-10        0 
 1996-04-11        0 
 1996-04-12        0 
 1996-04-13        0 
 1996-04-14      1.5 
 1996-04-15    9.125 
 1996-04-16   17.625 
 1996-04-17   7.8125 
 1996-04-18     1.75 
 1996-04-19    2.375 
 1996-04-20        0 
 1996-04-21        0 
 1996-04-22        0 
 1996-04-23        0 
 1996-04-24        0 
 1996-04-25        0 
 1996-04-26        0 
 1996-04-27        0 
 1996-04-28        0 
 1996-04-29        0 
 1996-04-30        0 
 1996-05-01        3 
 1996-05-02   2.1875 
 1996-05-03        0 
 1996-05-04    52.25 
 1996-05-05        0 
 1996-05-06        0 
 1996-05-07   0.0625 
 1996-05-08  43.8125 
 1996-05-09     6.25 
 1996-05-10        0 
 1996-05-11     1.25 
 1996-05-12        0 
 1996-05-13        0 
 1996-05-14        0 
 1996-05-15        0 
 1996-05-16        0 
 1996-05-17   0.0625 
 1996-05-18   0.0625 
 1996-05-19        0 
 1996-05-20        0 
 1996-05-21   29.125 
 1996-05-22     15.5 
 1996-05-23        0 
 1996-05-24        0 
 1996-05-25        0 
 1996-05-26        0 
 1996-05-27   0.1875 
 1996-05-28        1 
 1996-05-29    0.625 
 1996-05-30    0.125 
 1996-05-31   0.0625 
 1996-06-01        0 
 1996-06-02        0 
 1996-06-03   0.9375 
 1996-06-04   0.0625 
 1996-06-05    0.125 
 1996-06-06        0 
 1996-06-07   2.0625 
 1996-06-08    2.125 
 1996-06-09   4.4375 
 1996-06-10   38.875 
 1996-06-11    0.125 
 1996-06-12    0.125 
 1996-06-13   0.4375 
 1996-06-14        1 
 1996-06-15   0.0625 
 1996-06-16        0 
 1996-06-17   9.4375 
 1996-06-18  13.5625 
 1996-06-19   0.0625 
 1996-06-20    24.75 
 1996-06-21    5.125 
 1996-06-22    0.375 
 1996-06-23      2.5 
 1996-06-24  69.3125 
 1996-06-25  26.3125 
 1996-06-26   4.3125 
 1996-06-27    2.125 
 1996-06-28   9.9375 
 1996-06-29   0.4375 
 1996-06-30   5.8125 
 1996-07-01   0.0625 
 1996-07-02        0 
 1996-07-03     0.75 
 1996-07-04      1.5 
 1996-07-05   25.125 
 1996-07-06   0.0625 
 1996-07-07  17.6875 
 1996-07-08  81.9375 
 1996-07-09   3.4375 
 1996-07-10     0.25 
 1996-07-11        0 
 1996-07-12        0 
 1996-07-13        0 
 1996-07-14        0 
 1996-07-15   0.0625 
 1996-07-16        0 
 1996-07-17        0 
 1996-07-18        0 
 1996-07-19    5.375 
 1996-07-20  35.8125 
 1996-07-21   0.0625 
 1996-07-22  28.6875 
 1996-07-23  14.8125 
 1996-07-24        0 
 1996-07-25        0 
 1996-07-26        0 
 1996-07-27   0.0625 
 1996-07-28        0 
 1996-07-29     0.25 
 1996-07-30    0.125 
 1996-07-31        0 
 1996-08-01        0 
 1996-08-02        0 
 1996-08-03        0 
 1996-08-04   0.0625 
 1996-08-05        0 
 1996-08-06     0.25 
 1996-08-07        0 
 1996-08-08        0 
 1996-08-09   0.0625 
 1996-08-10        0 
 1996-08-11   0.0625 
 1996-08-12     1.25 
 1996-08-13   4.9375 
 1996-08-14  24.3125 
 1996-08-15    5.375 
 1996-08-16        0 
 1996-08-17        0 
 1996-08-18        0 
 1996-08-19        0 
 1996-08-20        0 
 1996-08-21      1.5 
 1996-08-22     2.25 
 1996-08-23      1.5 
 1996-08-24   0.0625 
 1996-08-25    0.625 
 1996-08-26    7.375 
 1996-08-27  75.5625 
 1996-08-28  38.3125 
 1996-08-29    8.375 
 1996-08-30     2.75 
 1996-08-31   0.8125 
 1996-09-01        0 
 1996-09-02        0 
 1996-09-03        0 
 1996-09-04        0 
 1996-09-05        0 
 1996-09-06    0.375 
 1996-09-07        0 
 1996-09-08   4.5625 
 1996-09-09    41.25 
 1996-09-10   0.3125 
 1996-09-11    0.125 
 1996-09-12   0.1875 
 1996-09-13       26 
 1996-09-14        0 
 1996-09-15    0.125 
 1996-09-16   1.3125 
 1996-09-17   0.1875 
 1996-09-18        0 
 1996-09-19        0 
 1996-09-20  16.1875 
 1996-09-21   3.9375 
 1996-09-22        2 
 1996-09-23        0 
 1996-09-24   0.1875 
 1996-09-25   4.5625 
 1996-09-26    4.375 
 1996-09-27        0 
 1996-09-28        0 
 1996-09-29     12.5 
 1996-09-30  29.1875 
 1996-10-01    0.125 
 1996-10-02    0.625 
 1996-10-03  16.3125 
 1996-10-04        0 
 1996-10-05        0 
 1996-10-06        0 
 1996-10-07   0.0625 
 1996-10-08    21.75 
 1996-10-09        0 
 1996-10-10    0.375 
 1996-10-11   0.8125 
 1996-10-12  18.6875 
 1996-10-13   12.625 
 1996-10-14   37.875 
 1996-10-15     0.25 
 1996-10-16        0 
 1996-10-17        0 
 1996-10-18        0 
 1996-10-19        0 
 1996-10-20        0 
 1996-10-21        0 
 1996-10-22        0 
 1996-10-23        0 
 1996-10-24        0 
 1996-10-25        0 
 1996-10-26   0.0625 
 1996-10-27        0 
 1996-10-28   4.9375 
 1996-10-29        0 
 1996-10-30        0 
 1996-10-31  16.6875 
 1996-11-01  10.4375 
 1996-11-02        0 
 1996-11-03        0 
 1996-11-04        0 
 1996-11-05   3.6875 
 1996-11-06   0.0625 
 1996-11-07   6.0625 
 1996-11-08     8.75 
 1996-11-09   0.1875 
 1996-11-10        0 
 1996-11-11   27.625 
 1996-11-12     0.75 
 1996-11-13        0 
 1996-11-14    0.125 
 1996-11-15        1 
 1996-11-16        0 
 1996-11-17    2.875 
 1996-11-18   0.0625 
 1996-11-19        0 
 1996-11-20    0.125 
 1996-11-21        0 
 1996-11-22        0 
 1996-11-23        0 
 1996-11-24        0 
 1996-11-25        0 
 1996-11-26    1.875 
 1996-11-27    31.25 
 1996-11-28        0 
 1996-11-29        2 
 1996-11-30        0 
 1996-12-01   3.3125 
 1996-12-02     3.25 
 1996-12-03        0 
 1996-12-04  16.6875 
 1996-12-05  23.9375 
 1996-12-06        0 
 1996-12-07        0 
 1996-12-08        0 
 1996-12-09        0 
 1996-12-10        6 
 1996-12-11        0 
 1996-12-12        0 
 1996-12-13        0 
 1996-12-14        0 
 1996-12-15        0 
 1996-12-16        0 
 1996-12-17   31.125 
 1996-12-18   0.0625 
 1996-12-19        1 
 1996-12-20        0 
 1996-12-21        0 
 1996-12-22   2.0625 
 1996-12-23   0.6875 
 1996-12-24        0 
 1996-12-25        0 
 1996-12-26        0 
 1996-12-27        0 
 1996-12-28        0 
 1996-12-29        0 
 1996-12-30        0 
 1996-12-31        0 
