#      date    value 
 2014-01-01    2.375 
 2014-01-02    2.125 
 2014-01-03     5.75 
 2014-01-04     0.75 
 2014-01-05        0 
 2014-01-06        6 
 2014-01-07   0.8125 
 2014-01-08  10.3125 
 2014-01-09   4.1875 
 2014-01-10   0.1875 
 2014-01-11   0.9375 
 2014-01-12        0 
 2014-01-13    0.875 
 2014-01-14     1.75 
 2014-01-15   3.4375 
 2014-01-16   4.3125 
 2014-01-17   2.8125 
 2014-01-18   0.5625 
 2014-01-19   0.3125 
 2014-01-20    0.375 
 2014-01-21    0.625 
 2014-01-22   0.3125 
 2014-01-23   10.375 
 2014-01-24      1.5 
 2014-01-25   7.9375 
 2014-01-26     10.5 
 2014-01-27   1.6875 
 2014-01-28        0 
 2014-01-29        0 
 2014-01-30        0 
 2014-01-31   0.6875 
 2014-02-01      8.5 
 2014-02-02        0 
 2014-02-03        0 
 2014-02-04        0 
 2014-02-05   2.3125 
 2014-02-06     5.25 
 2014-02-07  15.9375 
 2014-02-08   6.6875 
 2014-02-09        1 
 2014-02-10   0.6875 
 2014-02-11   2.8125 
 2014-02-12    2.625 
 2014-02-13   1.8125 
 2014-02-14    6.625 
 2014-02-15     0.75 
 2014-02-16     0.25 
 2014-02-17        0 
 2014-02-18   0.3125 
 2014-02-19   0.1875 
 2014-02-20   3.9375 
 2014-02-21    2.875 
 2014-02-22   1.1875 
 2014-02-23        0 
 2014-02-24        0 
 2014-02-25   1.4375 
 2014-02-26   0.0625 
 2014-02-27   3.4375 
 2014-02-28      1.5 
 2014-03-01   3.4375 
 2014-03-02   0.0625 
 2014-03-03   0.8125 
 2014-03-04   0.0625 
 2014-03-05        0 
 2014-03-06        0 
 2014-03-07        0 
 2014-03-08        0 
 2014-03-09        0 
 2014-03-10        0 
 2014-03-11        0 
 2014-03-12        0 
 2014-03-13        0 
 2014-03-14        0 
 2014-03-15        0 
 2014-03-16        0 
 2014-03-17        0 
 2014-03-18     2.75 
 2014-03-19   0.0625 
 2014-03-20        0 
 2014-03-21   20.375 
 2014-03-22      0.5 
 2014-03-23   1.1875 
 2014-03-24     0.25 
 2014-03-25   0.1875 
 2014-03-26    1.875 
 2014-03-27   0.0625 
 2014-03-28        0 
 2014-03-29        0 
 2014-03-30        0 
 2014-03-31        0 
 2014-04-01        0 
 2014-04-02        0 
 2014-04-03        0 
 2014-04-04        0 
 2014-04-05        0 
 2014-04-06   0.8125 
 2014-04-07  13.1875 
 2014-04-08   4.3125 
 2014-04-09   0.0625 
 2014-04-10        0 
 2014-04-11        0 
 2014-04-12        0 
 2014-04-13        0 
 2014-04-14      2.5 
 2014-04-15     0.25 
 2014-04-16        0 
 2014-04-17      1.5 
 2014-04-18    1.375 
 2014-04-19   0.1875 
 2014-04-20        0 
 2014-04-21        1 
 2014-04-22   0.1875 
 2014-04-23   0.1875 
 2014-04-24    8.375 
 2014-04-25     1.75 
 2014-04-26   0.1875 
 2014-04-27   3.3125 
 2014-04-28   0.0625 
 2014-04-29   1.3125 
 2014-04-30   0.4375 
 2014-05-01    0.625 
 2014-05-02        0 
 2014-05-03        0 
 2014-05-04        0 
 2014-05-05        0 
 2014-05-06   2.1875 
 2014-05-07   1.5625 
 2014-05-08   13.625 
 2014-05-09   4.6875 
 2014-05-10   5.4375 
 2014-05-11   13.625 
 2014-05-12     8.25 
 2014-05-13    0.125 
 2014-05-14    0.125 
 2014-05-15        0 
 2014-05-16        0 
 2014-05-17        0 
 2014-05-18        0 
 2014-05-19        0 
 2014-05-20    2.875 
 2014-05-21   2.8125 
 2014-05-22     0.75 
 2014-05-23   0.0625 
 2014-05-24   0.0625 
 2014-05-25        0 
 2014-05-26   13.625 
 2014-05-27  11.3125 
 2014-05-28   7.6875 
 2014-05-29        2 
 2014-05-30        0 
 2014-05-31        0 
 2014-06-01        0 
 2014-06-02        0 
 2014-06-03    0.125 
 2014-06-04   8.5625 
 2014-06-05    4.375 
 2014-06-06        0 
 2014-06-07        0 
 2014-06-08     1.25 
 2014-06-09   0.4375 
 2014-06-10   7.4375 
 2014-06-11        0 
 2014-06-12        0 
 2014-06-13        0 
 2014-06-14        0 
 2014-06-15   0.3125 
 2014-06-16    0.125 
 2014-06-17    0.125 
 2014-06-18   0.1875 
 2014-06-19    0.375 
 2014-06-20    0.625 
 2014-06-21        0 
 2014-06-22        0 
 2014-06-23        0 
 2014-06-24   0.0625 
 2014-06-25        0 
 2014-06-26   0.0625 
 2014-06-27   0.5625 
 2014-06-28    0.125 
 2014-06-29    1.125 
 2014-06-30    1.625 
 2014-07-01    0.125 
 2014-07-02        0 
 2014-07-03        0 
 2014-07-04        0 
 2014-07-05        3 
 2014-07-06     12.5 
 2014-07-07     0.75 
 2014-07-08  13.3125 
 2014-07-09   3.8125 
 2014-07-10     0.75 
 2014-07-11        2 
 2014-07-12   1.8125 
 2014-07-13   0.3125 
 2014-07-14        0 
 2014-07-15        0 
 2014-07-16        0 
 2014-07-17        0 
 2014-07-18        0 
 2014-07-19   0.1875 
 2014-07-20     4.75 
 2014-07-21   27.125 
 2014-07-22      0.5 
 2014-07-23        0 
 2014-07-24     0.25 
 2014-07-25    1.125 
 2014-07-26   0.8125 
 2014-07-27   5.1875 
 2014-07-28    48.25 
 2014-07-29    0.875 
 2014-07-30        0 
 2014-07-31        0 
 2014-08-01        0 
 2014-08-02   4.3125 
 2014-08-03   0.0625 
 2014-08-04    0.125 
 2014-08-05        0 
 2014-08-06      4.5 
 2014-08-07   10.125 
 2014-08-08    5.125 
 2014-08-09      1.5 
 2014-08-10   8.5625 
 2014-08-11   4.6875 
 2014-08-12   6.0625 
 2014-08-13    1.625 
 2014-08-14   10.875 
 2014-08-15   7.0625 
 2014-08-16   1.5625 
 2014-08-17     9.25 
 2014-08-18        7 
 2014-08-19        7 
 2014-08-20   1.5625 
 2014-08-21    0.875 
 2014-08-22   8.3125 
 2014-08-23        6 
 2014-08-24     2.25 
 2014-08-25   5.6875 
 2014-08-26   8.0625 
 2014-08-27        0 
 2014-08-28    0.875 
 2014-08-29   0.8125 
 2014-08-30   3.8125 
 2014-08-31   1.3125 
 2014-09-01      0.5 
 2014-09-02        0 
 2014-09-03        0 
 2014-09-04        0 
 2014-09-05        0 
 2014-09-06        0 
 2014-09-07        0 
 2014-09-08        0 
 2014-09-09        0 
 2014-09-10    0.125 
 2014-09-11   0.0625 
 2014-09-12        0 
 2014-09-13        0 
 2014-09-14        0 
 2014-09-15        0 
 2014-09-16        0 
 2014-09-17        0 
 2014-09-18        0 
 2014-09-19        0 
 2014-09-20   0.3125 
 2014-09-21   0.4375 
 2014-09-22   0.0625 
 2014-09-23        0 
