#      date    value 
 1981-01-01        3 
 1981-01-02    22.25 
 1981-01-03   12.875 
 1981-01-04        2 
 1981-01-05        2 
 1981-01-06   4.9375 
 1981-01-07   0.6875 
 1981-01-08    0.875 
 1981-01-09   8.1875 
 1981-01-10   3.8125 
 1981-01-11        0 
 1981-01-12   5.6875 
 1981-01-13   0.1875 
 1981-01-14   20.375 
 1981-01-15    7.875 
 1981-01-16    6.125 
 1981-01-17     2.75 
 1981-01-18   0.1875 
 1981-01-19      6.5 
 1981-01-20      0.5 
 1981-01-21      0.5 
 1981-01-22   0.8125 
 1981-01-23   0.3125 
 1981-01-24   0.9375 
 1981-01-25   0.0625 
 1981-01-26        1 
 1981-01-27   0.4375 
 1981-01-28   0.4375 
 1981-01-29   0.0625 
 1981-01-30   0.0625 
 1981-01-31   0.0625 
 1981-02-01        0 
 1981-02-02        0 
 1981-02-03  12.6875 
 1981-02-04   3.6875 
 1981-02-05   2.6875 
 1981-02-06   1.8125 
 1981-02-07        0 
 1981-02-08      0.5 
 1981-02-09   0.4375 
 1981-02-10   5.8125 
 1981-02-11   1.3125 
 1981-02-12     0.25 
 1981-02-13        0 
 1981-02-14        0 
 1981-02-15        0 
 1981-02-16        0 
 1981-02-17        0 
 1981-02-18   0.0625 
 1981-02-19   0.3125 
 1981-02-20    0.375 
 1981-02-21        0 
 1981-02-22        0 
 1981-02-23        0 
 1981-02-24        1 
 1981-02-25        0 
 1981-02-26        0 
 1981-02-27        0 
 1981-02-28     8.75 
 1981-03-01      0.5 
 1981-03-02   2.1875 
 1981-03-03   2.0625 
 1981-03-04   0.0625 
 1981-03-05     0.75 
 1981-03-06   0.4375 
 1981-03-07   3.8125 
 1981-03-08   7.8125 
 1981-03-09   22.625 
 1981-03-10  10.3125 
 1981-03-11  27.5625 
 1981-03-12  11.9375 
 1981-03-13     6.25 
 1981-03-14   12.375 
 1981-03-15   4.5625 
 1981-03-16     1.25 
 1981-03-17   0.9375 
 1981-03-18   0.4375 
 1981-03-19   0.1875 
 1981-03-20    0.125 
 1981-03-21    0.125 
 1981-03-22        1 
 1981-03-23    5.125 
 1981-03-24    1.625 
 1981-03-25   4.6875 
 1981-03-26   5.6875 
 1981-03-27        0 
 1981-03-28        0 
 1981-03-29   0.3125 
 1981-03-30   0.4375 
 1981-03-31    0.125 
 1981-04-01        0 
 1981-04-02        0 
 1981-04-03        0 
 1981-04-04        0 
 1981-04-05    0.125 
 1981-04-06        0 
 1981-04-07   0.1875 
 1981-04-08        0 
 1981-04-09        0 
 1981-04-10        0 
 1981-04-11        0 
 1981-04-12      0.5 
 1981-04-13        0 
 1981-04-14        0 
 1981-04-15        0 
 1981-04-16        0 
 1981-04-17        0 
 1981-04-18    0.125 
 1981-04-19   2.4375 
 1981-04-20        0 
 1981-04-21   0.0625 
 1981-04-22    0.625 
 1981-04-23   1.0625 
 1981-04-24        0 
 1981-04-25        0 
 1981-04-26   1.1875 
 1981-04-27        0 
 1981-04-28     1.75 
 1981-04-29   2.6875 
 1981-04-30   4.1875 
 1981-05-01    3.125 
 1981-05-02   0.5625 
 1981-05-03    0.875 
 1981-05-04      7.5 
 1981-05-05   2.1875 
 1981-05-06    1.125 
 1981-05-07        0 
 1981-05-08   2.5625 
 1981-05-09   0.1875 
 1981-05-10        0 
 1981-05-11        0 
 1981-05-12      1.5 
 1981-05-13   0.1875 
 1981-05-14   2.5625 
 1981-05-15     0.75 
 1981-05-16   2.6875 
 1981-05-17      1.5 
 1981-05-18        0 
 1981-05-19        4 
 1981-05-20        0 
 1981-05-21    0.375 
 1981-05-22  12.4375 
 1981-05-23    4.625 
 1981-05-24   9.3125 
 1981-05-25   5.0625 
 1981-05-26      0.5 
 1981-05-27   7.9375 
 1981-05-28     1.75 
 1981-05-29   0.1875 
 1981-05-30    0.125 
 1981-05-31  13.0625 
 1981-06-01     3.25 
 1981-06-02   0.3125 
 1981-06-03    0.125 
 1981-06-04    0.125 
 1981-06-05     0.75 
 1981-06-06   3.4375 
 1981-06-07   0.0625 
 1981-06-08   1.6875 
 1981-06-09    0.375 
 1981-06-10    1.125 
 1981-06-11   3.8125 
 1981-06-12   0.4375 
 1981-06-13        0 
 1981-06-14        0 
